YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.6922590	0.6502370	0.7059087	0.0000176	0.6529879	0.2458913	0.5847469	0.8731018	0.6898527	0.5816171	0.6275069	0.5993433	0.1941974	0.4977654	0.4824196	0.7184640	0.4283372	0.4742894	0.5064320	0.3824938	0.7584559	0.5731535	0.7671447	0.6132336	0.0312991	0.2511062	0.2122792	0.4109762	0.6926768	0.1489251	0.7182510	0.5567039	0.6716500	0.0919856	0.3960084	0.6249528	0.6469915	0.0895526	0.3196516	0.6648485	0.3835275	0.8258028	0.7489035	0.5771079	0.4831496	0.4442237	0.6456322	0.6672177	0.1529846	0.2908503
0.7115983	0.5067199	0.6620122	0.0016008	0.2160903	0.2870381	0.7817640	0.7401593	0.6477043	0.6411706	0.6728023	0.7925138	0.3151244	0.6648001	0.6028827	0.5664144	0.7809027	0.4159591	0.3650764	0.7403869	0.4041511	0.7109394	0.4087908	0.8346246	0.1493561	0.5076056	0.2627306	0.3971295	0.6225691	0.2809192	0.6687949	0.5322544	0.6864576	0.0938252	0.5778173	0.4211967	0.6554265	0.3603957	0.2346490	0.4691302	0.2336085	0.5428721	0.5084914	0.4387018	0.4561458	0.2582343	0.5810069	0.7791650	0.1762170	0.1870011
0.5522144	0.6685976	0.5841734	0.0027096	0.5256133	0.0630375	0.5839556	0.6611924	0.4049268	0.5491007	0.7862608	0.7138922	0.2163747	0.4161865	0.6905039	0.5923498	0.5142573	0.3316159	0.4295474	0.6629945	0.5369295	0.5257907	0.6815791	0.6846592	0.0251742	0.2381908	0.1619127	0.4278045	0.7268835	0.4050125	0.6009459	0.7217603	0.5739643	0.0630843	0.4418192	0.4010131	0.6885911	0.1752851	0.2677371	0.4903043	0.4664142	0.6898819	0.6325750	0.5100930	0.5845118	0.5123752	0.8576127	0.5821029	0.0301575	0.3272087
0.6147950	0.4617663	0.3816243	0.0466092	0.3830928	0.1717892	0.7092908	0.7171639	0.6238198	0.6743258	0.7743199	0.6469357	0.0017342	0.6636498	0.7389199	0.6137899	0.8101400	0.1072198	0.7286182	0.6491773	0.8498367	0.6372416	0.6971839	0.6989916	0.0177391	0.3210756	0.5029569	0.9044596	0.6863699	0.0121136	0.6834029	0.3345468	0.3343907	0.4017491	0.4487343	0.0625885	0.6833402	0.2753467	0.2163138	0.6021197	0.2242079	0.6893434	0.7229454	0.4335689	0.6752239	0.3716290	0.4995529	0.1583481	0.1425897	0.2486942
0.5355628	0.7282756	0.5085475	0.0005133	0.6423955	0.0659651	0.4572987	0.4714559	0.7499694	0.5398055	0.6663930	0.5979094	0.4073792	0.7442368	0.2954327	0.7644680	0.7515603	0.2441755	0.4937759	0.6776030	0.3610317	0.6967694	0.5748565	0.7484223	0.0214591	0.2724419	0.1644929	0.5324851	0.8035688	0.3063607	0.7273004	0.6628727	0.4057546	0.0401422	0.5175909	0.5755005	0.7931850	0.1263045	0.1895396	0.3665827	0.2345717	0.6323594	0.6728051	0.4767310	0.5555397	0.5880242	0.6307164	0.7131761	0.3066304	0.2646782
0.7104376	0.6623641	0.4769734	0.0063740	0.5509503	0.2473732	0.6325771	0.8135970	0.7897323	0.4687870	0.5590609	0.6438410	0.3146027	0.6750118	0.4338160	0.6158742	0.6240913	0.3171553	0.5730105	0.6824750	0.7552460	0.7390598	0.7910807	0.8181885	0.0429751	0.2386862	0.5932954	0.4240119	0.6623189	0.2219025	0.4237893	0.6513854	0.6780251	0.0108657	0.4181089	0.5038467	0.7552024	0.3992685	0.0968835	0.2260618	0.2718470	0.5838853	0.6914151	0.6157794	0.6321175	0.2730760	0.7197032	0.7162851	0.3339314	0.5227436
0.6123180	0.6491622	0.5789720	0.0003252	0.6286862	0.4099409	0.7167601	0.5052810	0.5259829	0.6508091	0.7381863	0.6757815	0.5259283	0.6334364	0.2597008	0.7055578	0.6833955	0.2732595	0.5995284	0.7087238	0.6101811	0.7226737	0.4480176	0.6323986	0.0771227	0.5591919	0.4675588	0.2315859	0.6989542	0.1653143	0.5325563	0.5928613	0.2303447	0.0746503	0.5391579	0.3927182	0.6795273	0.4650974	0.1373661	0.2887806	0.1303152	0.4647902	0.7145867	0.2441740	0.2001719	0.6163864	0.7162565	0.5515530	0.3888650	0.4504702
0.6889649	0.4847058	0.4107957	0.0372034	0.3287465	0.1119564	0.6663315	0.5673609	0.5391180	0.7456358	0.5249797	0.4967842	0.1270872	0.5348353	0.6608102	0.5318598	0.6458819	0.4092372	0.3901523	0.7253352	0.5902405	0.3570040	0.7293557	0.6676842	0.0229059	0.1281929	0.3192938	0.4580061	0.2751169	0.5642738	0.5488292	0.3685848	0.6928310	0.0956676	0.3213165	0.6036044	0.6710268	0.2419732	0.3050638	0.3565689	0.5925908	0.5973140	0.6956939	0.4004263	0.4940921	0.3638470	0.6068010	0.8588899	0.0194299	0.2662137
0.7047275	0.6377759	0.4140343	0.0551969	0.5029323	0.1203369	0.7713413	0.7622644	0.5165531	0.6583984	0.6362048	0.6417608	0.0276056	0.4816930	0.7334516	0.6770599	0.4088792	0.3973011	0.5191437	0.6969878	0.5293121	0.3467374	0.5427260	0.7690351	0.0203313	0.2312799	0.5518114	0.3204339	0.7316884	0.1264901	0.6457254	0.5046845	0.6837192	0.2627847	0.3552233	0.4280996	0.7759796	0.2497193	0.2248649	0.3349802	0.2863140	0.5812382	0.5618259	0.3528206	0.4935793	0.4021101	0.7834214	0.4889102	0.1544329	0.3871991
0.6651479	0.6232257	0.7828831	0.0956171	0.6476791	0.2631159	0.6193630	0.5579040	0.6923329	0.4413828	0.5675376	0.6329778	0.3789010	0.4677285	0.6794632	0.5977317	0.7523490	0.3019173	0.5770368	0.8771016	0.7206061	0.7688787	0.8022114	0.8194769	0.0437021	0.1671228	0.2259514	0.6194059	0.7950297	0.1178164	0.6452591	0.4251488	0.5889964	0.0320737	0.4070705	0.3811345	0.7635832	0.1438791	0.2266990	0.5862869	0.4326522	0.6567252	0.5154159	0.5385864	0.5401126	0.5748895	0.6335229	0.7048062	0.2135747	0.5081020
0.7287947	0.7524046	0.7288955	0.0018398	0.6149942	0.0962193	0.4027265	0.6966671	0.7009235	0.6430511	0.7714874	0.7270937	0.1268796	0.6806532	0.5725357	0.6688864	0.7043488	0.6174053	0.6611600	0.7859516	0.6338363	0.6779820	0.5382721	0.7141277	0.0475440	0.3511693	0.2684569	0.3826132	0.6963337	0.2120311	0.3416999	0.5720004	0.6865553	0.0454254	0.4996214	0.4307180	0.8002329	0.3256273	0.2761835	0.6258928	0.3288224	0.7406807	0.6949555	0.2045495	0.4600699	0.6456344	0.7573626	0.5476460	0.0178839	0.2327716
0.6370038	0.7708357	0.5906447	0.0009471	0.6985749	0.1623064	0.6018819	0.4268582	0.6971679	0.7091686	0.6548865	0.7241808	0.0285807	0.7511004	0.8269533	0.8098065	0.6220853	0.3422963	0.5637236	0.7712526	0.5700607	0.7622272	0.6579013	0.6477037	0.0193307	0.1920710	0.3363571	0.3721976	0.5670547	0.4366481	0.6688574	0.5680898	0.7993260	0.1111790	0.4430359	0.5760524	0.7328992	0.3541758	0.2153735	0.6018156	0.2490496	0.5997174	0.7131632	0.1900649	0.5019951	0.5040195	0.6866789	0.5584579	0.0533013	0.2590180
