YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.0000000	0.9128388	0.9046315	0.0463747	0.7868265	0.2899309	1.0143445	0.9335670	1.0917417	1.0007165	1.0264339	1.0410729	0.3456805	1.0072054	0.8520321	1.0712104	1.0661815	0.5886459	0.7710037	0.9980916	1.0056891	0.9577953	0.9330892	0.9975242	0.0540295	0.4669206	0.5003558	0.6617775	0.9731457	0.3262238	0.8411708	0.7406033	0.8860481	0.1284725	0.6242930	0.7478991	1.0273005	0.3841168	0.3411184	0.7207303	0.4804325	0.9352232	0.9465610	0.7296468	0.8036253	0.8156553	1.0365792	0.9159818	0.2912144	0.3597105
0.0711696	0.0000000	0.8832733	0.0380146	0.8984486	0.2882864	1.0244627	1.0357679	0.9958790	1.0720592	0.9504641	1.0502726	0.3702767	1.0130033	0.9425832	1.0522392	1.0119141	0.5570422	0.6751417	0.9682417	0.9850906	0.9866729	1.0075739	0.9736970	0.0559632	0.4229639	0.5310693	0.7394804	1.0343081	0.2605163	0.8379431	0.0092137	0.9611474	0.1234094	0.6047372	0.6848637	1.0497929	0.4381332	0.2935388	0.3282559	0.3712674	0.9072562	0.9855633	0.7685684	0.8001073	0.7849679	1.0261459	0.0801302	0.2567741	0.3108269
1.0106734	0.9388882	0.0000000	0.0462011	0.8227645	0.3881933	1.0476385	1.0236728	0.9858941	1.0429746	0.9694532	1.0543577	0.3999785	1.0028770	0.9153932	0.9702849	0.9595444	0.5222874	0.7042871	1.0642601	1.0256753	0.9635943	1.0018292	1.0779893	0.0347182	0.5227957	0.5528218	0.6637831	1.0016649	0.3343053	0.7331267	0.7667812	0.9290464	0.1300382	0.5649679	0.6798079	0.9842907	0.4118866	0.3960927	0.6552953	0.4515916	0.9347384	0.9901099	0.7175738	0.8020726	0.7882230	1.0073370	0.9419579	0.2738292	0.2247278
0.9236694	0.9943611	1.0178287	0.0000000	0.8644485	0.3612683	1.0775008	1.0993096	0.9573401	1.0308694	1.0276443	0.9815159	0.3555917	1.0170235	0.8286143	1.0400426	1.0080375	0.5158909	0.7541810	0.9917457	1.0764497	1.0353907	1.0925587	1.0105184	0.0635108	0.4227545	0.5412485	0.5846909	1.0519682	0.3584389	0.8397129	0.8521635	0.9442755	0.1379469	0.5714653	0.7766906	0.9421571	0.3492212	0.3201790	0.7794868	0.3636678	0.9915605	0.9720429	0.7228205	0.7796867	0.7717872	0.9940915	0.9122903	0.2297770	0.4213514
1.0927014	0.9791311	0.5544232	0.0445106	0.0000000	0.3022395	1.0191502	1.0591834	0.9974965	1.0705936	1.0396447	1.0692391	0.2992958	1.0196006	0.8977378	1.0031841	1.0049085	0.5246083	0.6683934	1.0012662	1.0510744	1.0230401	1.0142806	0.9961421	0.0586418	0.4780522	0.4891729	0.6245833	0.9705897	0.3174724	0.7632068	0.7894265	0.8827170	0.1726177	0.5440056	0.7561365	0.9626218	0.4024887	0.3324010	0.7559180	0.6025932	0.9349461	0.9990298	0.7472987	0.7580818	0.0385214	0.9441372	0.8886749	0.2806328	0.3377317
1.0453061	0.9630548	1.0251973	0.0713131	0.9761512	0.0000000	1.0179048	1.1004491	1.0328836	0.9602534	1.0095207	0.8758528	0.2774729	0.9521212	0.9865037	1.0313201	1.0713283	0.5607509	0.6730255	0.9683646	1.0977644	0.9881058	1.0298383	1.0432596	0.0369347	0.4245270	0.5262737	0.6093748	0.9934105	0.4420760	0.8766566	0.8465827	1.0496360	0.1650622	0.5804434	0.6641076	1.0117465	0.4207114	0.3102733	0.8944376	0.4084555	0.9863951	1.0584987	0.7361620	0.8425041	0.8026173	0.9812420	0.9786151	0.2434325	0.3403007
1.0719759	1.0656911	0.9986370	0.0567396	0.9382105	0.0897765	0.0000000	0.9254639	1.0282915	1.0424224	1.0560606	0.9838370	0.3271091	0.9216729	0.8815107	0.9564170	1.0319743	0.5199852	0.7982097	1.0207942	0.9657706	1.0139358	1.0046027	0.9726434	0.0480011	0.4231645	0.4436002	0.5968868	1.0094428	0.4539136	0.8816021	0.7816422	0.9735922	0.0952944	0.5796547	0.7677603	1.0163171	0.3935362	0.3849664	0.7018263	0.3834553	0.9096209	0.9900927	0.8964632	0.7716036	0.7233631	1.0771808	0.9896680	0.3047508	0.3302368
1.0377164	0.9760400	0.9088209	0.0715921	0.9437968	0.3207434	1.0037119	0.0000000	1.0217844	0.9243413	1.0245085	0.9611094	0.3412047	0.9533271	0.8860035	0.9484477	1.0256749	0.5567852	0.7858534	1.0175344	1.1011906	1.0861821	1.0567122	1.0239392	0.0529135	0.4587393	0.5137803	0.6441212	0.9574423	0.3397178	0.9019518	0.7910717	1.0207144	0.1136708	0.6239272	0.7539067	0.9660608	0.3881729	0.3150033	0.7242719	0.3813053	0.9880675	1.0080024	0.1882832	0.8184920	0.8426583	1.0467148	1.0821336	0.2105412	0.3075295
1.0429140	1.0331970	0.9660806	0.0491377	0.9244687	0.3044185	1.0607771	1.0401346	0.0000000	0.9951182	0.9633097	1.0456654	0.3347475	0.9270079	1.0093594	1.0249301	1.0545152	0.5327290	0.6102094	0.9388154	0.9953520	0.9421190	1.0247624	1.0487023	0.0293101	0.4596865	0.5619560	0.6237971	1.0485580	0.2951415	0.8679190	0.9177486	1.0100295	0.1127270	0.6224534	0.7060561	1.0617011	0.3582834	0.3437296	0.7390790	0.4350599	1.0212293	1.0320895	0.7653329	0.7939180	0.8012090	1.0220404	0.9339098	0.2504969	0.3801894
1.0619834	0.2181080	0.8404532	0.9577967	0.8779397	0.2634590	1.0094847	1.0054197	1.0226070	0.0000000	1.0379598	1.0232394	0.3284955	0.8005793	0.8649811	0.9513211	0.9786450	0.5042001	0.7108601	1.0469179	0.9983709	0.9929867	0.9919016	1.0646577	0.4742138	0.4422816	0.5794639	0.6902204	1.0439608	0.3637123	0.8601397	0.0104511	0.9620477	0.1195871	0.5611367	0.7508659	0.9934797	0.3963262	0.3074700	0.3877108	0.4513137	0.9343048	0.9198900	0.7693715	0.8136263	0.7470248	1.0495114	0.8693405	0.2786700	0.9847206
