YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
1.0459047	0.9264632	0.9283208	0.0004066	0.8778024	0.3879601	0.9436053	1.0344342	1.0477382	1.0014855	0.9192163	0.7900313	0.2789750	0.6861341	0.7316013	0.8871411	0.6198358	0.6846518	0.8247207	0.5330435	1.1147145	0.7910873	1.0506633	0.8637293	0.0336430	0.3247334	0.3256928	0.5998293	0.9806098	0.2553529	0.9879114	0.7801259	0.9195971	0.0636007	0.5266329	0.7236681	0.8639366	0.1609304	0.5523890	0.9475299	0.5092147	0.9901206	0.9614302	0.8714584	0.7247378	0.6892076	0.9308400	0.9804651	0.2684675	0.4938950
1.0340049	0.7322171	0.9638961	0.0073437	0.3184804	0.3576304	1.0534980	1.0530880	1.0658739	0.9835972	0.8974438	1.0414455	0.3703892	0.9758967	0.8927673	0.7461142	0.9250785	0.5751813	0.6163035	0.9938259	0.7413188	1.0431249	0.6004517	1.1023476	0.1610837	0.7228282	0.3546676	0.5707998	0.9307026	0.3622320	0.9902895	0.7460941	0.9102389	0.1015644	0.7957011	0.6272790	0.9951757	0.4994247	0.3790652	0.7556324	0.3970042	0.6478671	0.9831583	0.7097241	0.6813900	0.3986573	0.9459271	1.1174521	0.2125222	0.2617046
0.8676465	1.0381007	0.7878799	0.0038500	0.8126150	0.1047030	0.8212765	0.8801335	0.5310079	0.7522828	1.0214844	1.0297298	0.3266072	0.7267012	0.9481447	0.8419801	0.7006118	0.4650572	0.6351325	0.9841096	0.7101631	0.8030830	1.0716092	0.9945790	0.0364171	0.3373679	0.3151333	0.6557575	0.9588420	0.5622124	0.8507082	0.9768557	0.8090859	0.1076056	0.6702849	0.6448939	0.9743413	0.2788999	0.3724714	0.6989238	0.6262021	0.9534001	0.9856454	0.7448932	0.8359263	0.7003895	1.1344330	0.9187590	0.0658979	0.4549543
0.9510677	0.7452537	0.5499039	0.0562257	0.5914658	0.2295227	0.9662329	1.0150039	0.9849811	0.9865298	1.0451113	1.0768948	0.0031784	0.9926159	1.0065670	0.9773655	0.9992872	0.1261434	0.8492477	0.9910659	1.0954802	0.9774722	0.9773471	0.9915039	0.0368082	0.4864766	0.7896033	1.0287356	0.9639554	0.0164275	0.9835936	0.4571183	0.5129751	0.6400335	0.5481303	0.0772006	1.0136178	0.3782375	0.2718769	0.9556632	0.2938891	1.0042976	0.9993510	0.5832345	0.8215837	0.6643322	0.8209385	0.3289191	0.2055411	0.3405153
0.9005966	1.0087386	0.8920034	0.0009095	0.8931818	0.1139950	0.6331403	0.5392451	1.0350143	0.8101193	0.8910689	0.9647554	0.6677175	0.9635610	0.4236887	1.0231310	1.0224714	0.3980718	0.7624363	1.0374843	0.5834805	1.0259946	0.9182178	1.0115269	0.0421910	0.3893154	0.2428213	0.7861035	0.9653700	0.4931472	0.9451970	0.8542605	0.4588622	0.0494655	0.7415467	0.8826993	1.0331260	0.2120278	0.2975704	0.5014772	0.3148585	0.9367138	1.0319738	0.6027682	0.7719894	0.8852840	0.8893746	0.9804521	0.4312588	0.3494081
1.0665547	0.9243090	0.8859801	0.0167191	0.7365710	0.3112856	1.0085533	1.0824178	0.9242633	0.7369584	0.8055936	0.9706329	0.5690877	0.9144937	0.5433691	1.0058756	1.0195279	0.4780454	0.7473416	0.9926629	1.0023890	1.0287662	1.0402102	1.0150594	0.0490748	0.4309518	0.8141509	0.6792639	1.0098409	0.3704922	0.5193927	0.8065768	0.8269997	0.0346668	0.5887506	0.6374961	0.9600317	0.4439683	0.1449563	0.3115470	0.4340823	0.8598559	1.0371843	0.8826484	0.7468076	0.5101082	0.9854590	0.9626481	0.3623592	0.7484391
0.9922673	0.9858793	0.8728309	0.0016305	0.9288414	0.6115723	0.9557870	0.7841147	0.7703552	0.9140452	0.9160275	1.0698769	0.6532132	0.9335100	0.4128687	1.0441191	0.9222859	0.3878809	0.8260301	1.0381811	0.9740811	1.0195164	0.6448766	0.9119785	0.1092866	0.7586382	0.6540403	0.3744249	0.9131759	0.1664712	0.9175409	0.8456463	0.3589706	0.0879187	0.8574772	0.5469678	0.9818985	0.7363888	0.2596013	0.4862843	0.1581508	0.6672570	0.9632031	0.4086024	0.2500467	0.8953875	1.0005570	0.7990570	0.4560733	0.6721291
0.9915403	0.7240989	0.7062123	0.0633136	0.5279725	0.1968184	1.0241257	0.9472282	0.7692955	1.0008651	0.7966079	0.8156437	0.2193194	0.7286568	1.0409508	0.8586236	0.8179762	0.6018681	0.6101170	1.1095781	0.8128583	0.6674299	1.0345965	0.9546247	0.0477072	0.2240657	0.5045741	0.6558280	0.4275707	0.8254585	0.8933382	0.5433601	0.9560536	0.0978692	0.4657819	0.9079934	1.0326113	0.3243226	0.3912594	0.6273740	0.7537265	0.8864203	1.0402840	0.5694936	0.6923081	0.4843366	0.9463195	0.9903592	0.0249634	0.3914181
1.0509366	0.9216931	0.6857679	0.0638611	0.7356156	0.1663892	1.0477537	1.0261922	0.7112377	0.8817146	0.8923906	0.9380240	0.0590544	0.5977537	1.0031389	0.9234742	0.6589069	0.4905154	0.6459675	1.0741306	0.7893113	0.4335485	0.9563750	1.0832147	0.0397778	0.2613338	0.7659953	0.5259556	1.0814040	0.2314500	0.8530137	0.7834087	0.9427714	0.3230880	0.5553443	0.5140593	1.0598898	0.3017235	0.3170359	0.4300946	0.4620295	1.0184238	0.9872904	0.4491450	0.6366439	0.6023597	0.9365737	0.6888763	0.1889307	0.6176764
0.9380631	0.8362798	1.0587556	0.0748210	0.8625566	0.3350336	0.9395840	0.7702479	1.0497621	0.6355445	0.8135917	1.0323060	0.5192035	0.7185399	0.7837368	0.9213226	0.9661886	0.3875308	0.7974521	1.0876807	0.8827937	1.1090665	1.0173302	1.1534702	0.0613629	0.3080045	0.3341484	0.8152964	1.0273196	0.1915013	1.0324586	0.6655936	0.8431105	0.0515039	0.6303594	0.5472242	0.9918900	0.1983722	0.3066275	0.8033000	0.5342340	0.9087745	0.9121744	0.6651202	0.8455181	0.7713066	0.9221994	1.0556048	0.3306644	0.7434648
