YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.3969014	0.9321286	0.9576690	0.0613580	0.8987904	0.3536576	0.9786159	1.1134738	1.0547819	0.9655054	1.0909215	0.9521298	0.4093714	0.9859251	0.8555984	1.0405016	0.9865201	0.5336706	0.6512193	0.9802189	0.9143315	0.9746774	1.0201030	1.1878542	0.0658106	0.4015668	0.5648079	0.6412227	0.9998290	0.3018244	0.8498460	0.7475389	0.8546244	0.1008947	0.6424573	0.6462244	1.0121385	0.4071757	0.3153706	0.6061180	0.4152058	0.9500522	1.0711938	0.7168369	0.8613227	0.8151020	0.9830819	0.9324517	0.2987462	0.3269665
0.9671825	0.4954739	0.8505686	0.0874334	0.7425139	0.3778200	1.0921915	1.0675167	0.9867372	1.0692973	0.9537241	1.0362388	0.3039120	0.9874587	0.9354042	1.0461764	0.9779253	0.4835036	0.7367675	1.0312182	1.1244316	1.1238647	0.9638128	1.0211852	0.0505776	0.4829795	0.5589347	0.7095420	1.0619222	0.3162904	0.8708452	0.1995695	1.0049848	0.1380421	0.6123348	0.6203697	1.1540037	0.3698723	0.3665219	0.6435112	0.3678412	0.9162043	1.0353080	0.7744588	0.8994492	0.7493285	1.0365797	0.9032359	0.2395024	0.3627786
1.1521472	1.1023367	0.5532013	0.0554658	0.8191594	0.3393663	1.0533059	1.1419167	0.9997594	1.0100032	0.9949740	1.0379116	0.2951901	0.9895698	0.8967455	1.0063918	0.8512964	0.5774710	0.7124994	1.0086933	0.8613149	1.0012375	1.0313120	0.9346235	0.0391811	0.4976072	0.5642592	0.6306859	0.8850122	0.2835083	0.8211772	0.8786599	0.9594089	0.1003912	0.6053993	0.7445669	0.9619879	0.4159901	0.2848983	0.7504951	0.4955680	1.0892061	1.0421250	0.7124616	0.8185033	0.7699562	0.9133812	0.9344368	0.2404819	0.3885175
1.0602071	0.9643653	1.0055375	0.0434799	0.8601949	0.2449571	1.0053849	1.0306352	1.1181887	1.0170581	1.0390240	1.0072494	0.3452092	1.0337989	0.9522231	1.1069405	1.0956442	0.4597141	0.6126430	1.0535885	0.9678678	1.0293166	0.9795244	0.9030146	0.0635323	0.3997729	0.5591781	0.7997438	0.9119693	0.2425218	0.9007861	0.9043126	0.9961777	0.0951781	0.6457674	0.6593000	1.1158629	0.3921555	0.3542024	0.8326418	0.4211221	1.0420958	0.9264401	0.7420100	0.8598169	0.7930714	1.0625348	0.9556737	0.2570607	0.3923737
0.9798937	1.0254898	0.9512805	0.0635804	0.3860467	0.4251592	1.0077610	0.9817585	1.1359434	1.0347015	1.0412544	0.9832854	0.3036998	0.9959804	0.9130338	1.0621523	1.0516104	0.4758897	0.7040241	0.9420645	1.1027076	0.9416332	1.0914511	1.0934843	0.0462938	0.4682831	0.5316764	0.7373342	1.1452929	0.2808031	0.8466135	0.9523078	0.9254635	0.1616043	0.6424546	0.6124523	1.0336498	0.4796284	0.3667392	0.9062814	0.2990728	0.9243106	1.0368915	0.6648540	0.9056910	0.3446821	1.0572093	0.9007947	0.2613060	0.2610790
0.9976553	0.9651488	0.9002134	0.0446894	0.8169585	0.1185230	1.1288481	1.1023575	1.0075790	0.9453568	1.0372941	0.9471640	0.3476868	0.8843298	0.9188769	1.0517612	1.0404578	0.5458726	0.6891710	0.9413740	1.0067615	1.0085897	1.0636384	1.0527774	0.0510210	0.3903728	0.5605709	0.6335830	1.0704583	0.3440242	0.8121521	0.8115114	0.9743164	0.1648307	0.7222482	0.6747464	0.9411303	0.3757941	0.4189718	0.8205151	0.3667197	0.9057345	1.0689122	0.7895883	0.7715005	0.7693104	1.0519745	0.9311663	0.2264372	0.3779381
1.0081779	0.9659642	1.0048238	0.0617502	0.8208252	0.0964103	0.5116283	0.9553814	1.0023594	1.1059218	0.9123126	0.9434567	0.3397504	1.0265453	0.8253268	1.0230223	1.0430239	0.5588261	0.6809969	1.1204042	1.0589360	1.0803077	0.9959393	1.0169373	0.0900815	0.4209940	0.5559157	0.6625669	0.9998880	0.3115637	0.7428553	0.8374810	1.0520399	0.1471086	0.5833874	0.6482546	0.9576877	0.3436373	0.3373179	0.7906746	0.3912000	1.0265174	0.9275514	0.8415778	0.7603575	0.7375809	1.0330070	0.9852643	0.2560158	0.3179687
1.0145321	0.9963284	0.9184344	0.0482106	0.9736589	0.3178161	1.0790859	0.4864105	0.9585428	1.1331468	0.9622426	1.0408969	0.3202750	0.9294914	0.9747235	0.9881049	1.0300538	0.6243644	0.6605498	0.9803364	1.0800734	1.0123036	0.9424422	1.0626844	0.0389822	0.4973526	0.5450852	0.6319231	0.9903373	0.3800624	0.7986380	0.8912908	0.9778891	0.1247054	0.6415119	0.7722892	1.0758413	0.3663739	0.3396544	0.7440393	0.4594497	0.9869539	0.9347527	0.4053126	0.8168410	0.7294368	1.0246506	0.9930119	0.2369700	0.3678546
1.0725458	1.0076983	0.9381049	0.0843543	0.8930792	0.2611418	1.0195936	0.9990351	0.4854085	1.0643423	0.9720104	1.0627409	0.3447344	0.8943449	0.9315300	1.0258279	0.9846309	0.5162749	0.6654461	0.9490163	1.0572138	1.1322954	0.9586040	0.9273450	0.0407423	0.4271658	0.6219313	0.6129100	1.0527950	0.3022220	0.8480288	0.9078689	1.0022004	0.1159005	0.6033246	0.6509097	1.0130943	0.3819017	0.3802154	0.7946633	0.4337747	0.9694855	0.9552071	0.6933206	0.7168386	0.8669993	1.0198001	0.9927582	0.2949989	0.3875125
0.9834421	1.0020125	1.0449079	0.1400742	0.8132396	0.2438227	0.9850675	1.0959917	1.0571997	0.4843590	0.9976060	1.0194232	0.2727636	0.9869604	0.9119522	1.0537602	0.9382077	0.5791246	0.7376174	0.9933694	1.0656524	1.0553183	1.0090252	0.8776168	0.0541267	0.4101828	0.4942078	0.6647163	1.0863313	0.3096245	0.9394171	0.8150445	0.9372787	0.1277242	0.6545041	0.7965504	1.0603969	0.3503959	0.3012948	0.7953174	0.3938347	0.9089084	1.0030201	0.7418605	0.7229870	0.7577853	0.9502885	0.9632920	0.2662271	0.8821653
