YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
1.0680276	0.9075064	0.8663762	0.0022466	0.8666627	0.3369571	0.8876223	0.9486835	1.1272127	0.9568588	1.0016548	0.8040771	0.3343274	0.6757953	0.6981056	0.8775772	0.5993079	0.5742461	0.8013749	0.4708153	1.1929456	0.8316676	1.0628209	0.9157858	0.0444770	0.3585973	0.3430677	0.5175407	1.0137686	0.2506411	0.9572074	0.8092791	0.8562631	0.0688120	0.5155479	0.7576352	0.9610084	0.1421945	0.5503275	1.0174602	0.4400354	1.0046216	0.9772598	0.7614984	0.7464808	0.7075145	0.9440129	0.9531965	0.2266050	0.4057177
1.0744641	0.7694484	0.9461384	0.0037380	0.2751259	0.3124805	1.0814331	0.9596262	1.0442904	1.0728353	0.8855524	1.0888717	0.3431487	1.0532832	0.9674096	0.8192333	0.9709629	0.5882108	0.6459933	1.0597865	0.7427261	1.1254447	0.6057066	1.0122636	0.1430772	0.7550981	0.3351706	0.6252965	0.9189961	0.4054687	0.8726833	0.7616834	0.8586999	0.1014799	0.7832573	0.6312920	0.9783820	0.4277041	0.3935445	0.6877522	0.4021456	0.7149797	1.0802033	0.7732930	0.7243781	0.3618298	1.0344243	1.0024028	0.2439327	0.2768180
0.9326500	1.0741142	0.6996368	0.0108293	0.8376098	0.1114623	0.8753551	0.9171464	0.4920737	0.8019775	0.9090446	1.0542370	0.3288672	0.6864765	0.9848063	0.7813906	0.7468367	0.5181242	0.6619782	0.9564258	0.6618933	0.7900537	1.0019876	1.0407426	0.0386980	0.3282655	0.2950786	0.6600178	0.9995168	0.5717668	0.9121734	1.0387300	0.8385897	0.1417424	0.6792251	0.6304734	0.9752088	0.2936757	0.3455328	0.7171948	0.6301520	1.0432837	1.0160568	0.7401153	0.8909488	0.6263316	0.9702033	0.9024704	0.0485896	0.4595810
1.0285953	0.7884940	0.5180724	0.0643649	0.6384118	0.2907783	0.9001151	0.9155324	1.1343714	0.9648700	0.9584350	1.0262717	0.0031211	0.9463609	1.1056288	0.9946296	1.0779633	0.0908645	0.8192508	0.9618779	1.0827668	0.9510094	0.9805555	0.9759028	0.0244576	0.4213118	0.7289747	0.9946266	0.9202399	0.0136403	0.9947851	0.4142382	0.5698480	0.6915381	0.5608012	0.1055289	0.9862171	0.3838805	0.3121989	0.8636825	0.2411955	1.0833850	1.0276690	0.6400887	0.8524662	0.6334716	0.8860145	0.3173728	0.1986726	0.4060521
0.9371872	1.0517168	0.8313753	0.0006391	0.9391996	0.1176442	0.6617667	0.5523547	1.0489289	0.8287057	0.9084222	1.0170099	0.6744988	0.9964593	0.4360560	1.1185579	1.0468295	0.4274826	0.7782384	1.0186429	0.5910185	1.0037609	0.9614030	1.0154039	0.0471847	0.3709408	0.2415803	0.8433714	0.8563578	0.4820997	0.9434560	0.7976898	0.4895583	0.0392952	0.6834874	0.9242266	1.0396908	0.2961767	0.3667077	0.5419236	0.3828073	0.9632652	1.0541659	0.6851584	0.7448857	0.7855716	0.8318864	1.0074399	0.4614917	0.3885707
0.9905968	1.0122299	0.8629917	0.0125727	0.7079878	0.3410155	0.9311174	1.0806880	1.0846261	0.7290764	0.7912988	0.9468804	0.5373364	0.8597719	0.5357507	1.0965709	0.9864161	0.5576053	0.7006325	1.0876461	0.9899900	1.0263099	1.0255309	0.9573233	0.0412085	0.4529311	0.7757200	0.7040801	1.0772454	0.3809552	0.5745822	0.8414119	0.8133171	0.0415011	0.5983318	0.6127080	0.9992605	0.4563241	0.1168687	0.3616693	0.4773563	0.9318565	0.9971556	0.9183662	0.8254074	0.5831649	0.9819050	0.9545219	0.3354118	0.6881851
1.0504283	1.0949620	0.8574905	0.0048864	0.9986571	0.5363089	0.9667689	0.8481479	0.7152869	0.9062913	0.8492689	0.9190147	0.6886495	0.9421017	0.3590630	1.0703850	0.8868684	0.3878059	0.7795234	1.0774471	0.9097342	1.0495565	0.5968776	0.8347677	0.1198678	0.6792678	0.7838874	0.3785619	0.8561351	0.1889931	0.9070053	0.7682705	0.3445842	0.0801094	0.9155521	0.5489454	0.9865265	0.7586403	0.2630626	0.4587207	0.1971411	0.6820443	0.9718713	0.4021772	0.2359720	0.7650045	1.0136884	0.8277084	0.4247622	0.5921228
1.0793288	0.7943628	0.6637205	0.0941787	0.5104655	0.1706382	1.0485390	0.9781946	0.7512397	1.1289031	0.7875884	0.8433404	0.1939983	0.7332400	1.0268981	0.8426222	0.8395231	0.6213598	0.6137703	0.9919943	0.8544498	0.6312145	1.0456641	0.9811001	0.0489971	0.2389010	0.5141398	0.6875238	0.4105863	0.7912438	0.8954663	0.5322196	0.9184472	0.1601462	0.4449346	0.8186387	1.0413717	0.3042900	0.4382446	0.5901686	0.7890771	0.9151765	0.9846860	0.5982879	0.6403320	0.4828840	0.9821301	1.0203275	0.0358042	0.3620401
1.0463280	0.9524783	0.7114669	0.0697343	0.7264555	0.1876672	1.1041588	0.9902859	0.6743081	0.7947455	0.9699485	0.8901358	0.0703515	0.5640770	1.0348061	0.8885918	0.6378982	0.4122511	0.5910477	1.1082904	0.7496220	0.4223649	0.9722728	1.0383727	0.0441868	0.2899471	0.7903308	0.5475064	1.0417090	0.2318014	0.8081128	0.7779909	0.9609911	0.3735809	0.5786119	0.5808533	0.9733778	0.3208000	0.3106783	0.3749223	0.4797009	1.0051193	0.9836695	0.4508120	0.6825140	0.6274184	0.9454544	0.7269750	0.1663644	0.4837513
0.8864478	0.7988436	1.0167217	0.0653451	0.8509985	0.3032739	1.0075084	0.8499398	1.0513310	0.7052782	0.7724864	1.0297132	0.5296758	0.6631879	0.8061821	0.8929483	1.0634680	0.3774374	0.7960939	1.0440345	0.9933146	1.1057383	0.8952354	1.0832424	0.0536811	0.3373401	0.3863917	0.8115380	1.0324947	0.1719225	1.0694588	0.7340615	0.8701164	0.0688310	0.6408610	0.5981680	1.0164348	0.1896387	0.2874065	0.8235982	0.4671501	0.9077036	0.8796467	0.6573374	0.7458932	0.7907508	0.9603614	0.9489491	0.3725689	0.7103638
