YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.0000000	0.9999845	0.9700266	0.0593261	0.8663525	0.3061033	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.3295559	0.9546144	0.8964164	1.0000000	1.0000000	0.5048415	0.7049615	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0479141	0.4343711	0.5242690	0.6824805	0.9999999	0.3017485	0.8649934	0.8229770	0.9455330	0.1183650	0.6028313	0.6743822	1.0000000	0.3786364	0.3296348	0.7692593	0.4070381	0.9596144	0.9995951	0.7218866	0.7954164	0.7662924	0.9996157	0.9448238	0.2432029	0.3464088
0.0513267	0.0000000	0.8490289	0.0593261	0.8663525	0.3061033	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.3295559	0.9546144	0.8964164	1.0000000	1.0000000	0.5048415	0.7049615	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0479141	0.4343711	0.5242690	0.6824805	0.9999999	0.3017485	0.8555388	0.0073588	0.9455330	0.1183650	0.6028313	0.6743822	1.0000000	0.3786364	0.3296348	0.3433492	0.4070381	0.9596144	0.9995951	0.7218866	0.7954164	0.7662924	0.9996157	0.0648545	0.2432029	0.3464088
0.9999488	0.9999845	0.0000000	0.0593261	0.8663525	0.3061033	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.3295559	0.9546144	0.8964164	1.0000000	1.0000000	0.5048415	0.7049615	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0479141	0.4343711	0.5242690	0.6824805	0.9999999	0.3017485	0.6536091	0.8229770	0.9455330	0.1183650	0.6028313	0.6743822	1.0000000	0.3786364	0.3296348	0.7692593	0.4070381	0.9596144	0.9995951	0.7218866	0.7954164	0.7662924	0.9996157	0.9448238	0.2432029	0.3464088
0.9999488	1.0000000	0.9700277	0.0000020	0.8663525	0.3067533	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.3295559	0.9546144	0.8964164	1.0000000	1.0000000	0.5048415	0.7049615	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0479141	0.4343711	0.5242690	0.6824805	1.0000000	0.3017485	0.8649935	0.8229887	0.9455330	0.1183650	0.6028313	0.6743822	1.0000000	0.3786364	0.3296348	0.7692621	0.4070381	0.9596144	0.9995951	0.7218866	0.7954164	0.7662924	0.9996157	0.9448244	0.2432029	0.3464088
0.9999488	0.9999845	0.6920537	0.0593261	0.0000000	0.3061033	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.3295559	0.9546144	0.8964164	1.0000000	1.0000000	0.5048415	0.7049615	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0479141	0.4343711	0.5242690	0.6824805	0.9999999	0.3017485	0.8398444	0.8229770	0.9455330	0.1183650	0.6028313	0.6743822	1.0000000	0.3786364	0.3296348	0.7692593	0.4070381	0.9596144	0.9995951	0.7218866	0.7954164	0.0584325	0.9996157	0.9448238	0.2432029	0.3464088
0.9999488	0.9999845	0.9700266	0.0593261	0.8663525	0.0000001	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.3295559	0.9546144	0.8964164	1.0000000	1.0000000	0.5048415	0.7049615	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0479141	0.4343711	0.5242690	0.6824805	0.9999999	0.3017485	0.8649934	0.8229770	0.9455330	0.1183650	0.6028313	0.6743822	1.0000000	0.3786364	0.3296348	0.7692593	0.4070381	0.9596144	0.9995951	0.7218866	0.7954164	0.7662924	0.9996157	0.9448238	0.2432029	0.3464088
0.9999488	0.9999845	0.9700266	0.0593261	0.8663525	0.0752778	0.0000026	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.3295559	0.9546144	0.8964164	1.0000000	1.0000000	0.5048415	0.7049615	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0479141	0.4343711	0.5242690	0.6824805	0.9997104	0.3017485	0.8649934	0.8229770	0.9455330	0.1183650	0.6028313	0.6743822	1.0000000	0.3786364	0.3296348	0.7692593	0.4070381	0.9596144	0.9995951	0.9195754	0.7954164	0.7662924	0.9996157	0.9448238	0.2432029	0.3464088
0.9999488	0.9999845	0.9700266	0.0593261	0.8663525	0.4134802	1.0000000	0.0000005	1.0000000	1.0000000	1.0000000	1.0000000	0.3295559	0.9546144	0.8964164	1.0000000	1.0000000	0.5048415	0.7049615	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0479141	0.4343711	0.5242690	0.6824805	1.0000000	0.3017485	0.8649934	0.8229770	0.9455330	0.1183650	0.6028313	0.6743822	1.0000000	0.3786364	0.3296348	0.7692593	0.4070381	0.9596144	0.9995951	0.1613400	0.7954164	0.7662924	0.9996157	0.9448238	0.2432029	0.3464088
0.9999488	0.9999845	0.9700266	0.0593261	0.8663525	0.2848702	1.0000000	1.0000000	0.0000003	1.0000000	1.0000000	1.0000000	0.3295559	0.8943701	0.8964164	1.0000000	1.0000000	0.5048415	0.7049615	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0479141	0.4343711	0.5242690	0.6824805	0.9999999	0.3017485	0.8649934	0.8229770	0.9455330	0.1183650	0.6028313	0.6743822	1.0000000	0.3786364	0.3296348	0.7692593	0.4070381	0.9596144	0.9995951	0.7218866	0.7954164	0.7662924	0.9996157	0.9448238	0.2432029	0.3464088
0.9836967	0.2038870	0.8493566	0.9999999	0.8663525	0.2436624	1.0000000	1.0000000	1.0000000	0.0000000	1.0000000	1.0000000	0.3295559	0.7884757	0.8964164	1.0000000	1.0000000	0.5048415	0.7049615	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.4424952	0.4343711	0.5242690	0.6824805	0.9997624	0.3017485	0.8555680	0.0084846	0.9455330	0.1183650	0.6028313	0.6743822	1.0000000	0.3786364	0.3296348	0.3760598	0.4070381	0.9596144	0.9995951	0.7218866	0.7954164	0.7662924	0.9996157	0.8062050	0.2432029	1.0000000
