YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.9999345	0.9316093	0.9775824	0.0017268	0.8424421	0.3870696	0.8841233	1.0000000	1.0000000	1.0000000	0.8872867	0.8078392	0.3206924	0.6667160	0.7494785	0.9111012	0.6256060	0.5767207	0.7774076	0.5029688	1.0000000	0.8521676	1.0000000	0.7732640	0.0294507	0.4035866	0.3232184	0.6010621	1.0000000	0.3296174	0.9366950	0.7553017	0.8183069	0.0507174	0.5216640	0.7575272	0.7711741	0.1526251	0.5417282	0.9429824	0.4138716	0.9483360	0.9893139	0.8057607	0.6338077	0.6957027	0.9998585	0.8762973	0.2416937	0.4609856
0.9887869	0.8594357	0.9318121	0.0024386	0.3138769	0.2806087	0.9586676	1.0000000	1.0000000	0.9393249	0.8866314	0.9791626	0.3513025	0.9595672	0.8810386	0.7034442	0.8895472	0.5582617	0.5842645	1.0000000	0.7114493	1.0000000	0.5686895	1.0000000	0.1298852	0.7185054	0.3260547	0.5037584	0.8726267	0.4219876	0.9598562	0.8067991	0.8422753	0.1139859	0.7410327	0.7189657	0.9292432	0.4530205	0.3761436	0.7666523	0.4808790	0.7332968	0.9887323	0.7122742	0.6813238	0.3429218	0.9420023	0.9715834	0.2351229	0.4012685
0.9999539	1.0000000	0.7570078	0.0068383	0.8494685	0.1239498	0.8785631	0.8711030	0.4813269	0.7334777	1.0000000	1.0000000	0.3199441	0.7710482	0.9029152	0.8412421	0.6718613	0.4269726	0.6761199	1.0000000	0.7151232	0.9052319	1.0000000	1.0000000	0.0485273	0.3370515	0.3446061	0.6663192	1.0000000	0.5163634	0.8930878	0.8156299	0.8747747	0.1204795	0.6695811	0.5789863	1.0000000	0.2569337	0.3397088	0.7476541	0.5855251	0.9703445	0.9891816	0.6706607	0.8688147	0.6993687	0.9992915	0.9473184	0.0552682	0.5705032
0.9998780	0.7440850	0.5099038	0.0604948	0.6054604	0.2757835	1.0000000	0.9226025	1.0000000	0.8933524	1.0000000	1.0000000	0.0025387	0.9856690	0.9999992	1.0000000	1.0000000	0.1026505	0.8037835	0.9281540	1.0000000	1.0000000	1.0000000	0.9827202	0.0282657	0.4343711	0.7548984	0.9554927	0.9745693	0.0081586	0.9730835	0.4921450	0.5015064	0.6140048	0.6005640	0.0713187	1.0000000	0.3662252	0.3216702	0.8765618	0.2823141	0.9638257	0.9997289	0.6145678	0.8040717	0.5692439	0.8369045	0.2947168	0.1831655	0.3518215
0.9522933	1.0000000	0.8339445	0.0013472	0.8697209	0.1211348	0.7467036	0.5895947	1.0000000	0.7740586	0.8511685	1.0000000	0.6499947	0.9811253	0.4443050	1.0000000	1.0000000	0.4149199	0.6771408	1.0000000	0.5724630	1.0000000	0.9210760	1.0000000	0.0407553	0.3987324	0.2537138	0.7398361	1.0000000	0.4962588	0.8897073	0.8428526	0.5289146	0.0174633	0.6079528	0.8951166	1.0000000	0.2505554	0.3393454	0.5452734	0.3620411	0.9175952	0.9996708	0.6365617	0.8332950	0.8507830	0.9414108	0.9581885	0.4142062	0.3932348
0.9999567	1.0000000	0.8765489	0.0052770	0.7113211	0.4055798	1.0000000	1.0000000	1.0000000	0.7792852	0.7851542	0.9584743	0.5818354	0.9259254	0.4775491	1.0000000	1.0000000	0.5195017	0.7300538	1.0000000	1.0000000	1.0000000	1.0000000	0.9476507	0.0485047	0.3905340	0.8250315	0.6735989	1.0000000	0.2779818	0.5576999	0.8156299	0.8049310	0.0382149	0.5384559	0.6263961	0.8722457	0.4353619	0.1335607	0.2802384	0.4070381	0.8672638	0.9895496	0.9237241	0.8087379	0.6141172	0.9419160	0.9623690	0.3395251	0.6247393
0.9999619	1.0000000	0.8550587	0.0027056	0.9856449	0.5868469	1.0000000	0.7969656	0.7364208	0.8880806	0.9369940	0.9551821	0.6429943	0.9680673	0.3575533	1.0000000	0.9254987	0.4011796	0.7740780	1.0000000	1.0000000	1.0000000	0.6424436	0.8975899	0.1067295	0.6428710	0.7343787	0.3479203	0.9813691	0.1732192	0.9811711	0.8156299	0.3815403	0.0834546	0.8585032	0.5129053	1.0000000	0.7656331	0.2469960	0.4326210	0.1952516	0.7634554	0.9895496	0.3211156	0.2520865	0.8529782	0.9991739	0.8888925	0.4181039	0.4908030
0.9521874	0.7416707	0.7138483	0.0593261	0.5065795	0.1925104	0.9230015	1.0000000	0.7764044	1.0000000	0.7812055	0.8012642	0.1883827	0.7600740	0.9713819	0.7679758	0.8455189	0.5949405	0.6084862	1.0000000	0.8281649	0.6195126	1.0000000	0.8843684	0.0438245	0.2572275	0.5016919	0.6300435	0.4121372	0.7649129	0.8941453	0.4879809	0.9425788	0.1297442	0.5209031	0.7993283	1.0000000	0.3052464	0.3658254	0.5780286	0.6756216	0.9264339	0.9989142	0.5682307	0.6845479	0.4811225	0.9420603	0.9539930	0.0198858	0.4655851
0.9999292	0.8637520	0.6771588	0.0606654	0.7233563	0.1692642	1.0000000	1.0000000	0.6159122	0.8820227	1.0000000	1.0000000	0.0641169	0.5882715	0.9979068	0.8492809	0.6042715	0.4518297	0.6354733	1.0000000	0.8015001	0.4401686	0.8905018	1.0000000	0.0598378	0.3076031	0.6979942	0.5463743	0.9999996	0.2171232	0.8618341	0.7339403	0.9910377	0.3067205	0.5475396	0.5666357	1.0000000	0.3229707	0.3549583	0.3869635	0.5089968	0.9511421	0.9991215	0.4397634	0.6434161	0.6227593	0.9416573	0.6666182	0.1846705	0.4720301
0.9522573	0.8697878	0.9939226	0.0664809	0.8141151	0.3988021	1.0000000	0.7524378	1.0000000	0.6913054	0.7929703	1.0000000	0.5171576	0.6811141	0.7438246	0.9064521	1.0000000	0.3517366	0.7681727	1.0000000	0.8381405	1.0000000	0.9964092	1.0000000	0.0493920	0.2830090	0.3066366	0.7828041	0.9808010	0.1330929	0.9846437	0.6846898	0.8473824	0.0347931	0.5303408	0.5359550	1.0000000	0.2250164	0.3094477	0.7996165	0.5077177	0.9439853	0.9894033	0.5243963	0.7916373	0.7733660	0.9406090	0.9486273	0.3325508	0.7159370
