YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.9999346	0.9316133	0.9775848	0.0017268	0.8424418	0.3870977	0.8841253	1.0000000	1.0000000	1.0000000	0.8872867	0.8078402	0.3206928	0.6667205	0.7494780	0.9111012	0.6256212	0.5767206	0.7774076	0.5029690	1.0000000	0.8521769	1.0000000	0.7732706	0.0294552	0.4035866	0.3232218	0.6010661	1.0000000	0.3296017	0.9366833	0.7553255	0.8183097	0.0507172	0.5217261	0.7574222	0.7711742	0.1526790	0.5416777	0.9429841	0.4138315	0.9483360	0.9893144	0.8057393	0.6338078	0.6957058	0.9998585	0.8762979	0.2416940	0.4609167
0.9887869	0.8594369	0.9318189	0.0024386	0.3138771	0.2806220	0.9586677	1.0000000	1.0000000	0.9393249	0.8866314	0.9791626	0.3513044	0.9595689	0.8810175	0.7034442	0.8895478	0.5582614	0.5842645	1.0000000	0.7114494	1.0000000	0.5686930	1.0000000	0.1298215	0.7185009	0.3260594	0.5037605	0.8726267	0.4219787	0.9598666	0.8068055	0.8422539	0.1139832	0.7410360	0.7188891	0.9292432	0.4530135	0.3761375	0.7665970	0.4808577	0.7333005	0.9887324	0.7122731	0.6813238	0.3429402	0.9420023	0.9715838	0.2351327	0.4012650
0.9999539	1.0000000	0.7570122	0.0068383	0.8494702	0.1239948	0.8785651	0.8711040	0.4813315	0.7334777	1.0000000	1.0000000	0.3199476	0.7710590	0.9028896	0.8412422	0.6718747	0.4269734	0.6761201	1.0000000	0.7151237	0.9052379	1.0000000	1.0000000	0.0485263	0.3370515	0.3446322	0.6663189	1.0000000	0.5163611	0.8931207	0.8156299	0.8747528	0.1204748	0.6695813	0.5789799	1.0000000	0.2569081	0.3396961	0.7475676	0.5854233	0.9703445	0.9891820	0.6706992	0.8688146	0.6993967	0.9992915	0.9473197	0.0552798	0.5704279
0.9998780	0.7440859	0.5099156	0.0604948	0.6054604	0.2757836	1.0000000	0.9226025	1.0000000	0.8933524	1.0000000	1.0000000	0.0025387	0.9856690	0.9999992	1.0000000	1.0000000	0.1026505	0.8037835	0.9281540	1.0000000	1.0000000	1.0000000	0.9827203	0.0282661	0.4343711	0.7548982	0.9554925	0.9745693	0.0081590	0.9730954	0.4921552	0.5015070	0.6139916	0.6005638	0.0713558	1.0000000	0.3662253	0.3216702	0.8765657	0.2823152	0.9638257	0.9997289	0.6145706	0.8040717	0.5692452	0.8369065	0.2947182	0.1831655	0.3518201
0.9522935	1.0000000	0.8339459	0.0013472	0.8697238	0.1211470	0.7467079	0.5895978	1.0000000	0.7740586	0.8511685	1.0000000	0.6499930	0.9811261	0.4443378	1.0000000	1.0000000	0.4149202	0.6771408	1.0000000	0.5724637	1.0000000	0.9210796	1.0000000	0.0407451	0.3987309	0.2537398	0.7398336	1.0000000	0.4962628	0.8897115	0.8428526	0.5289833	0.0174638	0.6079661	0.8951101	1.0000000	0.2504740	0.3393443	0.5452897	0.3620458	0.9175962	0.9996708	0.6368279	0.8332950	0.8508100	0.9414109	0.9581884	0.4141726	0.3931910
0.9999567	1.0000000	0.8765512	0.0052770	0.7113222	0.4054755	1.0000000	1.0000000	1.0000000	0.7792854	0.7851543	0.9584750	0.5818308	0.9259278	0.4776280	1.0000000	1.0000000	0.5195012	0.7300538	1.0000000	1.0000000	1.0000000	1.0000000	0.9476544	0.0485028	0.3905339	0.8250011	0.6736024	1.0000000	0.2779729	0.5578387	0.8156299	0.8050987	0.0382181	0.5384870	0.6263552	0.8722459	0.4353755	0.1335763	0.2803140	0.4070381	0.8672647	0.9895504	0.9236783	0.8087383	0.6141941	0.9419161	0.9623686	0.3394532	0.6245344
0.9999619	1.0000000	0.8550586	0.0027056	0.9856449	0.5868326	1.0000000	0.7969662	0.7364216	0.8880806	0.9369940	0.9551821	0.6429935	0.9680711	0.3575650	1.0000000	0.9254998	0.4011796	0.7740780	1.0000000	1.0000000	1.0000000	0.6424506	0.8975911	0.1066435	0.6428630	0.7343709	0.3479204	0.9813691	0.1732198	0.9811610	0.8156299	0.3815653	0.0834551	0.8584975	0.5129273	1.0000000	0.7656260	0.2469974	0.4326296	0.1952611	0.7634603	0.9895497	0.3211621	0.2520866	0.8529765	0.9991739	0.8888925	0.4180835	0.4907842
0.9521877	0.7416855	0.7139210	0.0593261	0.5065800	0.1925338	0.9230028	1.0000000	0.7764064	1.0000000	0.7812055	0.8012652	0.1883890	0.7600803	0.9713516	0.7679759	0.8455251	0.5949396	0.6084865	1.0000000	0.8281652	0.6195366	1.0000000	0.8843717	0.0438255	0.2572275	0.5017072	0.6300546	0.4121372	0.7648962	0.8942777	0.4881359	0.9425499	0.1297192	0.5209864	0.7991508	1.0000000	0.3053093	0.3657989	0.5780641	0.6754702	0.9264342	0.9989151	0.5682340	0.6845480	0.4812001	0.9420603	0.9540000	0.0198999	0.4655132
0.9999292	0.8637598	0.6772092	0.0606654	0.7233573	0.1692869	1.0000000	1.0000000	0.6159156	0.8820227	1.0000000	1.0000000	0.0641192	0.5882840	0.9979015	0.8492810	0.6042876	0.4518310	0.6354735	1.0000000	0.8015004	0.4402040	0.8905069	1.0000000	0.0598108	0.3076011	0.6980055	0.5463723	0.9999996	0.2171259	0.8619683	0.7339916	0.9910300	0.3066523	0.5477090	0.5666527	1.0000000	0.3229569	0.3549432	0.3869889	0.5089113	0.9511429	0.9991228	0.4397895	0.6434159	0.6227927	0.9416574	0.6666947	0.1846731	0.4719957
0.9522579	0.8698069	0.9939249	0.0664805	0.8141183	0.3986970	1.0000000	0.7524433	1.0000000	0.6913056	0.7929704	1.0000000	0.5171557	0.6811217	0.7438921	0.9064523	1.0000000	0.3517372	0.7681730	1.0000000	0.8381414	1.0000000	0.9964096	1.0000000	0.0493864	0.2830088	0.3066623	0.7828031	0.9808010	0.1331022	0.9845941	0.6848268	0.8474920	0.0347951	0.5303979	0.5361218	1.0000000	0.2250188	0.3094440	0.7996973	0.5075886	0.9439858	0.9894041	0.5247504	0.7916372	0.7734252	0.9406092	0.9486298	0.3325175	0.7156891
