YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.2824226	0.5915804	0.6335798	0.0386189	0.6563662	0.2353862	0.6102818	0.7482667	0.7738939	0.6938218	0.7862798	0.5450210	0.2767295	0.6447399	0.5438948	0.7050067	0.7040481	0.4610219	0.4814961	0.7169445	0.6177264	0.7063710	0.7442718	0.8290738	0.0217746	0.2533483	0.4556305	0.5040421	0.6968328	0.2156302	0.5895247	0.4860735	0.5758105	0.0597038	0.4427801	0.3865196	0.6514166	0.2702184	0.2255768	0.4359556	0.3005960	0.6390763	0.8355759	0.5804848	0.6017951	0.5545554	0.6627372	0.7378817	0.1892114	0.2351583
0.6513316	0.3219899	0.6291939	0.1012643	0.5952182	0.2675119	0.7842339	0.6953025	0.7986269	0.7370126	0.7139965	0.6557484	0.1652532	0.7295155	0.6788721	0.7419222	0.6701078	0.3246888	0.7437023	0.7627101	0.8601048	0.7123380	0.7537377	0.6526696	0.0373988	0.2963819	0.4668239	0.4821128	0.7691180	0.2369769	0.5884171	0.1617827	0.7054850	0.1144248	0.4293509	0.3621202	0.7946409	0.2050878	0.2891897	0.4886169	0.3096383	0.5881670	0.7535187	0.5751749	0.6815491	0.4941066	0.7439599	0.5908310	0.2040479	0.2796165
0.8235115	0.6762789	0.4746555	0.0360991	0.6073007	0.2243964	0.8465974	0.8801997	0.6397194	0.6145791	0.6794700	0.7635359	0.2287406	0.6991653	0.6090802	0.6969874	0.6339482	0.3993575	0.5605221	0.5806943	0.5496386	0.6829241	0.8954521	0.6773982	0.0345904	0.3403726	0.3838499	0.3857798	0.5677280	0.1596699	0.5738255	0.5185734	0.5966354	0.0864723	0.3591087	0.5631336	0.5962473	0.3249510	0.2141065	0.6071655	0.3623150	0.7416715	0.7849778	0.4270772	0.5924453	0.5613429	0.6130248	0.6711380	0.1261237	0.2660118
0.7883633	0.6743528	0.8325317	0.0221046	0.6181892	0.1946282	0.7507240	0.8030247	0.7209383	0.7923400	0.7799946	0.7299652	0.2388985	0.7230979	0.5719973	0.7841046	0.7264584	0.3014825	0.4122194	0.7095048	0.7770906	0.7663283	0.6288596	0.6643072	0.0433646	0.2578010	0.3710499	0.6467320	0.6394751	0.1846046	0.6920204	0.6990768	0.6339354	0.0634751	0.5410598	0.4612317	0.7260065	0.2924329	0.2301379	0.5477907	0.2770557	0.7666729	0.6914037	0.6253205	0.5713569	0.5701160	0.8000883	0.6112872	0.1193794	0.2694725
0.7185134	0.7326101	0.6224861	0.0313931	0.1976989	0.3189474	0.6523631	0.6429891	0.8644890	0.6343594	0.6428043	0.5242351	0.2027212	0.6807075	0.6346025	0.7155631	0.8230818	0.3022559	0.4462679	0.6995393	0.8940009	0.6962710	0.7212897	0.7654261	0.0310430	0.3414364	0.3770000	0.5859937	0.6967636	0.1847404	0.5577496	0.6765473	0.6093328	0.0908663	0.4949746	0.4845588	0.7631658	0.3320270	0.2413244	0.5225819	0.1636758	0.6608319	0.6909604	0.6011032	0.6123995	0.1828053	0.7003778	0.5968731	0.1959941	0.2022720
0.7175367	0.7022987	0.5762600	0.0273895	0.5227936	0.0723692	0.7987223	0.7463516	0.7742391	0.7182570	0.7735376	0.5902017	0.2055575	0.6902051	0.6153171	0.5680830	0.7142114	0.3398476	0.5386317	0.5768119	0.6991516	0.6410337	0.7298217	0.7726858	0.0458120	0.2821359	0.3776443	0.4423745	0.7420342	0.2253817	0.6341617	0.5062624	0.7235480	0.0981011	0.5227925	0.4177799	0.6055826	0.2699756	0.2171145	0.4670536	0.2350376	0.5854372	0.7909581	0.4784290	0.5335063	0.5485738	0.7250657	0.5758093	0.1408412	0.2600733
0.6099038	0.5942264	0.6129657	0.0610443	0.5242227	0.0561765	0.3355756	0.7037152	0.6601202	0.7032453	0.6845821	0.5539089	0.2402030	0.6684740	0.6370285	0.8265424	0.8165703	0.4030415	0.4974345	0.7800922	0.7670291	0.8024326	0.6510696	0.7900989	0.0436949	0.2445433	0.4190199	0.5007364	0.6764194	0.2198873	0.5706095	0.6846614	0.7395602	0.1070737	0.4003741	0.4538128	0.6642807	0.2707239	0.2988638	0.6274559	0.3458044	0.6958031	0.7187026	0.6255172	0.4830773	0.4134228	0.7262032	0.7329996	0.2366877	0.2892355
0.7342828	0.8197424	0.6854613	0.0337495	0.7228796	0.1544577	0.6374513	0.3312777	0.5291464	0.8127548	0.5907960	0.6743618	0.2272160	0.5773845	0.6357523	0.7290156	0.6924875	0.4428992	0.4395594	0.8118816	0.7921458	0.7101566	0.6668662	0.8102605	0.0103803	0.3649524	0.4117254	0.4941622	0.6357449	0.2419592	0.5957831	0.6191801	0.7010308	0.0681750	0.4036587	0.5932818	0.7499487	0.2258341	0.2271055	0.5445777	0.2990340	0.6589263	0.5479298	0.2738895	0.5090886	0.4737988	0.8216213	0.6016698	0.1891973	0.3617027
0.7455510	0.7727366	0.8243433	0.0605345	0.7341094	0.1433277	0.6820129	0.7056568	0.3792686	0.8279134	0.8080527	0.7222873	0.2732772	0.6697794	0.6663081	0.6899315	0.6489199	0.3808024	0.4631040	0.6015525	0.6903993	0.6794159	0.7269736	0.7141900	0.0573457	0.3124804	0.4138226	0.4620584	0.7861396	0.2355740	0.5913802	0.6974086	0.6599888	0.1100099	0.3817283	0.4817221	0.7487929	0.2877411	0.2791590	0.4877090	0.3288032	0.6442009	0.6574472	0.5283488	0.4886642	0.7090403	0.7455413	0.8146316	0.1553534	0.2819088
0.6047774	0.6663898	0.6599454	0.1016591	0.5421885	0.2252342	0.6170110	0.8766824	0.6855508	0.3101377	0.6418375	0.6972482	0.1753534	0.6876093	0.7046051	0.6615381	0.6481278	0.4137555	0.5689238	0.5803657	0.6141531	0.7425198	0.7436470	0.6812211	0.0456115	0.3241653	0.2758344	0.4509773	0.7818359	0.2090302	0.6497617	0.5955768	0.6152101	0.0683970	0.4523232	0.5497767	0.7009533	0.2990956	0.2646176	0.5349932	0.2660993	0.6918052	0.6669591	0.5096199	0.5249420	0.5430590	0.7227646	0.6476357	0.1790196	0.5393192
