YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.0000000	0.5819651	0.7442318	0.0452237	0.6084669	0.1559499	0.6935701	0.5541591	0.8020456	0.6782812	0.7208184	0.6799010	0.3282677	0.6734479	0.6110498	0.6768400	0.6522523	0.4496516	0.6238967	0.7351719	0.7962439	0.6992160	0.6262136	0.7423272	0.0279257	0.3155954	0.3555198	0.3588098	0.7219778	0.1955236	0.5919817	0.5156725	0.6645533	0.1142247	0.3790122	0.5837001	0.7739742	0.2631740	0.1715113	0.4789833	0.3112798	0.6147323	0.7299579	0.4715947	0.6660817	0.5851383	0.7097185	0.5623571	0.2306114	0.2254597
0.0353084	0.0000000	0.6288697	0.0468164	0.5594712	0.1854369	0.6495515	0.7355811	0.7656228	0.8180273	0.6886147	0.7761009	0.3343310	0.7759553	0.6942060	0.7769492	0.7286451	0.3173993	0.6309428	0.7987929	0.8348590	0.5956871	0.6321236	0.7626847	0.0482271	0.3611267	0.4775520	0.4870360	0.5544823	0.1429680	0.6398885	0.0021488	0.6803670	0.0821615	0.3396826	0.4144772	0.7194647	0.2260021	0.1643268	0.2489193	0.2290308	0.5734281	0.6322501	0.5233103	0.5322091	0.6303849	0.7201964	0.0955403	0.1823174	0.2939915
0.7680787	0.6859087	0.0000000	0.0216843	0.5985007	0.2485334	0.7737748	0.7098683	0.7285575	0.9207007	0.6339062	0.7984765	0.3490174	0.7341461	0.5978506	0.6935212	0.7073940	0.3821976	0.4738603	0.6978683	0.6876462	0.7396903	0.7827606	0.5948247	0.0230691	0.3547173	0.3997480	0.5367011	0.8129160	0.2612648	0.5393257	0.6796322	0.5988356	0.1064259	0.4339997	0.5031381	0.7384474	0.2501401	0.2864863	0.5759721	0.2459584	0.6100171	0.6480853	0.5484199	0.5541935	0.6100953	0.7628877	0.6192461	0.1713538	0.1799869
0.8336533	0.7216247	0.7848561	0.0000000	0.6692092	0.2718376	0.7066660	0.8312157	0.8858721	0.6315780	0.6280707	0.6194868	0.2943451	0.6976054	0.6833839	0.7124134	0.6471877	0.4454428	0.5098592	0.6630658	0.6755639	0.7704644	0.7189551	0.7801262	0.0461892	0.3364557	0.3803013	0.4709204	0.7975987	0.2670751	0.6754626	0.5078504	0.7135102	0.1150086	0.3155129	0.5088223	0.5788132	0.1759496	0.1923746	0.5306928	0.3988731	0.6395327	0.6959207	0.4893752	0.6940097	0.5188011	0.8238922	0.5563998	0.1963391	0.2085304
0.8292572	0.7468889	0.5481013	0.0168025	0.0000000	0.2371970	0.7082590	0.6594499	0.7078714	0.7135302	0.8030976	0.5865190	0.1530825	0.7168604	0.6835001	0.6268636	0.6189646	0.3792180	0.4604256	0.9357227	0.6909868	0.7296618	0.6601142	0.7849751	0.0388736	0.3142800	0.3598614	0.4342048	0.5955586	0.2674391	0.6227674	0.4891466	0.7335944	0.0811716	0.4612675	0.4912486	0.7302701	0.3193430	0.2394148	0.5492702	0.4526985	0.8403306	0.6781285	0.4620549	0.6181333	0.0227535	0.7737512	0.8190516	0.2329918	0.2801838
0.6087862	0.6095467	0.6585903	0.0228863	0.6036495	0.0000000	0.6999247	0.6282170	0.6107334	0.6444366	0.8166179	0.6102918	0.1550008	0.6394431	0.6093850	0.8032384	0.7785613	0.4481705	0.5093079	0.5614331	0.8195637	0.8297009	0.8367812	0.6869785	0.0301816	0.2721869	0.3598066	0.4190143	0.6862656	0.2740513	0.7054720	0.6946876	0.6494062	0.1188039	0.4683079	0.4707330	0.6526132	0.3258921	0.2009472	0.6983006	0.2601267	0.6575629	0.8552511	0.5134419	0.7266687	0.6226012	0.7131458	0.6953485	0.2507220	0.2577872
0.8046314	0.7032552	0.8145430	0.0648090	0.6189877	0.0614375	0.0000000	0.5904055	0.6398330	0.7386579	0.7806921	0.7374916	0.2897454	0.6118581	0.6323054	0.6641005	0.6572752	0.4698635	0.5343770	0.7194482	0.6169310	0.6748378	0.8556085	0.7233196	0.0387991	0.3136242	0.2187111	0.4775665	0.6824971	0.2227782	0.6224194	0.5626652	0.6103856	0.0770918	0.3687270	0.5110197	0.5848744	0.2446828	0.3129909	0.6324201	0.2775265	0.5395310	0.7241237	0.6942889	0.6075940	0.4322301	0.7943374	0.6279015	0.1932886	0.2149704
0.6428859	0.5887268	0.5984521	0.0474088	0.5805921	0.2923058	0.7250138	0.0000000	0.6597255	0.7261697	0.6988383	0.6962713	0.1884819	0.6018719	0.6838550	0.7988384	0.7566964	0.3104692	0.6389932	0.7812818	0.7746091	0.7068037	0.7237746	0.6927936	0.0169507	0.4129795	0.3979764	0.4838353	0.6097837	0.2374559	0.6292506	0.5358342	0.7482574	0.0954039	0.4134318	0.4847632	0.6725933	0.2682303	0.2175340	0.5363445	0.2825021	0.7593659	0.5725176	0.1031247	0.6440590	0.6339067	0.7274854	0.7247125	0.1405502	0.1704890
0.5504910	0.6802580	0.7151127	0.0371640	0.6814373	0.2385187	0.8087142	0.7816287	0.0000000	0.7831219	0.7104719	0.7234136	0.2388702	0.7402479	0.6545488	0.7756955	0.6739744	0.4043419	0.3649520	0.6942782	0.6981976	0.6829065	0.7775247	0.7703226	0.0387269	0.3034043	0.3721444	0.5377327	0.7495939	0.1938034	0.7313322	0.6128023	0.7947793	0.1275917	0.3593948	0.4420169	0.8662260	0.2500859	0.2238796	0.4775589	0.3191336	0.7366049	0.7108905	0.5685201	0.7057529	0.5917772	0.5941173	0.7770512	0.1673651	0.3639504
0.7617165	0.1513459	0.6340527	0.5904548	0.6449948	0.1805633	0.7856400	0.7233163	0.7938643	0.0000000	0.6713768	0.6960899	0.2453027	0.7125114	0.5074656	0.7294276	0.6901015	0.4163534	0.4684741	0.5976080	0.7768129	0.8600962	0.6980767	0.6879287	0.2731909	0.2919637	0.3627160	0.4736442	0.7537979	0.3098406	0.6637215	0.0101648	0.6378041	0.0745177	0.4699649	0.4171227	0.7658934	0.2067692	0.2146092	0.2599625	0.3485521	0.6941985	0.5666082	0.5774970	0.6077789	0.5319360	0.7557734	0.6577930	0.1759074	0.5769157
