YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.1836184	0.9941752	0.1319830	1.0522361	0.7188356	1.0079127	0.2983919	0.0458747	0.7466093	0.7911420	0.0638133	0.2105297	0.9872974	1.0235706	0.0622738	0.3514069	0.9088824	0.6184739	1.0228200	0.0475827	0.9958652	0.9647404	0.9453935	1.0800491	1.0465334	0.1626482	0.6717105	0.9602480	0.0068951	0.7115097	0.0675847	0.7239508	0.1506509	0.1726552	1.0085477	0.3298693	0.9457691	0.0824930	0.8444039	0.3331530	0.8096068	0.0478257	0.1553530	0.0195691	0.2683680	0.9955101	0.9432283	0.6364716	0.6724002	0.1944769
0.6754393	0.4693829	0.4056932	1.0114327	0.8427325	0.9776380	0.2853783	0.1830847	0.6844444	0.8688007	0.0705514	0.2152150	0.9639170	1.1063683	0.0674105	0.4145293	0.9843229	0.5897027	1.0170889	0.0419637	0.9855955	1.0425066	0.9838064	1.0232699	0.9379291	0.1509074	0.6961230	1.0421344	0.0065233	0.7599793	0.0903926	0.7871333	0.1986640	0.6203170	0.5781990	0.2938516	0.9407463	0.0958978	0.8555842	0.3377914	0.6654966	0.0397571	0.1576180	0.1489164	0.2208708	0.9251490	1.0260127	0.6589739	0.6443605	0.4004056
0.3805539	1.0961818	0.0923760	1.0709560	0.7784516	0.9637432	0.2046280	0.1128372	0.6967068	0.7949536	0.0887099	0.2175182	1.0777301	1.0133145	0.0704860	0.3871822	0.9596608	0.6075505	0.9429322	0.0374587	1.0597877	0.9574377	0.9747684	1.0094365	0.9564440	0.1816764	0.7117796	0.9927255	0.0098449	0.7489064	0.0941138	0.8032799	0.1321504	0.1448406	0.9698317	0.3232694	1.0430421	0.1048698	0.9319105	0.3276580	0.8060160	0.0503525	0.1488504	0.0287817	0.2462558	1.0697596	1.0596145	0.6629889	0.6749884	0.1893754
0.4126902	1.0783616	0.1697696	0.5038227	0.6331253	1.0324211	0.3199484	0.1293672	0.7259759	0.8785671	0.0864073	0.2103511	0.9739226	1.0439241	0.0541521	0.6560662	0.9732053	0.5823764	1.0413348	0.0494627	1.0229813	1.0022299	1.0343324	1.0587978	1.0031229	0.2332600	0.6165496	0.9006980	0.0066308	0.7240744	0.1892657	0.3027754	0.1504403	0.2103440	0.9333840	0.5042008	1.0610415	0.2278944	0.7886076	0.1962116	0.8147783	0.2163881	0.1528551	0.0312475	0.2768465	0.8891058	0.8988090	0.3921034	0.6475329	0.1384184
0.4265659	1.1048437	0.1680807	0.9475219	0.3997700	0.9316584	0.4162075	0.0492070	0.8347924	0.8712344	0.0763510	0.2399452	0.8923701	0.9932688	0.0492427	0.4177476	0.9567720	0.6452732	0.9638593	0.0374665	1.0534202	1.0965106	0.9536620	1.0325401	1.1217143	0.3262302	0.6831982	1.0053515	0.0097422	0.6687303	0.0970603	0.5750211	0.1234384	0.1962612	0.8462117	0.6141747	0.9663624	0.0872641	0.8232918	0.2849299	0.8455040	0.0663311	0.1396507	0.0381109	0.2259263	0.9606334	0.9393333	0.6161953	0.4697001	0.1674763
0.4142988	1.0053678	0.1420775	0.9271143	0.5701894	0.4997599	0.6026790	0.0544037	0.5472756	0.8198220	0.0586142	0.2872229	1.0377166	0.9974798	0.0676091	0.4479965	0.9576899	0.5914689	1.0123486	0.0447964	0.9690093	0.9852557	1.0540217	1.0544889	1.0613678	0.4046062	0.7145424	0.9927390	0.0053032	0.7617226	0.0812905	0.7101367	0.1312327	0.1987730	0.8741819	0.6952279	0.9743468	0.1589021	0.7797695	0.3523923	0.8002665	0.0648047	0.1429000	0.0425113	0.2958376	1.0001323	0.9618613	0.7163055	0.6149473	0.1878853
0.4406133	0.9874396	0.1970167	1.0425873	0.7803724	1.0187427	0.1431725	0.1467709	0.7329326	0.9527751	0.0942563	0.2264333	1.0838379	1.0571334	0.0439040	0.3988856	0.9777310	0.6333060	0.9020964	0.0389788	0.9818987	1.0258872	1.0270802	1.0586853	0.9691639	0.0720191	0.6952808	1.0546756	0.0097454	0.7573316	0.0744549	0.7520758	0.1803136	0.1970870	0.8119987	0.1205351	0.9896566	0.1384564	0.8748979	0.3804448	0.8599105	0.0594974	0.1215318	0.0323333	0.3061172	0.9732060	1.0177981	0.7400397	0.6450123	0.1932617
0.3543962	1.1141770	0.1324312	0.9734898	0.7476290	0.9225602	0.2711222	0.0657052	0.7159926	0.9964822	0.0797221	0.2582486	1.0758944	1.0869645	0.0610380	0.4256505	0.9876434	0.6072167	1.0277466	0.0467394	1.0552477	0.9236451	0.9635829	1.0180865	0.9672928	0.1608345	0.6840552	1.0002641	0.0040881	0.7367306	0.0579247	0.7850007	0.1376951	0.1507145	0.9094270	0.2052998	0.9948390	0.1050018	0.8811680	0.3145642	0.8667683	0.0545658	0.1303464	0.0364735	0.2912801	0.9743159	0.9638283	0.7429534	0.6203965	0.1860186
0.3344376	1.0278929	0.1148689	1.0347352	0.8506379	1.0392069	0.2596045	0.0211793	0.3759997	0.9145486	0.0911978	0.2527562	1.0533938	1.0402066	0.0508888	0.4032250	0.9771059	0.5537013	0.9903862	0.0376674	0.9908103	1.0348580	1.0341398	0.9782034	1.0172651	0.1798354	0.6394449	0.9558166	0.0088274	0.7089786	0.0863611	0.7562916	0.1565985	0.1717143	0.8760464	0.3111247	1.0539516	0.1438046	0.8731151	0.3136478	0.9263958	0.0598443	0.1665067	0.0296034	0.3027524	0.9267545	0.9439425	0.6649323	0.6566063	0.1811517
0.4042238	1.0638972	0.2836618	1.1242767	0.7286743	1.0019479	0.3025829	0.2233373	0.7309124	0.3811401	0.0727351	0.1818453	1.0175987	0.9806944	0.0601477	0.4158084	1.0420613	0.8482259	0.9935268	0.0409425	1.0170740	1.0775670	0.9809915	0.9276721	0.9730726	0.1414504	0.6603298	0.9874990	0.0070506	0.7705408	0.0907939	0.7653558	0.1425344	0.2240545	0.9175499	0.2294053	1.0258374	0.0907565	0.8049881	0.3247754	0.8469326	0.0587669	0.2014793	0.0339306	0.3223968	0.9333392	1.0035849	0.7755669	0.7476046	0.2049491
