YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.0000000	0.8944652	0.1172924	1.0676079	0.7490335	1.0196857	0.2772086	0.0934326	0.7503357	0.8802331	0.0886709	0.2126589	1.0079568	1.0499475	0.0411200	0.4488375	1.0115833	0.6122706	1.0596462	0.0848487	0.9189160	1.0695200	0.9467153	1.0126423	0.9876640	0.2090744	0.6817237	0.9183434	0.0145729	0.7482562	0.0616610	0.6106919	0.1417914	0.2510733	0.9624573	0.2718709	1.0258506	0.1101732	0.8324175	0.3231878	0.8333566	0.0809584	0.1387748	0.0347398	0.2654560	1.0157322	0.8989998	0.6497725	0.6812857	0.2502243
1.0967826	0.0000000	0.3784531	1.0607913	0.8309049	0.9507503	0.3380816	0.0727340	0.7567847	0.7664713	0.0701741	0.2539529	1.0305353	0.9909370	0.0609697	0.4450072	0.8867625	0.6240245	0.9718356	0.0396021	1.0541080	0.9745266	0.9836688	1.0182813	1.1103795	0.1617001	0.6161839	0.9483783	0.0126587	0.7091250	0.0888928	0.7310832	0.1876344	0.8892313	0.3621977	0.3267861	0.3921010	0.1334844	0.3933230	0.3333034	0.0343660	0.0750308	0.1259602	0.9669859	0.2041505	1.0583153	0.9804360	0.6151427	0.6528085	0.6067756
0.3696984	0.9988632	0.0000000	1.1544204	0.7073793	0.9884930	0.2744702	0.1957431	0.6466207	0.9685965	0.1250120	0.1689247	1.0477996	1.0083844	0.0712928	0.4286838	0.9509827	0.5821943	0.9969827	0.0232877	0.9985717	0.8913999	1.1152800	0.9436514	1.0083009	0.1301090	0.5961832	0.9708237	0.0071222	0.6633584	0.0982091	0.7682467	0.0941868	0.2327267	0.8715903	0.2655384	1.0014902	0.1241657	0.7801677	0.2860792	0.8608434	0.0487364	0.1775297	0.0340771	0.2857910	0.8965604	0.9495288	0.7022217	0.5732757	0.1970294
0.4268000	1.0312258	0.0865513	0.0000000	0.3693506	1.0247937	0.4499119	0.0294831	0.8994917	0.9543830	0.0531268	0.2647528	1.0049037	0.9599424	0.0499673	1.0732051	0.8728538	0.6232691	1.0549894	0.0532655	1.0190496	1.1034462	0.9749448	1.0396004	1.0367439	0.2579888	0.6487595	0.4452944	0.9168716	0.7751143	1.0785906	0.1210641	0.1117290	0.9982345	0.7931842	0.6070767	1.0818433	0.2864792	0.7315190	0.0034656	0.0253963	1.0157623	0.1423569	0.0345301	0.2694067	1.0519987	1.0425749	0.0471410	0.3861336	0.0049049
0.3275932	0.9566326	0.2017604	1.0466456	0.0000000	0.9638282	0.5990845	0.1014825	0.8914239	0.9108031	0.0732714	0.2745626	1.0061320	0.9663974	0.0303826	0.3806291	1.0270054	0.4790772	0.9614755	0.0234474	0.9809826	0.9539135	1.0182283	1.0415222	1.0922963	0.3948135	0.6328877	1.0184836	0.0131736	0.7176450	0.0878102	0.7254981	0.1394821	0.2125279	0.9499610	0.8985989	1.0073671	0.1171925	0.5637072	0.2980469	0.8124953	0.0806257	0.1300163	0.0406338	0.2242045	1.0323106	0.9284632	0.6466300	0.0681552	0.2237798
0.3828425	0.9944717	0.1548085	1.0001902	0.4183574	0.0000000	0.8746683	0.0374845	0.4307638	0.8674960	0.0729091	0.6833722	0.8512948	1.0770743	0.0649809	0.4385810	0.9466553	0.5533768	1.0934056	0.9813062	1.0186132	0.9895513	0.9572847	1.0401689	1.0581920	0.7419247	0.6665908	1.0065875	0.0142951	0.7649282	0.0655304	0.7470721	0.1299293	0.1810174	1.0010653	0.8816199	0.9453782	0.1436488	0.7769714	0.3364157	0.8153939	0.0602086	0.1622402	0.0390169	0.2356232	1.0413026	0.5326308	0.6977898	0.5393369	0.2242686
0.3330076	0.9788577	0.1798184	1.0471252	0.7889999	1.0762308	0.0000000	0.0855817	0.7013014	0.8984779	0.0982619	0.2186472	0.9841336	0.9761115	0.0682003	0.4475959	1.1298149	0.5645989	1.0522258	0.0397736	1.0036480	1.0909920	0.9849765	1.0315209	1.0850100	0.0208041	0.6737738	1.1269949	0.0023591	0.7258225	0.0604248	0.7729876	0.1403751	0.2763005	0.8581278	0.0360526	1.0393720	0.1049195	0.8150068	0.3531241	0.7867420	0.0823001	0.1422663	0.0303886	0.3093383	1.0800771	1.0330069	0.5747003	0.6064415	0.2602679
0.3617139	1.1383877	0.1301874	1.0052601	0.7621401	1.0668311	0.2540893	0.0000000	0.6425179	0.8479308	0.0840388	0.2023691	1.0638458	1.1727340	0.0666632	0.4029373	0.9931480	0.6443485	1.1731816	0.0470181	0.9209017	0.9179559	1.0098190	1.0344594	1.0171153	0.2038410	0.7172733	0.9960415	0.0087600	0.7110931	0.0977874	0.7510986	0.1313973	0.1805392	0.9284316	0.2933549	0.9091082	0.1036207	0.8863109	0.3432556	0.8442325	0.0709112	0.1828051	0.0224899	0.2921792	1.0666730	1.0244197	0.6477178	0.7275106	0.2271933
0.3919681	1.0251127	0.1897376	0.9865109	0.7023793	0.9096417	0.3352419	0.2077332	0.0000000	0.8124078	0.0924891	0.2663239	1.0650147	0.9564612	0.0819744	0.4006071	1.0345003	0.6462293	1.0052978	0.0509575	1.0929108	0.9776358	0.9750185	0.9590226	1.0699020	0.1459432	0.6793153	1.0459071	0.0163526	0.7084558	0.0716098	0.7420101	0.1134659	0.2463248	0.9574532	0.3057750	0.9979115	0.1014263	0.8274190	0.2966379	0.8454186	0.0367877	0.1594118	0.0384700	0.2791558	0.9747139	1.1061767	0.6403704	0.7583251	0.2048115
0.3866958	1.0208273	0.3657985	1.1165418	0.8628299	1.0134785	0.2346606	0.4242489	0.7649134	0.0000000	0.0768557	0.2297499	0.9587826	0.9821856	0.0487230	0.3994894	1.0321681	0.7831582	1.0291414	0.0461044	1.0920440	1.0194209	0.9951539	1.0481259	0.9932978	0.1134456	0.6932698	1.0077013	0.0052732	0.8257609	0.0807860	0.7849523	0.1551009	0.1887018	0.9064862	0.2584323	1.0318127	0.1032312	0.8990136	0.3749827	0.7966734	0.0531579	0.1758786	0.0193960	0.3097276	0.7072047	1.0691433	0.6442349	0.6701078	0.1776027
