YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.3946140	1.0000000	0.3550914	1.0000000	0.6588284	0.7002712	0.0963526	0.3340264	0.4996520	0.8120860	0.0720011	0.2113122	1.0000000	1.0000000	0.0016597	0.3999941	0.9877011	0.5100185	1.0000000	0.0000424	1.0000000	1.0000000	0.8590830	1.0000000	1.0000000	0.0156990	0.5313484	0.9992242	0.0003021	0.7791371	0.0752981	0.6252165	0.1371906	0.1021132	0.5506744	0.0137231	0.9872930	0.1052231	0.7408454	0.0009867	0.8220045	0.0530571	0.1957906	0.0306497	0.4680667	0.8552885	0.9996806	0.6948987	0.6482771	0.2026252
0.3946140	1.0000000	0.1478541	1.0000000	0.8240549	1.0000000	0.2075609	0.3627870	0.2113308	0.8930324	0.0634205	0.0363739	0.9276102	1.0000000	0.0575678	0.3999941	0.9911561	0.5606791	1.0000000	0.0000165	0.6051776	0.8682069	1.0000000	1.0000000	1.0000000	0.1831808	0.5863166	0.9992242	0.0064600	0.5630475	0.0098579	0.6479993	0.0638070	0.1427042	0.8769625	0.1370113	0.8487562	0.5300862	0.7930778	0.0478973	0.7987126	0.0530571	0.1438933	0.0065875	0.6730149	0.8370272	0.9176387	0.6200972	0.6803339	0.5616905
0.3946140	1.0000000	0.1124630	1.0000000	0.6275149	0.6212169	0.4380300	0.0434271	0.5680655	0.7881174	0.0653979	0.2473118	0.8425276	1.0000000	0.0409717	0.1539528	0.8275690	0.1187471	1.0000000	0.0414905	0.5121784	0.6628832	0.8946804	0.8836047	1.0000000	0.3326331	0.7458156	0.9992525	0.0003427	0.5034243	0.0752981	0.8347027	0.0821420	0.1967420	0.8769625	0.5682490	0.8910427	0.2523360	0.8524598	0.4735043	0.8540649	0.0151488	0.1805079	0.0144916	0.4150839	0.7395840	0.9369864	0.6200972	0.5808857	0.2026252
0.3508741	1.0000000	0.5396634	1.0000000	0.7455494	1.0000000	0.2708692	0.1901490	0.3440691	0.8114251	0.0574013	0.2189143	0.8498415	1.0000000	0.0581529	0.2016825	0.9783700	0.7076970	0.7921835	0.0000142	1.0000000	1.0000000	0.8665263	0.7291867	0.8417312	0.4428535	0.7764512	0.9992377	0.0064600	0.7381057	0.0415969	0.7829997	0.0765036	0.1967420	0.4887505	0.4515823	0.9872930	0.0228325	0.8703702	0.5594090	0.7796825	0.0283755	0.1923311	0.0306497	0.8142518	0.9392560	0.9877035	0.6200973	0.6456211	0.2026252
0.4863156	0.8228179	0.3448936	0.9867210	0.7431784	1.0000000	0.2716549	0.2191072	0.3091004	0.8286624	0.2556619	0.0373448	0.8044158	0.6101671	0.0022851	0.4059403	0.9065589	0.5227530	0.8544685	0.0000116	0.9706998	1.0000000	1.0000000	0.8244065	0.5665021	0.1308033	0.7197446	0.9991723	0.0064759	0.7381056	0.0760167	0.7579381	0.0877493	0.2218868	0.7926441	0.2433289	0.9815600	0.3296769	0.8953435	0.4485512	0.8126112	0.0290136	0.1497976	0.0314744	0.1954866	0.8759570	0.5730783	0.6569390	0.6444779	0.3223492
0.3946140	1.0000000	0.1531279	0.4512706	0.6283447	0.9667198	0.3116679	0.5723651	0.8684047	0.8120860	0.0979170	0.0174862	1.0000000	0.8617805	0.0009500	0.7683228	0.9849314	0.6548381	1.0000000	0.0453195	1.0000000	0.7172981	0.4865133	0.9859601	0.8696400	0.1683570	0.2668060	0.9352940	0.0104031	0.3072296	0.2225951	0.0826273	0.1371906	0.2313338	0.8769625	0.5306939	0.9872930	0.2046799	0.8237313	0.0727791	0.8460194	0.2901188	0.6926942	0.0102340	0.4416164	0.4527889	0.7825628	0.5772338	0.5813861	0.3482625
0.4354307	0.9156476	0.1833398	0.6851739	0.8605073	1.0000000	0.2360930	0.1323224	0.7341608	0.8610369	0.0356417	0.2174821	0.9634748	1.0000000	0.0573559	0.5817180	0.8745505	0.4964950	1.0000000	0.0453170	0.8302204	0.8412323	0.9380550	0.8136005	1.0000000	0.1000068	0.6970090	0.9951859	0.0011306	0.5194408	0.0405960	0.3096226	0.0494396	0.2589762	0.8135473	0.2464166	0.9894414	0.1389297	0.8125552	0.1307559	0.7818633	0.0863722	0.1081112	0.0366232	0.3604116	0.8713444	0.9923997	0.4800459	0.6945829	0.4338082
0.3906821	0.8643864	0.4954458	0.7053957	0.6432660	0.5842816	0.4541884	0.1769828	0.5183120	0.9098958	0.1146515	0.3388200	1.0000000	0.5271450	0.0012925	0.5673528	0.9950894	0.3964254	1.0000000	0.0000949	1.0000000	1.0000000	1.0000000	1.0000000	0.8111415	0.8237238	0.5863147	0.9958135	0.0071848	0.8011888	0.1120023	0.3691846	0.0878406	0.2851440	0.8761188	0.6472364	0.9825914	0.2017359	0.8267790	0.1675043	0.7497114	0.1097868	0.1497976	0.0210764	0.3616034	0.9458451	0.3701489	0.8001523	0.6041110	0.1956259
0.3470819	1.0000000	0.2777749	0.6416441	0.6872307	1.0000000	0.0646561	0.2868784	0.9333136	0.9006271	0.0915866	0.1895958	1.0000000	0.4497562	0.0012687	0.5951155	0.8915658	0.3630464	0.7990188	0.0453170	1.0000000	1.0000000	0.8583813	1.0000000	1.0000000	0.4655773	0.5182592	0.3534709	0.0075559	0.7797716	0.1323388	0.2595364	0.1371906	0.1674966	0.9127305	0.3884684	0.9872930	0.2267748	0.7508911	0.1439588	0.8666607	0.1006473	0.1961244	0.0306497	0.2617556	0.7351573	0.9327944	0.3622736	0.6157299	0.4130451
0.4530946	0.8184722	0.0588931	1.0000000	0.8683651	0.7772081	0.0716267	0.0518034	0.4099789	0.9093095	0.0714971	0.2530158	1.0000000	0.8218103	0.0571691	0.3999941	0.9862768	0.7032054	1.0000000	0.0453449	1.0000000	1.0000000	0.7115714	1.0000000	0.9847428	0.0083191	0.4313292	0.7419819	0.0003126	0.7528155	0.0752981	0.7873155	0.0540402	0.2758942	0.7332236	0.0056200	0.9183744	0.1997279	0.9359622	0.6856168	0.7392584	0.0285106	0.3056010	0.0473986	0.2280836	0.9929797	0.9998884	0.8432786	0.6975164	0.2575926
