YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.0000038	1.0000000	0.1447638	1.0000000	0.7678172	1.0000000	0.2636253	0.0770357	0.7052056	0.8618791	0.0720011	0.2164510	1.0000000	1.0000000	0.0571691	0.3999941	0.9814207	0.5853830	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.1471836	0.6672248	0.9992242	0.0064600	0.7450759	0.0752981	0.7396594	0.1371906	0.1967420	0.9999637	0.2670843	0.9872930	0.0945925	0.8389740	0.3130928	0.8097819	0.0530571	0.1497976	0.0306497	0.2752416	0.9862747	0.9888139	0.6538583	0.7056903	0.2030043
0.9999984	0.0000000	0.3371639	1.0000000	0.7678172	1.0000000	0.2636253	0.0770357	0.7052056	0.8618791	0.0720011	0.2164510	1.0000000	1.0000000	0.0571691	0.3999941	0.9814207	0.5853830	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.1471836	0.6672248	0.9992242	0.0064600	0.7450759	0.0752981	0.7396594	0.1371906	1.0000000	0.3157750	0.2670843	0.3400683	0.0945925	0.4266479	0.3130928	0.0301018	0.0530571	0.1497976	0.9999999	0.1900574	0.9862747	0.9888139	0.6538583	0.7056903	0.5007785
0.3946140	1.0000000	0.0000015	1.0000000	0.7678172	1.0000000	0.2636253	0.0770357	0.7052056	0.8618791	0.0720011	0.2164510	1.0000000	1.0000000	0.0571691	0.3999941	0.9814207	0.5853830	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.1471836	0.6672248	0.9992242	0.0064600	0.7450759	0.0752981	0.7396594	0.1371906	0.1967420	0.8769625	0.2670843	0.9872930	0.0945925	0.8389740	0.3130928	0.8097819	0.0530571	0.1497976	0.0306497	0.2752416	0.9862747	0.9888139	0.6538583	0.7056903	0.2030043
0.3946140	1.0000000	0.1185068	0.0000000	0.3759034	1.0000000	0.4163018	0.0770357	0.8846997	0.8618791	0.0720011	0.2164510	1.0000000	1.0000000	0.0571691	0.9999720	0.9814207	0.5853830	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2975930	0.6672248	0.4603734	1.0000000	0.7450759	0.9999993	0.1144810	0.1371906	0.9999995	0.8769625	0.5719621	0.9872930	0.2750905	0.6906675	0.0010228	0.0301011	0.9999957	0.1497976	0.0306497	0.2752416	0.9862747	0.9466632	0.0337721	0.4231631	0.0003791
0.3946140	1.0000000	0.1447638	1.0000000	0.0000010	1.0000000	0.4958627	0.0770357	0.9251980	0.8618791	0.0720011	0.2164510	1.0000000	1.0000000	0.0571691	0.3999941	0.9814207	0.5853830	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.3781378	0.6672248	0.9992242	0.0064600	0.7450759	0.0752981	0.7396594	0.1371906	0.1967420	0.8769625	0.6919435	0.9872930	0.0945925	0.6235826	0.3130928	0.8097819	0.0530571	0.1497976	0.0306497	0.2752416	0.9862747	0.9064369	0.6538583	0.0496385	0.2030043
0.3946140	1.0000000	0.1447638	1.0000000	0.4531163	0.0000012	0.8828161	0.0770357	0.4356140	0.8618791	0.0720011	0.7154316	1.0000000	1.0000000	0.0571691	0.3999941	0.9814207	0.5853830	1.0000000	0.9998517	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6732722	0.6672248	0.9992242	0.0064600	0.7450759	0.0752981	0.7396594	0.1371906	0.1967420	0.8769625	0.9273051	0.9872930	0.1819364	0.7213847	0.3130928	0.8097819	0.0530571	0.1497976	0.0306497	0.2752416	0.9862747	0.6048563	0.6538583	0.4985688	0.2030043
0.3946140	1.0000000	0.1447638	1.0000000	0.7678172	1.0000000	0.0000052	0.0770357	0.7052056	0.8618791	0.0720011	0.2164510	1.0000000	1.0000000	0.0571691	0.3999941	0.9814207	0.5853830	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0235841	0.6672248	0.9992242	0.0064600	0.7450759	0.0752981	0.7396594	0.1371906	0.1967420	0.8769625	0.0399708	0.9872930	0.0945925	0.8389740	0.3130928	0.8097819	0.0530571	0.1497976	0.0306497	0.2752416	0.9862747	0.9999998	0.6538583	0.7056903	0.2030043
0.3946140	1.0000000	0.1185078	1.0000000	0.7678172	1.0000000	0.2636253	0.0000049	0.7052056	0.8618791	0.0720011	0.2164510	1.0000000	1.0000000	0.0571691	0.3999941	0.9814207	0.5853830	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.1471836	0.6672248	0.9992242	0.0064600	0.7450759	0.0752981	0.7396594	0.1371906	0.1967420	0.8769625	0.2670843	0.9872930	0.0945925	0.8389740	0.3130928	0.8097819	0.0530571	0.1497976	0.0306497	0.2752416	0.9999986	0.9888139	0.6538583	0.7056903	0.2030043
0.3946140	1.0000000	0.1447638	1.0000000	0.7678172	1.0000000	0.2636253	0.0770357	0.0000029	0.8618791	0.0720011	0.2164510	1.0000000	1.0000000	0.0571691	0.3999941	0.9814207	0.5853830	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.1471836	0.6672248	0.9992242	0.0064600	0.7450759	0.0752981	0.7396594	0.1371906	0.1967420	0.8769625	0.2670843	0.9872930	0.0945925	0.8389740	0.3130928	0.8097819	0.0530571	0.1497976	0.0306497	0.2752416	0.9862747	0.9888139	0.6538583	0.7056903	0.2030043
0.3946140	1.0000000	0.3622714	1.0000000	0.7678172	1.0000000	0.2636253	0.4943077	0.7052056	0.0000052	0.0720011	0.2164510	1.0000000	1.0000000	0.0571691	0.3999941	0.9829416	0.8374524	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.1471836	0.6672248	0.9992242	0.0064600	0.7450759	0.0752981	0.7396594	0.1371906	0.1967420	0.8769625	0.2670843	0.9872930	0.0945925	0.8389740	0.3130928	0.8097819	0.0530571	0.1497976	0.0306497	0.2752416	0.7522915	0.9888139	0.6538583	0.7056903	0.2030043
