YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.3946140	1.0000000	0.3550897	1.0000000	0.6588298	0.7002713	0.0963481	0.3340255	0.4996429	0.8120890	0.0720011	0.2113104	1.0000000	1.0000000	0.0016598	0.3999941	0.9877011	0.5100148	1.0000000	0.0000424	1.0000000	1.0000000	0.8590831	1.0000000	1.0000000	0.0156909	0.5313642	0.9992242	0.0003021	0.7791349	0.0752981	0.6252240	0.1371906	0.1021132	0.5506910	0.0137174	0.9872930	0.1052230	0.7409018	0.0009937	0.8220045	0.0530571	0.1957883	0.0306497	0.4680661	0.8552946	0.9996809	0.6948982	0.6483036	0.2026252
0.3946140	1.0000000	0.1478514	1.0000000	0.8240549	1.0000000	0.2075613	0.3627848	0.2113316	0.8930327	0.0634203	0.0363750	0.9276103	1.0000000	0.0575678	0.3999941	0.9911561	0.5607012	1.0000000	0.0000165	0.6051856	0.8682144	1.0000000	1.0000000	1.0000000	0.1831833	0.5863194	0.9992242	0.0064600	0.5632937	0.0098579	0.6480053	0.0638070	0.1427042	0.8769625	0.1370151	0.8487555	0.5300862	0.7930758	0.0479032	0.7987126	0.0530571	0.1438933	0.0065875	0.6729854	0.8370315	0.9176384	0.6200976	0.6803327	0.5616905
0.3946140	1.0000000	0.1124503	1.0000000	0.6275169	0.6212170	0.4380096	0.0434112	0.5680475	0.7881289	0.0653965	0.2473089	0.8425276	1.0000000	0.0409717	0.1539621	0.8275692	0.1187630	1.0000000	0.0414905	0.5121883	0.6629024	0.8946805	0.8836047	1.0000000	0.3325248	0.7458181	0.9992524	0.0003427	0.5038216	0.0752981	0.8346964	0.0821419	0.1967420	0.8769625	0.5681436	0.8910420	0.2523392	0.8525126	0.4735006	0.8540649	0.0151489	0.1805065	0.0144916	0.4150438	0.7395891	0.9370408	0.6200976	0.5809252	0.2026252
0.3508745	1.0000000	0.5394707	1.0000000	0.7455494	1.0000000	0.2708686	0.1900443	0.3440697	0.8114456	0.0573959	0.2189137	0.8498416	1.0000000	0.0581528	0.2016996	0.9783710	0.7076805	0.7921837	0.0000143	1.0000000	1.0000000	0.8665267	0.7291867	0.8417321	0.4428508	0.7764554	0.9992377	0.0064600	0.7381067	0.0415969	0.7829934	0.0765034	0.1967420	0.4887770	0.4515786	0.9872930	0.0228390	0.8703702	0.5593962	0.7796826	0.0283756	0.1923255	0.0306497	0.8142370	0.9394158	0.9877041	0.6200985	0.6456229	0.2026252
0.4863132	0.8228180	0.3448088	0.9867210	0.7431784	1.0000000	0.2716548	0.2190804	0.3091004	0.8286678	0.2556504	0.0373435	0.8044158	0.6101675	0.0022851	0.4059399	0.9065633	0.5227472	0.8544686	0.0000116	0.9707001	1.0000000	1.0000000	0.8244065	0.5665024	0.1308024	0.7197437	0.9991723	0.0064759	0.7381058	0.0760167	0.7579383	0.0877493	0.2218865	0.7927775	0.2433277	0.9815600	0.3296768	0.8953437	0.4485498	0.8126113	0.0290136	0.1497976	0.0314744	0.1954857	0.8760283	0.5730784	0.6569391	0.6444783	0.3223491
0.3946140	1.0000000	0.1531259	0.4512706	0.6283449	0.9667198	0.3116658	0.5723354	0.8684035	0.8120867	0.0979165	0.0174862	1.0000000	0.8617805	0.0009501	0.7683106	0.9849315	0.6548373	1.0000000	0.0453195	1.0000000	0.7173016	0.4865134	0.9859601	0.8696400	0.1683436	0.2668236	0.9352947	0.0104031	0.3073797	0.2225948	0.0826532	0.1371906	0.2313337	0.8769625	0.5306809	0.9872930	0.2046734	0.8237452	0.0727820	0.8460195	0.2901180	0.6926889	0.0102340	0.4416154	0.4528432	0.7825660	0.5772363	0.5813923	0.3482625
0.4354281	0.9156476	0.1833435	0.6851739	0.8605075	1.0000000	0.2360918	0.1323243	0.7341601	0.8610383	0.0356418	0.2174820	0.9634748	1.0000000	0.0573559	0.5816873	0.8745506	0.4965005	1.0000000	0.0453170	0.8302239	0.8412414	0.9380551	0.8136005	1.0000000	0.1000034	0.6970117	0.9951861	0.0011306	0.5197516	0.0405957	0.3097118	0.0494396	0.2589757	0.8136523	0.2464125	0.9894408	0.1389128	0.8125605	0.1307637	0.7818635	0.0863713	0.1081106	0.0366232	0.3604012	0.8713393	0.9924003	0.4800601	0.6945853	0.4338082
0.3906807	0.8643864	0.4952724	0.7053957	0.6432668	0.5842816	0.4541785	0.1769075	0.5183027	0.9098945	0.1146495	0.3388096	1.0000000	0.5271455	0.0012925	0.5673404	0.9950897	0.3964268	1.0000000	0.0000949	1.0000000	1.0000000	1.0000000	1.0000000	0.8111416	0.8237079	0.5863161	0.9958136	0.0071848	0.8011872	0.1120022	0.3692217	0.0878406	0.2851437	0.8761748	0.6471842	0.9825914	0.2017252	0.8268165	0.1675076	0.7497115	0.1097865	0.1497976	0.0210764	0.3616017	0.9459951	0.3701655	0.8001533	0.6041311	0.1956259
0.3470821	1.0000000	0.2777083	0.6416441	0.6872313	1.0000000	0.0646550	0.2867945	0.9333112	0.9006248	0.0915853	0.1895758	1.0000000	0.4497579	0.0012687	0.5950797	0.8915668	0.3630490	0.7990189	0.0453170	1.0000000	1.0000000	0.8583815	1.0000000	1.0000000	0.4655768	0.5182755	0.3534724	0.0075559	0.7797694	0.1323383	0.2596372	0.1371906	0.1674966	0.9127120	0.3884682	0.9872930	0.2267568	0.7509285	0.1439681	0.8666607	0.1006461	0.1961221	0.0306497	0.2617557	0.7353301	0.9327944	0.3622928	0.6157453	0.4130451
0.4530793	0.8184724	0.0588835	1.0000000	0.8683660	0.7772084	0.0716242	0.0517934	0.4099822	0.9093035	0.0714966	0.2530046	1.0000000	0.8218117	0.0571691	0.3999941	0.9862770	0.7032101	1.0000000	0.0453449	1.0000000	1.0000000	0.7115722	1.0000000	0.9847429	0.0083173	0.4314009	0.7419834	0.0003126	0.7528144	0.0752981	0.7873086	0.0540402	0.2758910	0.7336412	0.0056198	0.9183749	0.1997277	0.9359585	0.6855977	0.7392600	0.0285107	0.3055736	0.0473981	0.2280880	0.9929863	0.9998884	0.8432722	0.6975222	0.2575922
0.5552326	0.7127591	0.5078625	1.0000000	0.7403363	0.8062376	0.2150891	0.3091151	0.4817966	0.8083531	0.0643452	0.0762945	0.9721715	1.0000000	0.0013255	0.2792979	0.9914791	0.5432104	1.0000000	0.0000376	0.8712561	0.8023947	1.0000000	0.6563088	0.9584541	0.3022332	0.7028979	0.9992287	0.0001379	0.4538167	0.0752981	0.8270320	0.1412312	0.3831038	0.6397246	0.1372902	0.9797516	0.0506851	0.7585564	0.2322102	0.7697501	0.0333691	0.1497976	0.0529168	0.2505956	0.8708752	0.7870398	0.6200973	0.7102144	0.2954469
0.5849998	0.6693214	0.3186071	1.0000000	0.7872979	1.0000000	0.2574892	0.0258739	0.9139063	0.7857009	0.0720011	0.0635908	0.7627578	0.8288017	0.0591064	0.3240643	0.5990870	0.6495284	1.0000000	0.0000177	1.0000000	1.0000000	0.7314946	1.0000000	1.0000000	0.1182018	0.4441008	0.9992264	0.0064600	0.7916559	0.0081691	0.6252194	0.1088827	0.4271176	0.6885656	0.2149479	0.9699648	0.0545221	0.7704105	0.4250226	0.7869254	0.0352018	0.1526986	0.0514427	0.1856596	0.9205870	0.9097457	0.6200973	0.6648080	0.4603823
