YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.1037017	0.7479809	0.1184739	0.6922404	0.4801788	0.7226843	0.2076146	0.0345095	0.4500949	0.5842477	0.0247650	0.1749249	0.7239104	0.6740846	0.0662125	0.2555635	0.7400393	0.5356848	0.6542598	0.0341888	0.7427102	0.8499929	0.6284712	0.7709930	0.8044102	0.0801556	0.3926860	0.6510981	0.0073942	0.5142235	0.0384904	0.4554935	0.0986710	0.1139120	0.6481409	0.2721731	0.6235040	0.0514254	0.5778744	0.2388425	0.5235817	0.0191710	0.1192323	0.0073992	0.2225637	0.7009547	0.6659201	0.5181112	0.4557709	0.1664284
0.5339580	0.3255580	0.3346664	0.6422781	0.6778692	0.7128277	0.1881993	0.1341556	0.5709545	0.5938665	0.0663993	0.0935263	0.5960686	0.7424029	0.0599274	0.3303846	0.7882351	0.3688899	0.6988410	0.0174399	0.7951431	0.8007972	0.6396011	0.9116767	0.8299294	0.1622400	0.3934510	0.7355983	0.0018006	0.6772775	0.0399686	0.5334938	0.0915572	0.4875944	0.4006519	0.2371294	0.5955963	0.1051330	0.6182975	0.1822179	0.4456991	0.0330423	0.1314273	0.0773411	0.1354828	0.6690357	0.8564204	0.4558739	0.4897873	0.2486640
0.2510928	0.6245564	0.0598425	0.8232169	0.5872735	0.7687940	0.1647600	0.0586428	0.4044740	0.5688477	0.0480978	0.1558868	0.7033568	0.6742945	0.0860640	0.2540309	0.6257067	0.4868035	0.6865957	0.0261230	0.8077880	0.6203590	0.7290263	0.7577976	0.7006345	0.1500168	0.5147649	0.6868876	0.0033582	0.4464311	0.0395128	0.4928097	0.1115175	0.1054782	0.6989041	0.1962691	0.6341642	0.0710331	0.5922561	0.2010476	0.5820772	0.0854312	0.0801846	0.0134246	0.1332908	0.7243531	0.8311186	0.4138689	0.5721599	0.0913025
0.2757889	0.8664072	0.1324609	0.3677842	0.4587921	0.6190188	0.2606500	0.1015807	0.5330945	0.5987851	0.0806792	0.1902008	0.5765420	0.7115459	0.0206428	0.5355410	0.6266932	0.3979057	0.7599767	0.0197289	0.8354369	0.7235758	0.6527444	0.7446073	0.6466035	0.1393313	0.5223101	0.7034665	0.0139899	0.4852473	0.0952076	0.1606002	0.1404532	0.1740297	0.6046162	0.3965884	0.7459824	0.1837030	0.5298518	0.1472978	0.5446195	0.1810901	0.1275021	0.0256608	0.2305072	0.5493261	0.7130213	0.3142733	0.5009146	0.1047534
0.3913216	0.6483050	0.1098734	0.6754542	0.3592127	0.6518651	0.2438773	0.0339914	0.6007779	0.6025189	0.0287337	0.1778288	0.5830628	0.7462831	0.0484575	0.3040086	0.6066964	0.4008258	0.6945402	0.0232639	0.7984546	0.6991178	0.6411075	0.7254541	0.8896027	0.1890775	0.5222341	0.6197734	0.0053639	0.4904465	0.0658020	0.4113278	0.1695381	0.1860650	0.5534295	0.4968402	0.7093215	0.0639693	0.4823097	0.2291899	0.6389812	0.0302370	0.0822388	0.0272662	0.2201984	0.6955133	0.6086348	0.5096330	0.4093476	0.1685722
0.2534004	0.7611734	0.1156092	0.7363720	0.3445001	0.3875590	0.3557520	0.0463955	0.4095301	0.6443085	0.0463678	0.1876060	0.7586442	0.5855708	0.0506649	0.2939291	0.6850468	0.4373155	0.6933166	0.0475070	0.7798452	0.7437095	0.6902367	0.6265589	0.7107166	0.2712925	0.4401561	0.7529510	0.0009014	0.5095945	0.0490459	0.5851147	0.0981956	0.1908377	0.5074211	0.6129499	0.7613515	0.1015111	0.5291992	0.1820664	0.6185553	0.0393791	0.1304928	0.0361054	0.1651889	0.6764430	0.6326712	0.4447150	0.3934987	0.0834007
0.2930373	0.6714636	0.1686667	0.7256189	0.4713334	0.6602527	0.1111852	0.0875881	0.5260664	0.5144960	0.0510721	0.1719087	0.8325368	0.7670024	0.0550921	0.3004686	0.6351165	0.3811884	0.6408883	0.0636855	0.6304002	0.8515010	0.6889050	0.6641861	0.5771869	0.0389427	0.5554455	0.8440949	0.0081940	0.4317007	0.0483920	0.5367576	0.0897325	0.1803511	0.6050034	0.0742013	0.7278899	0.1109768	0.6302014	0.2058944	0.6759960	0.0496419	0.1727361	0.0310881	0.3008982	0.7040982	0.6275472	0.4727748	0.4362834	0.1738774
0.2965063	0.7776629	0.1076427	0.6662410	0.5147160	0.7306712	0.1439689	0.0784269	0.5527964	0.6539731	0.0826430	0.2087798	0.7820044	0.8014873	0.0213422	0.3465129	0.5688496	0.4026664	0.7761966	0.0385099	0.7731340	0.7058931	0.5790158	0.6430299	0.6398508	0.1151603	0.5222294	0.5883251	0.0006813	0.5673375	0.0719918	0.5585613	0.1077305	0.1279512	0.5829252	0.1662965	0.6899540	0.0739060	0.6092837	0.2620905	0.5361182	0.0564452	0.0987600	0.0325932	0.1810764	0.6538144	0.7164062	0.4960690	0.5548814	0.1302086
0.2685499	0.8307307	0.1322576	0.6333377	0.5604816	0.7356873	0.1783052	0.0393567	0.2004211	0.5920071	0.0345740	0.1866425	0.7217377	0.6023139	0.0146921	0.3841495	0.7198867	0.4529860	0.5595088	0.0432713	0.6128759	0.6668778	0.6160490	0.6423742	0.8445712	0.1277852	0.4539573	0.6909190	0.0015546	0.4878357	0.0299196	0.5381198	0.0421592	0.1396032	0.6205408	0.1973590	0.7542027	0.1069961	0.5080954	0.2068322	0.6116817	0.0493237	0.1223862	0.0107102	0.1916641	0.6578765	0.6497386	0.4310590	0.5408400	0.0695647
0.2302705	0.8509524	0.1979937	0.7098952	0.5840171	0.6253725	0.2068805	0.1557420	0.5226288	0.2657944	0.0519881	0.1233673	0.7371811	0.7804168	0.0319932	0.3339989	0.6704905	0.6509532	0.7828093	0.0196554	0.6572031	0.8011791	0.5623183	0.7650049	0.7144701	0.0910759	0.4649340	0.7492548	0.0021337	0.5364588	0.0592913	0.5541519	0.0753419	0.1518500	0.5929445	0.1618091	0.7470929	0.1257592	0.5821964	0.1553549	0.5705481	0.0250713	0.1090248	0.0193434	0.1783054	0.6036823	0.6783725	0.5216590	0.4901926	0.0965643
