YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
0.3271912	0.0243876	0.4007368	0.6857687	0.6792485	0.4556138	0.6368541	0.2839940	0.6910056	0.0348164	0.0130066	0.6217209	0.1522180	0.1833239	0.5405279	0.8529289	0.3377456	0.5471084	0.6567340	0.0758903	0.0021904	0.7104730	0.7268447	0.0260726	0.1449490	0.0042987	0.2133109	0.4250931	0.6101633	0.0078369	0.3331272	0.2033922	0.2739644	0.1101474	0.4203763	0.1873202	0.5836224	0.5926962	0.5699106	0.4254822	0.7433622	0.4392976	0.0780971	0.3462952	0.3816824	0.1049726	0.5100004	0.3494520	0.0572384	0.5691390
0.7251855	0.1344608	0.3380624	0.7762644	0.6461123	0.5081242	0.5862611	0.2703600	0.7079970	0.0386326	0.0283885	0.8740264	0.1475829	0.2185596	0.5292076	0.5977130	0.3098937	0.5443639	0.6616093	0.0748568	0.0037613	0.6346580	0.5973162	0.0419656	0.0818277	0.0210920	0.2000526	0.4930113	0.7271026	0.0326674	0.3167763	0.3176130	0.2952937	0.1478365	0.5031425	0.2253129	0.7579405	0.4996611	0.5027263	0.3373777	0.7605018	0.6042795	0.0699431	0.3770856	0.2976387	0.1852620	0.5042902	0.4971141	0.0389906	0.4850654
0.8300987	0.0219405	0.1882851	0.6369407	0.6208286	0.5947599	0.5544960	0.2637285	0.6267298	0.0875914	0.0117850	0.6592269	0.1766619	0.2016781	0.6187461	0.8002463	0.2880203	0.6603598	0.6495496	0.0717077	0.0116722	0.5975086	0.6298335	0.0325715	0.1053669	0.0056711	0.1819848	0.4170641	0.7009204	0.0203614	0.3301404	0.2049169	0.0353938	0.1011302	0.3740252	0.2438827	0.6421803	0.5568538	0.6196367	0.5348123	0.6001883	0.6760023	0.0625879	0.3880720	0.1962553	0.1223286	0.4376662	0.4608264	0.0339401	0.5045282
0.7845916	0.0932549	0.3685370	0.3181438	0.6524089	0.2943186	0.5954616	0.2838244	0.7172902	0.0930985	0.0113784	0.6698584	0.1603019	0.3012295	0.5565180	0.6843927	0.1463200	0.5323080	0.5602229	0.0494284	0.0034646	0.6831254	0.6345774	0.0454700	0.0776642	0.0046058	0.1806757	0.2309787	0.7088209	0.0281196	0.4887695	0.0873697	0.1591831	0.3882341	0.4034233	0.1987076	0.5937988	0.4136224	0.3912082	0.7175633	0.6449527	0.5257201	0.2347778	0.4824849	0.2464511	0.1613659	0.5058340	0.3857053	0.0622837	0.4653007
0.7722519	0.3741859	0.3192167	0.6437172	0.3949290	0.4945283	0.5470277	0.2899408	0.7167874	0.0805008	0.0182503	0.6936658	0.1871369	0.2243195	0.5668663	0.6628844	0.3526733	0.5102730	0.6712323	0.0636645	0.0045106	0.6513477	0.7169744	0.0298221	0.0692608	0.0156085	0.2300276	0.4376829	0.5413668	0.0734381	0.3427054	0.2328586	0.3180664	0.1688975	0.2711656	0.2134598	0.7646769	0.6230204	0.6160892	0.6762357	0.7034416	0.4562161	0.1047789	0.3664286	0.2573350	0.0750394	0.2995822	0.5691345	0.0937060	0.4768854
0.7131595	0.1197849	0.1972323	0.6816812	0.6059076	0.2897775	0.6391506	0.2521228	0.6304287	0.0536023	0.0189470	0.6583963	0.1412193	0.2562182	0.5528022	0.6303357	0.1013322	0.6002878	0.7084216	0.0790394	0.0008242	0.6443558	0.6776815	0.0160529	0.0949798	0.0297978	0.2581974	0.2664037	0.6109308	0.0155341	0.4508530	0.2717618	0.1847591	0.3312252	0.3903744	0.1349839	0.7120834	0.3917333	0.6622872	0.6680680	0.6239121	0.6229730	0.0996665	0.4170243	0.2721439	0.2476944	0.4349245	0.3254377	0.0652677	0.5388036
0.6586949	0.1715832	0.4039930	0.6797619	0.7661373	0.5239748	0.3733212	0.3453983	0.5813008	0.1882028	0.0398966	0.5880139	0.1247211	0.1443949	0.6256579	0.6817404	0.2992646	0.5228453	0.7711360	0.0439293	0.0060648	0.5986398	0.5941548	0.0243672	0.0894679	0.0067737	0.1981405	0.4264376	0.7939750	0.0353647	0.3290336	0.3246175	0.2156123	0.1814505	0.4781975	0.1708876	0.7525595	0.4832139	0.5494477	0.0623017	0.7329852	0.5393802	0.1060016	0.4007230	0.3110842	0.1390770	0.6313681	0.4017693	0.1156546	0.4924472
0.7965323	0.1754629	0.3192794	0.5732899	0.7063613	0.5908420	0.7395793	0.1101683	0.7157649	0.0476108	0.0227528	0.8027987	0.1568431	0.1132923	0.6125661	0.6816998	0.3379058	0.5370194	0.6704213	0.0393798	0.0127698	0.6616616	0.6629900	0.0219734	0.0689385	0.0255306	0.1343072	0.4394712	0.6506707	0.0251619	0.3131911	0.2818392	0.3062136	0.1671904	0.4576947	0.1726070	0.6403421	0.5398391	0.5708247	0.5223589	0.5647305	0.5924783	0.0891291	0.6110323	0.3918019	0.1230335	0.5462973	0.6225925	0.0577042	0.3449390
0.6796576	0.3132686	0.5433755	0.6321672	0.8034569	0.4950215	0.6905519	0.5313697	0.3679107	0.0397478	0.0230210	0.7366107	0.1889413	0.1628233	0.7176543	0.6129724	0.3293447	0.5764051	0.6785458	0.0586583	0.0023255	0.6684119	0.6434530	0.0249552	0.0516142	0.0133030	0.1762102	0.4924876	0.6323118	0.0287116	0.3548236	0.1705474	0.2430063	0.1241222	0.4126118	0.2142284	0.6794261	0.6033067	0.5636764	0.6051371	0.5553965	0.6958546	0.0670574	0.2310738	0.4165051	0.1208602	0.4919022	0.1042237	0.0650712	0.4786922
0.6843205	0.2573973	0.4765460	0.6812909	0.6941876	0.5903819	0.6688324	0.3661156	0.6250387	0.0228357	0.0105762	0.6449356	0.1575322	0.1685687	0.6289753	0.6589258	0.3002829	0.5691741	0.6318797	0.0571301	0.0039850	0.7424528	0.6414567	0.0150021	0.0895570	0.0187633	0.2084628	0.5381320	0.6522522	0.0115748	0.3525961	0.3404311	0.2496843	0.0782205	0.3158233	0.2198075	0.8085752	0.5023909	0.6289064	0.5760170	0.6427317	0.6173798	0.0850450	0.4076531	0.2824242	0.2091272	0.6037247	0.3326000	0.0433361	0.4850247
