YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
0.0000000	0.0409389	0.4694859	0.5566265	0.6526715	0.5628463	0.6130122	0.4055771	0.6690298	0.0913093	0.0319734	0.7039910	0.1635179	0.1220992	0.5479995	0.6513582	0.2491495	0.6247297	0.6849848	0.0816313	0.0008785	0.5851632	0.7890200	0.0419002	0.0593054	0.0073228	0.1699712	0.4960574	0.6190637	0.0202878	0.3208678	0.2879464	0.3293361	0.1273588	0.4050233	0.2075048	0.6527654	0.5116847	0.5968573	0.4932052	0.5825423	0.5516376	0.1277296	0.4260693	0.5595975	0.1178668	0.5962325	0.3796205	0.0692585	0.6432168
0.6704188	0.0000000	0.4018666	0.5609591	0.6409225	0.7092012	0.5840245	0.3149975	0.7076302	0.0492796	0.0187292	0.6844458	0.1634760	0.2117776	0.6282883	0.7096265	0.3256743	0.7611351	0.6580468	0.0814140	0.0043365	0.6884488	0.5867809	0.0489180	0.0890457	0.0204195	0.1984485	0.4739317	0.5828178	0.0331910	0.3026697	0.2131244	0.3602380	0.1277087	0.5111396	0.2352831	0.9093302	0.5284275	0.6622485	0.4181223	0.6232122	0.5034514	0.1441384	0.4055374	0.2361404	0.1660232	0.4667238	0.3797402	0.0854709	0.5329101
0.8393850	0.0058311	0.0000000	0.6561763	0.7108070	0.6130192	0.6494022	0.0429070	0.6908813	0.0574719	0.0154633	0.7382600	0.1764240	0.1707675	0.6372100	0.5659738	0.2588485	0.6963811	0.8223740	0.0718903	0.0029340	0.5510800	0.7168621	0.0615073	0.0990052	0.0039107	0.1823993	0.5811317	0.6391205	0.0266407	0.2761977	0.2449713	0.0122133	0.0934880	0.4113769	0.2360374	0.6990131	0.5235053	0.5616304	0.4964440	0.6587521	0.5016772	0.1009290	0.8034203	0.1006002	0.2056017	0.4783367	0.6859003	0.0789285	0.4785866
0.7879249	0.2105214	0.3312079	0.0000000	0.7049996	0.0255781	0.6505133	0.2814232	0.7060461	0.0681608	0.0228162	0.6486580	0.1501056	0.3661508	0.6245681	0.6642212	0.0205987	0.6641187	0.6355940	0.0516389	0.0033304	0.5930719	0.6831967	0.0277993	0.0736665	0.0149137	0.2967342	0.0737793	0.6486421	0.0405534	0.6089979	0.2042855	0.2964348	0.5974625	0.4703366	0.2899295	0.8008063	0.0207879	0.0208112	0.6557538	0.6558235	0.5312387	0.3669313	0.3415257	0.2771016	0.1478489	0.1639051	0.4333171	0.6703261	0.5142972
0.7053982	0.0317075	0.2952132	0.7167903	0.0000000	0.6649522	0.5790659	0.1787696	0.5939612	0.0443519	0.0080789	0.7340257	0.1695608	0.3293930	0.6309224	0.7289570	0.2984267	0.7608191	0.6553506	0.0620400	0.0003751	0.5621774	0.6284052	0.6550851	0.0770989	0.0080858	0.2123335	0.4182570	0.6446301	0.6737418	0.3248604	0.2629213	0.1194918	0.0864915	0.3770783	0.2511451	0.6876386	0.6992870	0.5887608	0.4076235	0.5768067	0.3570644	0.1044425	0.4871350	0.2598935	0.1990859	0.2435319	0.7208883	0.0762158	0.5726280
0.6390597	0.0676411	0.2264770	0.6802406	0.5819746	0.0000000	0.6309117	0.2315483	0.6747951	0.0604724	0.0103455	0.5977505	0.1153779	0.4389463	0.6277357	0.6895645	0.0129160	0.6002755	0.6605644	0.0586669	0.0008505	0.6109459	0.6745966	0.0310954	0.1066671	0.0127112	0.6432468	0.0843562	0.2038576	0.0205952	0.6089238	0.7103180	0.1325921	0.8739529	0.3950296	0.0304118	0.6683302	0.6629901	0.4364508	0.6490672	0.6617819	0.5675210	0.1229648	0.4949689	0.2826548	0.1549291	0.1604200	0.4566307	0.0733019	0.5050355
0.5662418	0.0259454	0.2687550	0.7040324	0.6413870	0.0447072	0.0000000	0.2074067	0.7123730	0.6327390	0.7907275	0.2392472	0.5272251	0.3707606	0.4665739	0.6523451	0.0621978	0.6908542	0.6851281	0.0724674	0.0022788	0.1269331	0.6442157	0.0296960	0.0733398	0.0093322	0.2995040	0.0885679	0.2299363	0.0226707	0.6192467	0.3846483	0.0939835	0.7448193	0.2228985	0.0353671	0.3142564	0.6582358	0.4482103	0.7069847	0.5006397	0.3774437	0.0540585	0.4054248	0.1809571	0.1243476	0.1366410	0.4723629	0.7343044	0.5655807
0.7103402	0.2115170	0.3613883	0.6393704	0.6106900	0.6246719	0.6856558	0.0000000	0.7705402	0.0632344	0.0255079	0.6771191	0.2362966	0.1457208	0.6715525	0.7084040	0.3915098	0.5202257	0.7700906	0.0608464	0.0059507	0.5613661	0.6664167	0.0461570	0.1048852	0.0180568	0.2167640	0.5053917	0.7041919	0.0328525	0.3708040	0.1970489	0.2103312	0.0689099	0.4460043	0.1881437	0.7315682	0.5996537	0.5354883	0.4869250	0.7223680	0.5613544	0.0950603	0.6660550	0.2292325	0.1417635	0.5772307	0.6590465	0.0519695	0.4429245
0.6460535	0.1300555	0.3819729	0.6415871	0.6872461	0.5618581	0.7346327	0.7025994	0.0000000	0.0649642	0.0313016	0.7969582	0.1128537	0.1569808	0.5160044	0.6645990	0.3539306	0.6591508	0.5963242	0.0480007	0.0014336	0.5842595	0.7700588	0.0157073	0.1008488	0.0069184	0.1020815	0.6067169	0.5660853	0.0450926	0.3500235	0.2118748	0.2799118	0.1735374	0.4932578	0.2019805	0.5697187	0.5435419	0.5644723	0.4336695	0.6176591	0.5707737	0.0721744	0.1861709	0.3430271	0.1214657	0.6486301	0.0382723	0.0685056	0.5177336
0.6478443	0.3085184	0.4306765	0.7486918	0.6806426	0.5736619	0.5508338	0.2895258	0.5781211	0.0000000	0.0222022	0.5405639	0.1886813	0.1391011	0.5621497	0.6595677	0.4099080	0.6086178	0.7368472	0.0397997	0.0010435	0.6572561	0.6259042	0.0197063	0.0807663	0.0103871	0.1829081	0.4195391	0.5886362	0.0856072	0.3117764	0.1493479	0.2966615	0.0811461	0.4333651	0.2413536	0.6479245	0.5503599	0.5416475	0.5680751	0.6492867	0.6643122	0.1117947	0.4323409	0.2832371	0.1973597	0.4706020	0.4409586	0.0826474	0.4155536
0.5426924	0.2453106	0.3661049	0.7936451	0.5966076	0.6244744	0.6334952	0.3145781	0.7956148	0.0495144	0.0000000	0.6497435	0.1175219	0.2390391	0.7819852	0.6798333	0.2760111	0.4724987	0.5680307	0.0673197	0.0017355	0.7100541	0.5733866	0.0325988	0.0717347	0.0357681	0.1525534	0.5096203	0.5772912	0.0415431	0.3210893	0.2753895	0.2189904	0.1164253	0.4910504	0.1885384	0.7178289	0.4857706	0.5861685	0.3575351	0.6869597	0.5712743	0.0808641	0.3877306	0.3466730	0.0870952	0.4371074	0.2697852	0.0682315	0.6083309
0.6993954	0.2479485	0.3994714	0.6108407	0.7596676	0.5472674	0.7015668	0.2798386	0.6280830	0.0512608	0.0152385	0.0000000	0.6604111	0.1307589	0.0041408	0.6377957	0.3203547	0.7001562	0.7615360	0.0418723	0.0006338	0.0199386	0.5319151	0.0345876	0.0905019	0.0238017	0.1516561	0.4399037	0.6975848	0.0239404	0.2844632	0.2210736	0.2967868	0.0988795	0.0021385	0.1767379	0.7223905	0.5357137	0.7089518	0.6519654	0.6312757	0.5759624	0.0791008	0.4283189	0.2857039	0.1129361	0.5104552	0.3904449	0.0604524	0.4149512
0.7318025	0.2101660	0.3572974	0.6529897	0.6462428	0.5490536	0.7293982	0.3113910	0.8142138	0.0532996	0.0247394	0.7357179	0.0000000	0.1675162	0.5481528	0.6386348	0.3367919	0.5967501	0.7085914	0.0500126	0.0027977	0.6482418	0.6026312	0.0532543	0.1041640	0.0198162	0.1646186	0.4478269	0.7739410	0.0189607	0.2866237	0.2388863	0.2322701	0.0797026	0.5255504	0.1648190	0.6657551	0.6434717	0.5831304	0.4336706	0.6478767	0.4772701	0.1025109	0.3903321	0.3503637	0.1718083	0.7880235	0.2413073	0.0929396	0.4673298
0.5455070	0.1614049	0.3532263	0.7881870	0.7026970	0.4747823	0.7418199	0.2521433	0.7068230	0.0484297	0.0114610	0.5956755	0.1258027	0.0000000	0.7494625	0.6289335	0.2153472	0.4629347	0.6802951	0.0478795	0.0001923	0.6162702	0.6197617	0.0264957	0.1385200	0.0071453	0.1954994	0.6032334	0.6511711	0.0376623	0.2999277	0.2529355	0.2562581	0.1182134	0.4284291	0.1720429	0.6996306	0.5171040	0.6462062	0.4476765	0.8233434	0.5190168	0.0936763	0.3931431	0.3569753	0.1503140	0.6695301	0.4195423	0.0969076	0.4160687
0.6991383	0.3608884	0.4111346	0.6519208	0.6700808	0.6123935	0.6396709	0.2145153	0.6901232	0.0402996	0.0382938	0.6339950	0.1485752	0.1861435	0.0000000	0.6610783	0.3706733	0.3970172	0.5773134	0.0620767	0.0021051	0.5772646	0.6952877	0.0284399	0.0768476	0.0204894	0.1052114	0.5114722	0.6547161	0.0334640	0.3869908	0.2544238	0.4585069	0.0973577	0.4092354	0.1927144	0.6091576	0.5458561	0.5816459	0.5856941	0.6368665	0.6349844	0.1078830	0.3896434	0.3190291	0.1012955	0.5631483	0.4261888	0.0885775	0.3193128
0.7483344	0.2280952	0.3719070	0.8860291	0.5703949	0.5291649	0.6678511	0.2493950	0.7127863	0.0611544	0.0240057	0.6524863	0.1785121	0.4192248	0.7651673	0.0000000	0.0125264	0.5920213	0.7276138	0.8424988	0.0018713	0.7357679	0.7231272	0.0587533	0.0861762	0.0130021	0.1876548	0.5851190	0.6485782	0.0195287	0.3625348	0.2282995	0.3881106	0.0944474	0.4970113	0.1894400	0.6231614	0.5478397	0.5457234	0.4361567	0.6677158	0.6623106	0.0669057	0.3627500	0.3860578	0.1364689	0.0818796	0.4196624	0.0752120	0.5820434
0.7753334	0.2425754	0.3954183	0.6514327	0.8179293	0.5946538	0.6416622	0.2921313	0.5187607	0.0460995	0.0120490	0.6858299	0.1832413	0.1665794	0.5836234	0.5854743	0.0000000	0.5320574	0.8143150	0.0355632	0.0109134	0.5081576	0.7438672	0.0257409	0.0996542	0.0047838	0.2499481	0.5283363	0.6916183	0.0339970	0.2622079	0.2676121	0.2548098	0.0792553	0.3999961	0.2063098	0.6037978	0.4945719	0.6504038	0.4783636	0.6425935	0.5532165	0.0880526	0.4180251	0.3041033	0.1312185	0.4212173	0.2764099	0.0554125	0.3765339
0.6775538	0.2901252	0.4473958	0.6102902	0.6770034	0.6592554	0.6210254	0.3199212	0.6339714	0.0323197	0.0101382	0.7324529	0.2018297	0.1860096	0.6786254	0.6643792	0.3776040	0.0000000	0.6338829	0.0484780	0.0067480	0.6034814	0.6603940	0.0392558	0.0990899	0.0194143	0.1432497	0.5947444	0.5936527	0.0258788	0.2666110	0.2785744	0.2787781	0.1055108	0.3029748	0.2441382	0.6510183	0.5789265	0.6236761	0.4284912	0.6711109	0.5526780	0.0588999	0.4780616	0.3156735	0.1285419	0.5599819	0.3320472	0.0588790	0.5047446
0.7300804	0.3413986	0.3821637	0.5741222	0.7211472	0.5794170	0.7027848	0.2159275	0.6604643	0.0558007	0.0275349	0.6796736	0.1226304	0.1583933	0.6879128	0.7579525	0.3190993	0.5379237	0.0000000	0.0515195	0.0066725	0.7139701	0.5980410	0.0182771	0.0886054	0.0021699	0.1749392	0.5561163	0.6447921	0.0270122	0.3621630	0.2749135	0.1993397	0.1077427	0.4498452	0.1849432	0.8027718	0.6053898	0.5554881	0.3985988	0.5682443	0.6389335	0.0947246	0.3782211	0.2664430	0.1642796	0.5225600	0.4369044	0.0907261	0.2348810
