YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
0.5391465	0.0399354	0.5957908	0.9808002	1.0190841	0.7805959	1.0067376	0.4624180	1.0033675	0.0762044	0.0175091	1.0592324	0.2333470	0.2713181	0.9182869	1.0403499	0.4675987	0.9937556	1.0457959	0.0952136	0.0067055	0.9674462	0.9832280	0.0452905	0.1611263	0.0105638	0.2390569	0.6920660	1.0182686	0.0149406	0.5625227	0.3494310	0.4104146	0.2189346	0.6139427	0.2496735	0.9652379	0.8369012	0.9268115	0.7043159	1.0417609	0.8255657	0.1154062	0.5446839	0.6671866	0.2180989	0.7104327	0.5282241	0.0908171	0.7711244
1.0765181	0.2272322	0.5935156	1.0951450	1.0419738	0.8409516	1.0786793	0.4034772	1.0176457	0.0751989	0.0343748	1.0052425	0.2332986	0.3022917	0.9168411	1.0110606	0.4988440	0.7969689	1.0200611	0.0884542	0.0088443	1.0294464	0.9664420	0.0596824	0.1279291	0.0260256	0.2746762	0.7719220	1.0175059	0.0525752	0.4672126	0.3797301	0.4228765	0.1799387	0.6306377	0.3442261	1.0570048	0.7977251	0.9363824	0.5736456	1.0030119	0.7977449	0.1329983	0.6108238	0.4586312	0.2143680	0.7157491	0.7200545	0.1055590	0.7650120
1.2035263	0.0624448	0.2623383	1.0094543	0.9386348	0.8614821	0.9233013	0.3104323	1.0038836	0.0904957	0.0209696	1.0002567	0.2584084	0.3101624	0.9698516	1.0098841	0.3751224	0.9754627	1.0110190	0.0984678	0.0106060	0.9610561	0.9904206	0.0410523	0.1503049	0.0164483	0.2803193	0.6584822	1.1009102	0.0364967	0.5177927	0.3718833	0.0657770	0.1376888	0.5319521	0.2671974	1.0329643	0.8092860	0.9415003	0.8183920	0.9906899	0.9538331	0.1075330	0.6592086	0.3419687	0.2053090	0.7521228	0.8010300	0.0827405	0.7021203
1.1033809	0.1861226	0.4744770	0.5330951	0.9811522	0.4309237	1.0336810	0.4092859	0.9827907	0.1013778	0.0189888	1.0742109	0.2355930	0.3684468	0.8906063	1.0174789	0.2093827	0.8790218	0.9841663	0.0947063	0.0055241	0.8996730	0.9711155	0.0496740	0.1346088	0.0149213	0.3381742	0.2989228	0.8984928	0.0227108	0.6954590	0.1471411	0.2685603	0.5469225	0.6061166	0.3381668	0.9851900	0.6711398	0.7401573	1.0286246	0.9914408	0.8465178	0.3749204	0.6436521	0.4234844	0.2748380	0.7419803	0.6138488	0.1077528	0.6800915
1.0946807	0.4303501	0.4254781	0.9561311	0.5407417	0.8789660	0.9613576	0.4302208	1.0697847	0.1080156	0.0169603	1.0503168	0.2511742	0.4276719	0.9281344	1.0026268	0.4732929	0.8918328	1.0487204	0.0949021	0.0018775	0.9702669	1.0326260	0.0704628	0.1145687	0.0223194	0.2828160	0.7557533	0.9325139	0.0723948	0.5181927	0.3476062	0.3606351	0.1958952	0.5566411	0.2981054	1.0514583	0.8897087	0.9044865	0.9301157	1.0171286	0.7864654	0.1519010	0.6962165	0.4291008	0.1692371	0.4305060	0.8701674	0.1291146	0.7430789
1.0190561	0.1115138	0.3305329	1.0840762	0.9564032	0.4320349	0.9903832	0.4559777	1.0316329	0.0826172	0.0234787	1.0162476	0.2434320	0.3566505	0.8594404	0.9872610	0.2030350	0.8716942	1.0036904	0.1183555	0.0045841	0.8759173	1.0409110	0.0283905	0.1274201	0.0257867	0.4150950	0.4703401	1.0259439	0.0462579	0.7114291	0.3863437	0.2140083	0.6213090	0.6276016	0.1414205	1.1188157	0.7210267	0.7838752	1.0034792	0.9286848	0.9085729	0.1403583	0.6005309	0.4226140	0.3610783	0.7177514	0.5254015	0.0924465	0.7705071
1.0412228	0.2776458	0.5536782	1.0556620	1.0727532	0.7954976	0.5193227	0.4310268	0.9512481	0.2530441	0.0695019	0.9937763	0.2077403	0.2272388	0.9060831	1.0613718	0.4709135	0.8173407	1.0438158	0.0695958	0.0127810	0.9827064	0.9543671	0.0421904	0.1277021	0.0177941	0.2212056	0.7228246	1.0244172	0.0323771	0.5314715	0.4749087	0.3363608	0.2640405	0.6054384	0.3046763	1.0177457	0.8183893	0.8504172	0.1002594	1.0510460	0.7021939	0.1084972	0.5910812	0.4622927	0.2126943	0.8345019	0.5618157	0.1396034	0.7225956
1.0552140	0.3426019	0.5466198	0.9871149	0.9680396	0.8822299	1.0412131	0.1970795	1.0009604	0.0899948	0.0285513	1.1375296	0.2108971	0.2584812	0.9237961	1.0199486	0.5407379	0.8031444	1.0264005	0.0815192	0.0043066	0.8844135	1.0465426	0.0390960	0.1118659	0.0217323	0.2122809	0.6808252	0.9976173	0.0358260	0.4921898	0.3715039	0.3950037	0.1964443	0.6877615	0.2943555	0.9453868	0.7688634	0.9396141	0.7557915	0.9343832	0.9347222	0.1231029	0.8593046	0.4966192	0.1762645	0.8037914	0.9746251	0.1277912	0.5699764
1.0492443	0.4008336	0.5679940	1.0309713	1.0574065	0.8298445	0.9872059	0.8289205	0.5632078	0.0647278	0.0286889	1.0559213	0.2587277	0.2773069	1.0005385	1.0068150	0.4587521	0.8300229	1.0487049	0.0904628	0.0058263	0.9080118	1.0188940	0.0611471	0.1256407	0.0189075	0.2389207	0.7556139	0.9758015	0.0430674	0.5004656	0.3689460	0.4214829	0.1750270	0.5854204	0.3372192	1.0908867	0.8504719	0.8579119	0.8761996	0.9648744	0.9837424	0.1281280	0.3143151	0.4637971	0.1833295	0.7429774	0.1007971	0.0923063	0.6119788
0.9910321	0.3300138	0.7128766	1.0037457	1.0374523	0.8796951	1.0633530	0.4440230	1.0732435	0.0403753	0.0236573	1.0359177	0.2649695	0.2487746	0.9693660	0.9582493	0.4987402	0.8737321	1.0677340	0.1124650	0.0087898	0.8848772	1.0078817	0.0592740	0.1210462	0.0189456	0.2979265	0.7764815	0.9891925	0.0159931	0.4692232	0.3994903	0.4303959	0.1077790	0.5582691	0.3374727	1.0388986	0.8587283	0.8709255	0.9443770	0.9450359	0.8489192	0.1406419	0.5862546	0.4755298	0.2596025	0.7860294	0.5405042	0.0945519	0.6923682
