YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
1.0335398	0.6192818	0.8816741	1.0717466	0.9459229	0.7932538	0.8957249	0.2417627	1.0098873	0.0237479	0.0831867	1.0380610	0.2429524	0.3137658	0.9390222	0.8090535	0.3295664	0.4670867	1.0527298	0.1345605	0.0028438	0.9522168	1.0032184	0.0121730	0.0211601	0.1885969	0.3599478	0.5545085	0.6644469	0.0065214	0.4430321	0.5371986	0.8637534	0.0817860	0.6147218	0.6035264	0.8670705	0.7426859	0.8626310	0.9803070	0.8805769	0.8454877	0.1029264	0.8181063	0.1688796	0.2068398	0.7633882	0.8208450	0.0000690	0.4448072
0.7841346	0.0940133	0.4249533	0.9515963	0.9350945	0.7494143	0.6935002	0.5146988	0.8466412	0.0884256	0.0009213	0.9563310	0.0119951	0.3282216	0.9488582	0.8854208	0.3458789	0.8427330	0.9918707	0.0887151	0.1327857	0.8811170	0.9420507	0.0502000	0.0479853	0.0476698	0.0050349	0.6650199	0.9450011	0.0092201	0.5270292	0.2561593	0.2610943	0.1507556	0.6659150	0.5815238	0.6854354	1.0025534	1.0245692	0.8971999	0.5744818	0.9322288	0.0465192	0.4674550	0.5039486	0.2443948	0.6653116	0.1730335	0.1077099	0.9020265
0.2585074	0.0012169	0.4930204	0.7689360	1.0014853	0.7458632	1.0126773	0.9551542	0.8562477	0.0253145	0.0000195	0.9054377	0.1601910	0.3229322	0.8751854	0.3442601	0.1212602	0.3514299	1.0068662	0.3785862	0.9388950	0.8574627	0.9502670	0.0405875	0.7542809	0.8357684	0.1752417	0.5913356	1.0175972	0.0487118	0.5305088	0.1354572	0.4492984	0.1561060	0.4005356	0.3747999	0.5996184	0.9360490	0.9214473	1.0553124	0.0391609	0.9783720	0.4385631	0.2476980	0.5323123	0.1288016	0.6817124	0.0768921	0.1121046	1.0329503
0.8088065	0.1333113	0.5215020	0.4598263	0.9852297	0.2987643	0.9410855	0.7754016	0.9700927	0.0266820	0.1231411	0.9858571	0.1934803	0.1936193	1.0035028	0.7622848	0.4359740	0.0001354	1.0498970	0.1591621	0.9234035	0.9135475	1.0949133	0.0159809	0.9269611	0.7788152	0.4719023	0.1013539	0.9314003	0.0394659	0.4251903	0.0899773	0.6931004	0.8914993	0.2548680	0.2929023	0.6221047	0.6660844	0.6600890	0.9558872	0.1650483	0.9078699	0.8546991	0.3663124	0.2161814	0.1515575	0.7656676	0.0773675	0.0410635	0.8826025
0.9885508	0.7672448	0.8080516	1.0491407	0.9805095	0.8280363	0.6437644	0.6464075	0.8557753	0.1101883	0.0052498	0.8482355	0.2293278	0.2680056	0.8696220	1.0021662	0.4805389	0.2884467	0.9841016	0.1286281	0.9628327	0.8454911	1.0087832	0.0452101	0.7886147	0.9340712	0.0466733	0.6199418	0.7817544	0.0112588	0.3891207	0.2597753	0.6173111	0.1593911	0.3671618	0.3227413	1.0128615	0.9474012	0.8289978	0.5503391	0.1508638	0.7843019	0.2036786	0.3783517	0.4885517	0.1589040	0.8557938	0.1185804	0.0842509	0.3824870
0.9275048	0.6960781	0.6681355	0.9148010	0.9731564	0.7939448	0.9745329	0.3475004	1.0036605	0.0980002	0.0010744	1.0615077	0.2208067	0.2259543	0.9705455	1.0522226	0.6110987	0.2289228	1.0547356	0.0983477	1.0126246	0.9136392	0.9899260	0.0419026	0.6725670	0.8154664	0.0070124	0.7457397	1.0007227	0.0314349	0.3498922	0.6025728	0.5015832	0.1517213	0.3394240	0.1380852	0.5456513	0.9138442	0.9013114	0.1479147	0.1799188	0.7954332	0.2871421	0.7204856	0.3587686	0.2208603	0.7448427	0.7267916	0.0253408	0.7518137
0.9668636	0.3687059	0.6533024	1.0172646	0.7137573	0.8124312	0.8056317	0.7524071	0.9825469	0.1172087	0.0045697	0.9691920	0.2394823	0.2813600	0.9127180	0.9324451	0.3818110	0.8649420	0.9143651	0.0668036	0.0394809	0.8717892	1.0036603	0.0543361	0.2079800	0.0016696	0.0056562	0.6325229	0.3982990	0.0501448	0.4475260	0.6649276	0.4752505	0.1169070	0.6275148	0.0883217	0.9972763	0.8257000	0.7963840	0.5392470	0.6670753	0.7423955	0.1278258	0.3726773	0.2039966	0.0833456	0.5600685	0.1654795	0.1171624	0.9582265
1.0784033	0.5880225	0.6620224	0.9052368	0.9124196	0.7000063	0.8641129	0.5849158	0.9769701	0.1082456	0.1153855	0.9144001	0.2408644	0.0282226	0.9461935	0.9054058	0.3595776	0.6070192	0.9810126	0.0950039	0.0000072	0.8778890	0.9928053	0.0163352	0.0001743	0.0646361	0.2794259	0.8163980	0.9180279	0.0466843	0.5618125	0.2334521	0.5543154	0.2639281	0.6331383	0.4685134	0.9265209	0.7487675	0.8764354	0.6994407	1.0364298	0.8266368	0.4796094	0.5294880	0.3597069	0.2638828	0.9971576	0.4346957	0.0110054	0.3750087
0.7996850	0.6164859	0.6470493	1.0257578	0.9579512	0.7877004	0.5901144	0.5428960	0.7656399	0.2442203	0.1470712	1.0311890	0.1924639	0.4368559	0.9286674	0.4886619	0.2523902	0.4885302	0.7812186	0.3014906	0.1388951	0.9455443	1.0489522	0.0297649	0.2014592	0.0608466	0.0072495	0.7220579	0.5991477	0.0466558	0.5247006	0.6802970	0.5821437	0.2104205	0.6843513	0.5435065	1.0937049	1.0316604	1.0279733	0.1946771	0.5376435	0.9707407	0.1263832	0.5304513	0.7454727	0.1726967	0.3296041	0.2536833	0.1089458	0.4810567
0.7963525	0.0916591	0.6145413	0.8439465	0.5972250	0.9448782	0.7512456	0.0997899	1.0352836	0.1004614	0.5082603	0.9842733	0.2250903	0.3505817	0.9078520	1.0146544	0.4761246	0.9313034	0.8118412	0.0614594	0.0029215	0.9250956	0.9309731	0.0164150	0.0988909	0.0000575	0.3120988	0.8317698	0.6839020	0.0565157	0.2610203	0.4367738	0.3657482	0.0500160	0.6361890	0.1580663	0.9298227	0.9640627	0.7096124	0.2424077	0.5731706	0.7011982	0.2651571	0.8123829	0.5462248	0.2099457	0.5151766	0.9229427	0.0213936	0.6267887
