YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
1.0295193	0.5992684	0.8069512	1.0434738	1.0152784	0.8041683	0.9203670	0.2480527	0.9347502	0.0263211	0.0837462	0.9904558	0.2518584	0.2984225	0.9865772	0.8335234	0.2769559	0.4585989	0.9564961	0.1402507	0.0087901	1.1003736	0.9813629	0.0190740	0.0198805	0.2033427	0.3220778	0.5602602	0.6099043	0.0007079	0.5120337	0.5854099	0.8266738	0.0910889	0.5636368	0.5502836	0.8690009	0.8164393	0.8319145	0.9784068	0.8161862	0.7755481	0.1365276	0.7930526	0.1890380	0.2024607	0.6987377	0.8335604	0.0015343	0.4566196
0.8041030	0.1182423	0.4213738	0.9770357	0.9744535	0.8566347	0.6002339	0.5593152	0.9472276	0.0611008	0.0005392	0.9688011	0.0101189	0.3041497	0.9533570	0.8495920	0.3827553	0.9136551	0.9913611	0.0900524	0.1510097	0.8887261	0.9324542	0.0229404	0.0651443	0.0449273	0.0080157	0.7462143	0.9563107	0.0109258	0.5594145	0.2823729	0.2867069	0.1720783	0.6707381	0.5314825	0.6448330	0.9787762	1.0082552	0.8270504	0.6218570	0.9278554	0.0492530	0.5150182	0.5215890	0.2732833	0.6961724	0.1466782	0.1273087	0.8900791
0.2205012	0.0056497	0.5856125	0.8455622	1.0630199	0.8076447	0.9863594	0.9239302	0.7983583	0.0252078	0.0047177	0.8422405	0.1574459	0.2645708	0.8734565	0.3504444	0.1349143	0.3869241	0.9970408	0.4093368	0.9493781	0.8736119	1.0042813	0.0554891	0.7652506	0.7821646	0.1538936	0.6443903	0.9672402	0.0525880	0.4973011	0.1199211	0.4269473	0.1713487	0.5051886	0.3876861	0.5820550	0.9762362	0.8798433	1.0603154	0.0532276	0.8442166	0.4246569	0.2807178	0.5206598	0.1536834	0.6229347	0.0903382	0.1611569	0.9361036
0.7901008	0.1815684	0.5179640	0.4425380	0.9893905	0.2985351	0.9504167	0.7732830	0.9761096	0.0327542	0.1187763	0.8308613	0.1879360	0.1831678	0.9713555	0.8494356	0.4629061	0.0004151	1.1117115	0.1744566	0.8933266	0.8850544	1.1984091	0.0188679	0.9264254	0.9077741	0.4848272	0.1035930	0.8962286	0.0373167	0.4979106	0.0890499	0.7120937	0.8022661	0.2450485	0.2709245	0.6626504	0.5648110	0.6731326	1.0070371	0.1997180	0.8443316	0.8271618	0.3512637	0.2001238	0.2117386	0.7131215	0.0907574	0.0534249	0.8483674
1.0434484	0.7966369	0.8440103	1.0564556	1.0167334	0.8334717	0.6774099	0.6991412	0.7918152	0.1025608	0.0046049	0.8284787	0.2280130	0.1831408	0.8808283	0.9231292	0.4424924	0.2937450	0.9456021	0.1197921	0.9591496	0.9787455	1.0462311	0.0567343	0.7857956	0.8996735	0.0431401	0.6408837	0.8030210	0.0168285	0.4108785	0.3082852	0.6040717	0.1707875	0.3452953	0.3312978	1.0748144	0.9474966	0.8680159	0.4418231	0.1664246	0.8356583	0.2232937	0.3997917	0.4350919	0.1863621	0.7689006	0.1280738	0.0847855	0.3898564
0.9332539	0.8451395	0.6831937	0.9328634	0.9640430	0.9564949	0.9555262	0.3251890	1.0059317	0.0880882	0.0009538	1.0048333	0.1997103	0.2067009	0.9514313	1.0242933	0.6167877	0.2365655	1.1453635	0.0997086	0.9397118	0.8011946	0.9995857	0.0599879	0.7426294	0.8687412	0.0077754	0.7331492	0.9458212	0.0540425	0.3720580	0.5233812	0.5082887	0.1460682	0.3634093	0.1247766	0.5632467	0.9118360	0.8073717	0.1269343	0.1840315	0.9030432	0.3049915	0.7267027	0.3493561	0.2479933	0.6871244	0.7404511	0.0152493	0.8434907
0.9288978	0.3785108	0.5999056	1.0002947	0.7303860	0.8019887	0.7423638	0.8402342	0.9951488	0.1022776	0.0093634	0.8990696	0.2568139	0.3091283	0.9239183	0.9021926	0.4237889	0.8526580	1.0124908	0.0501876	0.0250286	0.9282172	1.0360998	0.0325097	0.1861853	0.0021462	0.0085286	0.6304899	0.4055692	0.0595602	0.3898227	0.6576992	0.4955379	0.1482868	0.5949517	0.1064253	0.9791738	0.8233053	0.7913806	0.4904874	0.6549084	0.6878132	0.1216773	0.3358115	0.1567071	0.1251917	0.5414515	0.2036323	0.1036392	0.9685384
1.0407596	0.6175356	0.7436601	0.9796287	0.9354800	0.6726051	0.8351873	0.5711799	0.9032987	0.1128223	0.1100286	0.8524677	0.2298694	0.0280539	0.9772080	0.9889739	0.3410082	0.6908971	1.0114754	0.1075175	0.0000351	0.8613487	0.9331411	0.0166791	0.0003997	0.0731733	0.2595499	0.8878356	0.8853368	0.0325991	0.4856207	0.2203715	0.5964765	0.2430265	0.5732388	0.5088255	0.9824060	0.6963052	0.8876458	0.6362604	1.0673496	0.9461913	0.3974160	0.5019471	0.3634619	0.2261624	1.0376573	0.4069088	0.0112030	0.3881449
0.8259096	0.6858873	0.6742722	0.9340593	0.9966249	0.8416427	0.5033202	0.6262387	0.9073921	0.2153487	0.1472103	0.9812736	0.2066792	0.4881647	0.9590510	0.4352568	0.2201573	0.4415887	0.8542479	0.3368341	0.1535571	0.9317882	0.9853397	0.0369575	0.2234039	0.0691011	0.0011976	0.6627189	0.6440282	0.0491506	0.5143662	0.6472778	0.6439486	0.1555816	0.6719750	0.6154383	1.0449895	0.9739873	1.0343974	0.1808828	0.5602836	0.9961987	0.1194275	0.5326307	0.8037146	0.1186837	0.2626437	0.2040147	0.1456699	0.4390501
0.8371089	0.0730587	0.5830181	0.9869073	0.5888662	0.9104499	0.7051638	0.0839755	0.9979025	0.0916065	0.5226432	1.0596804	0.1888340	0.3770828	1.0008255	1.1063550	0.4043424	0.9376409	0.9069413	0.0615711	0.0019795	0.8884043	0.9944249	0.0297687	0.0966521	0.0002693	0.3090060	0.7645263	0.6526205	0.0986811	0.2681658	0.4416905	0.3820387	0.0614146	0.6731469	0.1590706	0.9345289	0.8975335	0.7272938	0.2286480	0.6243921	0.7152150	0.2257427	0.8320342	0.5652782	0.1981352	0.4750506	0.8947239	0.0284071	0.6513184
0.7940344	0.0298883	0.4095047	1.0837236	0.9998486	0.8118976	0.8302154	0.2839173	0.6445686	0.0274189	0.3519653	0.9762181	0.2327552	0.2746194	0.9467848	0.7797307	0.4776997	0.9701761	0.9542654	0.0664113	0.0072328	0.9426417	1.0088079	0.0054959	0.1696645	0.0002034	0.3347579	0.7272175	0.8353915	0.0544764	0.4031633	0.0316391	0.1727490	0.1341653	0.6348007	0.4249731	0.9220730	0.9520449	0.7979122	0.9984686	0.6208659	0.9430358	0.7111496	0.8486229	0.2873333	0.1387678	0.6376546	0.8640172	0.0010696	1.0730531
1.0353948	0.2984953	0.4320508	1.0551395	0.6128302	0.8083633	0.6854224	0.7606412	1.0288822	0.1355396	0.0449417	0.9637377	0.1743085	0.4685609	0.7733043	0.6660835	0.2325448	0.4164215	0.6086049	0.1292676	0.9985772	0.8456759	0.7009667	0.0077046	0.9004712	0.8459207	0.0122144	0.8612909	0.9778883	0.0140712	0.3378821	0.4923096	0.3328036	0.2024348	0.2149272	0.5573661	0.9790997	0.7618566	0.8202856	0.4557746	0.1147383	0.7953517	0.1683131	0.4183040	0.6425009	0.4853879	0.3398377	0.0707721	0.0016137	0.9743249
1.1055520	0.3775430	0.6144806	1.0455989	1.0011832	0.7588397	0.8504687	0.5036915	1.0481297	0.0581954	0.0076109	1.0948890	0.2342714	0.3636964	0.7914440	0.7929592	0.2823685	0.1845717	1.1010388	0.0950498	0.9795988	0.9791981	0.8367873	0.0488835	0.7088044	0.8267715	0.2607589	0.6835609	1.0439750	0.0190990	0.3940854	0.5096651	0.5744811	0.2000441	0.6620624	0.3539053	0.6783238	0.7216135	0.9600125	0.9347746	0.1481928	0.4898763	0.4734849	0.4699507	0.1417584	0.1806557	0.4547347	0.3366486	0.1278314	0.5722697
0.9832811	0.3132977	0.6090478	1.0418929	0.7104633	0.8002591	0.9906762	0.9644065	1.0316103	0.0086223	0.0030578	0.9815386	0.2401342	0.3287870	1.0408714	1.0132187	0.4872157	0.4343050	0.7350628	0.0995498	0.8878165	0.8932014	1.0575871	0.0038372	0.8559631	0.6636647	0.3847068	0.7080948	1.0255095	0.0187167	0.5399713	0.1276290	0.3521412	0.1101009	0.2329769	0.0900823	0.6807217	0.9101913	0.8170795	1.0115201	0.1090333	0.8543748	0.3364976	0.3050416	0.5896395	0.1189913	0.5084232	0.0967447	0.0033527	0.7358598
0.9317894	0.1482553	0.4523779	1.0448957	0.8271336	0.7941089	0.9641047	0.5341154	0.9559352	0.0621577	0.6048852	1.0438072	0.2325627	0.3045945	0.9641435	1.0575259	0.4803743	0.3969606	1.0333503	0.0489993	0.9075254	0.9547088	1.0852353	0.0557022	0.9340245	0.8057715	0.4866868	0.7409218	0.6402486	0.0238469	0.1735545	0.0999221	0.2719724	0.1258016	0.2841668	0.1954500	0.9200497	0.8524911	0.7760391	0.9990258	0.1334437	0.8899921	0.3203722	0.6163642	0.2344230	0.1879873	0.6684302	0.2970224	0.1182660	0.5655622
0.8159439	0.0557354	0.3583818	1.0324141	0.8760630	0.8665268	0.8066466	0.4280444	0.6951343	0.1261512	0.6797120	1.0304831	0.2614381	0.3471325	0.8743895	1.0170248	0.4403776	0.4766780	0.3555147	0.0751508	1.0863991	0.9795957	1.0298695	0.0555992	0.7663193	0.9370005	0.0043347	0.6903102	1.0190587	0.0201741	0.3347758	0.0036060	0.3956181	0.1987456	0.4509928	0.2334040	0.7317760	1.0532523	0.7666725	0.5102732	0.1733455	0.8475462	0.2977982	0.5520024	0.2820036	0.2104376	0.7784008	0.7070890	0.1087523	0.8173434
