YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
0.0000000	0.0198689	0.5929923	1.0000000	1.0000000	0.8548246	1.0000000	0.4352655	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.2541398	0.9187205	1.0000000	0.4699586	0.9918678	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596792	0.4266662	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.8600409	0.1215824	0.6177446	0.9195356	0.2038788	0.7788812	0.5624820	0.1065181	0.7814395
1.0000000	0.0000000	0.5929923	1.0000000	1.0000000	0.8548246	1.0000000	0.4352655	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.2541398	0.9187205	1.0000000	0.4699586	0.9999904	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596792	0.4266662	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.8600409	0.1215824	0.6177446	0.4469240	0.2038788	0.7788812	0.5624820	0.1065181	0.7814829
1.0000000	0.0198689	0.0000006	1.0000000	1.0000000	0.8548246	1.0000000	0.0629784	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.2541398	0.9187205	1.0000000	0.4699586	0.9919013	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596792	0.0146278	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.8600409	0.1215824	0.9845528	0.1539960	0.2038788	0.7788812	0.9997155	0.1065181	0.7814397
1.0000000	0.2867546	0.5394580	0.0000000	1.0000000	0.0629737	1.0000000	0.4336015	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.5796842	0.9187205	1.0000000	0.0250970	0.8584875	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.4339552	0.1124301	1.0000000	0.0375561	1.0000000	0.2261853	0.4222838	0.9972763	0.6116213	0.3816613	1.0000000	0.0212537	0.0430929	1.0000000	0.9873755	0.8600409	0.4690599	0.6194025	0.4383620	0.2038788	0.2128649	0.5663191	0.9997672	0.7091278
1.0000000	0.1001285	0.3771425	1.0000000	0.0000000	0.8548246	1.0000000	0.4070472	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.4986136	0.9187205	1.0000000	0.4699586	0.9507023	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	1.0000000	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	1.0000000	0.4782835	0.3596792	0.1997180	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.4175258	0.1215824	0.6463484	0.3989449	0.2038788	0.2962230	1.0000000	0.1065181	0.7772886
1.0000000	0.0828540	0.3533267	1.0000000	1.0000000	0.0000000	1.0000000	0.3942499	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.5972036	0.9187205	1.0000000	0.0250970	0.9598390	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.9907971	0.1124310	0.3146925	0.0375561	0.9999991	0.9611874	0.2039385	1.0000000	0.6116213	0.0496676	1.0000000	0.8106724	0.5851279	1.0000000	0.9873755	0.8600409	0.1215824	0.6597300	0.3906576	0.2038788	0.1990285	0.6580578	0.1065181	0.7790250
1.0000000	0.0828551	0.3533295	1.0000000	1.0000000	0.0629737	0.0000000	0.3942506	1.0000000	1.0000000	0.9112465	0.3453184	0.8254873	0.5796840	0.7352143	1.0000000	0.0260261	0.9598937	1.0000000	0.0870073	0.0023898	0.1742428	1.0000000	0.0458522	0.1233429	0.0190489	0.4339551	0.1185674	0.3374998	0.0375561	0.9799559	0.6210648	0.1987610	0.9998958	0.3021573	0.0538876	0.4754251	0.9336451	0.5928066	0.9926508	0.9873755	0.5355162	0.1038349	0.6597637	0.3906558	0.2038788	0.2128760	0.6580950	0.9999953	0.7790292
1.0000000	0.3662896	0.5929923	1.0000000	1.0000000	0.8548246	1.0000000	0.0000000	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.2541398	0.9187205	1.0000000	0.4699586	0.8242935	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596792	0.4266662	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.8600409	0.1215824	0.9999970	0.4469240	0.2038788	0.7788812	1.0000000	0.1065181	0.6531818
1.0000000	0.3662896	0.5929923	1.0000000	1.0000000	0.8548246	1.0000000	0.9965623	0.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.2541398	0.9187205	1.0000000	0.4699586	0.8242935	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596792	0.4266662	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.8600409	0.1215824	0.2800357	0.4469240	0.2038788	0.7788812	0.0473717	0.1065181	0.6531818
1.0000000	0.3662896	0.5929923	1.0000000	1.0000000	0.8548246	1.0000000	0.4352655	1.0000000	0.0000000	0.0247070	1.0000000	0.2362853	0.2541398	0.9187248	1.0000000	0.4699586	0.8242936	1.0000000	0.0870073	0.0023898	0.9097055	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596814	0.4266662	0.1573554	0.6116754	0.2913199	1.0000000	0.8106707	0.8885770	0.9999977	0.9873755	0.9954647	0.1227632	0.6177446	0.4469240	0.2038788	0.7788812	0.5624820	0.1065181	0.6531819
