YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
1.0000000	0.6621189	0.8279619	0.9097793	0.9764844	0.8431813	1.0000000	0.2324826	1.0000000	0.0163938	0.0898251	0.9999995	0.2362853	0.3084344	0.9240584	0.7996804	0.3175121	0.3988770	1.0000000	0.1277609	0.0000005	0.9557722	1.0000000	0.0108690	0.0351121	0.1830952	0.3482676	0.6369659	0.6653684	0.0081718	0.4277545	0.5644481	0.9062978	0.0615227	0.5993280	0.5856812	0.9207836	0.7753908	0.8469512	0.9659408	0.9002502	0.8477807	0.1096968	0.8394488	0.1933933	0.1750525	0.6539092	0.8769978	0.0000032	0.3899100
0.8035301	0.0619667	0.4445111	1.0000000	1.0000000	0.7824285	0.6362664	0.5601344	0.8098987	0.0749558	0.0004942	0.9999913	0.0068030	0.2852922	0.9662695	0.8710445	0.3452285	0.8660670	1.0000000	0.0893651	0.1331701	0.9145066	1.0000000	0.0458522	0.0787712	0.0539452	0.0094100	0.6717698	0.9756518	0.0042810	0.5113158	0.2362141	0.2346024	0.1437183	0.6424194	0.4741927	0.6487601	0.9010062	0.9482958	0.8644998	0.5415864	0.9336796	0.0619120	0.5058397	0.4947192	0.2038788	0.7081748	0.1654747	0.1065285	0.9084931
0.2414229	0.0011957	0.5909147	0.8151720	0.9498163	0.8174892	1.0000000	0.9378483	0.8345409	0.0199903	0.0000032	0.8501176	0.1339880	0.3075676	0.8838548	0.3644343	0.1396067	0.3390909	1.0000000	0.4094737	0.9392550	0.8736586	1.0000000	0.0464269	0.7041347	0.8159344	0.1519976	0.6091452	0.9711343	0.0386171	0.4965313	0.1367736	0.4306553	0.1702672	0.3732438	0.3889448	0.5503126	0.8789373	0.9365203	0.9793001	0.0462837	0.9908127	0.4443304	0.2307399	0.5142673	0.1130354	0.6559486	0.0655793	0.1065187	0.9624804
0.8567747	0.1950736	0.5746162	0.4214265	1.0000000	0.3288989	0.9663204	0.7642576	1.0000000	0.0242727	0.1363324	1.0000000	0.1488125	0.1560913	0.8881847	0.7652242	0.4817174	0.0002794	1.0000000	0.1378073	0.9832553	0.9321981	1.0000000	0.0089778	0.9429884	0.8297733	0.3375132	0.1350556	0.9158504	0.0375561	0.4828946	0.0905312	0.6694743	0.7058601	0.1996584	0.2954209	0.6059820	0.5967028	0.6922624	0.9999945	0.1691731	0.8945138	0.8242436	0.3739161	0.2166885	0.2038788	0.7141613	0.0726753	0.0346091	0.8550348
1.0000000	0.6187233	0.7193008	0.9764799	1.0000000	0.7750560	0.6423177	0.6150075	0.8283864	0.1477352	0.0065477	0.8653119	0.2456189	0.2733374	0.8844532	0.9259631	0.3745678	0.3007795	0.9809131	0.0992498	0.9530536	0.9068643	1.0000000	0.0458522	0.7719631	0.8567196	0.0513247	0.6151581	0.7931526	0.0068172	0.5149886	0.3220634	0.6085577	0.1742842	0.3860238	0.3293210	1.0000000	0.9230366	0.8486184	0.4030248	0.1722713	0.7483897	0.1726541	0.4562097	0.4518195	0.1771666	0.7358051	0.2407479	0.1065285	0.3837528
1.0000000	0.7802979	0.5820325	0.8533006	1.0000000	0.8667462	1.0000000	0.3155588	1.0000000	0.0776594	0.0005661	0.9999998	0.1736349	0.1938636	0.9446707	1.0000000	0.5642218	0.2506519	1.0000000	0.0870073	0.9440316	0.9132725	0.9477432	0.0458522	0.7051847	0.8175216	0.0047406	0.7994590	0.9829127	0.0375561	0.3600031	0.6462873	0.4074979	0.1542191	0.3948712	0.1096107	0.5925626	0.9039344	0.8417541	0.1734242	0.1732324	0.8362929	0.2447272	0.7459801	0.3390374	0.2391769	0.7211156	0.7130544	0.0284631	0.7615414
1.0000000	0.4243363	0.6291761	1.0000000	0.7048283	0.7876357	0.7790241	0.7957253	1.0000000	0.1068888	0.0019124	0.9736425	0.2375173	0.3400540	0.8630256	0.9085304	0.3693534	0.8009262	1.0000000	0.0722450	0.0302174	0.9028707	0.9181023	0.0516345	0.1719776	0.0019531	0.0079164	0.6238082	0.4265882	0.0478962	0.4716241	0.6473266	0.4802569	0.1138469	0.5776695	0.0687338	1.0000000	0.7894227	0.8529070	0.5969193	0.5892368	0.6898182	0.1335307	0.3582846	0.1750274	0.1474064	0.5805068	0.2234203	0.1065214	0.8685214
1.0000000	0.5230258	0.6344591	0.8026577	1.0000000	0.7038571	0.8361068	0.5191785	1.0000000	0.0964464	0.1030920	0.8322077	0.2042968	0.0297218	0.9479075	0.8783342	0.3182308	0.7028147	0.9154732	0.0877792	0.0000000	0.8572252	1.0000000	0.0035992	0.0000000	0.0729843	0.2619502	0.8211324	0.8773424	0.0375561	0.5523886	0.2245197	0.4829494	0.2256171	0.5577373	0.4895098	0.9999962	0.7547289	0.8115062	0.8362604	0.9793844	0.8576683	0.4807185	0.5397709	0.4063735	0.2038788	0.9997376	0.3857006	0.0111898	0.3687143
0.7774397	0.6149618	0.6091648	1.0000000	1.0000000	0.7879207	0.5551689	0.5589557	0.8181217	0.1943397	0.1242045	0.9996004	0.2111361	0.4417041	0.8881768	0.4877875	0.2490127	0.5196104	0.8664818	0.2859625	0.1248252	0.9061665	1.0000000	0.0458522	0.1857527	0.0468770	0.0189667	0.6239442	0.6895287	0.0375561	0.5087007	0.6381908	0.4755656	0.2060703	0.5987459	0.5811526	0.9999888	0.9330680	0.9680030	0.1985891	0.5194909	0.9267590	0.1085654	0.5067958	0.6641897	0.1591914	0.3784168	0.2289495	0.1065387	0.4780341
0.8101297	0.1525792	0.5662797	0.8030092	0.6024183	0.8188473	0.7462120	0.0958118	1.0000000	0.1143011	0.4971961	0.9990209	0.2363274	0.3873933	0.9315754	1.0000000	0.4319007	0.9233322	0.8407527	0.0600460	0.0000320	0.8938652	1.0000000	0.0144648	0.0726248	0.0000000	0.2905352	0.8180265	0.7530569	0.0558911	0.2530874	0.4100394	0.4129666	0.0750180	0.6467885	0.1549858	0.8802666	0.8911366	0.7468508	0.2902183	0.6514892	0.7053050	0.2994157	0.8560202	0.5623520	0.2038788	0.4781013	0.9306766	0.0275154	0.6023915
