YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
0.0000058	0.0198865	0.5929923	1.0000000	1.0000000	0.8548246	1.0000000	0.4352655	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.2541398	0.9187205	1.0000000	0.4699586	0.9917815	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596792	0.4266662	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.8600409	0.1215824	0.6177446	0.9193425	0.2038788	0.7788812	0.5624820	0.1065181	0.7814389
1.0000000	0.0000039	0.5929923	1.0000000	1.0000000	0.8548246	1.0000000	0.4352655	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.2541398	0.9187205	1.0000000	0.4699586	0.9999756	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596792	0.4266662	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.8600409	0.1215824	0.6177446	0.4469240	0.2038788	0.7788812	0.5624820	0.1065181	0.7814829
1.0000000	0.0198774	0.0000026	1.0000000	1.0000000	0.8548246	1.0000000	0.0629829	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.2541398	0.9187205	1.0000000	0.4699586	0.9918573	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596792	0.0146296	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.8600409	0.1215824	0.9842162	0.1541089	0.2038788	0.7788812	0.9997133	0.1065181	0.7814394
1.0000000	0.2867615	0.5394581	0.0000000	1.0000000	0.0629737	1.0000000	0.4336016	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.5796836	0.9187205	1.0000000	0.0250971	0.8584663	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.4339542	0.1124309	1.0000000	0.0375561	0.9999996	0.2261806	0.4222827	0.9972763	0.6116213	0.3816616	1.0000000	0.0212574	0.0430991	1.0000000	0.9873755	0.8600409	0.4690599	0.6193996	0.4383640	0.2038788	0.2128982	0.5663180	0.9992022	0.7091172
1.0000000	0.1001808	0.3771449	1.0000000	0.0000002	0.8548246	1.0000000	0.4070629	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.4986136	0.9187205	1.0000000	0.4699586	0.9505746	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.9999990	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.9999993	0.4782835	0.3596792	0.1997323	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.4175259	0.1215824	0.6461292	0.3989851	0.2038788	0.2962287	1.0000000	0.1065181	0.7772760
1.0000000	0.0828840	0.3533274	1.0000000	1.0000000	0.0000002	1.0000000	0.3942608	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.5972029	0.9187205	1.0000000	0.0250974	0.9597357	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.9907903	0.1124461	0.3146927	0.0375561	0.9999905	0.9611730	0.2039405	1.0000000	0.6116213	0.0496683	1.0000000	0.8106724	0.5851356	1.0000000	0.9873755	0.8600409	0.1215824	0.6594845	0.3906880	0.2038788	0.1991056	0.6579404	0.1065181	0.7790187
1.0000000	0.0828668	0.3533298	1.0000000	1.0000000	0.0629738	0.0000000	0.3942549	1.0000000	1.0000000	0.9112456	0.3453185	0.8254858	0.5796816	0.7352144	1.0000000	0.0260265	0.9598503	1.0000000	0.0870073	0.0023898	0.1742430	1.0000000	0.0458522	0.1233429	0.0190489	0.4339519	0.1185814	0.3375014	0.0375561	0.9799459	0.6210699	0.1987567	0.9998958	0.3021575	0.0538886	0.4754469	0.9336440	0.5928144	0.9926487	0.9873755	0.5355162	0.1038349	0.6596467	0.3906688	0.2038788	0.2129721	0.6580466	0.9999835	0.7790267
1.0000000	0.3662896	0.5929923	1.0000000	1.0000000	0.8548246	1.0000000	0.0000023	1.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.2541398	0.9187205	1.0000000	0.4699586	0.8242935	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596792	0.4266662	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.8600409	0.1215824	0.9998861	0.4469240	0.2038788	0.7788812	0.9999996	0.1065181	0.6531818
1.0000000	0.3662896	0.5929923	1.0000000	1.0000000	0.8548246	1.0000000	0.9965595	0.0000000	0.0776594	0.0252731	0.9997847	0.2362945	0.2541398	0.9187205	1.0000000	0.4699586	0.8242935	1.0000000	0.0870073	0.0023898	0.9096400	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596792	0.4266662	0.1579490	0.6116213	0.2913199	1.0000000	0.8106710	0.8885759	0.7862669	0.9873755	0.8600409	0.1215824	0.2801870	0.4469240	0.2038788	0.7788812	0.0473767	0.1065181	0.6531818
1.0000000	0.3662895	0.5929923	1.0000000	1.0000000	0.8548246	1.0000000	0.4352655	1.0000000	0.0000025	0.0247072	1.0000000	0.2362853	0.2541398	0.9187248	1.0000000	0.4699586	0.8242938	1.0000000	0.0870073	0.0023898	0.9097055	1.0000000	0.0458522	0.1233429	0.0190489	0.2632636	0.7656434	0.9805927	0.0375561	0.4782835	0.3596813	0.4266661	0.1573554	0.6116753	0.2913199	1.0000000	0.8106707	0.8885770	0.9999887	0.9873755	0.9954298	0.1227631	0.6177446	0.4469240	0.2038788	0.7788812	0.5624820	0.1065181	0.6531820
