YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
1.0000000	0.6621066	0.8279641	0.9097793	0.9764845	0.8431816	1.0000000	0.2324830	1.0000000	0.0163938	0.0898248	0.9999995	0.2362853	0.3084333	0.9240584	0.7996804	0.3175148	0.3989421	1.0000000	0.1277603	0.0000005	0.9557722	1.0000000	0.0108691	0.0351122	0.1830952	0.3482670	0.6369761	0.6653685	0.0081718	0.4277492	0.5644480	0.9062965	0.0615226	0.5993280	0.5856823	0.9207838	0.7753927	0.8469542	0.9659406	0.9002502	0.8477797	0.1096968	0.8393747	0.1934011	0.1750526	0.6539949	0.8769943	0.0000073	0.3899461
0.8035303	0.0620113	0.4445167	1.0000000	1.0000000	0.7824292	0.6362674	0.5601415	0.8098987	0.0749527	0.0004931	0.9999913	0.0068031	0.2852917	0.9662695	0.8710445	0.3452309	0.8659721	1.0000000	0.0893650	0.1331701	0.9145066	1.0000000	0.0458522	0.0787703	0.0539452	0.0094099	0.6717790	0.9756521	0.0042810	0.5113096	0.2362113	0.2346239	0.1437177	0.6424195	0.4741944	0.6487604	0.9010054	0.9482965	0.8645835	0.5415865	0.9336993	0.0619111	0.5058294	0.4947404	0.2038788	0.7081982	0.1654607	0.1065285	0.9084903
0.2414235	0.0012012	0.5909207	0.8151720	0.9498164	0.8174895	1.0000000	0.9378489	0.8345409	0.0199904	0.0000032	0.8501176	0.1339880	0.3075666	0.8838548	0.3644343	0.1396077	0.3391419	1.0000000	0.4094702	0.9392408	0.8736586	1.0000000	0.0464269	0.7041259	0.8158892	0.1519973	0.6091559	0.9711344	0.0386170	0.4965247	0.1367739	0.4306787	0.1702670	0.3733531	0.3889463	0.5503130	0.8789379	0.9365216	0.9793000	0.0462891	0.9908125	0.4443168	0.2307723	0.5142269	0.1130356	0.6560659	0.0655796	0.1065187	0.9624831
0.8567748	0.1951498	0.5746190	0.4214265	1.0000000	0.3288997	0.9663204	0.7642584	1.0000000	0.0242726	0.1363323	1.0000000	0.1488125	0.1560864	0.8881847	0.7652242	0.4817230	0.0002807	1.0000000	0.1378072	0.9832552	0.9321981	1.0000000	0.0089778	0.9429882	0.8297730	0.3374366	0.1351226	0.9158545	0.0375561	0.4828695	0.0905303	0.6694886	0.7058560	0.1996613	0.2954306	0.6059821	0.5967087	0.6923067	0.9999945	0.1691732	0.8945140	0.8242432	0.3739229	0.2166962	0.2038788	0.7142405	0.0726745	0.0346097	0.8549924
1.0000000	0.6187233	0.7193008	0.9764799	1.0000000	0.7750560	0.6423177	0.6150075	0.8283864	0.1477352	0.0065477	0.8653119	0.2456189	0.2733374	0.8844532	0.9259631	0.3745678	0.3008065	0.9809131	0.0992498	0.9530472	0.9068643	1.0000000	0.0458522	0.7719576	0.8567010	0.0513247	0.6151581	0.7931526	0.0068172	0.5149886	0.3220634	0.6085577	0.1742842	0.3860933	0.3293210	1.0000000	0.9230366	0.8486184	0.4030248	0.1722771	0.7483897	0.1726517	0.4562097	0.4518195	0.1771666	0.7358051	0.2407479	0.1065285	0.3837573
1.0000000	0.7803289	0.5820390	0.8533006	1.0000000	0.8667466	1.0000000	0.3155600	1.0000000	0.0776594	0.0005662	0.9999998	0.1736350	0.1938633	0.9446707	1.0000000	0.5642237	0.2506963	1.0000000	0.0870073	0.9440210	0.9132725	0.9477432	0.0458522	0.7051777	0.8174874	0.0047413	0.7994668	0.9829129	0.0375561	0.3599981	0.6462871	0.4075193	0.1542188	0.3949668	0.1096115	0.5925635	0.9039342	0.8417576	0.1734235	0.1732420	0.8362929	0.2447203	0.7459302	0.3390529	0.2391762	0.7211159	0.7130472	0.0284661	0.7615393
1.0000000	0.4245017	0.6291843	1.0000000	0.7048290	0.7876363	0.7790258	0.7957255	1.0000000	0.1068858	0.0019097	0.9736426	0.2375173	0.3400487	0.8630256	0.9085304	0.3693561	0.8007613	1.0000000	0.0722448	0.0302173	0.9028708	0.9181023	0.0516340	0.1719775	0.0019531	0.0079169	0.6238190	0.4265884	0.0478954	0.4716181	0.6473253	0.4802816	0.1138461	0.5776697	0.0687346	1.0000000	0.7894232	0.8529093	0.5970226	0.5892373	0.6898498	0.1335313	0.3583471	0.1750457	0.1474058	0.5807667	0.2234187	0.1065214	0.8684208
1.0000000	0.5231748	0.6344670	0.8026577	1.0000000	0.7038576	0.8361073	0.5191796	1.0000000	0.0964457	0.1030914	0.8322077	0.2042967	0.0297217	0.9479075	0.8783342	0.3182350	0.7026764	0.9154732	0.0877791	0.0000000	0.8572253	1.0000000	0.0035993	0.0000000	0.0729843	0.2619497	0.8211437	0.8773428	0.0375561	0.5523756	0.2245195	0.4829802	0.2256163	0.5577374	0.4895127	0.9999962	0.7547304	0.8115124	0.8362707	0.9793844	0.8576752	0.4807184	0.5397746	0.4063965	0.2038788	0.9997366	0.3856961	0.0111914	0.3685651
0.7774398	0.6149821	0.6091687	1.0000000	1.0000000	0.7879213	0.5551694	0.5589561	0.8181217	0.1943365	0.1241875	0.9996003	0.2111361	0.4417038	0.8881768	0.4877875	0.2490134	0.5196110	0.8664818	0.2859618	0.1248105	0.9061665	1.0000000	0.0458522	0.1856399	0.0468567	0.0189667	0.6239508	0.6895288	0.0375561	0.5086961	0.6381907	0.4755765	0.2060673	0.5987481	0.5811539	0.9999889	0.9330637	0.9680052	0.1986306	0.5195527	0.9267645	0.1084923	0.5068126	0.6641922	0.1591914	0.3784534	0.2289497	0.1065387	0.4780047
0.8101297	0.1526439	0.5662836	0.8030092	0.6024185	0.8188474	0.7462123	0.0958122	1.0000000	0.1143004	0.4971953	0.9990209	0.2363274	0.3873922	0.9315754	1.0000000	0.4319018	0.9232147	0.8407527	0.0600460	0.0000320	0.8938653	1.0000000	0.0144647	0.0726248	0.0000000	0.2905363	0.8180298	0.7530570	0.0558909	0.2530857	0.4100406	0.4129842	0.0750178	0.6467886	0.1549863	0.8802698	0.8911365	0.7468597	0.2902289	0.6514892	0.7053128	0.2994157	0.8560014	0.5623649	0.2038788	0.4781674	0.9306766	0.0275160	0.6023673
