YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
0.0000000	0.0372481	0.3045380	0.6459955	0.7928191	0.4880561	0.8005246	0.3043058	0.6353296	0.0433129	0.0351733	0.6854467	0.1034540	0.1251075	0.7319371	0.6392174	0.2691107	0.6857611	0.5993219	0.0603712	0.0020524	0.6287530	0.6293393	0.0752103	0.1043750	0.0136180	0.2527894	0.6242995	0.8038976	0.0201054	0.3360207	0.3326508	0.3490125	0.0946434	0.4326764	0.1435722	0.5908299	0.5957735	0.5566337	0.4526759	0.7341780	0.5223227	0.0775239	0.3328997	0.6177717	0.1277294	0.5125824	0.3646107	0.1090767	0.5271083
0.6013603	0.0019647	0.4421404	0.6480093	0.5361602	0.5588046	0.6188046	0.2660051	0.5806893	0.0521042	0.0256285	0.6426210	0.0912488	0.1754812	0.7086480	0.6825118	0.3228728	0.5139712	0.6880823	0.0704780	0.0047834	0.6213699	0.7110822	0.0130368	0.0618593	0.0068407	0.1552949	0.4640753	0.6106648	0.0250706	0.2642530	0.2728151	0.4464752	0.1136554	0.3761122	0.2063802	0.8083557	0.4850599	0.5493686	0.4280224	0.7289817	0.4839080	0.0809355	0.4307066	0.2880659	0.2049739	0.4700384	0.3997129	0.0716012	0.4456939
0.6608025	0.0108066	0.0000000	0.5825790	0.6258432	0.6209866	0.6378449	0.0846367	0.5684252	0.0536406	0.0229647	0.7178552	0.1846274	0.2062629	0.6486380	0.5404033	0.3820570	0.6929435	0.6374363	0.0716712	0.0039246	0.4669301	0.6319000	0.0232557	0.1184150	0.0084382	0.1837029	0.5527065	0.6327611	0.0143514	0.2296926	0.2649044	0.0151995	0.0898390	0.5233263	0.1399837	0.6947770	0.6201568	0.5428170	0.5068033	0.7319826	0.5005241	0.0962577	0.7252785	0.0797823	0.1967725	0.4707636	0.7366312	0.0486755	0.5580042
0.6419094	0.1555209	0.3294311	0.0000000	0.6187370	0.0524942	0.6875613	0.3427905	0.6228287	0.0981431	0.0183863	0.7368204	0.1494795	0.3105722	0.6307071	0.8235644	0.0275269	0.6234100	0.7282143	0.1008849	0.0039837	0.4215621	0.7156717	0.0299664	0.0527059	0.0057365	0.3216765	0.1095225	0.5452640	0.0613195	0.6487475	0.1871643	0.2251236	0.7576881	0.3371110	0.3080504	0.8416075	0.0263045	0.0119561	0.6313155	0.7194937	0.5462635	0.2585704	0.4362281	0.2671296	0.0970890	0.2104532	0.3266969	0.5804886	0.4795013
0.7005602	0.0356463	0.2241620	0.7764082	0.0000000	0.6206240	0.5452308	0.2739950	0.6536729	0.0358908	0.0213372	0.6285369	0.1753441	0.3357893	0.6326680	0.7038621	0.3539295	0.7400973	0.5768948	0.0439560	0.0036162	0.6394645	0.6994569	0.6158646	0.0780987	0.0122514	0.1903341	0.6179572	0.6989162	0.6079437	0.2602931	0.1940862	0.1717091	0.1001941	0.4545947	0.2446453	0.7123402	0.4773015	0.5805464	0.4623565	0.5848222	0.3219542	0.1603906	0.4210139	0.2216750	0.1311796	0.1893459	0.6697255	0.0596372	0.4918563
0.5817167	0.1868525	0.2858863	0.5741187	0.7082516	0.0000000	0.7492747	0.2461647	0.7555675	0.0377829	0.0260239	0.7408738	0.1857777	0.4043368	0.6249609	0.5783207	0.0140923	0.5615577	0.5974314	0.0379477	0.0032467	0.5016178	0.6882275	0.0384761	0.0899635	0.0232043	0.7117684	0.0596321	0.1874109	0.0382246	0.6685218	0.6830124	0.1627034	0.5352650	0.3529943	0.0358611	0.6169458	0.4426416	0.4276651	0.6438366	0.6416123	0.5256241	0.1336176	0.4598731	0.1964716	0.1192770	0.1393577	0.4484712	0.0685943	0.5667004
0.6560640	0.0226051	0.2070686	0.6863802	0.6842747	0.0259536	0.0000000	0.2245004	0.7108346	0.6876086	0.6031365	0.2592029	0.5290603	0.3543471	0.4874012	0.6886423	0.0127482	0.7212953	0.6040740	0.0811099	0.0027543	0.1391755	0.6872268	0.0256536	0.0644089	0.0122478	0.3585010	0.0923113	0.2276944	0.0258255	0.6373467	0.4377179	0.1249701	0.7527200	0.2313436	0.0415192	0.2901000	0.5027723	0.5315143	0.6032069	0.7222278	0.3794997	0.0874861	0.3731386	0.2714127	0.1552157	0.1352519	0.3738712	0.7479640	0.6377014
0.7450676	0.2476099	0.4111151	0.6034056	0.6692632	0.5234780	0.5653248	0.0000000	0.6260770	0.0561694	0.0118957	0.7236994	0.1690751	0.1400047	0.7041510	0.6565939	0.3334742	0.4900106	0.6326792	0.0539217	0.0065969	0.5514378	0.5837083	0.0695515	0.0843596	0.0170471	0.2531935	0.4337557	0.6824862	0.0462265	0.3469996	0.2113619	0.2921244	0.1262780	0.2730387	0.1593008	0.7244164	0.5666556	0.5369128	0.4531943	0.5517074	0.4737874	0.0797557	0.5959694	0.2323629	0.1593871	0.4933994	0.7553754	0.0618703	0.3938404
0.6609117	0.1930892	0.3499871	0.6977452	0.6946457	0.5348804	0.7193243	0.6292409	0.0000000	0.1007742	0.0317616	0.6513533	0.1572051	0.1340737	0.5607894	0.5959641	0.2596163	0.4944672	0.7777531	0.0766427	0.0015004	0.6033151	0.6040764	0.0128862	0.0586974	0.0138204	0.1399113	0.4766681	0.6718393	0.0135039	0.4627072	0.2323516	0.3196942	0.1001381	0.4117759	0.1880137	0.7204464	0.6310197	0.5040612	0.4773349	0.5408702	0.5684835	0.0865817	0.1570687	0.3658410	0.1125469	0.5507907	0.0426049	0.0579481	0.4417980
0.7210402	0.3037183	0.4779907	0.5979286	0.6290916	0.5398060	0.6476959	0.2154409	0.6879146	0.0000000	0.0154083	0.6130868	0.1605625	0.2349548	0.7059794	0.7173074	0.3533734	0.5218855	0.8496273	0.0516210	0.0030039	0.6425449	0.6973174	0.0278531	0.1117038	0.0019108	0.2040132	0.5119631	0.6285009	0.0482609	0.2359940	0.2847893	0.3394242	0.1374337	0.3813895	0.1836445	0.7449215	0.6715991	0.6811514	0.7684674	0.7908015	0.6047815	0.1140641	0.4192288	0.2750163	0.2090954	0.4134807	0.4189498	0.0944183	0.4008900
