YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
0.6751173	0.4707070	0.5333129	0.6763188	0.6039811	0.4882696	0.7309791	0.1448732	0.6170862	0.0341163	0.0591926	0.7255872	0.1539934	0.2417740	0.5549542	0.5720395	0.1902104	0.2704072	0.5923126	0.0851659	0.0052072	0.7587178	0.6681883	0.0143596	0.0259130	0.1101242	0.2290319	0.4042626	0.4551288	0.0013365	0.4115551	0.3873597	0.5547174	0.0702839	0.3862734	0.3894081	0.5633697	0.4982671	0.5942463	0.5615784	0.5835888	0.5201787	0.0691903	0.4947962	0.1451736	0.2037550	0.5006563	0.4631541	0.0006892	0.2585293
0.5462395	0.0922428	0.3371715	0.6516154	0.7151123	0.5659076	0.2997342	0.3419178	0.5492031	0.0325608	0.0007510	0.5642282	0.0053828	0.1618477	0.6012650	0.5477458	0.2431394	0.5252456	0.6538814	0.0496878	0.0801411	0.5670936	0.5770684	0.0106408	0.0311860	0.0250644	0.0237142	0.4897907	0.5746397	0.0102913	0.3157528	0.1635307	0.1636980	0.1478929	0.4737285	0.3238543	0.4329659	0.6127839	0.6354346	0.5155989	0.3887045	0.6263950	0.0257197	0.3146438	0.3763100	0.1890238	0.3929145	0.1099256	0.1070013	0.5529685
0.1131915	0.0018164	0.3763395	0.5310922	0.7022285	0.6014176	0.7154515	0.6973433	0.5542797	0.0221693	0.0022186	0.5084579	0.0806972	0.1920535	0.5924973	0.2089272	0.1010243	0.2597607	0.6906072	0.3295664	0.5510796	0.5764485	0.6432223	0.0417493	0.5723496	0.5022391	0.1002243	0.3640009	0.6528702	0.0313983	0.3278587	0.0970030	0.2910880	0.1129194	0.2797192	0.2357253	0.3903281	0.7291133	0.6371778	0.7129962	0.0236205	0.6769288	0.2849819	0.1692771	0.3344439	0.1145533	0.4762393	0.0499155	0.0715176	0.6658655
0.6545253	0.1348751	0.3472671	0.2673986	0.6385963	0.1765007	0.5756838	0.6008675	0.6069191	0.0132185	0.0781922	0.6244088	0.1407407	0.1091175	0.7089799	0.5270345	0.2302145	0.0002343	0.7328657	0.1076674	0.7077182	0.6077142	0.6975062	0.0105110	0.6203962	0.6323895	0.2554212	0.0607899	0.7071219	0.0192771	0.3892627	0.0744913	0.4685024	0.6086334	0.1645483	0.1947827	0.4529000	0.3007281	0.4761345	0.6408263	0.1238791	0.5436538	0.6154776	0.2206662	0.0965583	0.1176410	0.4622365	0.0665863	0.0509468	0.5774123
0.6983818	0.5102123	0.5419136	0.6159264	0.6432333	0.5138967	0.5233226	0.4911848	0.5516931	0.0689975	0.0025996	0.5591648	0.1681181	0.1427973	0.6467942	0.5925403	0.2250148	0.1529800	0.6603080	0.0954876	0.6916500	0.6536117	0.7881019	0.0457945	0.6040549	0.5571682	0.0258231	0.3973493	0.4746463	0.0147926	0.2276752	0.2353827	0.3811473	0.0875551	0.2591122	0.2274126	0.6706760	0.5598717	0.6204963	0.2514154	0.1402181	0.5487525	0.1533384	0.2660002	0.2692343	0.1172698	0.5494755	0.0663537	0.0437634	0.2429227
0.6360575	0.5270389	0.4467337	0.6509511	0.6308174	0.5378941	0.5163400	0.2059799	0.6798421	0.0652286	0.0002999	0.7151081	0.1214311	0.1472098	0.6785790	0.5991148	0.4222724	0.1879672	0.7854450	0.0612192	0.6366456	0.4240356	0.6201842	0.0335029	0.4488828	0.5762264	0.0064610	0.4942862	0.4365323	0.0295712	0.3154488	0.3363120	0.2850574	0.0800196	0.2004969	0.0582615	0.3658283	0.6449724	0.5754268	0.0844983	0.1239835	0.5522767	0.1983623	0.4116476	0.2118133	0.1544959	0.4104698	0.4883093	0.0157733	0.5354327
0.5963308	0.2660240	0.3097291	0.7489214	0.4455050	0.5481365	0.4754782	0.5517377	0.5951072	0.0618890	0.0024389	0.5212132	0.1273396	0.2026804	0.5598075	0.6082525	0.2607116	0.6056227	0.6674919	0.0196627	0.0156312	0.5820330	0.6938371	0.0440213	0.1021183	0.0029980	0.0078174	0.4083192	0.2693631	0.0339353	0.2500258	0.4576282	0.3731582	0.1268230	0.3790130	0.0841753	0.7791618	0.6583815	0.6085800	0.3026019	0.4903949	0.4978998	0.0997067	0.2458279	0.0636221	0.0812705	0.3410611	0.1242177	0.0564235	0.7217688
0.7243113	0.3459522	0.5090681	0.5966529	0.6134550	0.4206658	0.5838921	0.4368557	0.5715258	0.0880061	0.0595657	0.5720889	0.1741851	0.0111815	0.5896154	0.6792516	0.2049148	0.4934234	0.6863206	0.0512132	0.0000154	0.5565906	0.7623094	0.0152434	0.0000725	0.0454751	0.2058495	0.5056707	0.5824235	0.0239978	0.2835014	0.1326802	0.3785160	0.1377472	0.4876609	0.3024078	0.5741120	0.3980453	0.5428611	0.4690542	0.7622129	0.5773522	0.2971813	0.2922902	0.2345082	0.1224633	0.7202242	0.2869816	0.0042245	0.2944001
0.5930562	0.4304909	0.4564786	0.6540661	0.6110152	0.5385725	0.2677438	0.3872500	0.6056082	0.1267822	0.1165989	0.6889625	0.1329341	0.2979290	0.6958046	0.3060730	0.1082170	0.3216824	0.5519201	0.2040123	0.0839920	0.5971296	0.6659727	0.0347726	0.1260651	0.0350670	0.0024977	0.4435028	0.4180855	0.0271619	0.3418356	0.4309154	0.4509615	0.1390367	0.4773753	0.4617623	0.6673442	0.5819221	0.7423454	0.1146780	0.3573723	0.6238542	0.0538759	0.3363047	0.4798755	0.0710539	0.1530232	0.1150188	0.1212056	0.2431166
0.6145606	0.0815644	0.3512632	0.6187972	0.3456515	0.6068556	0.4922936	0.0644224	0.5021064	0.0562089	0.3918183	0.7228513	0.1320433	0.3494256	0.7722700	0.8463224	0.2376962	0.5757476	0.5664862	0.0555075	0.0040579	0.7061623	0.6665174	0.0340030	0.0800380	0.0000857	0.2430238	0.5976186	0.4608997	0.0456619	0.1697838	0.3287472	0.2811878	0.0388670	0.4647937	0.1460184	0.5809081	0.5459447	0.5350941	0.1925268	0.3463269	0.4190488	0.1618828	0.5448764	0.5362946	0.1205346	0.3039771	0.6643469	0.0155801	0.3983915
