YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.3164884	0.6434794	0.7284169	0.3513955	0.4615740	0.6963956	0.1145978	0.6875231	0.0685337	0.5752373	0.6183970	0.0538853	0.6309271	0.6164310	0.0136513	0.4012188	0.7238016	0.0186908	0.0475400	0.0809606	0.7301177	0.2687943	0.0032039	0.8788015	0.7419222	0.5483851	0.0585641	0.3750009	0.0592328	0.5060087	0.3041573	0.6019034	0.6570197	0.7474126	0.0255253	0.7191391	0.1000035	0.4604458	0.2914233	0.5689138	0.3189577	0.1342076	0.0780706	0.0330018	0.0949993	0.3344931	0.2634487	0.5411296	0.1858124	0.4701308
0.5664394	0.2702953	0.7278086	0.3981058	0.0467325	0.7336065	0.0655101	0.7593269	0.0435666	0.6040113	0.6934774	0.0388520	0.5497687	0.7004880	0.0163433	0.4743131	0.8014038	0.0083978	0.1061831	0.1006995	0.7936532	0.1514597	0.0106971	0.7547064	0.6925470	0.1876026	0.0926575	0.2133359	0.0329753	0.3945439	0.3332899	0.6175574	0.5648605	0.5973126	0.0208195	0.6952239	0.1044825	0.3812733	0.2141742	0.5078449	0.2346808	0.2264760	0.4956926	0.0067001	0.1321419	0.3336535	0.3042723	0.4896772	0.1391424	0.4689282
0.7224561	0.5083893	0.3485180	0.4784288	0.0485707	0.7400406	0.0420512	0.5849792	0.0801938	0.7509277	0.7563337	0.0414246	0.7173607	0.7532637	0.0145387	0.3978606	0.6984775	0.0459251	0.0736555	0.1046565	0.7374719	0.3579765	0.0188924	0.7776561	0.6158681	0.2209131	0.0542556	0.2133395	0.0939493	0.3370690	0.3822840	0.6273977	0.5587715	0.6408393	0.0351628	0.6370621	0.0947304	0.3725574	0.3680661	0.4505207	0.2657045	0.2225677	0.4752277	0.0249568	0.0600897	0.3906569	0.2801841	0.5100324	0.1056703	0.4803685
0.6692662	0.4025492	0.6096053	0.1593087	0.0384253	0.7849496	0.0487057	0.6454948	0.0317745	0.6669685	0.7015956	0.0332548	0.6809590	0.6618580	0.0094801	0.5773199	0.5968905	0.0162816	0.0474133	0.1000668	0.6795931	0.2605818	0.0051487	0.6992393	0.6801952	0.1814701	0.0959179	0.1614702	0.0358711	0.4218144	0.4516650	0.5925016	0.5700758	0.5066987	0.0610232	0.6408455	0.0926983	0.3503262	0.2074756	0.5465328	0.1731638	0.1785654	0.5458770	0.0180044	0.1184408	0.4233539	0.3194162	0.4805176	0.2080057	0.4657731
0.8418724	0.4360193	0.6144869	0.3904304	0.0141615	0.6335177	0.0681201	0.6047019	0.0522243	0.7974592	0.7082427	0.0407008	0.8044150	0.5987224	0.0308476	0.4141360	0.7252057	0.0131570	0.1350188	0.0869464	0.8708221	0.2686849	0.0042621	0.8243812	0.6600288	0.1502852	0.0769600	0.2471306	0.0407905	0.4298184	0.3463254	0.6056395	0.5133174	0.5598978	0.0134915	0.4782022	0.1266688	0.4661353	0.2345208	0.5461989	0.2037204	0.2328199	0.3875606	0.0101755	0.0826419	0.4872303	0.2498645	0.6130615	0.2017121	0.3898415
0.7421433	0.5057318	0.5282833	0.4344844	0.0644828	0.4018739	0.0940171	0.7182380	0.0673340	0.6486890	0.7413062	0.0200347	0.7105891	0.6636276	0.0331526	0.6875759	0.6276001	0.0247305	0.1452433	0.0752167	0.6929049	0.2589928	0.0060795	0.6475637	0.7182396	0.2591033	0.0634573	0.2032389	0.0739060	0.3826570	0.4331864	0.6675988	0.5345715	0.6741007	0.0270307	0.6690730	0.0622205	0.4345977	0.2138133	0.4918773	0.2227983	0.2175894	0.4014755	0.0351548	0.0969972	0.4205347	0.2558321	0.4089271	0.1751641	0.4633671
0.6403425	0.4482857	0.6647535	0.4422756	0.1151785	0.6731833	0.0487069	0.6260207	0.0810799	0.6736785	0.6666656	0.0471054	0.7026868	0.6498510	0.0318673	0.5159490	0.6944321	0.0185290	0.0881101	0.0913540	0.6825920	0.1827323	0.0119117	0.6525259	0.6179745	0.2544296	0.0795502	0.2225795	0.0709198	0.4857250	0.4472313	0.5934761	0.5785045	0.6381375	0.0261176	0.6994434	0.1108824	0.3412719	0.1212395	0.4882593	0.1734446	0.2003077	0.3828354	0.0093520	0.0750366	0.3611727	0.2870390	0.6088643	0.1739060	0.6088676
0.6733936	0.4479186	0.6669238	0.4189371	0.0358275	0.5195093	0.0835898	0.3947814	0.0467277	0.8897127	0.6570017	0.0468890	0.7391052	0.7361965	0.0097733	0.2540573	0.8571680	0.0144993	0.0857688	0.1489978	0.6185219	0.2085153	0.0113875	0.7272736	0.5909472	0.1301582	0.0827603	0.1438753	0.0589160	0.6601587	0.4287755	0.5810221	0.6146042	0.7197555	0.0112196	0.5502649	0.0821762	0.4629043	0.2677107	0.5865695	0.1822745	0.2205059	0.5316474	0.0173383	0.0991967	0.4874155	0.2662736	0.6159922	0.6520215	0.6824726
0.5203594	0.5215572	0.6269032	0.4395361	0.0586943	0.8679536	0.0624191	0.7618692	0.0520385	0.6697395	0.6383336	0.0509580	0.7898752	0.7902234	0.0221668	0.4950536	0.7453417	0.0247738	0.1007182	0.1847082	0.6910499	0.2258543	0.0220851	0.6146795	0.5813743	0.2312362	0.0736798	0.2074382	0.0798521	0.4335726	0.3720005	0.5884557	0.6274164	0.6187705	0.0430717	0.7077705	0.0799968	0.4489908	0.1762565	0.4905061	0.2508744	0.1721760	0.4621403	0.0076617	0.0602703	0.4677711	0.2327823	0.5882052	0.1687434	0.4352886
0.6854549	0.4855991	0.6394612	0.4283841	0.0536906	0.7141809	0.1335230	0.6490397	0.0609045	0.3838133	0.6912933	0.0486623	0.7202724	0.7486539	0.0244729	0.5010554	0.6600765	0.0368723	0.0786868	0.1200725	0.7496169	0.1773120	0.0581624	0.6536844	0.6857208	0.2194858	0.0630761	0.2796740	0.0560107	0.4618661	0.3698393	0.6543337	0.4379813	0.6916457	0.0460749	0.7823306	0.1176353	0.4382698	0.2177290	0.5457065	0.2957464	0.2705806	0.4571636	0.0400327	0.0866578	0.4096387	0.3001176	0.5946679	0.1394671	0.4482567
