YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.5266690	0.8053724	0.9969700	0.5551157	0.6215414	0.9886481	0.1286362	1.0557749	0.0844645	0.9538962	0.9030883	0.0734072	0.9612434	0.9680993	0.0331067	0.6751318	1.0256191	0.0310576	0.0679743	0.1167444	1.0489125	0.3893804	0.0063117	1.0324502	1.0804131	0.7709369	0.0744541	0.6278546	0.0821263	0.6574386	0.5683061	0.9182321	0.8883407	0.9554276	0.0474319	1.0393509	0.1460925	0.6214493	0.4138557	0.7600424	0.4656516	0.2896418	0.0984227	0.0441933	0.1211013	0.4179275	0.4302398	0.7459865	0.2306007	0.6763253
0.9815330	0.4082940	1.0635825	0.6363902	0.0774383	1.0279244	0.1058742	1.0392291	0.0862304	0.9463445	0.9887537	0.0590694	0.9060110	0.8536121	0.0255378	0.7133687	1.1106748	0.0206432	0.1666267	0.1573140	1.0337682	0.3067178	0.0150233	1.0507823	0.9942643	0.3333900	0.1012995	0.3059451	0.0644310	0.7278054	0.6849272	0.9086202	0.8269343	0.8767587	0.0361953	0.9787989	0.1509565	0.5347414	0.3179020	0.6880019	0.3323957	0.3414308	0.6874952	0.0225161	0.1357527	0.6515994	0.4534571	0.7413403	0.2480689	0.7073472
1.0229792	0.8194641	0.5248917	0.6105749	0.1001941	1.0237436	0.0862878	0.9616559	0.0855558	1.0517999	0.9912126	0.0692084	1.0996161	1.0756250	0.0274776	0.6700480	1.0515967	0.0392454	0.1046812	0.1259334	1.0119452	0.5515337	0.0179296	0.9991237	0.9804611	0.2920136	0.1145267	0.3126320	0.0890008	0.5888525	0.5702077	0.9901207	0.8843236	0.9121441	0.0497646	0.9732497	0.1824796	0.5645442	0.5855267	0.7460827	0.4134609	0.3224416	0.6864393	0.0391077	0.0850907	0.5867592	0.4104983	0.7376565	0.1558765	0.6346050
1.0600081	0.6984268	0.9630837	0.2802531	0.0758566	1.1062246	0.0804011	1.0045917	0.0620415	0.9741484	0.9778567	0.0521970	1.0019776	1.1108049	0.0248935	0.7115542	0.9922143	0.0300263	0.0885508	0.1353108	0.9613591	0.3199468	0.0058774	0.9415842	1.0270837	0.2411936	0.1198369	0.2713983	0.0708449	0.5969784	0.5950772	0.8555849	0.8326115	0.8680381	0.0423500	1.0123284	0.1492976	0.5438419	0.3090051	0.6992681	0.3228358	0.3022935	0.7342378	0.0402236	0.1678410	0.6980998	0.4312659	0.7434237	0.2923125	0.7083790
1.0409429	0.6839812	0.9601140	0.6120713	0.0226824	0.9281699	0.1163805	0.9753019	0.0957287	1.1103184	0.9991727	0.0770080	1.1304342	0.9975968	0.0282579	0.7451447	1.0539975	0.0289357	0.1958398	0.1790315	1.0918162	0.3500498	0.0103664	1.0271887	1.0536464	0.2603145	0.0962704	0.3046348	0.0462167	0.6524178	0.5273128	0.9395396	0.7291733	0.8179020	0.0337529	0.9360364	0.1731647	0.6033415	0.3825106	0.7201182	0.3724140	0.3125920	0.6322357	0.0283959	0.1029051	0.6729769	0.4421574	0.8399532	0.2630252	0.6959228
1.0761493	0.7250153	0.9488742	0.6241553	0.0942501	0.5157916	0.1026387	1.1143417	0.0866419	1.0525137	1.0336890	0.0472819	1.0618028	0.9884075	0.0440122	0.8154135	0.9822759	0.0442365	0.2095737	0.1968188	1.1042026	0.2982839	0.0176570	1.0526876	1.0376849	0.3184906	0.1011046	0.3021445	0.0821657	0.6341878	0.6122014	0.8572275	0.8203303	1.0058108	0.0349491	1.0565938	0.1478391	0.6060029	0.2458352	0.7317997	0.3387281	0.2989345	0.5897236	0.0271705	0.1260638	0.6532602	0.4075461	0.7322920	0.2411040	0.6990920
1.0756876	0.7395685	0.9751590	0.6733151	0.1270358	0.9817271	0.0680536	1.0922558	0.0850554	0.9860369	1.0442215	0.0703470	1.1112951	1.0561790	0.0260514	0.7189597	0.9636243	0.0395156	0.1659532	0.1300401	1.0296598	0.2833953	0.0107587	1.0483068	1.0076522	0.3827450	0.0876663	0.3111186	0.1001080	0.6451567	0.6132624	0.9171976	0.8717002	0.9131126	0.0343055	0.9674888	0.1252882	0.5633544	0.2342513	0.7156759	0.2938381	0.3236614	0.5877411	0.0209846	0.1110943	0.5761465	0.4464513	0.8389742	0.2300742	0.7457420
1.1269491	0.7067042	0.9903937	0.5559692	0.0749770	0.8347892	0.1202115	0.5839687	0.0996288	1.0323219	1.0640412	0.0556096	0.9844375	0.9943700	0.0184359	0.3879276	1.0048852	0.0502763	0.0925535	0.1553177	1.0892802	0.3605728	0.0071631	1.1059044	0.9447598	0.2159514	0.1169169	0.2752324	0.0597089	0.9458338	0.5836209	0.8658544	0.9025525	1.0035668	0.0198926	0.9597760	0.1133452	0.6460750	0.3679367	0.8389124	0.3439514	0.2892734	0.8468451	0.0369588	0.1207175	0.6897515	0.4406689	0.8469259	0.8524833	0.9175876
0.9595431	0.7820627	0.9715856	0.6690525	0.1032544	1.0611410	0.0912492	1.0341809	0.0525398	1.0219292	1.0221081	0.0716505	1.1151666	1.0095327	0.0364394	0.6869474	0.9984813	0.0262515	0.1606480	0.2257635	1.0034347	0.3396277	0.0114851	0.9532154	0.9818867	0.2798287	0.0963229	0.2874582	0.0833788	0.6798569	0.6138978	0.9416850	0.8448898	0.8380076	0.0513058	1.0266908	0.1419520	0.7626911	0.2872714	0.7382584	0.3279539	0.3203326	0.6664057	0.0295884	0.0983491	0.6324561	0.3855906	0.8371271	0.1917031	0.6297198
1.0533065	0.8114926	1.0245324	0.5943429	0.0835329	1.0417810	0.1430439	1.0841671	0.0885664	0.5497902	1.0421117	0.0727424	1.0044797	1.0910148	0.0318851	0.7238530	0.9593260	0.0330986	0.1442084	0.1516426	1.0294089	0.2857206	0.0463348	0.9871860	0.9591051	0.3048029	0.0760965	0.3766898	0.0877442	0.6359159	0.5654071	0.9681406	0.5264145	0.9349406	0.0605203	1.0626747	0.1887024	0.6269041	0.3064762	0.6873877	0.3670590	0.3510566	0.6830312	0.0341891	0.1046952	0.6427565	0.4118872	0.8080288	0.2548676	0.6276484
0.9652782	0.7662149	0.9509656	0.6160376	0.1002625	1.1234055	0.1110863	1.0198788	0.0859520	1.0318353	0.4974140	0.1097305	1.0019367	0.9623554	0.0326853	0.6944275	1.0053035	0.0240665	0.0826797	0.0966717	1.0428189	0.3566458	0.0165095	0.9647567	1.1300777	0.3203021	0.1198818	0.3234229	0.0776646	0.7287228	0.6418822	0.9394292	0.8015150	0.9222893	0.0295318	0.9774136	0.1381222	0.5937769	0.3680887	0.5936313	0.3445051	0.3359925	0.6793579	0.0376337	0.0991529	0.6291965	0.3614313	0.8195801	0.3310790	0.6804310
1.0252991	0.7239622	1.0139647	0.5959471	0.0797865	1.0822625	0.0900981	0.9965738	0.1062291	1.0506685	1.0604483	0.0244810	0.9669490	0.9843572	0.0244151	0.7007579	1.0311639	0.0371667	0.1316694	0.1865404	0.9602533	0.2768524	0.0196656	0.9175865	1.0003207	0.3328499	0.1100166	0.3105093	0.0686661	0.5389522	0.5661162	0.9305362	0.7811673	1.0487419	0.0524102	0.9553588	0.1278860	0.6524470	0.2578595	0.8253611	0.3813823	0.3152368	0.6620025	0.0395897	0.0936608	0.6620821	0.3881264	0.7750602	0.1727316	0.5799976
0.9626526	0.7696248	1.0566975	0.5343334	0.0766730	0.9752404	0.1302745	0.9647165	0.1204899	0.9201734	0.9621537	0.0372710	0.5256413	0.9692777	0.0253199	0.7093495	0.9514790	0.0209772	0.2005745	0.1598742	0.9655161	0.1619007	0.0093784	1.0969815	0.9744763	0.2851634	0.0988444	0.3067003	0.0693216	0.6034052	0.8219892	0.9083418	0.6312096	0.9762143	0.0333823	0.9841964	0.1046728	0.6361451	0.1229830	0.7650993	0.3210162	0.3470974	0.5544209	0.0256212	0.0927211	0.7177291	0.4573810	0.2591062	0.1896745	0.5954942
0.9602728	0.7050519	1.0849285	0.5664838	0.0743603	1.0429749	0.1008974	1.0014178	0.1099801	1.0773397	0.9916981	0.1062414	0.9519600	0.5181121	0.0367755	0.6965803	1.0832052	0.0313685	0.1211846	0.1624623	1.0830102	0.2585918	0.0192092	1.0477604	0.9299647	0.3296970	0.1140733	0.3035617	0.0837768	0.5887769	0.6560192	0.8859082	0.8706408	1.0410240	0.0329964	1.0445845	0.1454287	0.5799279	0.2113142	0.7746309	0.3405940	0.3411214	0.6206465	0.0361522	0.1099075	0.7110741	0.4442628	0.7499786	0.1868873	0.5878000
1.0088587	0.7175196	1.0074610	0.5451733	0.0862337	0.9633296	0.1093988	0.9510026	0.0885897	0.9515348	1.1161717	0.0313631	0.9808573	0.9958573	0.0065137	0.7088832	1.0211642	0.0309372	0.1049596	0.1894422	1.0515285	0.3507561	0.0142197	0.9753575	0.9530547	0.2203689	0.1284837	0.3296345	0.0537211	0.6830475	0.6429963	0.9617955	0.8823302	0.9379885	0.0289839	1.0555638	0.1622863	0.5621015	0.2718234	0.7864737	0.3333967	0.3222213	0.6387318	0.0315132	0.1228000	0.6465008	0.4179243	0.8224182	0.2188803	0.6621860
1.0040540	0.7378618	0.9887958	0.5631574	0.0959515	1.0607290	0.1378216	1.0002103	0.0972766	0.9520481	1.0145310	0.0834443	0.9295681	0.9743828	0.0387541	0.3769273	1.0443207	0.0285548	0.0827120	0.1815578	1.0900927	0.3843313	0.0234231	1.0094177	1.0228824	0.3057537	0.1051298	0.3225796	0.0656549	0.8891486	0.6654963	0.9231702	0.8298003	1.0047834	0.0321665	0.9535364	0.1410575	0.6329729	0.3140097	0.7223342	0.3576640	0.2863953	0.6391194	0.0464970	0.1261146	0.6262438	0.3511556	0.8521207	0.7801786	0.9660296
1.0578615	0.7111157	1.0492866	0.6554591	0.0966865	0.9833290	0.0898419	0.9317219	0.1049697	0.9690564	0.9943374	0.0459231	1.0685491	1.0743711	0.0427012	0.7108262	0.5484335	0.0542050	0.2752251	0.1790446	0.9499930	0.3122409	0.0191014	0.9946132	0.9397604	0.2724857	0.0668880	0.3295538	0.0716023	0.6811048	0.6040090	0.9531894	0.7902583	0.9170412	0.0363841	1.0441509	0.1383768	0.5655626	0.2299960	0.6916528	0.3543065	0.2624816	0.7031552	0.0524463	0.0955956	0.6563765	0.4175659	0.8450641	0.2798045	0.7321504
0.9612577	0.7500926	0.9492900	0.6274056	0.1217878	0.9215030	0.1285840	1.0147002	0.0910947	1.0497560	1.0843772	0.0602503	1.0674079	1.0562453	0.0254919	0.7131081	0.9760214	0.0239068	0.1140274	0.1539833	1.0452904	0.3369305	0.0162338	0.9806441	0.9424014	0.2783065	0.1048829	0.3191567	0.0480371	0.5718865	0.5856176	0.8370620	0.8345000	0.9525301	0.0311692	1.0925362	0.1286531	0.5187234	0.2684552	0.7869680	0.3451833	0.2382409	0.6947726	0.0367716	0.1451649	0.6340461	0.4106112	0.8602715	0.2076722	0.6497554
0.9621496	0.7171948	1.0000291	0.6285582	0.0595353	1.0300223	0.1125838	1.0370745	0.1252008	0.9670154	1.0609299	0.0529753	1.0312728	1.0521439	0.0338063	0.7761974	1.0211957	0.0496954	0.1165504	0.1355912	1.0155052	0.2895645	0.0253370	0.9906497	0.9713955	0.2667829	0.0912716	0.2956431	0.0586787	0.6105875	0.6336610	0.7962957	0.7345919	1.0107994	0.0339903	1.0127855	0.1517520	0.7160141	0.3033581	0.6876940	0.3452302	0.2714007	0.7819842	0.0431848	0.1017990	0.7469528	0.4120950	0.8781021	0.1783661	0.6352599
1.0719242	0.7904660	1.0177279	0.6635261	0.1076439	0.9512512	0.0883108	1.0239278	0.1095455	1.0638544	1.0128660	0.0881389	1.0244708	0.9181559	0.0223061	0.6389435	1.1066233	0.0333829	0.1840314	0.1321722	1.0631150	0.3119506	0.0134008	1.0022797	1.0721710	0.3088971	0.0973807	0.2658428	0.0649470	0.6999640	0.5608996	0.9743572	0.8391447	0.9990318	0.0398406	0.9693903	0.1429073	0.6014475	0.2394419	0.7333076	0.3388218	0.2668301	0.6571840	0.0194429	0.1222271	0.6696705	0.4352350	0.8018251	0.2614889	0.7050740
1.0011719	0.7299076	1.0870769	0.5859940	0.0855110	0.9898738	0.0965740	0.9336339	0.1101053	1.0468850	1.0297139	0.0559013	1.0035040	0.9751610	0.0338270	0.8078317	0.9572957	0.0348300	0.1823023	0.1544108	0.4876379	0.3020510	0.0163407	1.0257632	0.9938597	0.2440871	0.0895193	0.2769693	0.0751485	0.5843336	0.6813945	0.9298830	0.8471959	0.8455997	0.0471305	1.0084780	0.1667215	0.5274626	0.2421546	0.6709025	0.3317511	0.8146883	0.7410823	0.0151264	0.1027793	0.6382975	0.7253169	0.8305000	0.2296289	0.6483548
0.9759288	0.7239661	0.9301446	0.5803453	0.0736164	1.0359657	0.1158517	0.9606257	0.1016538	1.0578520	0.9849309	0.0509281	1.0347991	1.0382132	0.0467366	0.7286992	1.0459467	0.0558467	0.1214954	0.1922723	0.9892793	0.1693227	0.0172976	1.0170947	0.9896026	0.3257728	0.1096968	0.2969582	0.0579208	0.6470792	0.6098883	0.9534875	0.8030622	1.0160912	0.0324974	0.9997607	0.1379715	0.6061078	0.1945492	0.8571928	0.3045935	0.3279373	0.7281691	0.0273401	0.0932717	0.7741784	0.4368083	0.7509215	0.2491883	0.7046558
1.0099802	0.7370713	1.0236171	0.6012641	0.0791666	1.0036140	0.1085682	0.9969622	0.0659834	1.0558921	0.9147966	0.0612210	1.0032945	1.0460429	0.0213749	0.7047444	0.9427151	0.0462186	0.1919533	0.2179506	1.0112734	0.2697439	0.0082314	0.9635144	1.0025442	0.1940012	0.0912101	0.2530227	0.0718362	0.6723294	0.5598752	0.9629912	0.9312708	0.9562196	0.0313245	0.9487463	0.1899026	0.6084264	0.2746256	0.7291110	0.3426154	0.3334367	0.8249920	0.0368667	0.1113229	0.6442740	0.3618147	0.6964566	0.1774041	0.6428756
0.9640656	0.7838472	1.0476225	0.5146731	0.1119135	1.0828882	0.1304136	1.0223597	0.1071191	1.0649004	1.0476225	0.0610077	1.0344137	1.0474815	0.0139315	0.6945591	0.9710671	0.0528264	0.2045379	0.1434071	0.9915677	0.2984476	0.0163932	0.5286520	1.0469759	0.3448997	0.0692270	0.2846453	0.0607539	0.7240474	0.6457070	0.9639770	0.7571662	0.9464711	0.0338203	0.9711383	0.1569594	0.5696540	0.3104181	0.7515632	0.3170179	0.3366551	0.7563711	0.0333806	0.1724931	0.7176222	0.4332195	0.9018955	0.2406800	0.7136398
0.9835155	0.7066850	0.9907106	0.5617022	0.1079791	0.9493129	0.1231509	0.9938591	0.0850961	0.9637132	0.9541877	0.0627514	0.9842333	1.0277410	0.0256029	0.6871259	1.0245603	0.2620754	0.1555479	0.1408329	1.0360350	0.2995384	0.0064875	0.9425582	0.5440577	0.3785830	0.1129746	0.3035736	0.0694931	0.6681423	0.5965314	0.9572551	0.7986432	0.9257262	0.0245214	0.9147007	0.1863342	0.9295234	0.2379847	0.7048554	0.3404935	0.5397445	0.5839227	0.0320343	0.1078378	0.5943724	0.4688323	0.7603273	0.2096918	0.6787799
