YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.0000000	0.9078601	1.0324605	0.6144365	1.0331793	0.9342694	0.1468271	1.0924553	0.0981265	1.0491102	0.9710103	0.0496265	1.0302843	1.0297052	0.0342103	0.6905442	1.0210379	0.0425281	0.1611799	0.1704159	1.0356492	0.6135325	0.0244788	1.0867927	0.9803567	1.0593781	0.0861332	1.0201787	0.0682802	0.7044561	0.5514185	0.9515978	0.8151710	0.8849335	0.0355496	1.0249072	0.1743984	0.5985088	0.5960580	0.6994224	1.0326543	0.3523708	0.0333797	0.0270032	0.9853813	0.0534331	0.4207637	0.7921968	0.2237939	0.6547273
0.9713789	0.0000000	1.1336609	0.6181310	0.0892383	1.0655596	0.0935053	1.0544661	0.0890946	1.0724289	1.0422378	0.0741321	1.0713171	1.0049492	0.0343238	0.7102158	1.1206755	0.0309553	0.1949548	0.1146246	1.0008469	0.2698338	0.0165518	0.9989546	0.9626027	0.2928406	0.0926626	0.3264376	0.0744060	0.6186852	0.6669693	1.0133171	0.8716084	0.9609585	0.0369135	0.9673141	0.1632657	0.6485233	0.2542511	0.7531382	0.3426828	0.2698050	0.6863572	0.0318430	0.1335965	0.6712914	0.4325963	0.7823722	0.1529064	0.6607228
0.9617527	0.9106481	0.0000000	0.5797806	0.0725573	0.9648360	0.0861016	0.9941065	0.0734137	1.0406898	0.9717322	0.0648383	1.0284859	1.0169072	0.0336634	0.7614559	1.0409974	0.0310480	0.1143820	0.1853531	0.9968156	0.7437355	0.0218759	0.9327458	1.0113352	0.2855155	0.0928474	0.2991950	0.0834378	0.5940067	0.6256831	0.9242833	0.7489822	0.9822910	0.0426983	0.9649823	0.1665457	0.6407765	0.6382888	0.8087130	0.2972037	0.3772012	0.7109644	0.0257217	0.1267352	0.7341650	0.4635660	0.0678428	0.2007971	0.6189488
1.0205561	0.7468048	0.9676732	0.0000000	0.1122218	0.9626989	0.1042600	1.0363291	0.0866439	0.9207432	0.9556286	0.0398233	1.0543540	1.0042729	0.0261427	0.6662992	0.9596932	0.0467827	0.3434763	0.2125644	1.0115686	0.3137217	0.0074442	1.0603497	1.0231237	0.3349533	0.1071010	0.2802809	0.0469808	0.6591536	0.5667277	0.9092161	0.7615777	0.9995878	0.0378084	1.0376019	0.1435887	0.5960153	0.2951350	0.7421305	0.2993634	0.3615899	0.6568616	0.0255421	0.1304346	0.6103005	0.4363621	0.8035065	0.1718383	0.6719553
1.0344362	0.7614970	1.0038616	0.6039766	0.0000000	1.0267953	0.0972095	1.1014282	0.1004065	1.0040784	0.9551398	0.0814778	1.0533950	0.9080354	0.0520959	0.7277972	1.0144761	0.0282129	0.1623378	0.1383667	1.0311679	0.3087718	0.0219152	1.0543182	0.9851812	0.3805774	0.0847379	0.3487220	0.0779923	0.6332630	0.6493660	0.9370938	0.7008367	0.9553937	0.0360622	0.9471012	0.1197344	0.6563753	0.2658418	0.8078994	0.3245542	0.2949660	0.7090727	0.0415783	0.1137110	0.6300057	0.4026416	0.8224576	0.2358631	0.7132305
0.9467128	0.8680390	0.9976165	0.7365697	0.1137924	0.0000000	0.0943602	1.0248726	0.1033312	1.0056772	1.1729684	0.0414985	0.9839955	0.9878647	0.0370033	0.7499433	1.1092595	0.0334731	0.2230827	0.2153435	1.0905482	0.2936251	0.0112038	0.9739980	1.0032050	0.3351339	0.1234840	0.3176966	0.0859746	0.6790504	0.6023614	0.9576171	0.8161237	0.8886052	0.0349028	0.9893714	1.0775237	0.5753783	0.2946221	0.7339817	0.3478241	0.3438311	0.6472828	0.0256702	0.1119780	0.6513855	0.4347152	0.8191893	0.2429519	0.6785775
1.0116486	0.7622863	1.1029845	0.6414538	0.0856264	1.0078281	0.0000000	1.1390178	0.1020422	1.0043049	0.9801864	0.0541085	0.9392266	0.9654204	0.0266976	0.7297371	1.0586958	0.0284611	0.1733506	0.2117293	0.9739183	0.2761981	0.0227741	0.9829611	0.9929319	0.3754762	0.0802260	0.3136863	0.0426880	0.6769797	0.6224897	0.8948492	0.7977868	1.0300780	0.0352624	0.9802173	0.1514323	0.5784331	0.2772821	0.7604161	0.3657115	0.3779421	0.6424037	0.0398774	0.1179438	0.6560738	0.4251086	0.8485115	0.1916643	0.6802486
1.0151245	0.2208704	1.0207274	0.4362141	0.0919186	0.9387802	0.1481860	0.0000000	0.0888764	0.9800716	0.9874702	0.0431086	0.9403196	1.0016169	0.0446463	0.0585114	1.0609630	0.0288964	0.1087845	0.2434496	1.0275312	0.4891409	0.0148619	1.0808969	0.9974227	0.2833925	0.0948742	0.2657735	0.5463728	1.0636950	0.6149129	0.8542602	0.7410253	0.9256813	1.0517158	1.0547071	0.1588317	0.5585979	0.5117113	0.7242287	0.3488264	0.2953234	0.7542237	0.0412967	0.1037915	0.6887375	0.3544825	0.7418353	1.0116721	1.0616770
1.0541813	0.7053614	0.9577246	0.5593567	0.1066280	1.0048841	0.1280407	1.0149874	0.0000000	1.0310557	1.0654997	0.0555994	1.0780022	1.0053534	0.0185892	0.7928306	1.0613461	0.0185231	0.1262927	0.1870215	1.0859407	0.3110514	0.0183113	0.9929512	0.9366741	0.3249065	0.1010539	0.3171839	0.0786196	0.7031731	0.5696750	0.8741165	0.9278834	0.8871368	0.0446812	1.0376380	0.1555982	0.5189382	0.2532051	0.7188755	0.3388758	0.2929617	0.6318358	0.0282653	0.1179638	0.5999665	0.4225307	0.8037232	0.2431918	0.6991775
1.0731094	0.7336096	0.9499404	0.5569937	0.0829164	1.0584929	0.1186374	1.0037510	0.1105631	0.0000000	1.0383037	0.0539523	1.0854747	1.0976119	0.0319048	0.6499781	1.0096472	0.0417555	0.1746940	0.1574101	1.0114256	0.2553699	0.4627424	1.0774944	1.0532004	0.3423020	0.1086286	0.3314273	0.0712485	0.6909523	0.7545144	0.9370308	0.0658356	0.9100597	0.0299481	0.9656601	0.1627642	0.6287147	0.2087588	0.7477726	0.3406921	0.3716731	0.6586492	0.0462988	0.0993995	0.6303528	0.4444121	0.8629997	0.1989808	0.6682040
