YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.5910457	0.5263010	1.0994024	0.6235652	0.3100951	1.0704842	0.0011464	1.0727687	0.4292068	0.8520637	0.6229515	0.0778396	1.0232137	1.0552657	0.0218267	0.6829833	1.0125067	0.0399147	0.1061587	0.4626624	1.0065104	0.2317318	0.0128974	0.8282964	0.9587561	0.7629704	0.0492225	0.3524622	0.0369092	0.4682765	0.6467949	0.3736506	0.7714612	0.9681851	0.0017455	0.9038126	0.1314883	0.4038604	0.0675712	0.2423559	0.5162215	0.2743176	0.3134137	0.1094368	0.0844456	0.6497100	0.4066738	0.8592829	0.2843450	0.7052116
1.0047629	0.2812189	0.8531733	0.3388674	0.0757719	1.0283023	0.0624819	0.7407622	0.1047722	1.0015291	1.0168289	0.0492422	1.0225629	1.0279775	0.2095803	0.5550191	1.0221520	0.4306056	0.1928499	0.4137345	1.0401362	0.6497848	0.1226133	1.0020479	0.5228323	0.2414294	0.1065069	0.3146980	0.0006474	0.7539994	0.5270657	0.6063464	0.9230746	0.9508111	0.0420692	0.9326778	0.1431045	0.5706313	0.7574107	0.7487256	0.2938597	0.5622739	0.6699651	0.0029376	0.0012992	0.6376359	0.2701384	0.7995948	0.2283270	0.7713381
0.9567329	1.0067237	0.7113996	0.7285644	0.0686468	0.9368742	0.1051567	0.5731935	0.2782363	0.8819657	0.9179008	0.3603162	0.8199306	0.7425554	0.0002731	0.4693177	0.8030075	0.1961850	0.2794522	0.1328505	0.9896323	0.7491157	0.0193013	0.6643871	0.5502430	0.3275779	0.0178593	0.3198294	0.0766423	0.7434548	0.5474469	0.9973096	0.6733367	0.8254358	0.0208508	0.5067259	0.0837691	0.9683467	0.7659100	0.6515417	0.3317820	0.4951839	0.7677494	0.0008741	0.0018819	0.7178926	0.4151250	0.7104489	0.6277896	0.8213061
0.5744340	1.0176772	0.6742109	0.3145863	0.4727212	0.8879569	0.0075830	0.9950379	0.1919767	1.0630674	1.0648899	0.0974982	1.0940111	0.9742133	0.0005884	0.6324948	1.0598837	0.0177095	0.1428523	0.0920860	0.8400485	0.6502787	0.0037506	0.9705415	1.0009082	0.9165692	0.0061499	0.5477296	0.0000967	0.6417442	0.6341099	0.9107102	0.8740245	0.8949905	0.0276877	1.0589198	0.0014473	0.2331323	0.6442755	0.7015996	0.4044267	0.5032571	0.1428262	0.0004491	0.1305981	0.6276186	0.4704332	0.6699377	0.2599061	0.5910515
0.9035099	0.8476219	1.0851172	0.7063426	0.1345613	1.0142874	0.1136914	0.9408778	0.0003291	0.9685500	1.1171379	0.0928258	1.0077559	0.6112991	0.0059375	0.7255459	1.0932444	0.0632878	0.3238476	0.3212339	0.7704679	0.4658478	0.0141412	1.0775759	0.7743816	0.2966883	0.0297266	0.2276015	0.0000315	0.5761559	0.4503315	0.4332365	0.6793015	0.8684574	0.0000262	0.9815112	0.1402675	0.7520148	0.6196817	0.9488569	0.4107253	0.4136210	0.5376530	0.0259919	0.0980759	0.5980376	0.4349362	0.8051441	0.1876965	0.4521154
0.3493650	0.5270808	0.8652893	0.7237217	0.7612832	0.9995932	0.0878523	0.6917035	0.0476163	0.7644175	1.0262841	0.1803992	1.0663404	1.0646398	0.8185017	0.5439217	1.0309475	0.0296992	0.9797991	0.7613054	0.9444776	0.6256553	0.3956073	0.7465147	0.9475895	0.9624902	0.0186308	0.6066998	0.0539367	0.7658882	0.3065850	0.4575139	0.3591823	1.0425925	0.0006301	0.4623418	0.1303551	0.0835700	0.5726189	0.7371272	0.5516549	0.3968036	0.0316129	0.6629747	0.0856012	0.2723264	0.3412485	0.6798696	0.4303967	0.5999514
1.0077165	0.4104700	1.0193520	0.5769646	0.1120746	0.9535346	0.1115402	0.9893298	0.0002108	0.8561597	0.9862203	0.1124513	0.9352826	0.6615269	0.0256310	0.7353266	0.9366733	0.0312501	0.0528361	0.1819955	0.9583827	0.1776476	0.0044098	0.7234120	0.7914496	0.2908374	0.0943703	0.1872195	0.0577320	0.6070422	0.6282005	0.9612338	0.7774209	0.9867266	0.0199112	0.6045054	0.1648924	0.7366055	0.2193176	0.6501835	0.3890062	0.2752995	0.6213170	0.0467326	0.0065983	0.8223252	0.2619195	0.7908740	0.1874858	0.6204091
0.7245660	0.9483937	0.9084293	0.5662580	0.2168919	1.1294748	0.0712792	0.8757172	0.2808205	1.0460387	1.0112054	0.1940307	0.8491219	0.8799573	0.0019229	0.5440478	0.9681746	0.0515725	0.1102103	0.1016326	0.6131975	0.3623576	0.0028321	0.7864895	0.9315505	0.5560901	0.0223537	0.3370058	0.0001434	0.7606338	0.5928444	0.8000517	0.7417514	0.7802137	0.0142549	0.8503644	0.1413760	0.4664628	0.1600773	0.8926428	0.3591331	0.4132536	0.7031403	0.3034007	0.0901668	0.6825238	0.5125470	0.8009727	0.2936075	0.5837894
0.4470130	0.7750289	0.9591959	0.8128731	0.6937216	0.9788873	0.0047901	0.5272170	0.2065479	0.7817255	1.0497528	0.5403945	0.9515049	1.0731928	0.0007493	0.3674402	0.9926582	0.0454278	0.2252628	0.1940705	0.6010606	0.4050132	0.4078974	0.7251149	0.9211677	0.8170250	0.0074578	0.5851057	0.0653512	0.5742954	0.5820285	0.8927948	0.7104839	0.9574998	0.0004625	0.8479695	0.0003223	0.7676626	0.3773636	0.9592789	0.5854375	0.3084493	0.0488223	0.1860075	0.0419742	0.3846732	0.3467347	0.9879847	0.4133568	0.8426130
0.9265009	0.6154423	1.0006083	0.3167622	0.0379992	0.9810967	0.0914456	1.0603952	0.0000708	0.9626147	0.7937186	0.6592190	0.9645264	1.0118720	0.0416657	0.5875647	0.8789955	0.1052215	0.0109187	0.2922129	0.8620185	0.5915352	0.0098038	1.0169425	0.7536071	0.2362906	0.0054558	0.1588740	0.0490480	0.5797209	0.7089062	0.7876985	0.8265491	0.9425449	0.0285654	0.8597299	0.1255638	0.7106948	0.3990439	0.8658653	0.2879971	0.3984499	0.6731857	0.2163071	0.1308215	0.6907147	0.3689229	0.9248071	0.2246053	0.7048059
1.0199875	0.3738589	0.7079524	0.5985186	0.0674522	0.9164856	0.0943153	0.9846193	0.1148891	0.9848300	1.0609796	0.0937639	0.5743257	1.0665779	0.0823320	0.8199301	0.8082333	0.0697604	0.0220007	0.2284197	0.9910930	0.4849064	0.4583241	0.9450516	0.8147042	0.3393286	0.0861610	0.2680113	0.0835734	0.2314902	0.8254819	0.8163499	0.8725055	0.9706394	0.0009186	0.9450717	0.0229983	0.9460053	0.4416564	0.8926947	0.3906325	0.3286443	0.6499679	0.0054779	0.1164371	0.7038501	0.4017606	0.3268860	0.1656484	0.5831919
0.8664150	0.8780304	1.0092678	0.9126397	0.1337865	1.0094843	0.0013429	1.0222288	0.3121757	0.9617929	1.0587473	0.0713058	0.9285037	0.5776308	0.0205345	0.6484242	0.7934140	0.0111386	0.4093734	0.4139994	1.0612615	0.4814451	0.0002937	0.5368987	1.0030204	0.2563203	0.1491989	0.3322648	0.0572205	0.4035849	0.2326929	0.6934090	0.7690565	0.8173661	0.0355992	0.9519574	0.0025934	0.4802462	0.5412312	0.8545621	0.3331268	0.2975410	0.6219225	0.0447541	0.1238587	0.5790640	0.3087362	0.7219389	0.2277475	0.7317763
0.9984455	0.8879517	1.0796114	0.3170536	0.0897038	1.0128823	0.0005701	0.9674598	0.0015084	0.9968335	0.8839209	0.3453616	0.9943946	1.0442272	0.6120824	0.7685509	1.0685473	0.0315110	0.4165430	0.3441069	1.0029434	0.6921447	0.2559040	0.9137711	1.0158180	0.2726132	0.0077536	0.2463450	0.0232718	0.4740654	0.4323653	0.7896646	0.8153432	0.8631757	0.0015472	0.4770022	0.0863486	0.1971402	0.7035846	0.9084490	0.3401768	0.2913229	0.7102411	0.0953414	0.1195691	0.7885513	0.3264239	0.8462722	0.1567951	0.5176416
1.0495958	0.5524885	0.9806983	0.3428266	0.0684255	1.0383449	0.0059243	0.8184311	0.0018424	0.5812191	0.9688160	0.3130057	0.9385839	0.7355157	0.1885498	0.6006633	0.7419055	0.0375213	0.4324852	0.1042357	0.6119191	0.4863493	0.0267643	1.0148094	0.9742676	0.2853318	0.0769384	0.2962568	0.0556038	0.3445524	0.5986207	0.7980382	0.4953548	0.8675902	0.0299443	1.0153858	0.0019562	0.6150240	0.4803822	0.4984217	0.2343337	0.1920329	0.7043883	0.0802928	0.0010775	0.7986360	0.5607895	0.6046086	0.3070187	0.7359012
