YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.5161996	0.8407519	0.9586732	0.5846687	0.6997475	1.0561639	0.1260792	1.0273157	0.0859693	1.0325771	0.8932307	0.0503712	0.9794037	0.9477888	0.0301836	0.6144636	1.1251541	0.0367780	0.0658510	0.1873028	0.9840585	0.4080934	0.0098326	1.0071012	1.0393550	0.8536572	0.1179866	0.7261544	0.0678158	0.6860297	0.5534676	0.8998311	0.9088750	0.9172599	0.0462567	1.0994170	0.1805309	0.6512420	0.3818631	0.7234554	0.4786289	0.2751224	0.0904775	0.0396936	0.0877110	0.4404582	0.4180648	0.7618026	0.2007086	0.7171461
0.9461419	0.4463556	1.1223127	0.6197198	0.0840425	1.0342001	0.0960205	0.9172328	0.0782261	0.9842678	0.9785236	0.0536846	0.9454127	0.9382071	0.0262672	0.6479784	0.9681904	0.0189706	0.1891468	0.1519615	1.0543924	0.3093691	0.0203920	1.0523582	1.0012003	0.2829368	0.1372006	0.3512812	0.0640387	0.6436509	0.6643105	0.8934861	0.8430191	0.9026894	0.0320383	0.9745006	0.1395791	0.5499045	0.3503088	0.6881533	0.3075019	0.3531144	0.6389635	0.0341023	0.1004926	0.6439644	0.4421195	0.7828649	0.2733083	0.7434415
1.0699539	0.8926765	0.5258885	0.5989989	0.0886963	0.9820525	0.0843000	0.8810496	0.1071443	0.9362066	0.9340579	0.0675509	1.1157262	1.0337628	0.0211153	0.7645659	1.0823540	0.0348010	0.0989385	0.1733814	0.9912514	0.5321201	0.0073414	0.9962898	0.9455320	0.2914107	0.1011538	0.3046735	0.0722397	0.6803936	0.6115030	1.0094946	0.8303684	0.9150367	0.0504448	1.1127343	0.1721015	0.5871568	0.5339193	0.6409651	0.3954998	0.2924543	0.6418740	0.0394861	0.1251191	0.5835772	0.4104504	0.8248792	0.1494906	0.6535887
1.1450227	0.7417861	1.0110118	0.2883795	0.0520393	1.0056930	0.0610727	0.9874222	0.0623936	0.9932048	0.9974848	0.0507056	0.9876487	1.0548899	0.0296445	0.7015498	0.8935655	0.0357043	0.0775129	0.1805206	0.9565827	0.3572264	0.0074505	1.0459244	1.0279530	0.2542068	0.1079890	0.2284063	0.0432608	0.5761739	0.6696697	0.9023153	0.7974877	0.8785671	0.0671817	1.0481186	0.1288098	0.6001823	0.2947601	0.6854152	0.3280235	0.2908274	0.8189282	0.0327981	0.1586651	0.7040435	0.4475664	0.7315675	0.2669110	0.7373966
1.0132653	0.7289370	1.0343339	0.6055702	0.0256133	0.9661714	0.0920221	1.0407194	0.0880299	1.0568350	0.9243004	0.0874562	1.1643495	0.9279148	0.0221162	0.7601771	1.1362472	0.0303192	0.1631040	0.1593571	1.0664096	0.3384523	0.0102180	0.9860500	1.0487184	0.2782852	0.0848255	0.3188628	0.0528576	0.6787442	0.6235333	0.9507241	0.7753881	1.0149148	0.0351733	0.8093325	0.1793673	0.5720558	0.4251694	0.7282419	0.3544343	0.2740571	0.6524650	0.0380188	0.0709057	0.6330404	0.4324050	0.8424395	0.3123484	0.8107083
1.0443943	0.7697033	1.0282839	0.6116039	0.0975517	0.5092093	0.1012085	1.1411257	0.0902426	1.0476467	1.1541898	0.0550755	1.0078898	0.9721607	0.0334682	0.7193427	1.0594681	0.0497837	0.2111888	0.1510348	1.0662328	0.2881994	0.0266942	1.0629898	0.9599339	0.3565578	0.0959240	0.3564488	0.0700889	0.6410638	0.6373024	0.9126614	0.8776127	1.0396964	0.0445031	0.9837079	0.1549740	0.5362784	0.2909592	0.7607711	0.3093307	0.3652523	0.5808353	0.0314780	0.1214375	0.6316290	0.4699719	0.7764467	0.2336546	0.6688052
1.0815147	0.6765635	1.0149400	0.6635798	0.1258313	0.9581394	0.0393154	1.1400295	0.0781032	1.0686363	0.9858090	0.0551521	1.1000184	1.1515668	0.0383073	0.7015956	1.0804825	0.0377652	0.1303743	0.1689678	1.0619987	0.2432333	0.0212642	0.9870643	1.0814489	0.3314359	0.0665444	0.3566157	0.1035664	0.7010295	0.6362224	0.9381199	0.8626108	0.9775530	0.0352604	0.9721714	0.1579468	0.5950914	0.2731153	0.6945757	0.3578535	0.3467636	0.5334587	0.0274799	0.1142637	0.6084253	0.4306550	0.7976531	0.2550872	0.7001877
1.1510581	0.6958226	1.0683592	0.5832480	0.1170525	0.8951433	0.0936778	0.5154588	0.0962492	0.9554239	1.0542202	0.0576835	1.0186451	0.9199288	0.0189718	0.3130263	0.9929972	0.0505905	0.1152760	0.2024526	1.0728791	0.3364760	0.0109551	1.0673633	0.9334143	0.2492818	0.0984928	0.2859478	0.0709610	0.8186091	0.5673243	0.8790198	0.8653827	0.9775691	0.0218814	0.9528247	0.1766340	0.5926411	0.3528116	0.8183457	0.3595655	0.2663537	0.8440190	0.0425444	0.1304511	0.6168972	0.4276445	0.8336263	0.8109858	0.9747124
0.9326874	0.7245512	0.9491250	0.6792586	0.0986730	1.0059054	0.0754925	0.9869546	0.0641650	0.9705007	0.9133214	0.0466485	1.1078841	1.0361391	0.0356597	0.7720753	1.0277509	0.0516258	0.1612504	0.1886669	1.0256479	0.3235081	0.0109554	1.0923909	1.0236403	0.2891792	0.0821665	0.2830004	0.0646936	0.6540535	0.6151996	0.9659082	0.8798139	0.8909845	0.0589486	1.0278279	0.1711871	0.6562712	0.2612938	0.7200471	0.3451617	0.2827874	0.8116007	0.0307512	0.0963247	0.6368828	0.4201974	0.7918490	0.1679406	0.6751540
1.0262483	0.8663654	1.1008133	0.5812468	0.1034068	1.1549324	0.1128055	1.0595863	0.0489331	0.5498361	1.0069741	0.0507951	1.0321662	0.9789190	0.0408110	0.6647695	1.0066350	0.0329990	0.1434401	0.1453371	0.9479205	0.3362187	0.0529657	0.9151980	0.9706013	0.3162733	0.0877224	0.3974798	0.1163074	0.7233916	0.5101544	1.0008450	0.5229503	0.9265368	0.0435582	0.9998853	0.1599304	0.5365427	0.2398321	0.6840640	0.3095740	0.3585343	0.6767699	0.0243957	0.0821998	0.6544372	0.4097993	0.8264791	0.2853886	0.6635833
