YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.0000000	0.8927659	1.0758290	0.6194192	1.0220744	0.9579994	0.1159039	1.1383669	0.0961921	0.9944682	1.0301538	0.0907326	1.0246316	1.0271937	0.0420776	0.7625308	1.0002014	0.0513718	0.1684983	0.1510809	1.0360104	0.6207799	0.0184923	1.0121053	0.9182591	1.0295037	0.1177345	1.0153196	0.0883458	0.7315459	0.5872296	0.8938710	0.7936984	0.9093542	0.0461983	1.0780116	0.1446908	0.5805539	0.7478685	0.7759142	1.0755171	0.3548953	0.0313015	0.0345303	1.0292951	0.0564457	0.3560979	0.7696661	0.2303344	0.6634008
1.0324404	0.0000000	1.1285264	0.6588628	0.0792927	1.0356686	0.1124954	0.9699047	0.1386601	1.0019975	0.9800259	0.0701449	0.9342684	0.9169203	0.0375238	0.8004525	1.1003230	0.0211704	0.1334484	0.1296793	1.0198665	0.2961237	0.0145853	1.0208203	0.9537353	0.2161769	0.1092899	0.3495487	0.0821975	0.6168419	0.6184132	1.0297475	0.8298963	0.9533251	0.0329458	1.0128914	0.1436590	0.6140967	0.3175435	0.8438164	0.3385801	0.2984448	0.6588207	0.0447067	0.1665642	0.6968224	0.4182256	0.8132135	0.1657822	0.7050808
1.0588445	0.9366363	0.0000000	0.5693101	0.0941425	0.9825028	0.0966839	0.9614428	0.0906155	0.9753119	0.9644586	0.0595075	1.0870550	0.9928342	0.0393372	0.8043169	1.0610885	0.0322112	0.1093509	0.2037257	0.9868613	0.7131629	0.0133469	0.9594226	1.0119419	0.3360980	0.0795007	0.3313561	0.0798460	0.5936582	0.6562739	0.8571441	0.7550409	0.9733302	0.0375310	0.9939858	0.1698884	0.6710275	0.6360690	0.8418310	0.3015328	0.3297848	0.6308748	0.0296764	0.1303573	0.7164928	0.3987308	0.0666304	0.1774881	0.6315362
1.0139639	0.7074125	0.9069663	0.0000000	0.1275255	0.9771286	0.1044592	0.9866221	0.1059745	1.0154048	1.0000554	0.0591604	0.9968572	0.9997177	0.0165100	0.7068938	1.0022778	0.0266674	0.3001836	0.1192028	1.0671326	0.2985010	0.0142153	1.1128767	0.9538791	0.3732043	0.1190798	0.3263039	0.0485238	0.6475425	0.6232848	0.8663531	0.7593508	0.9936241	0.0471763	1.1523532	0.1714485	0.5524937	0.3149779	0.7539943	0.3779025	0.3514515	0.6546181	0.0076137	0.0926649	0.7336385	0.4249455	0.8545678	0.1719834	0.5659077
1.0265882	0.7304961	0.9567496	0.5165091	0.0000000	0.9693460	0.1067677	1.0583997	0.1263582	1.0373376	0.9297403	0.0704162	0.9627057	0.9843738	0.0450035	0.7189028	1.0167414	0.0274519	0.1385468	0.1696693	1.0190490	0.3161236	0.0209561	1.0063487	1.0787342	0.3013544	0.0760624	0.3319210	0.0857560	0.7240839	0.5949508	0.9403256	0.6952217	0.9181939	0.0360188	1.0372712	0.1085968	0.5605697	0.3207796	0.8212527	0.3656658	0.2744404	0.8352763	0.0514082	0.1106014	0.6862604	0.4389217	0.7562621	0.2875358	0.7257748
0.9428657	0.8856796	0.9597767	0.6999037	0.0830655	0.0000000	0.1045962	1.0921458	0.1048034	1.0294478	1.1510683	0.0491241	0.9916542	1.0471974	0.0328639	0.7146809	1.0191323	0.0452988	0.2507647	0.1648650	1.0051840	0.3449314	0.0208668	1.0728556	0.9580882	0.2860828	0.1164725	0.3460667	0.0748491	0.7055520	0.6234901	0.9456689	0.8167360	0.8692869	0.0499290	0.9217644	1.0738684	0.6339892	0.2732532	0.8395718	0.3541816	0.3814127	0.6335467	0.0352701	0.1101848	0.6375870	0.4406225	0.7695060	0.2465250	0.6677809
0.9615188	0.7015526	1.1147586	0.5973030	0.0811357	1.0899144	0.0000000	1.0161332	0.0779602	1.1600631	0.9401208	0.0641802	1.0236794	1.0708165	0.0397195	0.6820926	1.1647065	0.0331854	0.2213008	0.1704674	0.9579541	0.2587549	0.0411817	0.9900749	0.9856321	0.3233099	0.0700337	0.3128694	0.0591012	0.6289094	0.6331795	0.8441424	0.8763693	0.9585390	0.0363994	0.9240680	0.1649913	0.6192328	0.2915808	0.8121542	0.3948026	0.2985038	0.7027897	0.0345699	0.0912411	0.7132799	0.4045144	0.8425330	0.1781860	0.6159211
0.9993079	0.2699624	1.0120895	0.4411014	0.0834790	0.9465005	0.1233471	0.0000000	0.0848064	0.9706623	0.9571089	0.0393950	0.8655410	1.0894806	0.0345453	0.0423352	1.0153189	0.0243146	0.1656527	0.2308619	0.9949651	0.5239392	0.0256114	1.1022138	1.0111494	0.2871076	0.1404885	0.2805329	0.5919025	1.0380900	0.5980016	0.8863663	0.7466452	0.9302850	1.0035439	1.1585407	0.1916819	0.5860072	0.4300238	0.6767522	0.3531416	0.3047635	0.8042412	0.0292412	0.1362996	0.6588251	0.3613162	0.7781365	1.0689417	1.0720496
1.0012181	0.6582078	0.9501314	0.5962815	0.1278433	1.0983574	0.0960842	1.0702372	0.0000000	0.9931170	1.0264152	0.0405431	1.0186849	0.9574196	0.0157890	0.7815298	1.0485427	0.0157460	0.1663410	0.2029677	0.9930618	0.3419214	0.0079546	1.1041490	1.0837394	0.3201798	0.1193726	0.3189698	0.1019321	0.6593036	0.5790686	0.8224140	0.9462419	1.0046321	0.0256434	1.0093841	0.1627286	0.5536791	0.2607234	0.7219221	0.3451382	0.2647209	0.6859331	0.0357565	0.1211036	0.6081173	0.4044132	0.7591995	0.2452159	0.7292879
1.0748433	0.7355468	1.0342040	0.6091646	0.0932384	1.0930746	0.0740062	0.9602065	0.1323253	0.0000000	1.0901810	0.0537981	1.0924426	1.1295839	0.0343752	0.6913955	0.9942939	0.0476158	0.1231019	0.1463562	0.9555510	0.1934004	0.4512317	1.0809587	1.0474911	0.4158701	0.1018792	0.3409887	0.0745735	0.6326075	0.7384707	1.0145056	0.0692465	0.9297407	0.0324895	0.8769544	0.1511507	0.6471472	0.2340568	0.8046106	0.3023062	0.4099103	0.6477924	0.0465827	0.0973197	0.7334645	0.4263713	0.9131173	0.2074195	0.6251953
