YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.6018306	0.5182062	1.0381802	0.5863040	0.3205773	1.0746001	0.0029680	1.0342013	0.4277532	0.9338254	0.6121866	0.0927328	1.0685500	1.0470499	0.0223806	0.6238536	0.9298068	0.0369248	0.1078213	0.3908367	1.0172528	0.2080048	0.0151654	0.9563851	0.9970835	0.7770969	0.0471910	0.3522990	0.0465552	0.4805782	0.6341059	0.3637116	0.7322189	1.0102755	0.0028461	0.8813579	0.1480013	0.3718628	0.0665463	0.2285813	0.5179158	0.2590977	0.3322763	0.1136510	0.1518118	0.6166816	0.3699975	0.8478065	0.2431588	0.6661344
1.0536440	0.2756924	0.9265779	0.2888617	0.0889674	1.0498016	0.0542360	0.7033379	0.0783356	1.0764431	1.1054215	0.0656653	0.8898288	1.0014281	0.1891827	0.5866083	0.9910853	0.4713907	0.2567757	0.3825652	1.0576787	0.6466498	0.1337766	1.1036292	0.5018378	0.2461024	0.1249794	0.3698085	0.0018201	0.7357823	0.5711654	0.5948288	0.8460345	0.9229311	0.0272037	0.9777222	0.1358578	0.6101593	0.7432144	0.6941298	0.2527877	0.5884352	0.6772544	0.0074094	0.0006957	0.6666924	0.2426488	0.8527821	0.2318163	0.7849909
1.0287158	1.0103211	0.8391424	0.7272822	0.0734892	0.9328550	0.1168860	0.6006957	0.3109460	0.8874622	0.9433877	0.3551168	0.8551027	0.7852981	0.0054099	0.4864156	0.7217500	0.1910941	0.2748970	0.1132718	0.9576847	0.7698576	0.0230549	0.6938697	0.6199112	0.3174138	0.0169700	0.3777795	0.0551158	0.7640003	0.5244495	0.9795045	0.6517600	0.8806019	0.0402736	0.5590496	0.1119911	1.0132260	0.7470917	0.6236186	0.3785265	0.5367441	0.6946504	0.0011352	0.0049225	0.6417878	0.4652776	0.6941468	0.6723100	0.8337113
0.5459132	1.0407534	0.6663032	0.3046510	0.4521813	0.9511889	0.0031222	0.9315688	0.1552216	1.0588217	0.9589589	0.0830052	1.0233321	0.9375473	0.0010786	0.7114971	1.0168867	0.0114270	0.1183892	0.1220371	0.7900246	0.6696472	0.0074047	0.9269924	1.0092633	0.8788557	0.0026487	0.4853564	0.0000740	0.6709974	0.5870009	0.9067173	0.8423491	0.9544511	0.0384286	0.9851273	0.0009838	0.2098297	0.6045489	0.7937984	0.4103446	0.4494263	0.1456561	0.0029417	0.1184380	0.6709810	0.4741934	0.8094597	0.2962581	0.6052308
0.9740967	0.9918597	0.9264044	0.6687070	0.1329460	1.0569291	0.1030653	0.9113732	0.0011462	0.9706957	0.9745954	0.1057479	1.0436577	0.5666875	0.0042790	0.7685835	1.1152714	0.0493911	0.3608384	0.2946652	0.7899899	0.4690774	0.0217203	1.0832082	0.7760499	0.2561157	0.0256754	0.2433735	0.0001502	0.5995124	0.4691081	0.3986262	0.6908668	0.9220397	0.0013473	0.9308240	0.1737731	0.6620667	0.5758129	0.9123737	0.4268434	0.3998762	0.5484005	0.0248577	0.1308639	0.5733185	0.4711009	0.8695473	0.1968979	0.4593143
0.3583198	0.5307857	0.8728610	0.7019448	0.7770086	0.9719699	0.0746640	0.6991294	0.0553917	0.6979995	1.0582864	0.1935669	0.9355713	1.0981228	0.7951622	0.5915944	1.0622715	0.0314761	1.0196971	0.6344858	1.0007849	0.5916490	0.3747870	0.7714937	0.9319565	0.9477362	0.0096102	0.5819788	0.0773411	0.7493372	0.3395791	0.5002352	0.3792250	0.9804259	0.0006530	0.5530249	0.1391175	0.0717242	0.4659262	0.7154322	0.5353206	0.4025695	0.0377169	0.6761325	0.1012527	0.2893870	0.3459719	0.6985761	0.4952255	0.6551106
0.9381385	0.4092363	1.0756009	0.6054820	0.1005862	0.9107686	0.1091224	0.9663409	0.0010384	0.9014519	0.9542625	0.1024015	0.9038235	0.6465805	0.0216460	0.7234102	0.9720782	0.0222255	0.0447954	0.1888924	1.0196403	0.1626510	0.0254379	0.6976422	0.8613866	0.2802509	0.1095253	0.1677998	0.0716873	0.6374629	0.6816471	0.8398823	0.7248108	0.9503095	0.0464835	0.6040005	0.1610225	0.7591222	0.1808909	0.6452269	0.3682148	0.2760312	0.6342922	0.0582312	0.0103516	0.8877914	0.2696369	0.8292188	0.1886415	0.6327082
0.6891448	0.8608914	0.9436236	0.5676652	0.1954660	1.1879633	0.0888328	0.7647637	0.3187244	1.0951973	0.9980665	0.1854176	0.8954053	0.8161710	0.0031881	0.5645007	0.9065251	0.0538684	0.1088337	0.1575361	0.5933964	0.3154374	0.0163583	0.7853095	0.9136052	0.5114748	0.0173306	0.3486191	0.0001440	0.6988192	0.5592895	0.8373113	0.8306464	0.9199162	0.0173373	0.9083450	0.1488858	0.4510728	0.1637201	0.9639721	0.3500846	0.3951501	0.7598558	0.2593528	0.1196732	0.6912360	0.4923298	0.8054228	0.3151876	0.5617741
0.4326025	0.8224296	1.0333922	0.7736214	0.8021719	1.0115404	0.0067457	0.5476516	0.2378414	0.8370294	1.0885445	0.5498202	1.0803472	1.0008593	0.0017870	0.3796075	1.1114562	0.0723936	0.2421632	0.1697270	0.7088347	0.4314190	0.3880323	0.6594357	0.8891039	0.7269201	0.0161361	0.5327442	0.0505676	0.4633669	0.6017136	0.8574723	0.7135016	0.9323765	0.0025813	0.7573793	0.0033434	0.7827342	0.4231779	0.9016678	0.5315439	0.3331849	0.0399357	0.2013090	0.0541822	0.4175882	0.3745806	0.8716654	0.4271717	0.8920340
1.0146151	0.7410534	1.0737841	0.3094749	0.0490892	0.9877178	0.1062202	0.9204609	0.0019715	1.0784497	0.7239665	0.6282900	1.0503467	0.9738323	0.0455239	0.5724202	0.9252261	0.1237600	0.0146014	0.2762561	0.9678349	0.5327973	0.0061815	1.0014308	0.7547316	0.2320878	0.0107453	0.1877248	0.0605267	0.5422736	0.7261259	0.7545188	0.8585253	0.9736193	0.0205614	0.7871825	0.1254897	0.7408024	0.3658196	0.8570791	0.3003882	0.3574115	0.6573504	0.2499323	0.0896851	0.6416309	0.3743059	0.9329888	0.2206384	0.6449582
