YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.5000000	0.8421617	1.0000000	0.5881353	0.6134058	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430130	0.1614157	1.0000000	0.3262345	0.0142757	1.0000000	1.0000000	0.8729282	0.0959145	0.5663259	0.0640367	0.6340285	0.5941921	0.8996918	0.8138797	0.9318877	0.0335609	0.9956366	0.1419548	0.5753975	0.2933425	0.7555875	0.5105817	0.3085150	0.0985167	0.0324643	0.1165485	0.4027149	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.3659996	1.0000000	0.5881054	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268379	0.7197616	1.0000000	0.0335909	0.1429702	0.1613886	1.0000000	0.3024614	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5942048	0.8996751	0.8138850	0.9318877	0.0335609	0.9956408	0.1419548	0.5753911	0.2640485	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.8129518	0.5000000	0.5881287	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430098	0.1614092	1.0000000	0.5283473	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941960	0.8996905	0.8138808	0.9318877	0.0335609	0.9956375	0.1419548	0.5753970	0.5536353	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.6751180	0.2111294	0.6618857
1.0000000	0.7320210	1.0000000	0.2940986	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268376	0.7197616	1.0000000	0.0335909	0.1430384	0.1614150	1.0000000	0.3024633	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941954	0.8997013	0.8138792	0.9318877	0.0335609	0.9956363	0.1419548	0.5754012	0.2640468	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320105	1.0000000	0.5881308	0.0454499	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429843	0.1614137	1.0000000	0.3024629	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941902	0.8996810	0.8138806	0.9318877	0.0335609	0.9956373	0.1419548	0.5753933	0.2640483	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320084	1.0000000	0.5881384	0.0908985	0.4973043	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429958	0.1614067	1.0000000	0.3024626	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941960	0.8996852	0.8138815	0.9318877	0.0335609	0.9956380	0.1602625	0.5753949	0.2640479	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7312752	1.0000000	0.5881370	0.0908985	0.9945924	0.0504927	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268376	0.7197616	1.0000000	0.0335909	0.1430384	0.1614150	1.0000000	0.3024633	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941954	0.8997013	0.8138792	0.9318877	0.0335609	0.9956363	0.1419548	0.5754012	0.2640468	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7307052	1.0000000	0.5740794	0.0908985	0.9945924	0.1009800	0.5000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.3260179	1.0000000	0.0335909	0.1430130	0.1614157	1.0000000	0.3735184	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640486	0.8691946	0.5941921	0.8996918	0.8138797	0.9318877	0.0336744	0.9956366	0.1419548	0.5753975	0.3549189	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.8123662	0.9256360
1.0000000	0.7320047	1.0000000	0.5881142	0.0908985	0.9945924	0.1009800	1.0000000	0.0447707	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430209	0.1613929	1.0000000	0.3024619	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5942077	0.8996942	0.8138832	0.9318877	0.0335609	0.9956394	0.1419548	0.5753984	0.2640470	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320124	1.0000000	0.5881288	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	0.5000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430098	0.1614092	1.0000000	0.3024628	0.0455026	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.6078115	0.8996905	0.5341484	0.9318877	0.0335609	0.9956375	0.1419548	0.5753970	0.2640475	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
