YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.5557888	0.5434933	1.0000000	0.5756245	0.3236694	0.9958297	0.0035474	1.0000000	0.4250797	0.8225829	0.6598069	0.0775008	1.0000000	0.9759387	0.0272297	0.6734061	0.9760172	0.0335909	0.0998600	0.4354378	1.0000000	0.2223200	0.0056606	0.8402963	1.0000000	0.8163145	0.0423738	0.4101840	0.0640368	0.4429837	0.6182013	0.3583212	0.7265564	0.9459711	0.0000003	0.8526835	0.1419493	0.3490791	0.0778425	0.2346305	0.4832490	0.2724089	0.2617480	0.0866847	0.1148751	0.5485997	0.3998284	0.8034766	0.2527345	0.6953527
1.0000000	0.3131251	0.8329384	0.3551423	0.0908985	0.9956238	0.0461725	0.7710550	0.1101716	1.0000000	1.0000000	0.0438577	1.0000000	0.9912005	0.2010833	0.5598724	1.0000000	0.3055316	0.2188401	0.4060021	1.0000000	0.6451802	0.1456468	1.0000000	0.4997049	0.2760537	0.0961177	0.2994022	0.0000007	0.7221786	0.5287121	0.6275381	0.8316911	0.9048988	0.0335623	0.9838591	0.1415160	0.5714453	0.7253495	0.7030530	0.3381055	0.4864886	0.6367692	0.0001731	0.0007439	0.6110226	0.3260527	0.7703554	0.2829534	0.7779492
0.9572528	0.9211007	0.8129289	0.7295740	0.0691226	0.9936744	0.1009800	0.5769615	0.2296404	0.9054310	0.9346970	0.3192833	0.8379159	0.7395303	0.0001964	0.4999697	0.7864550	0.1531953	0.2028294	0.1417825	1.0000000	0.7182455	0.0130785	0.6555574	0.6256363	0.3309067	0.0154618	0.3139262	0.0640377	0.7098283	0.5574587	0.9202590	0.6944705	0.8636877	0.0335645	0.4794885	0.0819193	0.9243168	0.7435434	0.6363574	0.3217681	0.3746753	0.6689986	0.0000000	0.0006429	0.6907195	0.4123306	0.6518317	0.4908104	0.8202348
0.5675065	0.9641839	0.6930633	0.3099439	0.4859501	0.9805170	0.0052945	1.0000000	0.1610662	1.0000000	1.0000000	0.0706249	1.0000000	1.0000000	0.0001492	0.6734059	1.0000000	0.0127148	0.1927568	0.1323785	0.8689692	0.6010488	0.0072329	0.9166815	1.0000000	0.8031164	0.0090011	0.5146873	0.0000002	0.6580203	0.5801329	0.9282605	0.8692948	0.9227957	0.0335611	0.9892601	0.0007418	0.1960431	0.5299272	0.6697901	0.4254227	0.3878162	0.1153981	0.0000000	0.1146011	0.6154339	0.4597199	0.7031612	0.2439031	0.6224717
0.9151149	0.9628252	1.0000000	0.6308230	0.1227974	0.9977968	0.1027751	1.0000000	0.0000000	1.0000000	0.9708698	0.0755496	1.0000000	0.6058942	0.0039102	0.7286233	1.0000000	0.0557035	0.3389388	0.2783001	0.8372888	0.4489988	0.0095820	1.0000000	0.7952568	0.2249197	0.0305113	0.2600404	0.0000005	0.5432153	0.4630612	0.4020196	0.6959123	0.8840274	0.0000001	0.9406643	0.1419405	0.7258397	0.5337585	0.8922919	0.3470635	0.4235115	0.5412704	0.0190535	0.1113034	0.6357311	0.4724981	0.7507340	0.2040542	0.4705756
0.3449596	0.5616349	0.8747120	0.7246294	0.8794096	0.9805170	0.1017376	0.6708604	0.0621709	0.6875146	1.0000000	0.2245567	1.0000000	1.0000000	0.8087155	0.4835347	1.0000000	0.0197985	0.9520532	0.6754356	0.9202507	0.7323070	0.3930970	0.6755859	0.9390177	0.9695414	0.0105308	0.7073990	0.0640379	0.7690113	0.2719750	0.4062876	0.3582223	0.9432337	0.0000036	0.4813326	0.1420203	0.0564072	0.6392998	0.7266650	0.6051219	0.3533234	0.0125752	0.7049729	0.0998658	0.2355675	0.3056780	0.7373292	0.5201743	0.6788092
1.0000000	0.4148746	1.0000000	0.5877955	0.0908985	0.9805170	0.1009800	1.0000000	0.0000000	0.8799851	0.8932114	0.1174878	0.9125174	0.6452512	0.0422952	0.6734060	1.0000000	0.0325471	0.0747816	0.1731150	1.0000000	0.2298538	0.0073952	0.8208953	0.8501531	0.2945979	0.0878725	0.1997045	0.0640368	0.6580201	0.6064952	0.8876776	0.7539194	0.9514973	0.0335611	0.7267841	0.1420203	0.7732316	0.2775696	0.6740413	0.3161596	0.3081776	0.6367692	0.0486772	0.0008350	0.9113284	0.2624168	0.7992682	0.1989200	0.6425082
0.7906611	0.9093206	1.0000000	0.6179852	0.1875308	0.9811961	0.0574337	0.8220280	0.3077595	1.0000000	1.0000000	0.1962325	0.9380027	0.8657261	0.0000702	0.5663680	1.0000000	0.0489754	0.1669891	0.1112921	0.5654412	0.3112975	0.0067029	0.7955946	0.8825486	0.5135420	0.0142705	0.3289044	0.0000006	0.7037273	0.6299305	0.7671481	0.7373402	0.8935570	0.0335621	0.8120613	0.1420170	0.5022763	0.1727862	0.8903897	0.3940017	0.4030232	0.6865190	0.2604836	0.1118842	0.6630057	0.5351747	0.7181489	0.2992167	0.5348802
0.4365955	0.7782365	0.8789816	0.7885103	0.7345911	0.9967509	0.0106795	0.5188685	0.2088351	0.8331643	1.0000000	0.5776249	1.0000000	1.0000000	0.0004245	0.2985552	1.0000000	0.0542730	0.1973652	0.1674713	0.6130165	0.4509425	0.3539092	0.6892584	0.8545993	0.7895291	0.0084242	0.6203484	0.0640562	0.4990549	0.5612010	0.8933321	0.6777957	0.8897688	0.0002100	0.7783102	0.0009880	0.7487279	0.3558707	0.9804825	0.5455444	0.3018676	0.0369193	0.1791387	0.0407253	0.3623073	0.3395462	0.9515015	0.4954367	0.9387245
1.0000000	0.6619925	1.0000000	0.3154572	0.0664551	0.9932822	0.1016098	1.0000000	0.0000000	1.0000000	0.7624807	0.6159925	1.0000000	1.0000000	0.0388903	0.7231653	0.8817085	0.0897943	0.0105383	0.2893772	0.9323339	0.5032202	0.0132890	0.9780430	0.7339892	0.2198605	0.0100108	0.1946447	0.0640367	0.5252995	0.6814222	0.7442313	0.7506172	0.9362721	0.0335609	0.7743172	0.1419597	0.6211952	0.4218424	0.8165661	0.3381055	0.3732482	0.6367692	0.2300338	0.1110541	0.6110226	0.4114425	0.8713169	0.1472327	0.5915906
