YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.0000013	0.9223202	1.0000000	0.5881272	0.9996639	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1430045	0.1614095	1.0000000	0.6193786	0.0142757	1.0000000	1.0000000	0.9999741	0.0959145	0.9999240	0.0640367	0.6340285	0.5941953	0.8996867	0.8138810	0.9318877	0.0335609	0.9956377	0.1419548	0.5753955	0.6493794	0.7555875	0.9996998	0.3085150	0.0311405	0.0324643	0.9999656	0.0479830	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.0000005	1.0000000	0.5881256	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430329	0.1614026	1.0000000	0.3024625	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5942016	0.8996925	0.8138817	0.9318877	0.0335609	0.9956382	0.1419548	0.5753972	0.2640471	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.8986179	0.0000006	0.5881266	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429908	0.1614131	1.0000000	0.6193794	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941922	0.8996840	0.8138806	0.9318877	0.0335609	0.9956374	0.1419548	0.5753946	0.6493937	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.0520937	0.2111294	0.6618857
1.0000000	0.7320088	1.0000000	0.0000018	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1429908	0.1614131	1.0000000	0.3024629	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941922	0.8996840	0.8138806	0.9318877	0.0335609	0.9956374	0.1419548	0.5753946	0.2640481	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320153	1.0000000	0.5881320	0.0000054	0.9945924	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430122	0.1614117	1.0000000	0.3024630	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941941	0.8996897	0.8138804	0.9318877	0.0335609	0.9956372	0.1419548	0.5753965	0.2640476	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320163	1.0000000	0.6472192	0.0908985	0.0000040	0.1009800	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1430018	0.1614175	1.0000000	0.3024633	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941896	0.8996887	0.8138795	0.9318877	0.0335609	0.9956365	0.9999978	0.5753963	0.2640478	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7310383	1.0000000	0.5881455	0.0908985	0.9945924	0.0000023	1.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.7197616	1.0000000	0.0335909	0.1430022	0.1614243	1.0000000	0.3024638	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941849	0.8996912	0.8138783	0.9318877	0.0335609	0.9956354	0.1419548	0.5753973	0.2640477	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.1774912	1.0000000	0.3024836	0.0908985	0.9945924	0.1009800	0.0000000	0.0895328	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268378	0.0463566	1.0000000	0.0335909	0.1430000	0.1614139	1.0000000	0.5115998	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.4255393	0.9959315	0.5941920	0.8996870	0.8138802	0.9318877	0.9983466	0.9956371	0.1419548	0.5753956	0.5339249	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.9997582	0.9991999
1.0000000	0.7320247	1.0000000	0.5881423	0.0908985	0.9945924	0.1009800	1.0000000	0.0000024	1.0000000	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430273	0.1614168	1.0000000	0.3024634	0.0142757	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.5941914	0.8996959	0.8138792	0.9318877	0.0335609	0.9956361	0.1419548	0.5753987	0.2640471	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
1.0000000	0.7320153	1.0000000	0.5881320	0.0908985	0.9945924	0.1009800	1.0000000	0.0895328	0.0000004	1.0000000	0.0547299	1.0000000	1.0000000	0.0268377	0.7197616	1.0000000	0.0335909	0.1430122	0.1614117	1.0000000	0.3024630	0.4645764	1.0000000	1.0000000	0.2945979	0.0959145	0.2994022	0.0640367	0.6340285	0.6854401	0.8996897	0.0702134	0.9318877	0.0335609	0.9956372	0.1419548	0.5753965	0.2640476	0.7555875	0.3381055	0.3085150	0.6679092	0.0324643	0.1110541	0.6589934	0.4123306	0.8028276	0.2111294	0.6618857
