YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.5557890	0.5434932	1.0000000	0.5756250	0.3235124	0.9958297	0.0035474	1.0000000	0.4250797	0.8225829	0.6598084	0.0774895	1.0000000	0.9759387	0.0272307	0.6734067	0.9760172	0.0335909	0.0998599	0.4354408	1.0000000	0.2223190	0.0056606	0.8402964	1.0000000	0.8162887	0.0423739	0.4101691	0.0640368	0.4429827	0.6181826	0.3583349	0.7265585	0.9459710	0.0000011	0.8526835	0.1419493	0.3491111	0.0778353	0.2346709	0.4832323	0.2724089	0.2617500	0.0866845	0.1148749	0.5486033	0.3998285	0.8034766	0.2527314	0.6953499
1.0000000	0.3131241	0.8329384	0.3551359	0.0908985	0.9956237	0.0461725	0.7710550	0.1101716	1.0000000	1.0000000	0.0438342	1.0000000	0.9912005	0.2010783	0.5598825	1.0000000	0.3055129	0.2188377	0.4059762	1.0000000	0.6451768	0.1456349	1.0000000	0.4997053	0.2760538	0.0961177	0.2994022	0.0000008	0.7221579	0.5287317	0.6276874	0.8316952	0.9048990	0.0335623	0.9838631	0.1415177	0.5713466	0.7253236	0.7031164	0.3381055	0.4862663	0.6367692	0.0001729	0.0007440	0.6110226	0.3260528	0.7703554	0.2828999	0.7779046
0.9572528	0.9210242	0.8129289	0.7292255	0.0691226	0.9936744	0.1009800	0.5769615	0.2296404	0.9054310	0.9346970	0.3192833	0.8379159	0.7395303	0.0001959	0.4999697	0.7864550	0.1531953	0.2032053	0.1409570	1.0000000	0.7181868	0.0130785	0.6555574	0.6256363	0.3309067	0.0154618	0.3139262	0.0640377	0.7098283	0.5578014	0.9202025	0.6946751	0.8636877	0.0335645	0.4796109	0.0819193	0.9242904	0.7435381	0.6363574	0.3217681	0.3746753	0.6689986	0.0000000	0.0006429	0.6907195	0.4123306	0.6518317	0.4908104	0.8202348
0.5675065	0.9641467	0.6930633	0.3096263	0.4859501	0.9805170	0.0052945	1.0000000	0.1610662	1.0000000	1.0000000	0.0706249	1.0000000	1.0000000	0.0001497	0.6734059	1.0000000	0.0127148	0.1924354	0.1320303	0.8689692	0.6010130	0.0072329	0.9166815	1.0000000	0.8031164	0.0090011	0.5146873	0.0000002	0.6580203	0.5801754	0.9280314	0.8693669	0.9227957	0.0335611	0.9893578	0.0007418	0.1960085	0.5299434	0.6697901	0.4254227	0.3878162	0.1153981	0.0000000	0.1146011	0.6154339	0.4597199	0.7031612	0.2439031	0.6224717
0.9151150	0.9628239	1.0000000	0.6308008	0.1227687	0.9977966	0.1027750	1.0000000	0.0000000	1.0000000	0.9708702	0.0755356	1.0000000	0.6058942	0.0039110	0.7286230	1.0000000	0.0557001	0.3389371	0.2782491	0.8372889	0.4489733	0.0095825	1.0000000	0.7952573	0.2249141	0.0305107	0.2600370	0.0000009	0.5432157	0.4630881	0.4019061	0.6959435	0.8840315	0.0000020	0.9407010	0.1419405	0.7252284	0.5337635	0.8922919	0.3470591	0.4234850	0.5412723	0.0190536	0.1113034	0.6357326	0.4724929	0.7507340	0.2040553	0.4705767
0.3449596	0.5616348	0.8747120	0.7246281	0.8793755	0.9805171	0.1017376	0.6708604	0.0621709	0.6875146	1.0000000	0.2245456	1.0000000	1.0000000	0.8087108	0.4835359	1.0000000	0.0197985	0.9520514	0.6754187	0.9202507	0.7323026	0.3930353	0.6755859	0.9390177	0.9695403	0.0105308	0.7073968	0.0640379	0.7690086	0.2719839	0.4063789	0.3582320	0.9432337	0.0000036	0.4813420	0.1420203	0.0564468	0.6392807	0.7266476	0.6051195	0.3533233	0.0125752	0.7049343	0.0998658	0.2355678	0.3056779	0.7373292	0.5201618	0.6788043
1.0000000	0.4148596	1.0000000	0.5877438	0.0908985	0.9805172	0.1009800	1.0000000	0.0000000	0.8799852	0.8932116	0.1174799	0.9125174	0.6452512	0.0422950	0.6734062	1.0000000	0.0325469	0.0747972	0.1730451	1.0000000	0.2298535	0.0073951	0.8208953	0.8501532	0.2945979	0.0878725	0.1997046	0.0640368	0.6580196	0.6065422	0.8876490	0.7539255	0.9514972	0.0335611	0.7267866	0.1420203	0.7731801	0.2775735	0.6740459	0.3161597	0.3081763	0.6367692	0.0486772	0.0008350	0.9113284	0.2624169	0.7992682	0.1989189	0.6425070
0.7906611	0.9093109	1.0000000	0.6179346	0.1875308	0.9811961	0.0574337	0.8220280	0.3077595	1.0000000	1.0000000	0.1962325	0.9380027	0.8657261	0.0000702	0.5663680	1.0000000	0.0489754	0.1669945	0.1112172	0.5654412	0.3112912	0.0067029	0.7955946	0.8825486	0.5135420	0.0142705	0.3289044	0.0000006	0.7037273	0.6299408	0.7671318	0.7373563	0.8935570	0.0335621	0.8120743	0.1420170	0.5022697	0.1727866	0.8903897	0.3940017	0.4030232	0.6865190	0.2604836	0.1118842	0.6630057	0.5351747	0.7181489	0.2992167	0.5348802
0.4365955	0.7782430	0.8789816	0.7885337	0.7345910	0.9967509	0.0106795	0.5188685	0.2088351	0.8331643	1.0000000	0.5776249	1.0000000	1.0000000	0.0004246	0.2985552	1.0000000	0.0542730	0.1973342	0.1675512	0.6130165	0.4509510	0.3539092	0.6892584	0.8545993	0.7895291	0.0084242	0.6203484	0.0640562	0.4990548	0.5611630	0.8933393	0.6777777	0.8897688	0.0002100	0.7782934	0.0009880	0.7487326	0.3558735	0.9804825	0.5455444	0.3018676	0.0369193	0.1791387	0.0407253	0.3623073	0.3395462	0.9515015	0.4954367	0.9387245
1.0000000	0.6619920	1.0000000	0.3154549	0.0664565	0.9932825	0.1016098	1.0000000	0.0000000	1.0000000	0.7624817	0.6159621	1.0000000	1.0000000	0.0388906	0.7231652	0.8817085	0.0897918	0.0105377	0.2893783	0.9323339	0.5032199	0.0132891	0.9780430	0.7339894	0.2198608	0.0100110	0.1946451	0.0640367	0.5252996	0.6814054	0.7441956	0.7506174	0.9362724	0.0335609	0.7743174	0.1419597	0.6207291	0.4218331	0.8165819	0.3381055	0.3732244	0.6367692	0.2300333	0.1110541	0.6110226	0.4114418	0.8713169	0.1472328	0.5915909
0.9955645	0.3674681	0.6402875	0.6135393	0.0574302	0.9759931	0.1009800	1.0000000	0.1330962	0.9728545	1.0000000	0.1142827	0.5494314	1.0000000	0.0855246	0.7939749	0.8224333	0.0612838	0.0210784	0.2406645	1.0000000	0.5281842	0.5003170	0.8811718	0.8231838	0.2981644	0.0959145	0.2778843	0.0640366	0.2581465	0.8395876	0.7705452	0.8488025	0.9411031	0.0000045	0.9999887	0.0163042	0.9532076	0.4518047	0.8339747	0.3391253	0.3194604	0.6322130	0.0042337	0.1110651	0.7028082	0.4123306	0.2858747	0.1570771	0.6098425
0.8260716	0.9483384	1.0000000	0.9303180	0.1313707	0.9729531	0.0031066	1.0000000	0.3454645	0.9194212	1.0000000	0.0633107	1.0000000	0.5125691	0.0296158	0.6734077	0.7546371	0.0232609	0.3882474	0.4441328	1.0000000	0.4935870	0.0000023	0.5239741	1.0000000	0.2866949	0.1282116	0.3334476	0.0427570	0.3392408	0.2088358	0.5894247	0.7054217	0.8636893	0.0335611	0.9129588	0.0007208	0.4793513	0.5228659	0.8600314	0.3832837	0.3026218	0.6446875	0.0431823	0.1116836	0.5419577	0.3629066	0.7507340	0.2060936	0.6953451
1.0000000	0.8607651	1.0000000	0.2899158	0.0665181	0.9862660	0.0033185	0.9835270	0.0000006	1.0000000	0.9480072	0.3638294	1.0000000	0.9855412	0.5664832	0.8140935	1.0000000	0.0335909	0.4248265	0.3223933	1.0000000	0.6472086	0.2794966	1.0000000	1.0000000	0.2945979	0.0074631	0.2445218	0.0323995	0.4718010	0.4245009	0.7184487	0.7564868	0.9014555	0.0000009	0.5356921	0.0739632	0.2372936	0.7255570	0.8403851	0.3381055	0.3085150	0.7388889	0.0804586	0.1110541	0.7530314	0.2925632	0.8338049	0.1479178	0.5472820
0.9812092	0.5900937	1.0000000	0.3801978	0.0969491	0.9729941	0.0099255	0.8157175	0.0000000	0.5410313	1.0000000	0.3206989	0.9366508	0.6715284	0.1973820	0.5618686	0.7554924	0.0409731	0.1979994	0.1368688	0.6407209	0.5320139	0.0195076	1.0000000	0.9348072	0.3100275	0.0823686	0.3056515	0.0640371	0.4239229	0.5418379	0.7965798	0.4940751	0.9053932	0.0335622	0.9883706	0.0010736	0.6382763	0.5764688	0.5479590	0.2521256	0.2548297	0.6726126	0.0639328	0.0006666	0.7732505	0.5654979	0.7173579	0.3710270	0.7765254
1.0000000	0.9504463	0.9336181	0.9270531	0.0486519	0.9946904	0.1014549	0.6055926	0.4057445	1.0000000	0.9722135	0.1288603	1.0000000	1.0000000	0.0432501	0.4544410	1.0000000	0.0813051	0.3875556	0.4857831	0.9476638	0.4220323	0.3858068	0.6641176	0.7560098	0.2800216	0.0074831	0.1413662	0.0170696	0.7431274	0.4076292	0.3089943	0.6765568	0.8594267	0.0010239	0.9133918	0.1419537	0.6404229	0.4801998	0.3849137	0.3381055	0.2347841	0.6776200	0.0000024	0.0006794	0.6378426	0.3188607	0.7443320	0.5738505	0.7260026
