YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.3250032	0.5737110	0.5577788	0.3910570	0.4705196	0.8700029	0.0823656	0.7256354	0.0407632	0.7403611	0.6059868	0.0261994	0.6091374	0.6823172	0.0192119	0.4169020	0.7264138	0.0227419	0.0698274	0.1351224	0.7126854	0.2080853	0.0044736	0.7224291	0.6547090	0.5534830	0.0650619	0.3977314	0.0394482	0.4750887	0.3594318	0.6611042	0.6234653	0.6518343	0.0361512	0.7714455	0.1235692	0.4818762	0.2484317	0.4482382	0.3759020	0.1929945	0.0712221	0.0355781	0.0582154	0.3430293	0.2493851	0.5628140	0.1219025	0.4721118
0.6708816	0.2720515	0.6375703	0.3630867	0.0775990	0.6058266	0.0818055	0.6194051	0.0489588	0.6156755	0.6354346	0.0324291	0.5936871	0.6309641	0.0360546	0.3931470	0.7381368	0.0123130	0.1195751	0.0983619	0.6194214	0.2265545	0.0067261	0.7456092	0.5988774	0.1715273	0.1219216	0.2436118	0.0384484	0.5173586	0.4897529	0.6415436	0.5794540	0.7296017	0.0204768	0.6799544	0.0783075	0.4918468	0.2647627	0.6232552	0.1680075	0.2161140	0.4861950	0.0191343	0.0609066	0.4076812	0.2943667	0.5387597	0.2029379	0.5910111
0.7774473	0.6282728	0.2992024	0.3450758	0.0754909	0.6303206	0.0623796	0.5673191	0.1169761	0.5600073	0.5975730	0.0656353	0.8019798	0.7665614	0.0121272	0.4928563	0.7716684	0.0139907	0.0520194	0.1580206	0.7387331	0.3509515	0.0054775	0.5727448	0.6388822	0.2628028	0.0888812	0.2296233	0.0530112	0.4580498	0.3997740	0.5887020	0.5899800	0.6452768	0.0488594	0.7836577	0.1193671	0.4309999	0.3859648	0.3866331	0.2632891	0.1995438	0.4773073	0.0296121	0.0680396	0.3432072	0.2778894	0.5789661	0.1156520	0.4295493
0.7143341	0.5095464	0.6394866	0.1727354	0.0533285	0.6064214	0.0432161	0.6988389	0.0244448	0.6840392	0.6548171	0.0407434	0.7287942	0.6529280	0.0113096	0.5143683	0.6569943	0.0169852	0.0420514	0.1070296	0.6721230	0.2200239	0.0037071	0.7395478	0.6392777	0.2237069	0.0906886	0.1819796	0.0444662	0.3598401	0.4071628	0.5499625	0.5064051	0.6044266	0.0431943	0.7239427	0.0647726	0.3807283	0.2735734	0.4399640	0.2417971	0.2205752	0.4650232	0.0239608	0.1084122	0.4919415	0.2274135	0.5921503	0.1871025	0.5266045
0.6518983	0.4462423	0.6288517	0.4125019	0.0287172	0.7048882	0.0781239	0.5970033	0.0524908	0.7169878	0.6182610	0.0516555	0.7417145	0.6434668	0.0241269	0.5172990	0.7079602	0.0258438	0.1392244	0.0826635	0.7118114	0.2187416	0.0040364	0.7258980	0.6669795	0.2053388	0.0653175	0.2219228	0.0328787	0.4484881	0.4280504	0.6459894	0.4983952	0.5771279	0.0205507	0.5435780	0.1114012	0.4816839	0.2451490	0.4478442	0.2455808	0.1730837	0.4100577	0.0193562	0.0520885	0.3885157	0.2896718	0.6829428	0.2053335	0.5155468
0.7214382	0.4983341	0.7358538	0.3962618	0.0599662	0.3323637	0.0782245	0.7985456	0.0612465	0.6152945	0.7863981	0.0381738	0.7560465	0.6390589	0.0327123	0.5277738	0.7336699	0.0269398	0.1812103	0.0894467	0.6778068	0.1421799	0.0228773	0.8577497	0.6149607	0.2435519	0.0707137	0.2139542	0.0251388	0.3465161	0.4292093	0.6398639	0.5979844	0.5713801	0.0190500	0.7345452	0.0797723	0.2880408	0.1932742	0.5099312	0.2567678	0.2590541	0.3959959	0.0219061	0.0814429	0.4075638	0.3295087	0.5701038	0.1249219	0.3721868
0.7229629	0.4166998	0.7308384	0.4379805	0.0664422	0.6060335	0.0313422	0.7127941	0.0448357	0.6422797	0.5499758	0.0515816	0.7535685	0.7617110	0.0183734	0.5246051	0.7132845	0.0252925	0.1473672	0.1086871	0.7002179	0.1573855	0.0122684	0.7526587	0.7728412	0.2232232	0.0324755	0.2710985	0.0613928	0.4638221	0.4233310	0.7142357	0.6561366	0.7038795	0.0157371	0.6073715	0.0994628	0.4687996	0.2172833	0.4997630	0.1994326	0.2799313	0.3062593	0.0208831	0.0741412	0.3809778	0.2766710	0.4515268	0.1985462	0.4726782
0.7983120	0.4259435	0.6850302	0.4703172	0.0750636	0.5816811	0.0989616	0.3539978	0.1142884	0.6345238	0.7008230	0.0406014	0.7104148	0.6737437	0.0128371	0.2192093	0.6799311	0.0530935	0.0717835	0.1342800	0.7150159	0.2604927	0.0080903	0.7032087	0.5741472	0.2221823	0.0687361	0.1838151	0.0395657	0.5580923	0.3919336	0.6010665	0.5950524	0.6020011	0.0218393	0.6539442	0.1397785	0.4511837	0.3118531	0.5110331	0.1715290	0.1598623	0.6319090	0.0284565	0.0760657	0.4104710	0.2935172	0.4545640	0.4799576	0.6267906
0.6722937	0.4927018	0.5637328	0.3877777	0.0481734	0.5896739	0.0458519	0.6078068	0.0616694	0.6205435	0.5891359	0.0301823	0.7748774	0.6271799	0.0196231	0.4703401	0.6653999	0.0210353	0.1080915	0.1051596	0.7006849	0.1812483	0.0064114	0.7235324	0.6983800	0.1787099	0.0397242	0.1941490	0.0472859	0.4656973	0.4632597	0.6875740	0.6296299	0.5810146	0.0330968	0.6910990	0.1034985	0.4501921	0.1497792	0.5497889	0.2461806	0.1793049	0.5458612	0.0182637	0.0554151	0.4824336	0.3221862	0.5169817	0.1276324	0.4464295
0.6923748	0.5199179	0.7585812	0.5177499	0.0863334	0.7891527	0.0841297	0.6610147	0.0442382	0.3212382	0.7010345	0.0521929	0.6215959	0.6445256	0.0140990	0.5051028	0.6353541	0.0351297	0.0796246	0.0729352	0.6775446	0.2759550	0.0813508	0.6431405	0.7542710	0.2075908	0.0443943	0.2786754	0.0672611	0.4752607	0.3401554	0.6982401	0.3251705	0.5327416	0.0293522	0.7131873	0.1899892	0.3397607	0.1887535	0.4367766	0.1556521	0.2432319	0.4120795	0.0082925	0.0464438	0.3920358	0.3658795	0.5677012	0.1744615	0.3986141
