YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.0000000	0.5965352	0.7341282	0.4260474	0.6453663	0.5840367	0.0739115	0.7117183	0.0759163	0.7055900	0.5477493	0.0650508	0.7401187	0.7354949	0.0358007	0.4786545	0.6126274	0.0305824	0.0859402	0.0759311	0.7228915	0.4002762	0.0100285	0.6060442	0.6722854	0.6515635	0.0751341	0.6493021	0.0539691	0.4916286	0.3987233	0.6261801	0.5779954	0.7010300	0.0262202	0.7350922	0.0983165	0.3818093	0.4880678	0.4727958	0.7881381	0.2389156	0.0237711	0.0245960	0.7145018	0.0392863	0.2759752	0.5711116	0.1384086	0.4373504
0.6695507	0.0000000	0.9172796	0.4413927	0.0497794	0.6710399	0.0659420	0.6294309	0.0910532	0.5942375	0.6521955	0.0631354	0.7315088	0.5912498	0.0268338	0.4652258	0.6938771	0.0163103	0.0825178	0.0781195	0.6695321	0.1729641	0.0097085	0.7535167	0.6504429	0.1783539	0.0880654	0.2450388	0.0617696	0.3988749	0.3439162	0.7723707	0.5627271	0.6662756	0.0142128	0.6721283	0.1372355	0.3965898	0.2184155	0.5997947	0.1923004	0.2038673	0.4345138	0.0298120	0.1052793	0.4101662	0.2834147	0.5836315	0.1078451	0.5129280
0.8161626	0.6658636	0.0000000	0.3830164	0.0869067	0.6270899	0.0719604	0.6002239	0.0999868	0.7372741	0.8143196	0.0435434	0.7604488	0.7567264	0.0293704	0.5250416	0.7222628	0.0219641	0.0508908	0.1204835	0.6013497	0.4751388	0.0059711	0.5690848	0.6285154	0.2643068	0.0439492	0.2137144	0.0788737	0.4097361	0.3939634	0.5321519	0.5534348	0.6802269	0.0499149	0.7048803	0.1017298	0.4644038	0.4798179	0.5760189	0.2154420	0.1937007	0.3785072	0.0115537	0.0887632	0.4934340	0.2498974	0.0468599	0.1461788	0.3987233
0.7426375	0.4974693	0.5488263	0.0000000	0.0793730	0.6442462	0.0700954	0.7170543	0.0486838	0.6959825	0.6991302	0.0477730	0.6289271	0.5590703	0.0087576	0.5178726	0.7451385	0.0188687	0.1728522	0.0815680	0.7073586	0.2536277	0.0195226	0.7454058	0.6359872	0.2434938	0.1036738	0.2104380	0.0278410	0.5077451	0.5046060	0.6239058	0.4579754	0.6857408	0.0381020	0.6678065	0.1151075	0.4254650	0.2372277	0.5737099	0.2465695	0.2617692	0.4331983	0.0476895	0.0545765	0.4833860	0.2829285	0.5689475	0.1330872	0.3999070
0.8277471	0.4978730	0.5850067	0.3396474	0.0000000	0.6616483	0.0962589	0.7530850	0.0581328	0.7179399	0.6805284	0.0371477	0.6877102	0.6639086	0.0214720	0.4368758	0.7260728	0.0153822	0.1170779	0.1400558	0.7504927	0.2194406	0.0086849	0.6118230	0.8758562	0.1758216	0.0316398	0.2433357	0.1032423	0.4029808	0.4549220	0.5538589	0.4217764	0.5913247	0.0294648	0.6269310	0.0854400	0.5236003	0.2046916	0.5349091	0.2823899	0.2030410	0.5666914	0.0489040	0.0608121	0.4657591	0.3175397	0.5299870	0.2295125	0.5254040
0.6207787	0.6554506	0.7333274	0.4653851	0.0695957	0.0000000	0.0801385	0.7586982	0.1229349	0.7179512	0.7965457	0.0333400	0.6895218	0.6410009	0.0264243	0.4291483	0.6831069	0.0427229	0.1646729	0.1208708	0.7629989	0.2285842	0.0129030	0.7443375	0.5851084	0.2241628	0.0738575	0.2643775	0.0300757	0.4897719	0.3930311	0.6435598	0.5283879	0.5542753	0.0251660	0.6578250	0.6737267	0.4343524	0.1715702	0.5301549	0.2598384	0.2558178	0.4144086	0.0398734	0.0705552	0.4511749	0.3693214	0.5685961	0.1838316	0.4352823
0.6005291	0.4664511	0.6509483	0.3478404	0.0484896	0.6667769	0.0000000	0.6555331	0.0437596	0.8625419	0.6703635	0.0400978	0.6987365	0.7108856	0.0376216	0.4419593	0.6859223	0.0307034	0.1219451	0.0958853	0.5959778	0.1876580	0.0279240	0.7807293	0.6678212	0.2300700	0.0602973	0.2299582	0.0307087	0.5127135	0.3839758	0.5499282	0.6771300	0.6706480	0.0304819	0.5659375	0.1387832	0.3686934	0.1595459	0.5389209	0.2773715	0.2476405	0.4775499	0.0319850	0.0459306	0.4900723	0.2930305	0.5066441	0.1104637	0.4716194
0.7438705	0.1622278	0.6905097	0.2648891	0.0404538	0.6246354	0.0869459	0.0000000	0.0387969	0.6800979	0.6502575	0.0361130	0.5598632	0.7089554	0.0269787	0.0385580	0.6782041	0.0374621	0.1008251	0.1278317	0.5695710	0.3322795	0.0106634	0.7624464	0.6933530	0.1944859	0.0845757	0.2216634	0.4277555	0.7774976	0.4873244	0.6379268	0.4016256	0.5685355	0.6351715	0.9678569	0.1600028	0.3760915	0.2941141	0.4370079	0.2595630	0.2597197	0.6707180	0.0105674	0.0904306	0.3763650	0.2216047	0.5735563	0.6917087	0.6413178
0.6962466	0.4745485	0.6432889	0.3730740	0.0543207	0.7039119	0.0964093	0.7029551	0.0000000	0.6383394	0.8533328	0.0305330	0.6821156	0.6738554	0.0073696	0.5463581	0.7522643	0.0075074	0.1445204	0.1146787	0.6576328	0.2364867	0.0041793	0.8098559	0.7679740	0.1762631	0.0923806	0.2454877	0.0687438	0.4653096	0.3901157	0.6164452	0.5973764	0.6587519	0.0118351	0.7727467	0.0994330	0.3991826	0.1641539	0.4722830	0.2298306	0.1728033	0.4246268	0.0163084	0.0885890	0.3690868	0.2963998	0.5172011	0.1533861	0.4154851
0.6722572	0.3955113	0.6646722	0.3701888	0.0584668	0.7128770	0.0664100	0.6092980	0.0751521	0.0000000	0.7640541	0.0513174	0.7090400	0.6430442	0.0317907	0.4683610	0.6694566	0.0142517	0.0606815	0.0649268	0.6464432	0.1510810	0.2964609	0.5696739	0.7649893	0.2962249	0.0504301	0.2406419	0.0636530	0.4352132	0.5204272	0.5981928	0.0406308	0.5740022	0.0304401	0.6315018	0.1299205	0.5251297	0.1610070	0.5228459	0.2214344	0.2808317	0.4116319	0.0380675	0.0499193	0.5441721	0.2969974	0.6018843	0.1124338	0.4112922
