YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.3505654	0.3192806	0.7788525	0.4645185	0.2904519	0.6962806	0.0024058	0.6456418	0.2498300	0.6833878	0.3991093	0.0627664	0.8000868	0.6939626	0.0110108	0.4122643	0.6062666	0.0309042	0.0459137	0.2397530	0.6304502	0.0879082	0.0030159	0.6480615	0.7429824	0.5168054	0.0128825	0.2179352	0.0334735	0.3085367	0.4301752	0.2444265	0.5364950	0.6512118	0.0002975	0.5346919	0.0751279	0.1997590	0.0866883	0.1836611	0.3424260	0.1385927	0.3203178	0.0764388	0.1168372	0.4048920	0.3008234	0.4724082	0.1733038	0.3731719
0.7154027	0.1430632	0.6000849	0.1630095	0.0665399	0.6792354	0.0436246	0.4648812	0.0476599	0.8062497	0.6620818	0.0640977	0.6515922	0.7115903	0.1050101	0.3682089	0.6730375	0.2639571	0.2085628	0.2405068	0.7925888	0.5443474	0.0638583	0.6579889	0.3220024	0.1924720	0.1130741	0.2589480	0.0017949	0.5099602	0.3263730	0.3641723	0.5438541	0.5751825	0.0619918	0.7250419	0.0811599	0.4973744	0.5599766	0.4520966	0.1387984	0.4124960	0.5467463	0.0093386	0.0005579	0.4539616	0.1951670	0.4890577	0.1433823	0.5257668
0.6744466	0.6882985	0.5740802	0.4698868	0.0502367	0.7301843	0.0715930	0.3797366	0.2111162	0.6495224	0.6490835	0.2527025	0.5933044	0.5016876	0.0206024	0.2955498	0.5906038	0.1563377	0.1878799	0.0872825	0.6883392	0.5183924	0.0201586	0.4212600	0.4349783	0.2616214	0.0222760	0.3107621	0.0242381	0.4494004	0.3035182	0.5850655	0.4389621	0.7371752	0.0294472	0.3861046	0.0552765	0.7124312	0.5349992	0.4131337	0.2789564	0.2926695	0.5317562	0.0004556	0.0039312	0.4416722	0.3215964	0.4614916	0.4035283	0.5981723
0.3495629	0.6317802	0.4294159	0.1791471	0.2763377	0.6741347	0.0038874	0.6657931	0.1195114	0.8283577	0.6382719	0.0673013	0.6110646	0.6566641	0.0013468	0.5252025	0.6216599	0.0142458	0.0700918	0.0826837	0.4867251	0.5225394	0.0020023	0.6000473	0.6865252	0.6032206	0.0008638	0.3000255	0.0000518	0.4199684	0.3702990	0.6133933	0.5934417	0.7042526	0.0328821	0.6747251	0.0011763	0.1705509	0.4142644	0.5314296	0.2992064	0.2724898	0.1001497	0.0008504	0.0958705	0.3594876	0.3392416	0.5073536	0.2158646	0.3577489
0.6267757	0.6295432	0.5922596	0.4639617	0.1019092	0.7276245	0.0825575	0.5837497	0.0010304	0.7380500	0.5651818	0.0694348	0.7277328	0.4269090	0.0013535	0.5172185	0.7677584	0.0326564	0.3089658	0.2426011	0.6139582	0.3114717	0.0149187	0.7551211	0.4635713	0.1475960	0.0142016	0.1449995	0.0001718	0.3753118	0.3136650	0.2590889	0.3979802	0.6111484	0.0007473	0.6091293	0.1279186	0.4542936	0.3054485	0.5917806	0.3521358	0.2627357	0.2944033	0.0166079	0.0704490	0.3550446	0.2762988	0.5280397	0.1611901	0.2636930
0.2812673	0.4656498	0.5165650	0.3955060	0.5616431	0.6958201	0.0408402	0.5711701	0.0297434	0.5161839	0.7673911	0.1327512	0.5519475	0.6981174	0.5248864	0.3441034	0.6678287	0.0339859	0.6811398	0.3773632	0.6710654	0.3488554	0.2625343	0.4586659	0.6261999	0.6334816	0.0030022	0.3961597	0.0597825	0.5671093	0.2504250	0.3178755	0.2591196	0.5951662	0.0001428	0.3511838	0.1121668	0.0529499	0.2547276	0.5150723	0.2663295	0.2667622	0.0225482	0.5038346	0.0746455	0.1713390	0.2657369	0.5332188	0.3456605	0.4846751
0.5834966	0.2998438	0.7281461	0.4685874	0.0692392	0.6188247	0.0571854	0.6783145	0.0010115	0.6708611	0.6223988	0.0716998	0.5752853	0.4279074	0.0188656	0.5983922	0.5707154	0.0125427	0.0256553	0.1479791	0.6472062	0.0877883	0.0195442	0.4928701	0.5616148	0.1801148	0.0757014	0.1054250	0.0306222	0.4162779	0.3960737	0.5686246	0.4847866	0.6720355	0.0258253	0.4038021	0.1084735	0.5801608	0.1294216	0.4456007	0.1890890	0.1973972	0.3803775	0.0471217	0.0242001	0.5857421	0.1591731	0.5135527	0.1771221	0.4085481
0.4779911	0.6567792	0.6344149	0.4527463	0.1448363	0.7398939	0.0638211	0.6015386	0.2691082	0.7047036	0.6870397	0.1473226	0.6094783	0.6218503	0.0013265	0.4089430	0.6403374	0.0189352	0.0624326	0.1633267	0.5068173	0.2498366	0.0135830	0.7352410	0.5820383	0.4088701	0.0168282	0.2418613	0.0001072	0.4822562	0.3592557	0.5361032	0.5458427	0.7283881	0.0073257	0.7039451	0.1156614	0.2815111	0.1236013	0.6222270	0.2092160	0.2632537	0.5147500	0.1733279	0.0568281	0.4612921	0.3794171	0.6272830	0.2536260	0.4000080
0.3275259	0.4533417	0.6631462	0.6003351	0.4671761	0.5962768	0.0029749	0.3729678	0.1496087	0.6157168	0.7723377	0.4009780	0.8005982	0.6742286	0.0010533	0.2700384	0.6677963	0.0544604	0.1389503	0.1162094	0.4742574	0.3288755	0.2088676	0.3995888	0.5938943	0.4951263	0.0118501	0.3179525	0.0343087	0.2430694	0.4562209	0.6096615	0.5436489	0.7017370	0.0027296	0.5720780	0.0025982	0.5529291	0.2838525	0.6781848	0.3308528	0.2082057	0.0289938	0.1180453	0.0304111	0.2844618	0.2400144	0.6550532	0.2903077	0.6403987
0.5811853	0.4421008	0.6489127	0.1669972	0.0344557	0.6470449	0.1144880	0.5319159	0.0005764	0.7475354	0.5197865	0.4225026	0.7216819	0.6291422	0.0158585	0.3105850	0.7103329	0.1255269	0.0119650	0.2163154	0.5968543	0.4235341	0.0029141	0.6421785	0.6127506	0.1736229	0.0042835	0.1169058	0.0490120	0.3295206	0.6273725	0.5449490	0.6331035	0.6390001	0.0121815	0.6082270	0.0717195	0.4134943	0.2752815	0.5414267	0.1706446	0.2509082	0.4377076	0.1810306	0.0409257	0.3998926	0.2845401	0.6704934	0.1706079	0.5188869
0.6284933	0.3374407	0.4844526	0.4557400	0.0512640	0.6427370	0.0569947	0.7798526	0.0828073	0.6741475	0.8763512	0.0650903	0.4505876	0.6561229	0.0685857	0.5118075	0.5907645	0.0634124	0.0281843	0.1463180	0.8107139	0.3046526	0.3029910	0.6803843	0.5236798	0.2942714	0.0432919	0.2389239	0.0506181	0.1434476	0.5042956	0.5795021	0.5381165	0.5933740	0.0020027	0.6839196	0.0052472	0.6449893	0.2695103	0.5844729	0.2361624	0.2192996	0.4523992	0.0092692	0.0730111	0.3715321	0.2745228	0.1587364	0.1429914	0.3452393
0.4987074	0.6616656	0.6721787	0.5296011	0.0594061	0.7530696	0.0030815	0.6747442	0.3210212	0.6468203	0.6740933	0.0470759	0.6886873	0.3433515	0.0101874	0.5003805	0.5058278	0.0159369	0.2887701	0.2322211	0.6086424	0.4074100	0.0008796	0.3722704	0.8499810	0.1698199	0.0767097	0.2310590	0.0195272	0.2431206	0.1426652	0.4285379	0.4625426	0.6664541	0.0243284	0.5612005	0.0024300	0.3677280	0.3420579	0.6408266	0.2090500	0.1722747	0.4097189	0.0328603	0.0960785	0.3464881	0.2266797	0.5425756	0.1200588	0.4390783
