YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.1491959	0.6735005	0.7457922	0.1054555	0.0010199	0.2367047	0.5912908	0.5509737	0.5734666	0.6976776	0.0243110	0.5906005	0.8403736	0.8372050	0.6592764	0.6283013	0.7136840	0.8075697	0.4705820	0.4384065	0.1540401	0.7303855	0.7140563	0.1132866	0.4636154	0.7220850	0.0031513	0.5281152	0.6376231	0.6495822	0.6129549	0.5334642	0.1022191	0.1856571	0.4679162	0.4739994	0.6254267	0.0002880	0.2678801	0.6696904	0.0566456	0.4296339	0.2502942	0.2922112	0.0567417	0.3447409	0.5364789	0.6794330	0.5323758	0.0061192
0.2325076	0.7226395	0.6491659	0.0985859	0.0023588	0.3207097	0.2338324	0.5311393	0.7288818	0.6893219	0.2669813	0.6061148	0.8274596	0.8559597	0.5483899	0.6910871	0.7485586	0.6075089	0.6700382	0.5980210	0.2720005	0.6427582	0.4416568	0.3051548	0.8111865	0.3102322	0.2448077	0.6212078	0.6674319	0.6520016	0.7260648	0.6804949	0.0396762	0.1198113	0.4124006	0.3048232	0.5351058	0.0193657	0.2767362	0.5727067	0.3621364	0.3948583	0.3424836	0.3712612	0.5710884	0.1688394	0.5817611	0.6455950	0.4479022	0.0065971
0.1013711	0.6298020	0.5998104	0.1535083	0.0828402	0.5352446	0.3332991	0.2592988	0.7584008	0.5897496	0.4627622	0.7543994	0.7344868	0.5330506	0.6284789	0.6335920	0.7392777	0.7501308	0.5632497	0.6398128	0.3006223	0.6256377	0.7063333	0.0498878	0.7622669	0.7355285	0.2296457	0.2833158	0.6649122	0.6847718	0.8136787	0.4343712	0.2885911	0.1362353	0.4578812	0.4711449	0.8542357	0.0000276	0.3699919	0.7828783	0.4136633	0.2644386	0.2354886	0.2346034	0.3794962	0.6920826	0.6130179	0.4104637	0.3124275	0.0200504
0.1624110	0.6389035	0.7423082	0.1173628	0.0058702	0.4557681	0.6768300	0.2725332	0.6704306	0.8584151	0.0383192	0.6998402	0.7084028	0.6163539	0.6122367	0.7281154	0.5550483	0.6716845	0.7134527	0.5864167	0.2031700	0.7033839	0.4287255	0.5327810	0.6248006	0.4493496	0.3098581	0.2575087	0.4718548	0.6710591	0.7353190	0.4402077	0.0259947	0.5479734	0.4851550	0.5257631	0.6480220	0.0004308	0.2638845	0.4687333	0.1596412	0.4158368	0.3447640	0.3043395	0.0957867	0.2269359	0.3516781	0.4785636	0.2012908	0.0045632
0.1997725	0.7563034	0.7641992	0.0669587	0.0902544	0.2804709	0.3584183	0.3804290	0.7595825	0.7207655	0.0850663	0.6366391	0.6182205	0.6621331	0.6541504	0.7422189	0.6100902	0.5107838	0.6750124	0.2975146	0.2229045	0.5305048	0.6365306	0.1221637	0.4429043	0.7581177	0.1472341	0.6937343	0.6648602	0.6215683	0.8466690	0.6771544	0.0006334	0.3236824	0.4610722	0.6292293	0.7509377	0.0246517	0.2204355	0.5396440	0.6101793	0.3792214	0.4187198	0.3527128	0.5692066	0.4965725	0.6087167	0.5820752	0.2316643	0.0036313
0.0740002	0.7983708	0.7700744	0.0793982	0.0005034	0.1690578	0.6739434	0.1863390	0.5091718	0.7839515	0.1145949	0.4962403	0.5689561	0.6454138	0.5103714	0.6068303	0.5815898	0.6312870	0.6705633	0.6346419	0.3015627	0.6748160	0.5176377	0.2862592	0.7615878	0.7291290	0.0019677	0.7342988	0.7338598	0.7387644	0.6021084	0.4753071	0.0355671	0.3956477	0.4142960	0.2361158	0.6672666	0.0000157	0.2618922	0.5574415	0.3472089	0.2349123	0.4077250	0.2358030	0.2340401	0.2100158	0.5188812	0.6751819	0.2794769	0.0076473
0.1632663	0.7109874	0.7439371	0.0846316	0.1418141	0.1736920	0.3267057	0.1684483	0.7051433	0.7893721	0.0670105	0.4253367	0.7578005	0.7992257	0.6563840	0.7369283	0.6117640	0.7070920	0.5659605	0.6227908	0.2825473	0.5456350	0.6599166	0.1149457	0.8677922	0.6199496	0.1422830	0.5204164	0.6153639	0.7421911	0.5791105	0.5913647	0.0690250	0.3076963	0.5197072	0.3067168	0.7466258	0.0343593	0.4027649	0.5907551	0.5468478	0.3697896	0.4440014	0.3687303	0.3614533	0.5514116	0.6970309	0.6439278	0.7499816	0.0244576
0.1271277	0.6770067	0.5150011	0.1087239	0.0639929	0.1825127	0.0874065	0.6946742	0.6364470	0.6203048	0.0922681	0.6618446	0.7865992	0.7916803	0.5647626	0.7852308	0.3043529	0.6645826	0.2818138	0.5717343	0.2568146	0.8509260	0.6749441	0.1440728	0.8121239	0.7667581	0.1571237	0.6597578	0.5392080	0.8014704	0.7357383	0.6155795	0.0552701	0.0401916	0.4481174	0.5803217	0.6278503	0.0328497	0.1781320	0.7183267	0.5141012	0.3060841	0.1528162	0.2329991	0.8749858	0.1449931	0.7807819	0.5992401	0.3871125	0.0034291
0.2448323	0.6884270	0.4511083	0.0678707	0.1007703	0.1706948	0.5068854	0.1178051	0.6194179	0.6730018	0.3596476	0.5061052	0.8038583	0.7678977	0.6163023	0.7091670	0.3779740	0.6925376	0.3960781	0.5798067	0.3569183	0.6828740	0.6800980	0.0933477	0.8132152	0.5986591	0.1109689	0.4681620	0.6674456	0.6896999	0.6502735	0.8715507	0.0161060	0.0765328	0.5359100	0.2637773	0.6443750	0.0079918	0.4473942	0.7064922	0.3043441	0.3525857	0.3266701	0.3363837	0.6045664	0.5441603	0.6171338	0.4868542	0.6287988	0.0222175
0.1385060	0.6488092	0.7565738	0.0875737	0.0648350	0.4911318	0.3701785	0.3361459	0.7033519	0.8282561	0.0366292	0.6336168	0.5969604	0.5650028	0.6411021	0.7220787	0.7771696	0.4562101	0.4728497	0.6338729	0.2830513	0.8613389	0.6958875	0.1678079	0.6352582	0.5897172	0.2663520	0.3029845	0.4750924	0.6864968	0.7266616	0.3754650	0.1126265	0.5552085	0.5073918	0.4652821	0.7141675	0.0051336	0.2555133	0.7563488	0.1126585	0.6248377	0.3668505	0.4883614	0.3251547	0.4444148	0.6862170	0.3449328	0.3266408	0.0016153
