YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.1295543	1.0422819	0.9390444	0.1453561	0.1391917	0.4275342	0.6247433	0.3425956	0.9422526	1.0818651	0.1166774	1.0257217	1.0185634	1.0085485	0.9003866	0.9692645	0.9402910	1.0760229	1.0080537	0.8841408	0.3849645	1.0260489	1.0168067	0.1703273	1.0971168	0.8951140	0.1833878	0.6522669	0.7783860	0.9946043	0.9405952	0.8032639	0.0862070	0.3168719	0.6636544	0.6377273	0.9026029	0.0319472	0.3636561	0.9988283	0.5076254	0.5750589	0.2244088	0.4760113	0.4666746	0.5901199	0.9273606	0.8420732	0.4379589	0.0096882
0.6727339	0.4959660	1.0209896	0.5651314	0.1562037	0.4059210	0.6119300	0.3699845	0.9281095	0.9849171	0.1171492	0.9825918	0.9190545	0.9630756	0.8912557	0.9707611	1.0798462	1.0738657	1.0293020	0.8801076	0.3490720	1.0290228	1.0434990	0.1666373	0.9672861	0.9238556	0.2818288	0.7821486	0.6667455	1.0267610	0.7395397	0.4051201	0.3931596	0.3339275	0.6599806	0.2237296	0.8690363	0.0458969	0.4359616	1.1595096	0.4765140	0.6531790	0.8138644	0.3423330	0.4816243	0.5504141	1.0184660	0.8489793	0.4111517	0.0079046
0.3633750	0.9306999	0.4536666	0.2369591	0.1369369	0.3701036	0.5946792	0.3599142	1.0202747	1.0263980	0.0984243	0.9863448	0.9639939	1.0121324	0.8166974	0.9960589	0.9702318	1.0063317	0.9680978	0.8695124	0.3049578	0.9976798	0.9154620	0.1668594	0.9070122	0.8125701	0.1515839	0.7829405	0.7628445	0.9677441	0.9752373	0.7855160	0.1502113	0.3225570	0.6892021	0.4747951	0.8850008	0.0343285	0.4275042	0.9977939	0.4742177	0.6003094	0.5166671	0.5009361	0.4260358	0.5313455	0.9201374	0.9261173	0.4466904	0.0130281
0.1830891	0.9892594	1.0391881	0.0632636	0.1145997	0.3937243	0.6263405	0.3909430	1.0732898	1.0084357	0.1348907	0.9492064	1.0272110	0.9339272	0.8713155	1.0014776	1.0201715	1.0006096	0.9538403	0.9001544	0.3623478	1.1100962	1.0042230	0.2289563	1.0222976	0.8688888	0.1952234	0.8080396	0.7830610	1.0448548	0.8455123	0.9255086	0.0116284	0.3183632	0.6305583	0.6734329	0.9625218	0.0424688	0.3988627	0.9947821	0.5495839	0.5742631	0.2980218	0.3884707	0.3976766	0.6111840	0.9305425	0.8248498	0.4024476	0.0085959
0.2987841	0.9608509	0.9492427	0.2109276	0.0595915	0.3563828	0.5479722	0.3844762	0.9899580	1.0390116	0.1558885	0.9647561	1.0320894	0.9740574	0.8961875	1.0003672	0.9630290	0.9124626	1.0829609	0.8583396	0.3611250	1.0233043	1.0069214	0.2174873	1.0547904	0.9385721	0.0826686	0.8540976	0.7469931	0.9313710	0.9035796	0.8284386	0.1082671	0.3575146	0.6637694	0.6253008	0.9803181	0.0315809	0.4429504	1.0010262	0.5466637	0.6037094	0.5273664	0.4423621	0.5078050	0.5099463	1.0165313	0.8808218	0.4187887	0.0087544
0.2598177	0.9788633	1.0407510	0.1965913	0.1029951	0.1742872	0.6308124	0.3983682	0.9990857	1.0198379	0.1430839	1.0039558	1.0932686	0.9743116	0.8729709	1.0665977	1.0054779	0.9941237	1.0575389	0.8553314	0.3248781	1.0337010	0.9939229	0.1684621	1.0100766	1.0100775	0.1714145	1.0568800	0.7666603	0.9790410	0.8966138	0.9642820	0.0629107	0.3355336	0.6489823	0.6076332	0.9739216	0.0379571	0.4913062	0.8917110	0.5377455	0.6642678	0.4455891	0.3781987	0.5351541	0.5747400	0.9305918	0.9980706	0.4099588	0.0145422
0.2397658	0.9783358	1.0619595	0.1022603	0.1000632	0.4607579	0.3012011	0.4261554	1.0914862	1.0357855	0.1233196	0.9623983	1.0436895	0.9628669	0.8828331	0.9889070	1.0145422	0.9986435	1.0788249	0.9124834	0.3537699	1.0334532	1.0143007	0.2067397	1.0037072	0.8819279	0.1927530	0.7317175	0.8796087	0.9596082	0.9837774	0.8185396	0.0295836	0.3342209	0.5731828	0.6629677	0.9500964	0.0416739	0.3706562	0.9917715	0.4721443	0.6074695	0.3912596	0.4239551	0.8511898	0.5718631	0.9278794	0.8068446	0.3727112	0.0157871
0.2456570	1.0082390	0.9415105	0.1665160	0.1078212	0.4322249	0.5175623	0.1760886	1.0749953	1.0299698	0.1205545	1.0175627	1.0424240	1.0294798	0.9121610	1.0275579	1.0572407	1.0249148	1.0232667	0.9002313	0.3451369	0.9953835	1.0370319	0.2314311	1.0124887	0.9320724	0.2385154	0.6728371	0.8479806	0.9365804	0.9141476	0.7664527	0.0649424	0.3675363	0.7098422	0.5546160	1.0256469	0.0530023	0.4249140	0.9691541	0.4798563	0.5404681	0.4270486	0.4553525	0.3253641	0.5851183	0.9712752	0.8822444	0.3765727	0.0215979
0.2098032	1.0380611	0.9996536	0.1550977	0.1383783	0.4045002	0.5237978	0.5308835	0.4699914	1.0523903	0.0610181	1.0594529	1.0105392	1.0957665	0.8926102	0.9674586	1.1259586	0.9596490	1.0215141	0.9739721	0.3187993	1.0604736	1.0045254	0.2202624	0.9456001	0.8583718	0.2287507	0.7895079	0.7269641	0.9566409	0.9597966	0.8470753	0.0618370	0.4481643	0.7288543	0.6641234	0.9234402	0.0443223	0.4597176	1.0275905	0.5696998	0.6016713	0.4392328	0.4838033	0.5692809	0.6728174	0.8996551	0.7768859	0.3976494	0.0074190
0.2490102	1.0348857	1.0094252	0.1391487	0.1535931	0.3619671	0.5048602	0.4118347	1.0002512	0.5893998	0.1268226	1.1201560	0.9585956	1.0195687	0.9475572	0.9055931	0.9598940	1.0108844	0.9612187	0.6006424	0.3374658	0.9812505	1.0627925	0.1548659	1.0101846	0.9007333	0.2892687	0.7620399	0.8308832	1.0437829	0.9130479	0.7737273	0.0950959	0.3824258	0.6479405	0.7099329	0.9708019	0.0319611	0.5020642	0.9809125	0.5429938	0.6503216	0.4772557	0.4608870	0.5122116	0.6458155	1.0611883	0.9300752	0.3852762	0.0130948
