YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.0000000	0.9000544	0.9468031	0.1802533	0.1278316	0.3447591	0.5687055	0.3647140	1.0767308	1.0883149	0.1071513	0.9806948	1.1103577	0.9924895	0.9132343	0.9429372	0.9389861	0.9592649	0.9666692	0.9308370	0.2909636	1.1273904	0.9872396	0.3155403	0.9078631	0.8637713	0.1711777	0.7793336	0.7129634	0.9738082	0.9733353	0.7850336	0.0695747	0.3716408	0.6379679	0.6013287	0.9716970	0.0517388	0.4104664	0.8786450	0.5434600	0.5549058	0.0637456	0.4256366	0.5506442	0.5131555	0.9226601	0.9280887	0.4436336	0.0052784
0.9731638	0.0000000	0.9591452	0.9582576	1.0014644	0.6155334	0.5651018	0.3680613	0.9832357	0.9927848	0.1040993	1.0744313	1.0228673	0.9143045	0.8498423	0.0510953	0.9249979	0.9900817	1.0301130	0.8694722	0.3758634	1.0174458	0.9714659	0.1958522	0.9682855	0.4985127	0.7381641	0.6463456	0.7531125	0.1854084	0.0159271	0.1423896	0.6262099	0.4051542	0.5409525	0.1540448	0.0832764	0.0430236	0.3978453	0.9142750	0.5074514	0.5359797	0.9857153	0.3842667	0.5819937	0.5354441	0.9609102	0.5045601	0.4008791	0.0072729
1.0923808	0.0693211	0.0000000	1.0338302	0.8441785	0.5417110	0.5542835	0.3518400	0.9428005	1.0387007	0.1326106	1.0750946	0.9852577	0.9870488	0.8917507	0.3004996	0.9989414	1.0175558	0.9744450	0.9069861	0.3015880	0.9435912	1.0446678	0.2100773	0.9596032	0.5796277	0.6638802	0.6442100	0.7274322	0.8667224	0.0580240	0.1161076	0.5797019	0.4166430	0.3761377	0.1804513	0.0892258	0.0432543	0.4284654	0.9612526	0.5029940	0.5421675	0.9456545	0.3386041	0.4871855	0.5586431	0.9797474	0.5606705	0.4164929	0.0154948
0.2249595	1.0638324	0.8778392	0.0000000	0.1163918	0.3830000	0.5661393	0.3479659	1.0904835	1.0740911	0.1033580	1.0586115	1.0293670	0.9018174	0.9569005	0.9493477	1.0510943	1.0795108	0.9010792	0.9146006	0.2546729	0.9594538	0.9567325	0.2275437	1.0875422	0.8677034	0.1715301	0.7699042	0.7972934	0.9603642	0.9628100	0.8450355	0.0074048	0.3148113	0.6201837	0.6743621	0.9714432	0.0453821	0.3899910	0.9508100	0.5135966	0.5169773	0.4185854	0.4347403	0.4841925	0.4886495	0.9609104	0.8196466	0.3881436	0.0041204
0.2018006	0.9394096	0.9703200	0.1229568	0.0000000	0.4133520	0.6276620	0.3635421	0.9549543	0.9651342	0.0937506	1.0032286	0.9827947	1.0768871	0.9656119	1.0419804	1.0328959	1.0387518	0.9353109	0.9594964	0.3421519	0.9787780	0.9351643	0.1864771	1.0458476	0.8752658	0.0248371	0.7552792	0.8123729	0.9909369	1.0133438	0.9403143	0.0670078	0.3753351	0.7091955	0.6805964	0.9720831	0.0389375	0.4161643	0.9946653	0.5059203	0.5563760	0.4105768	0.3913672	0.5750017	0.6445775	0.9569923	0.9223066	0.3908305	0.0159577
0.2114987	1.0042058	0.9883457	0.1435537	0.1080558	0.0000000	0.4554063	0.3501210	1.0886716	1.0492562	0.0968077	1.0010682	1.0181689	0.9609178	0.8148420	1.0878787	1.0028487	0.9979380	0.9765812	0.7797117	0.2906660	1.1028950	1.0485582	0.2007338	1.0359602	0.9003189	0.1765658	1.0688824	0.8223512	0.9925985	0.9104919	0.9888002	0.0610985	0.3031596	0.6692541	0.6350323	1.0724027	0.0382090	0.4704886	0.9818118	0.4771240	0.6906159	0.4226245	0.4151063	0.6370746	0.6389746	1.0159426	1.0470389	0.4127200	0.0054712
0.2605321	1.0330812	0.9627202	0.1695542	0.1088076	0.3914860	0.0000000	0.5704137	1.1020716	0.9919725	0.0771716	0.9329277	1.0565784	0.9591972	0.8965309	1.0157585	1.0335172	1.0230703	1.0318091	0.8861198	0.3793181	0.9827775	1.0784322	0.1878904	1.0625646	0.9263447	0.1955088	0.7614229	0.8189568	1.0150692	0.9019702	0.8016433	0.0987628	0.3628483	0.6932372	0.5771431	0.9881498	0.0468742	0.4222216	0.9274016	0.5040549	0.5823038	0.4416190	0.3960118	0.9435877	0.5797111	0.9585570	0.9028408	0.4200124	0.0031773
0.2410651	0.9772642	1.0161346	0.1658735	0.1339044	0.4226824	0.5900833	0.0000000	1.0196536	1.0803320	0.1316645	1.0024146	1.0364853	0.9691007	0.8142624	0.9315521	1.0709093	1.0467818	1.0096614	0.8375404	0.3207603	1.0262531	0.9980246	0.2542538	1.1003882	0.9317688	0.1314022	0.6907578	0.7961570	0.9993263	0.9656609	0.8450477	0.0457487	0.3676960	0.6167391	0.6091304	1.0159147	0.0292167	0.4466063	1.0329496	0.5041818	0.5072009	0.3186004	0.3603596	0.1072755	0.5394911	1.0139070	0.8925695	0.4430589	0.3613611
0.1584657	0.9677012	1.0175543	0.1180075	0.1357344	0.4108233	0.5965781	0.5828596	0.0000000	0.9909104	0.0162298	1.1231295	1.0030848	1.0354034	0.8538456	0.9845387	0.8968089	1.0151756	1.0243783	0.9241800	0.3631445	1.0230598	1.0194042	0.1663067	0.9649172	0.9155349	0.2445380	0.8334629	0.8536515	1.0023237	0.9081416	0.8483111	0.0612913	0.7077450	0.6974251	0.5981504	0.9010302	0.0351665	0.4036247	0.9954696	0.1167581	0.6699822	0.4138340	0.4460273	0.6164034	0.8398314	0.9777365	0.8502114	0.3798117	0.0041463
0.2613702	1.0392719	1.0923068	0.1487134	0.1649950	0.3899349	0.5815637	0.3902841	0.9649095	0.0000000	0.1091366	1.0633318	0.9949412	1.0901610	0.9339883	0.9886281	0.9834375	1.0267719	0.9909583	0.0527255	0.2331455	0.9831607	1.0217330	0.1731593	0.9199377	0.8789833	0.1946573	0.8083954	0.7152558	0.9464313	0.9496319	0.8272755	0.0545579	0.4012911	0.6902863	1.0614247	0.9292148	0.0658386	0.4271707	1.0627712	0.5132539	0.6500400	0.4127156	0.4862832	0.4584972	0.5302287	0.9368637	0.8423482	0.3926497	0.0134868
