YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.2610863	1.0118210	0.9354348	0.1687599	0.0007509	0.3614969	0.8318394	0.6706979	0.9078312	0.9878752	0.0597031	0.8194666	1.0713902	0.9842210	0.8888919	0.9422386	0.9471646	1.0192753	0.6140281	0.6320793	0.2680164	0.9960179	0.9908449	0.1925603	0.6075198	0.8829525	0.0024040	0.7876830	0.9162255	0.9441954	0.8630263	0.8029873	0.2115836	0.2238680	0.7335818	0.6449134	0.9845125	0.0007975	0.3277418	0.9431864	0.1094382	0.6144604	0.3784692	0.3468958	0.0969186	0.5465400	0.8787067	1.0189857	0.7152629	0.0097266
0.2880096	0.9685493	0.9515013	0.1749856	0.0048617	0.3990994	0.2832677	0.7810831	1.0510068	0.9781227	0.4426812	0.9008611	0.9212902	1.0450163	0.8617275	0.9500151	0.9172479	0.7172638	0.9551870	0.9114319	0.3789934	0.9520750	0.6783944	0.4585464	0.9767048	0.5234329	0.4506984	0.8527343	0.8198693	0.8750101	0.9444216	1.0020949	0.0651116	0.2046874	0.5738835	0.5348243	0.8984126	0.0397221	0.3587941	0.8982445	0.4692904	0.5110534	0.3912871	0.4671197	0.6916154	0.2942736	0.7482330	0.8829676	0.5637326	0.0034243
0.1619425	0.9882118	0.8417652	0.1791753	0.1414326	0.7508901	0.4062791	0.2631098	1.0243313	0.9163348	0.6494161	1.0198090	1.0622890	0.7522265	0.8310406	1.0329695	1.0610926	0.8532660	0.7468637	0.8723496	0.4140824	0.7533886	1.0393432	0.0779466	1.0108678	0.8043014	0.4518775	0.3316538	0.8186279	0.9349822	0.9688519	0.5995438	0.3922471	0.2069885	0.6187174	0.5701805	1.0151203	0.0000308	0.6669807	1.0174652	0.5317903	0.4442809	0.3466387	0.3915441	0.5714708	0.8857483	0.9614060	0.4927634	0.4444189	0.0162181
0.2770163	0.9332550	1.0598854	0.1896164	0.0034049	0.6318100	0.7476314	0.3666901	1.0272829	1.0952369	0.0595536	1.0314495	1.0122207	0.9526429	0.8790520	1.0253141	0.7764615	0.9587276	0.9318067	0.8467854	0.2591051	0.9560372	0.6214457	0.6227740	0.9855307	0.5246565	0.4577191	0.3268670	0.6520949	0.8889158	0.8866197	0.5324826	0.0387694	0.6890915	0.6158451	0.6494279	0.9270870	0.0015036	0.3439977	0.6552597	0.2260150	0.5311308	0.4352351	0.4475585	0.1087232	0.2115770	0.5365173	0.6985237	0.2819749	0.0048271
0.2622902	1.0628143	0.9443690	0.0888178	0.1123100	0.3550089	0.4331757	0.6010918	0.9504806	0.9727419	0.1241890	1.0123332	0.9778891	0.8594507	0.9336634	0.9149008	0.8551603	0.8320314	0.9613198	0.4049550	0.3033997	0.8073881	1.0191141	0.1310597	0.5187533	0.9540325	0.1886444	0.8197882	0.8527014	0.9216004	1.0059056	0.6790582	0.0012680	0.4214018	0.6236638	0.8911755	0.9413727	0.0385298	0.2499002	0.9281327	0.7024887	0.4960978	0.5282887	0.5144414	0.8211521	0.6791298	0.9364154	0.8048649	0.3235937	0.0054387
0.1043013	1.0154481	1.0487292	0.1267164	0.0014623	0.2106381	0.7927597	0.2857497	0.8540185	0.9675777	0.2008002	0.7257070	0.7991437	0.8907447	0.7105057	0.9508346	0.9755736	0.9539980	1.0003303	0.8815587	0.4293593	0.9478152	0.7087226	0.3042611	0.9972491	0.9033612	0.0019192	0.9543637	0.8203674	0.9787887	0.8814967	0.6734645	0.0537316	0.4679418	0.5534421	0.2949264	0.8977132	0.0000305	0.3562936	0.9151780	0.4299588	0.2884475	0.4750112	0.3042481	0.3321377	0.3182121	0.8374743	0.9309221	0.3626270	0.0239642
0.2466243	0.9403048	1.1202558	0.1719291	0.1461045	0.1788023	0.3887939	0.2757387	1.0235013	1.0079963	0.0676222	0.5989394	1.0284695	0.9970910	0.9281377	1.0427236	0.9609567	1.0348229	0.8769944	0.8856366	0.3639650	0.7979877	0.9828260	0.2142259	1.0730841	0.7921185	0.1562112	0.6571912	0.7646533	1.0097105	0.9741625	1.0015305	0.0802124	0.3760952	0.6728001	0.4229469	0.9797794	0.0243992	0.4601376	0.9789156	0.7745635	0.4922317	0.5866703	0.4130398	0.5091506	0.7486134	0.8588708	0.9587506	0.9938883	0.0151286
0.1582874	0.9015935	0.8656444	0.1751161	0.1149121	0.2369847	0.1080144	0.9553251	0.8681587	0.8861158	0.1493641	0.8679170	1.0587339	0.9536292	0.8089071	0.9796047	0.4301391	0.9191169	0.4182456	0.7652044	0.3057773	1.0570071	0.9961015	0.1676421	1.0377745	0.9860907	0.1718639	0.8666050	0.7174875	1.0920872	0.8970921	0.9776938	0.0819822	0.0710049	0.7004203	0.7928242	0.9061631	0.0471406	0.2416459	0.9422402	0.6256744	0.4147780	0.2030811	0.2781139	0.9630204	0.2454286	1.0078792	0.8345633	0.5135736	0.0026138
0.2582800	0.9440458	0.5486420	0.1066967	0.1498027	0.2593470	0.7265056	0.1677884	0.7523476	0.9031388	0.5421205	0.7397327	0.9692447	1.0688113	0.8291058	1.0258968	0.4469573	1.0031033	0.5561318	0.8448919	0.4568468	0.9013924	1.0261375	0.1235462	0.9974457	0.9620010	0.1535547	0.5810441	0.8231421	0.9047775	0.9330447	1.0113689	0.0227355	0.1164527	0.6632926	0.3961185	0.8798044	0.0106453	0.5618370	0.9498099	0.4221904	0.4775347	0.4312438	0.4552495	0.5626770	0.5645991	0.9087414	0.8068014	0.8769749	0.0396354
0.2284511	0.9941074	1.0969547	0.1222208	0.1230967	0.6265945	0.4984825	0.4329912	0.9821799	1.0262384	0.0496705	0.9965981	1.0031114	0.7392952	0.8849816	0.9495576	0.9757681	0.6443237	0.6406525	0.6904818	0.2911826	1.0682307	0.9276287	0.2510988	0.7555485	0.8669043	0.3541223	0.4431234	0.7053930	0.9687004	0.9539168	0.4332402	0.0712078	0.7165690	0.6665294	0.6352053	0.9698638	0.0018519	0.3386195	1.0005149	0.1429263	0.7913449	0.5309362	0.6830131	0.4639274	0.7155761	0.8785830	0.4886869	0.5053346	0.0044853
