YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.0000005	0.9831452	1.0000000	0.1468024	0.1199538	0.3904989	0.5454541	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8361342	0.0581583	0.3406107	0.6473002	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.0489165	0.4035358	0.4679995	0.5567879	0.9476960	0.8838363	0.3849563	0.0072238
1.0000000	0.0000000	1.0000000	1.0000000	1.0000000	0.5965859	0.5458842	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.0478176	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.5046913	0.6446637	0.5937812	0.7808027	0.1134716	0.0083532	0.1606016	0.6196346	0.4051760	0.4471448	0.1520163	0.0753741	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.9172775	0.3872845	0.4676391	0.5567879	0.9476960	0.5606738	0.3849563	0.0072238
0.9993762	0.0700504	0.0000000	0.9994908	0.8874179	0.5761181	0.5458594	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.3500531	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.5520170	0.6281806	0.6109655	0.7808027	0.8482960	0.0666283	0.1647855	0.6194487	0.3979747	0.3847065	0.1520166	0.0762397	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.9171849	0.3885419	0.4676600	0.5567879	0.9476960	0.5983324	0.3849563	0.0072238
0.2247771	0.9831452	1.0000000	0.0000000	0.1199538	0.3904989	0.5454565	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8598728	0.0074492	0.3406107	0.6473002	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947195	0.4035358	0.4679975	0.5567879	0.9476960	0.8838363	0.3849563	0.0072238
0.2247771	0.9831452	1.0000000	0.1468024	0.0000000	0.3771381	0.5454029	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8939033	0.0316736	0.7899054	0.7808027	0.9797681	0.9293377	0.8464733	0.0581583	0.3372450	0.6472770	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947195	0.4049292	0.4680424	0.5567879	0.9476960	0.8962404	0.3849563	0.0072238
0.2247771	0.9831452	1.0000000	0.1468024	0.1199538	0.0000000	0.4365248	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.9373561	0.1838862	1.0000000	0.7808027	0.9797681	0.9293377	0.9314574	0.0581583	0.2966277	0.6473002	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947195	0.4608194	0.5989078	0.5567879	0.9476960	0.9713591	0.3849563	0.0072238
0.2247771	0.9831452	1.0000000	0.1468024	0.1199538	0.3904989	0.0000000	0.5635798	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8361342	0.0581583	0.3406107	0.6473002	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947195	0.4035358	0.9492499	0.5567879	0.9476960	0.8838363	0.3849563	0.0042746
0.2247771	0.9831452	1.0000000	0.1468024	0.1199538	0.3904989	0.5454541	0.0000001	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8361342	0.0581583	0.3406107	0.6473002	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947195	0.4035358	0.1276871	0.5567879	0.9476960	0.8838363	0.3849563	0.4011034
0.2247771	0.9831452	1.0000000	0.1468024	0.1199538	0.3904989	0.5454541	0.6173338	0.0000012	1.0000000	0.0213233	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8361342	0.0581583	0.7280127	0.6473002	0.5483545	0.9784274	0.0397905	0.4083555	0.9795083	0.0970114	0.5729292	0.3947195	0.4035358	0.6113288	0.8158491	0.9476960	0.8838363	0.3849563	0.0040476
0.2247771	0.9831452	1.0000000	0.1468024	0.1199538	0.3904989	0.5448171	0.3520942	1.0000000	0.0000002	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.0344548	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8361342	0.0581583	0.3406107	0.6473002	0.9403214	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947195	0.4035358	0.4685353	0.5567879	0.9476960	0.8838363	0.3849563	0.0072238
