YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.2169260	0.9838355	1.0000000	0.1465239	0.0031767	0.2569876	0.7880151	0.6962999	0.9609259	1.0000000	0.0553959	0.8228961	1.0000000	1.0000000	0.9159683	0.9512137	1.0000000	1.0000000	0.6791292	0.6482864	0.2735320	1.0000000	1.0000000	0.1966421	0.6209630	0.9120435	0.0009885	0.8744220	0.8614850	0.9413240	0.9210776	0.8730915	0.1900162	0.2847600	0.7336855	0.6974206	0.9031131	0.0000008	0.3303241	0.9779281	0.1507200	0.6590845	0.3306994	0.2658659	0.0958163	0.5022710	0.8910913	0.9710717	0.7215766	0.0034263
0.2688178	0.9130950	1.0000000	0.1543629	0.0043864	0.3285204	0.2985449	0.6558065	1.0000000	0.9009698	0.4321477	0.8817069	0.8660711	1.0000000	0.8054321	0.9509802	1.0000000	0.8262901	1.0000000	0.8523527	0.3536827	1.0000000	0.7151939	0.4238777	1.0000000	0.5712754	0.4062639	0.8333361	0.8147825	0.9828964	0.9131126	0.9466260	0.0553659	0.1837169	0.6199771	0.5033399	0.9118399	0.0397905	0.3875505	0.8926607	0.4828617	0.5185176	0.4254664	0.3972054	0.7012124	0.3418916	0.7557120	0.8924014	0.6086281	0.0020185
0.1746383	0.9773423	0.7746888	0.1491717	0.1200147	0.7393039	0.4280879	0.2740345	1.0000000	1.0000000	0.5686629	1.0000000	0.9580317	0.7629274	0.8668091	0.9990412	0.9904025	0.8010479	0.7626273	0.8351558	0.3225935	0.7296166	1.0000000	0.0744947	1.0000000	0.8104009	0.4744610	0.3404798	0.7302477	0.9799114	0.9201955	0.5560505	0.3808251	0.2040966	0.6366485	0.5882263	0.9806261	0.0000032	0.6925535	0.9779281	0.5523926	0.4912023	0.2461531	0.4255860	0.5540971	0.8332285	0.8910913	0.5538749	0.4050756	0.0112134
0.2538800	0.9130949	1.0000000	0.1791439	0.0037810	0.5709808	0.7851793	0.3146894	1.0000000	1.0000000	0.0782877	1.0000000	1.0000000	0.9787494	0.8900833	0.9988622	0.7593631	0.9393495	0.9814229	0.8351558	0.2076692	1.0000000	0.5197641	0.5876829	1.0000000	0.5279397	0.4661897	0.3648350	0.6740072	0.9434260	0.9105256	0.4921987	0.0716665	0.5998019	0.6477833	0.6785452	0.9776750	0.0000013	0.3129932	0.6132417	0.2572175	0.4935276	0.3994984	0.4308782	0.1129780	0.2140213	0.4801046	0.7651416	0.3460789	0.0044170
0.2212051	0.9894907	1.0000000	0.0733889	0.1198887	0.3831858	0.4474400	0.5942375	1.0000000	0.9462317	0.1385035	1.0000000	1.0000000	0.8140701	0.9099471	0.9512296	0.8963507	0.8185338	1.0000000	0.4716565	0.3052517	0.8006017	1.0000000	0.1436393	0.5798294	0.8717365	0.1521208	0.7844024	0.8510791	0.9807522	0.9218335	0.6818062	0.0067799	0.3902185	0.6200895	0.9042165	0.9850256	0.0397923	0.2405106	0.9779281	0.6901665	0.4912023	0.4991416	0.5328509	0.7710807	0.6934234	0.8910913	0.8731726	0.3411682	0.0038290
0.1576612	0.9840800	1.0000000	0.1267443	0.0029514	0.2006595	0.8085723	0.3197928	0.8721082	1.0000000	0.1945618	0.7368719	0.7813048	0.8877704	0.6952253	0.9512144	1.0000000	0.9537336	0.9874984	0.8294580	0.3404762	1.0000000	0.7234854	0.2955070	0.9850762	0.9203593	0.0006028	0.9327254	0.7441401	0.9413236	0.9211105	0.6566382	0.0388280	0.4803857	0.6200585	0.2768311	0.9854780	0.0000012	0.3704908	0.8753357	0.3442105	0.2564845	0.4986628	0.2717124	0.3227307	0.3352272	0.8295603	0.9731617	0.3155983	0.0166821
0.2495122	0.9130949	1.0000000	0.1791439	0.1207913	0.1500210	0.3295116	0.2290253	1.0000000	1.0000000	0.0603758	0.6263140	1.0000000	1.0000000	0.8900833	0.9994839	1.0000000	1.0000000	0.8867391	0.8927150	0.3128358	0.7532680	1.0000000	0.1966421	1.0000000	0.8022326	0.1534303	0.6883738	0.7883307	0.9841712	0.9105256	0.9275699	0.0716665	0.2452952	0.6356700	0.3972314	0.9728504	0.0397932	0.4306339	0.9779281	0.8000845	0.5234053	0.5555461	0.4374213	0.5311745	0.7053989	0.9084119	0.9663519	0.9943838	0.0173849
0.1304546	0.9078026	0.8852427	0.1451040	0.1012064	0.2551644	0.1411343	0.9263224	0.8973661	0.9066719	0.1552660	0.8028020	1.0000000	0.9224880	0.8900834	0.9509598	0.4744785	1.0000000	0.4599145	0.8127160	0.3014985	1.0000000	1.0000000	0.1316641	1.0000000	0.9264831	0.1247049	0.8061486	0.7118525	0.9789517	0.9096470	0.9375089	0.0687933	0.0565828	0.6199801	0.8456109	0.9752745	0.0397905	0.2676884	0.9779281	0.5680646	0.4912023	0.1569453	0.2529957	0.9962159	0.2846372	0.8981042	0.8204755	0.5572109	0.0023382
0.2356520	0.9390095	0.5577648	0.1204519	0.1204538	0.2776411	0.6653943	0.1516171	0.7425219	0.8841727	0.5074117	0.7605283	1.0000000	1.0000000	0.8937476	0.9992793	0.4244674	0.9667397	0.5824441	0.8064750	0.3113861	0.8662142	0.9628429	0.1660187	1.0000000	0.9009055	0.1479863	0.5771065	0.7320535	0.9857701	0.9146430	0.9301298	0.0356886	0.1089853	0.6356119	0.4052044	0.8987629	0.0093394	0.5841546	0.9729470	0.5126634	0.4620411	0.4188553	0.4407329	0.5117069	0.4827163	0.9082134	0.8507368	0.9217066	0.0449719
0.2215612	0.9888549	1.0000000	0.0893589	0.1198952	0.6009039	0.4609591	0.4200517	0.9415137	1.0000000	0.0446340	1.0000000	1.0000000	0.7143035	0.8900835	0.9512279	1.0000000	0.6727253	0.6603640	0.7131715	0.2908758	1.0000000	0.9711629	0.2111619	0.7802372	0.8665872	0.3381052	0.4464572	0.7560509	0.9413266	0.9217489	0.4365442	0.0618726	0.8169970	0.6200976	0.6475608	0.9881804	0.0000010	0.3403311	0.9817497	0.1488791	0.8138351	0.4993979	0.6381176	0.4977830	0.6830563	0.9517554	0.4785715	0.4945637	0.0056663
