YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.1123892	0.9831452	1.0000000	0.1468024	0.1199538	0.3904989	0.5454541	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8361342	0.0581583	0.3406107	0.6473002	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.1714770	0.4035358	0.4679995	0.5567879	0.9476960	0.8838363	0.3849563	0.0072238
0.7331025	0.4915738	1.0000000	0.6484516	0.1412110	0.3944842	0.5454683	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9928202	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8820910	0.2142033	0.7740869	0.7808027	0.9795118	0.7644235	0.4029768	0.4458113	0.3416354	0.6455467	0.1880736	0.7374686	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.8585037	0.4031326	0.4679877	0.5567879	0.9476960	0.8798926	0.3849563	0.0072238
0.2619796	0.9230990	0.5000000	0.1739898	0.1206567	0.3906250	0.5454545	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9988353	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8853457	0.1849046	0.7776137	0.7808027	0.9797602	0.9205071	0.8240088	0.0755953	0.3406428	0.6472462	0.5955006	0.9723393	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.4625216	0.4035231	0.4679992	0.5567879	0.9476960	0.8837134	0.3849563	0.0072238
0.2247771	0.9831452	1.0000000	0.0734012	0.1199538	0.3904989	0.5454554	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8555795	0.0219886	0.3406107	0.6473002	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947195	0.4035358	0.4679984	0.5567879	0.9476960	0.8838363	0.3849563	0.0072238
0.2247771	0.9831452	1.0000000	0.1468024	0.0599774	0.3814562	0.5454200	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8918299	0.0959642	0.7859770	0.7808027	0.9797681	0.9293377	0.8431722	0.0581583	0.3383209	0.6472777	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947195	0.4044707	0.4680280	0.5567879	0.9476960	0.8923693	0.3849563	0.0072238
0.2247771	0.9831452	1.0000000	0.1468024	0.1199538	0.1952517	0.5435765	0.3520942	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.9230088	0.1838862	0.9361774	0.7808028	0.9797681	0.9293377	0.9248073	0.0581583	0.3050582	0.6473002	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947196	0.4293557	0.4695629	0.5567879	0.9476960	0.9679327	0.3849563	0.0072238
0.2247771	0.9831452	1.0000000	0.1468024	0.1199538	0.3904989	0.2727448	0.3520943	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808028	0.9797681	0.9293377	0.8361341	0.0581583	0.3406107	0.6473002	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947196	0.4035358	0.8075287	0.5567879	0.9476960	0.8838363	0.3849563	0.0072238
0.2247771	0.9831452	1.0000000	0.1468024	0.1199538	0.3904989	0.5454541	0.1760495	1.0000000	1.0000000	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8361342	0.0581583	0.3406107	0.6473002	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947195	0.4035358	0.2185911	0.5567879	0.9476960	0.8838363	0.3849563	0.0331853
0.2247771	0.9831452	1.0000000	0.1468024	0.1199538	0.3904989	0.5454541	0.4340515	0.5000055	1.0000000	0.0671238	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8361342	0.0581583	0.4262776	0.6473002	0.5947891	0.9784274	0.0397905	0.4083555	0.9795083	0.4860426	0.5729292	0.3947195	0.4035358	0.5384784	0.6526504	0.9476960	0.8838363	0.3849563	0.0054087
0.2247771	0.9831452	1.0000000	0.1468024	0.1199538	0.3904989	0.5454461	0.3520942	1.0000000	0.5000263	0.1116368	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.6450474	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8361342	0.0581583	0.3406107	0.6473002	0.6391400	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947195	0.4035358	0.4680062	0.5567879	0.9476960	0.8838363	0.3849563	0.0072238
0.2247771	0.9831452	1.0000000	0.1468024	0.1199538	0.3904989	0.5454541	0.3520942	1.0000000	1.0000000	0.0558203	1.0000000	1.0000000	1.0000000	0.8925569	0.9990293	1.0000000	1.0000000	1.0000000	0.8696106	0.3118546	1.0000000	1.0000000	0.1966421	1.0000000	0.8854472	0.1838862	0.7777288	0.7808027	0.9797681	0.9293377	0.8361342	0.0581583	0.4777913	0.6473002	0.6351091	0.9784274	0.0397905	0.4083555	0.9795083	0.4860932	0.5729292	0.3947195	0.4035358	0.4679995	0.5567879	0.9476960	0.8838363	0.3849563	0.0072238
