YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.2169260	0.9838355	1.0000000	0.1465239	0.0031768	0.2569877	0.7880157	0.6962852	0.9609266	1.0000000	0.0553964	0.8228961	1.0000000	1.0000000	0.9159670	0.9512164	1.0000000	1.0000000	0.6791296	0.6484873	0.2735329	1.0000000	1.0000000	0.1966421	0.6209799	0.9120354	0.0009907	0.8744218	0.8614889	0.9413242	0.9210776	0.8731211	0.1900210	0.2847413	0.7336917	0.6974196	0.9031134	0.0000010	0.3303240	0.9779281	0.1507227	0.6590845	0.3307016	0.2658663	0.0958144	0.5022707	0.8910915	0.9710717	0.7215762	0.0034274
0.2688101	0.9130961	1.0000000	0.1543613	0.0043865	0.3285206	0.2985449	0.6557810	1.0000000	0.9009746	0.4321412	0.8817069	0.8660713	1.0000000	0.8055144	0.9509869	1.0000000	0.8262902	1.0000000	0.8523730	0.3536023	1.0000000	0.7151945	0.4238306	1.0000000	0.5712806	0.4062655	0.8333357	0.8144824	0.9828968	0.9131158	0.9466335	0.0553555	0.1837206	0.6199921	0.5034240	0.9118440	0.0397905	0.3876742	0.8926724	0.4828647	0.5185227	0.4252629	0.3971511	0.7011955	0.3418957	0.7557545	0.8924001	0.6085936	0.0020105
0.1746363	0.9773429	0.7746888	0.1491710	0.1200146	0.7393039	0.4280874	0.2740404	1.0000000	1.0000000	0.5686577	1.0000000	0.9580318	0.7629276	0.8668280	0.9990412	0.9904025	0.8010480	0.7626283	0.8351564	0.3225792	0.7296169	1.0000000	0.0744954	1.0000000	0.8104407	0.4744595	0.3404798	0.7301815	0.9799114	0.9201966	0.5560684	0.3808220	0.2041005	0.6366487	0.5882483	0.9806270	0.0000036	0.6925491	0.9779281	0.5524008	0.4912023	0.2461284	0.4255363	0.5541428	0.8332284	0.8910918	0.5538752	0.4050756	0.0112019
0.2538771	0.9130953	1.0000000	0.1791433	0.0037811	0.5709808	0.7851792	0.3146826	1.0000000	1.0000000	0.0782878	1.0000000	1.0000000	0.9787494	0.8900834	0.9988623	0.7593631	0.9393495	0.9814229	0.8351560	0.2076691	1.0000000	0.5197644	0.5876503	1.0000000	0.5279458	0.4661898	0.3648350	0.6740064	0.9434260	0.9105268	0.4922102	0.0716615	0.5997980	0.6477835	0.6785594	0.9776761	0.0000014	0.3129991	0.6132610	0.2572173	0.4935292	0.3994065	0.4308727	0.1129680	0.2140235	0.4801608	0.7651416	0.3460143	0.0044186
0.2212053	0.9894907	1.0000000	0.0733889	0.1198887	0.3831858	0.4474417	0.5942252	1.0000000	0.9462327	0.1385035	1.0000000	1.0000000	0.8140702	0.9099462	0.9512324	0.8963507	0.8185338	1.0000000	0.4719534	0.3052524	0.8006017	1.0000000	0.1436394	0.5798481	0.8717431	0.1521209	0.7844024	0.8510821	0.9807524	0.9218334	0.6818586	0.0067821	0.3902190	0.6200960	0.9042135	0.9850255	0.0397923	0.2405073	0.9779281	0.6901662	0.4912023	0.4991475	0.5328415	0.7710561	0.6934234	0.8910915	0.8731726	0.3411683	0.0038303
0.1576612	0.9840800	1.0000000	0.1267443	0.0029514	0.2006595	0.8085723	0.3197908	0.8721086	1.0000000	0.1945619	0.7368719	0.7813048	0.8877704	0.6952431	0.9512149	1.0000000	0.9537336	0.9874984	0.8294586	0.3404461	1.0000000	0.7234854	0.2955055	0.9850763	0.9203577	0.0006030	0.9327254	0.7439925	0.9413237	0.9211105	0.6566377	0.0388280	0.4803860	0.6200598	0.2768439	0.9854780	0.0000013	0.3705446	0.8753362	0.3442107	0.2564847	0.4986639	0.2717110	0.3227240	0.3352271	0.8295621	0.9731617	0.3155969	0.0166656
0.2495093	0.9130953	1.0000000	0.1791433	0.1207912	0.1500211	0.3295117	0.2290294	1.0000000	1.0000000	0.0603759	0.6263141	1.0000000	1.0000000	0.8900834	0.9994840	1.0000000	1.0000000	0.8867393	0.8927148	0.3128357	0.7532681	1.0000000	0.1966421	1.0000000	0.8022277	0.1534295	0.6883737	0.7883300	0.9841712	0.9105268	0.9275764	0.0716615	0.2452849	0.6356701	0.3972414	0.9728517	0.0397932	0.4306339	0.9779281	0.8000853	0.5234053	0.5554732	0.4374087	0.5311934	0.7053989	0.9084121	0.9663519	0.9943832	0.0173719
0.1304502	0.9078041	0.8852427	0.1451020	0.1012062	0.2551647	0.1411343	0.9262121	0.8973710	0.9066764	0.1552724	0.8028020	1.0000000	0.9224880	0.8900837	0.9509666	0.4744786	1.0000000	0.4599169	0.8127364	0.3014982	1.0000000	1.0000000	0.1316645	1.0000000	0.9264664	0.1247048	0.8061481	0.7118511	0.9789522	0.9096509	0.9375123	0.0687820	0.0565868	0.6199951	0.8456407	0.9752782	0.0397905	0.2676887	0.9779281	0.5680874	0.4912023	0.1568579	0.2529925	0.9962111	0.2846357	0.8981047	0.8204796	0.5572105	0.0023391
0.2356442	0.9390110	0.5577648	0.1204503	0.1204536	0.2776411	0.6653943	0.1516157	0.7425269	0.8841749	0.5074159	0.7605283	1.0000000	1.0000000	0.8937475	0.9992794	0.4244674	0.9667397	0.5824447	0.8064865	0.3113862	0.8662142	0.9628429	0.1660178	1.0000000	0.9009001	0.1479848	0.5771064	0.7320539	0.9857701	0.9146463	0.9301316	0.0356815	0.1089907	0.6356121	0.4052324	0.8987665	0.0093395	0.5841528	0.9729471	0.5126694	0.4620414	0.4186768	0.4407227	0.5117083	0.4827128	0.9082141	0.8507371	0.9217060	0.0449489
0.2215625	0.9888546	1.0000000	0.0893591	0.1198952	0.6009039	0.4609579	0.4200162	0.9415207	1.0000000	0.0446378	1.0000000	1.0000000	0.7143043	0.8900842	0.9512424	1.0000000	0.6727261	0.6603687	0.7135851	0.2908753	1.0000000	0.9711631	0.2111558	0.7802942	0.8665964	0.3381044	0.4464572	0.7560481	0.9413278	0.9217485	0.4366106	0.0618782	0.8168685	0.6201290	0.6475627	0.9881798	0.0000021	0.3402837	0.9817503	0.1489025	0.8138358	0.4994208	0.6379405	0.4977643	0.6830550	0.9517579	0.4785747	0.4945615	0.0056715
0.2688101	0.9130961	1.0000000	0.1791410	0.1207911	0.3368637	0.6190846	0.3098037	0.8563729	0.9411962	0.3760068	0.9237606	1.0000000	0.7608649	0.8900837	0.9989323	0.6958172	0.9750585	0.9959686	0.8718345	0.0939393	1.0000000	1.0000000	0.1386699	1.0000000	0.9381145	0.1534277	0.8260135	0.4152972	0.9854392	0.9105296	0.8889946	0.0716437	0.7683522	0.6355144	0.3264107	0.8957574	0.0000017	0.6196602	0.9872490	0.8394812	0.5080507	0.4252629	0.4267905	0.0356632	0.5278651	0.9226290	0.9760343	0.3856433	0.0091058
0.1903138	0.9013704	0.7894065	0.1854289	0.0045443	0.7002093	0.8458673	0.6130827	1.0000000	0.8811660	0.0620306	1.0000000	1.0000000	1.0000000	0.8900837	0.9874866	1.0000000	0.4220832	1.0000000	0.8524306	0.3128353	0.8943107	1.0000000	0.1083872	1.0000000	0.7838189	0.4244992	0.5100460	0.7220440	0.9429518	0.9521875	0.8113574	0.1074433	0.4113245	0.6321467	0.6513603	0.8942580	0.0282684	0.4884791	0.9779281	0.3930601	0.4912023	0.4432445	0.8036609	0.3275218	0.3374597	0.8910918	0.3306590	0.3233786	0.0028785
0.1866320	0.9871545	1.0000000	0.1322723	0.1199125	0.7625609	0.4019071	0.1381699	1.0000000	1.0000000	0.0785545	1.0000000	1.0000000	0.9581931	0.8900833	0.9991261	0.9942196	1.0000000	0.9248243	0.7538069	0.3128359	1.0000000	1.0000000	0.1966421	0.7535053	0.7139588	0.1521553	0.4509504	0.8722199	0.9754578	0.9337792	0.5036025	0.0333577	0.3909206	0.6355679	0.7039227	0.9181461	0.0000011	0.4115563	0.9864982	0.4658272	0.6896266	0.3809647	0.3642865	0.7998138	0.1890695	0.8910913	0.3751329	0.3272699	0.0610383
0.2568642	0.9307866	1.0000000	0.1218524	0.1205571	0.3833057	0.6947847	0.2930815	1.0000000	1.0000000	0.1398327	1.0000000	0.4989560	0.6636116	0.4146048	0.9510452	0.8710029	1.0000000	1.0000000	0.5484742	0.8083214	1.0000000	0.5217291	0.6529855	0.5817150	0.8017456	0.0540479	0.7842932	0.9313150	0.9781421	0.9133689	0.7425243	0.0171483	0.0385073	0.6200205	0.6277229	0.9735964	0.0000012	0.3815771	0.6201188	0.4261095	0.1050465	0.4057458	0.2308931	0.2281706	0.4248771	0.4800871	0.8334567	0.4277665	0.1279867
0.1897103	0.9800135	0.8993082	0.1254376	0.1199865	0.5376017	0.4344878	0.1486030	1.0000000	1.0000000	0.5628446	0.7501906	1.0000000	0.8552941	0.9119442	0.9991264	1.0000000	0.5203773	0.5961844	0.8469616	0.0883951	0.5762073	0.6208404	0.3741509	0.8944140	0.8525330	0.0785867	0.6441856	0.2810105	0.9848518	0.9205601	0.3943605	0.2657127	0.2907256	0.6355681	0.5861213	0.9027793	0.0000066	0.2332542	0.7418733	0.7898646	0.5134616	0.4697603	0.2096635	0.5267557	0.3879844	0.6477003	0.5830598	0.3723997	0.0505476
0.2240295	0.9844642	1.0000000	0.1206570	0.0027635	0.1218871	0.4702804	0.5140298	0.9420541	0.8058513	0.1618635	0.6058642	1.0000000	1.0000000	0.8900837	0.9992325	0.7406866	0.8398429	0.8097282	0.6434479	0.3128353	0.5639693	0.9368874	0.2304230	0.7950889	0.8735625	0.2041221	0.9749538	0.8446342	0.9841355	0.9211622	0.9809479	0.0302475	0.0140481	0.9473535	0.7315570	0.9031682	0.0000082	0.3413898	0.9686389	0.6046572	0.4409690	0.3443861	0.3971176	0.6997728	0.6879413	0.8753779	0.9005721	0.7549556	0.0028820
0.2688232	0.9130950	1.0000000	0.1339975	0.0035826	0.3834799	0.4841555	0.1496757	1.0000000	0.9638556	0.0652383	0.7165539	1.0000000	1.0000000	0.8900833	0.9990642	0.7599322	1.0000000	0.8456533	0.6354899	0.3128358	1.0000000	0.9495018	0.1497355	0.5558812	0.9434912	0.0011242	0.7841342	0.7220459	0.9434343	0.9105258	0.8172572	0.1335232	0.7190191	0.6355273	0.4388919	0.9626700	0.0000010	0.7164892	0.9724773	0.2179937	0.5409747	0.4601810	0.3913945	0.3172397	0.6204169	0.9472075	0.8879110	0.3224811	0.0500469
0.2294421	0.9750026	0.7658793	0.1501387	0.0025766	0.4641426	0.1552416	0.4450002	1.0000000	1.0000000	0.0982028	0.7076840	0.9729710	1.0000000	0.9114232	0.9993576	1.0000000	1.0000000	0.8845799	0.8351575	0.2894384	1.0000000	0.9101768	0.2470806	1.0000000	0.9529619	0.1728579	0.7101405	0.8143741	0.9434465	0.9198776	0.8909032	0.3756705	0.2391467	0.6356105	0.3969122	0.9543413	0.0000023	0.0961717	0.9665883	0.8177310	0.4964524	0.3544516	0.3966690	0.6117595	0.7788172	0.8671036	0.7294646	0.9938752	0.0049268
0.2710624	0.9098717	0.9249302	0.1777696	0.0034418	0.3497231	0.1087581	0.5328305	1.0000000	0.8911998	0.0865345	0.8517972	0.9393164	1.0000000	0.8751109	0.9991137	0.8911551	1.0000000	0.7470896	0.8084723	0.3189951	0.9439324	1.0000000	0.1966421	1.0000000	0.9644021	0.0011121	0.3715000	0.8294111	0.9847539	0.9665711	0.5981803	0.1779831	0.5567425	0.6355414	0.5643651	0.8953509	0.0274241	0.4785971	0.9844539	0.6142925	0.6095542	0.5177805	0.4079475	0.5416442	0.7330886	0.8910915	0.8420671	0.3272700	0.0047906
0.2526690	0.9371996	0.9352657	0.1670481	0.1204762	0.5687349	0.2809039	0.2446807	0.6999033	0.9180766	0.0484659	1.0000000	1.0000000	0.8624243	0.8970737	0.9510704	1.0000000	0.3027667	0.9865119	0.6007734	0.2068824	0.6554541	0.6007801	0.4375474	0.6958235	0.8402800	0.0932919	0.6172353	0.5909985	0.9797478	0.9580174	0.8318179	0.0444824	0.2943113	0.9516281	0.3097636	0.9829808	0.0397960	0.4703931	0.7033740	0.4502677	0.1578213	0.3993122	0.5628526	0.5583141	0.3724011	0.7013128	0.6765371	0.3205993	0.0147932
