YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.6034414	0.0078918	0.6371972	0.6074509	0.5929386	0.7870634	0.4356063	0.0000000	0.6045539	0.0000000	0.3942993	0.0228396	0.3490616	0.0009447	0.5692642	0.0208281	0.4660963	0.7924592	0.3627060	0.0386238	0.0435557	0.0160910	0.5049973	0.6585043	0.7207252	0.0634460	0.1739656	0.0192662	0.3534185	0.5532718	0.2769547	0.3504956	0.7453437	0.4209012	0.6411135	0.6424022	0.0585042	0.6665097	0.3846448	0.5361242	0.3203643	0.0813120	0.1061375	0.0046426	0.5316088	0.7507145	0.3634405	0.0530545	0.6179813	0.0295557
0.6793280	0.0178928	0.4753005	0.6312961	0.6835122	0.0000000	0.4449048	0.0000000	0.6743966	0.5817484	0.6913267	0.6074644	0.6135985	0.0003467	0.6380306	0.0229887	0.7014995	0.6638739	0.6174063	0.0247480	0.0807083	0.4081448	0.0291163	0.0476686	0.4290648	0.0584220	0.6401649	0.0114116	0.3493144	0.5247321	0.0460329	0.0009281	0.6740320	0.0274942	0.3825104	0.2150976	0.3448731	0.0539726	0.4516401	0.1549089	0.3698688	0.6781829	0.3041304	0.7218414	0.5042239	0.0391203	0.4543830	0.0407672	0.5325719	0.5149792
0.7198195	0.6685104	0.6227453	0.0000000	0.6356202	0.7208582	0.0254325	0.6534104	0.6231116	0.0000000	0.0963213	0.0494472	0.0027963	0.0037047	0.6575525	0.1148312	0.6022845	0.5946222	0.5807768	0.0341871	0.3172075	0.0124219	0.4631837	0.6865885	0.6546923	0.5303315	0.5757596	0.0173626	0.2301910	0.0454863	0.5512216	0.6094438	0.5830970	0.0423476	0.5654725	0.0116247	0.0300868	0.6281818	0.3951454	0.2721299	0.5566072	0.0748247	0.1076579	0.0122258	0.0080801	0.6715397	0.3961402	0.4116536	0.2855395	0.0418605
0.6922750	0.0039160	0.0888646	0.6268253	0.7027144	0.0000000	0.0509153	0.6681081	0.6738835	0.0000000	0.4299621	0.0323224	0.3800258	0.0028099	0.6986937	0.0111506	0.5623816	0.1049545	0.5863381	0.0261499	0.0756667	0.0064017	0.0200659	0.7522828	0.6753615	0.5325860	0.5794938	0.0152177	0.0485522	0.4952499	0.5455566	0.7136700	0.5806254	0.3037701	0.6550119	0.6383547	0.0315047	0.7022988	0.6814914	0.4367236	0.3167621	0.7079258	0.2994352	0.0151484	0.5339298	0.7406820	0.4347118	0.4461169	0.0814911	0.0497948
0.6064099	0.7013746	0.5410195	0.0000000	0.0000000	0.6926435	0.2480004	0.6260274	0.1242078	0.5538792	0.1353878	0.6428755	0.4984174	0.2700610	0.4520624	0.6414018	0.6983842	0.6967799	0.7128047	0.6178341	0.4763348	0.4477751	0.4169518	0.6338290	0.1258324	0.5218962	0.5663172	0.6893800	0.2477777	0.1883422	0.3826257	0.3267610	0.0428200	0.0180792	0.3103120	0.0103246	0.4195332	0.0456892	0.3619160	0.0228214	0.6835213	0.0632580	0.3651688	0.5853477	0.0031356	0.0397885	0.0223245	0.0669901	0.6050801	0.5494602
0.7494977	0.0214116	0.0000000	0.7947411	0.6606872	0.6878487	0.0000000	0.5788082	0.1032084	0.6618714	0.3333586	0.6952391	0.5236919	0.2044107	0.5737579	0.0037326	0.5779473	0.0814682	0.5174474	0.5960095	0.3095334	0.3926592	0.4701691	0.0503679	0.4134968	0.6150020	0.6095877	0.0074031	0.0121059	0.6232410	0.2825882	0.3470753	0.0444748	0.0405244	0.3172625	0.3137325	0.4175746	0.0459265	0.8129241	0.2123958	0.2865246	0.0718461	0.2991233	0.6343834	0.6585211	0.0574690	0.4544705	0.0585530	0.3319787	0.7019034
0.8186517	0.6373874	0.3168324	0.0000000	0.7112490	0.0000000	0.0408259	0.6412060	0.6176035	0.5912356	0.3861861	0.5641154	0.4367989	0.4705171	0.5941633	0.1379467	0.6924248	0.6591227	0.5166110	0.0313654	0.3554673	0.4649340	0.0157384	0.6280616	0.1587458	0.5643361	0.6300562	0.0043829	0.2961829	0.1788641	0.2966114	0.4274041	0.0456348	0.0087673	0.3245010	0.0060911	0.5447413	0.0835197	0.5499655	0.0344786	0.6136717	0.7713095	0.5913807	0.6652851	0.0055651	0.0248111	0.4127654	0.0390734	0.3492714	0.5699997
0.8356995	0.6876200	0.6446056	0.0000000	0.5452476	0.8100706	0.8345893	0.0000000	0.7630547	0.7065321	0.1471774	0.7344627	0.4086135	0.0017901	0.5447010	0.1742883	0.6296092	0.7294567	0.3901827	0.0276639	0.4277166	0.4953568	0.4398071	0.6734010	0.1886812	0.0566793	0.6352582	0.0222171	0.4719641	0.2764916	0.0252183	0.0005583	0.7172484	0.0339995	0.3343370	0.0086594	0.4498720	0.0512871	0.4034891	0.0414460	0.6213664	0.0744587	0.1229457	0.6446906	0.0087927	0.0349880	0.4064121	0.0573692	0.4953063	0.6499832
0.6524624	0.0045914	0.0679379	0.5795081	0.0000000	0.0000000	0.0229439	0.7130411	0.6572081	0.6135794	0.4106117	0.7897700	0.5574881	0.4239628	0.4988595	0.4711673	0.7026976	0.1090976	0.5914325	0.0405796	0.0949745	0.4770871	0.0123971	0.0405340	0.4887851	0.6252166	0.7187712	0.6092735	0.0315311	0.5962749	0.3363648	0.3679128	0.0404021	0.0346357	0.3507369	0.3319881	0.3626325	0.0387355	0.5644581	0.2601095	0.2767648	0.6820947	0.6141577	0.5905548	0.7236358	0.0192591	0.0406754	0.0819751	0.0990430	0.4933138
0.6455913	0.0071340	0.7964173	0.7604646	0.0000000	0.6597568	0.7069452	0.0000000	0.5888310	0.6361254	0.1074866	0.7867793	0.6322157	0.0018694	0.5289703	0.5190867	0.7216897	0.7460699	0.6111542	0.0363938	0.0732790	0.4062206	0.4683663	0.0423420	0.4939644	0.0255966	0.0611471	0.6333426	0.4909226	0.6901321	0.0307538	0.0004424	0.6402406	0.0262870	0.3015997	0.3066992	0.5106639	0.0524549	0.3175766	0.2037067	0.2455481	0.0991389	0.0918228	0.6207557	0.5631909	0.0395297	0.0244478	0.0577711	0.5499171	0.5541668
