YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.4507230	0.0073458	0.3729332	0.6864178	0.6502058	0.6250464	0.3806135	0.7559669	0.1709437	0.6728206	0.2545382	0.7671144	0.7206853	0.2262523	0.5257520	0.0140853	0.6853723	0.6636371	0.5352979	0.6692836	0.2759194	0.5597229	0.5297923	0.0440255	0.5130884	0.6006632	0.7399079	0.0174302	0.2282849	0.5635395	0.3114489	0.3837430	0.0690564	0.0269122	0.4083050	0.1859000	0.4574609	0.0628660	0.5376241	0.1624150	0.2521342	0.0651665	0.3270745	0.6601570	0.6323023	0.0557470	0.4655142	0.0544797	0.6197895	0.5262173
0.6412559	0.0009954	0.4324071	0.8264733	0.6061992	0.6972579	0.2470376	0.6229000	0.1415537	0.6407369	0.2707316	0.6309118	0.7025514	0.1715068	0.6204794	0.0228794	0.6820248	0.7855869	0.5583352	0.6543885	0.2611467	0.4325410	0.3964439	0.0872114	0.4599142	0.5517583	0.5981298	0.0347270	0.2106493	0.5610660	0.2035755	0.3078058	0.0285895	0.0264022	0.3318654	0.2779299	0.6626494	0.0376689	0.5106057	0.1411777	0.3447543	0.1154146	0.3115574	0.5664702	0.8131179	0.0489420	0.4128123	0.0777463	0.4223830	0.6608972
0.5961518	0.0072648	0.1733616	0.6811639	0.7087796	0.7179175	0.2648316	0.7372180	0.1600639	0.7338533	0.2608691	0.6948827	0.6400565	0.1600748	0.6696200	0.0121001	0.6752492	0.6869189	0.5944557	0.7619940	0.2844301	0.4632388	0.5017885	0.0473594	0.4461339	0.5388009	0.7037967	0.0116393	0.1606129	0.6704032	0.2791750	0.4212594	0.0278912	0.0377031	0.3944832	0.3401659	0.4513515	0.0382365	0.6313542	0.1044201	0.2415991	0.0879913	0.3569919	0.6777120	0.5933350	0.0557895	0.3799096	0.0347975	0.4442485	0.6130609
0.6610802	0.0159889	0.4846524	0.3648076	0.7811935	0.6301080	0.2544592	0.6249298	0.1738297	0.6713258	0.3593899	0.6432751	0.5320346	0.1571556	0.5226697	0.0215549	0.6164612	0.6921512	0.4562932	0.5881489	0.2866010	0.4252086	0.4488946	0.0445451	0.2110791	0.5474493	0.6787729	0.0131272	0.1779297	0.6410699	0.3226736	0.3032812	0.0371398	0.0237560	0.3476405	0.2652735	0.3084692	0.0695384	0.5039221	0.0526296	0.2482281	0.0727077	0.3160877	0.5919033	0.4939628	0.0404898	0.4829081	0.0388859	0.5081122	0.5258924
0.6900984	0.0107280	0.4225048	0.5980695	0.3432285	0.6977727	0.3750133	0.6252197	0.1435288	0.7062575	0.2206767	0.7962754	0.6685938	0.1866437	0.6208110	0.0930522	0.6109246	0.7173458	0.6458070	0.6159013	0.2955675	0.3912375	0.4764319	0.0209500	0.3959532	0.6486468	0.6232690	0.0235030	0.2450090	0.6542636	0.3299293	0.3855497	0.0311072	0.0466896	0.3542859	0.2671340	0.4219654	0.0614874	0.4380787	0.1053771	0.3228078	0.0874908	0.2499956	0.4935525	0.5123609	0.0549020	0.2543003	0.0496908	0.5340099	0.4908302
0.5132302	0.0043856	0.2072866	0.5241436	0.6220588	0.3624858	0.1379831	0.6769995	0.1345135	0.6303558	0.4619901	0.6591214	0.5948983	0.3933795	0.6759803	0.0103406	0.7265813	0.6373607	0.4718205	0.6869248	0.2545159	0.4784877	0.0441354	0.0502983	0.4567785	0.4669588	0.7537149	0.0129728	0.1361402	0.6205907	0.2317391	0.3701681	0.0274779	0.0572428	0.3988199	0.3311803	0.3232534	0.0585587	0.5693185	0.1691516	0.2685904	0.2548791	0.3722161	0.6126244	0.5686821	0.0284480	0.6255092	0.0755723	0.3885539	0.5458620
1.0000000	0.0019609	0.3912385	0.6294671	0.6877504	0.6803830	0.0900934	0.6549598	0.1300073	0.7115703	0.2906309	0.7079961	0.5357214	0.1927207	0.6235991	0.0295554	0.5981890	0.6993566	0.5368041	0.6913634	0.2935012	0.3765101	0.5649319	0.0433724	0.4266479	0.5989337	0.5957672	0.0032907	0.2181440	0.6645727	0.2504814	0.3958186	0.0213124	0.0339851	0.2436189	0.2852105	0.3959350	0.0548177	0.4700611	0.1323958	0.2966692	0.0605128	0.3084521	0.5204844	0.5168331	0.0458564	0.4757279	0.0522405	0.6193602	0.6433960
0.6918100	0.0081514	0.5481611	0.7170636	0.6157651	0.7491153	0.4729020	0.3402743	0.1873528	0.6256364	0.3751418	0.7568662	0.6101919	0.1223720	0.6686508	0.0182061	0.6677488	0.7400445	0.4828314	0.7525446	0.3394320	0.3610168	0.4706574	0.0529231	0.3483333	0.2948268	0.5348453	0.0079990	0.2128429	0.6584688	0.1656227	0.2939525	0.0383710	0.0192359	0.3760854	0.3148389	0.3269278	0.0697402	0.4246201	0.1131770	0.3816743	0.0612426	0.0963606	0.6602192	0.6569960	0.0152548	0.3814540	0.0970128	0.5490708	0.5324472
0.6334334	0.0081178	0.4766844	0.7674783	0.7166302	0.7428049	0.1318076	0.7538006	0.0515725	0.6624142	0.3580876	0.6898667	0.5339620	0.1887531	0.6637078	0.0079619	0.6794133	0.5396615	0.5107256	0.6101889	0.2604204	0.4098873	0.4684459	0.0357122	0.4551382	0.6654067	0.7679292	0.0105688	0.2600762	0.6523383	0.2661963	0.3881294	0.0174512	0.0403456	0.2911068	0.2757251	0.5889926	0.0398233	0.4375720	0.1721502	0.3487842	0.0818001	0.3704972	0.7232761	0.4716915	0.0282860	0.4483304	0.0601968	0.5217828	0.5649400
0.6747547	0.0192867	0.4273452	0.6553814	0.7742166	0.6691213	0.2513224	0.6855336	0.1126618	0.3606469	0.3159056	0.7563021	0.3453259	0.1150541	0.6116942	0.0133003	0.5310767	0.7615598	0.6523858	0.6257673	0.2329665	0.1008571	0.4683722	0.0366080	0.6917195	0.4197018	0.7351378	0.0108226	0.1473252	0.5278848	0.3231057	0.3833381	0.3246137	0.2101640	0.4880944	0.6236174	0.2189396	0.0487871	0.3907960	0.3146078	0.2698235	0.0586846	0.2484555	0.4590995	0.5842960	0.0413207	0.4748746	0.0492075	0.4250935	0.3651359
