YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.6442997	0.0001456	0.3094960	0.6030989	0.5238372	0.5996435	0.2370824	0.6685264	0.1662184	0.6596031	0.4900075	0.6371832	0.5697319	0.2553148	0.5834895	0.0044562	0.5515714	0.5857510	0.6895720	0.6878883	0.2148900	0.3896322	0.3564107	0.0002554	0.2793719	0.6212752	0.4235531	0.0170380	0.3659904	0.5814733	0.3895419	0.1491869	0.0385530	0.0164911	0.4531334	0.3821744	0.3934753	0.0520897	0.2151256	0.2059792	0.2085153	0.0821661	0.4432194	0.6413590	0.5718742	0.0428399	0.4791236	0.1104102	0.5400817	0.4878428
0.5039649	0.0063035	0.1542968	0.4892768	0.5502646	0.5714528	0.0744096	0.7690738	0.1822782	0.7182136	0.1909088	0.5303522	0.7342596	0.2719160	0.5677216	0.0144380	0.6823319	0.5303262	0.4650719	0.7724787	0.0570188	0.3750386	0.5359301	0.0183608	0.3060047	0.6027646	0.6323840	0.0003876	0.0481285	0.6441086	0.1293596	0.2746032	0.0281199	0.0016137	0.4106522	0.2703839	0.4356516	0.0504584	0.6200438	0.2111054	0.1441794	0.0903762	0.2885493	0.6073570	0.4021309	0.0271354	0.3825201	0.1460862	0.2108789	0.5251303
0.7292766	0.0031349	0.3898215	0.6494017	0.4772689	0.5393379	0.1346591	0.8149162	0.0000140	0.4057423	0.1247832	0.5777518	0.4283742	0.3038565	0.3337183	0.0029262	0.2720709	0.6194599	0.5688177	0.6705217	0.5992492	0.4599018	0.1874743	0.0015614	0.4992414	0.5800308	0.6711001	0.0036684	0.2887521	0.5490029	0.3101701	0.6702727	0.0575722	0.0500466	0.3962000	0.4515187	0.2937140	0.0082437	0.5387229	0.2881570	0.0621700	0.1632101	0.3146974	0.5947352	0.4345318	0.0009645	0.4706753	0.0000274	0.6237302	0.4943899
0.5945628	0.0056869	0.5658245	0.5972914	0.5360228	0.7094985	0.1494566	0.4464155	0.1903643	0.6900665	0.1848887	0.8141443	0.6506811	0.2917523	0.6098946	0.0307336	0.6746229	0.6378802	0.6029963	0.5964364	0.2406506	0.4031088	0.5995219	0.0277037	0.3427495	0.4074780	0.6357740	0.0181357	0.2096603	0.6197527	0.1340562	0.3954272	0.0430851	0.1715210	0.3850251	0.3670737	0.4642848	0.0010380	0.3945355	0.0370436	0.2456675	0.0789746	0.1133195	0.6055658	0.5195785	0.0376385	0.3005193	0.3437848	0.3468673	0.5148913
0.6004066	0.0080787	0.1387353	0.7022611	0.6786227	0.3401385	0.0309311	0.4274308	0.0706333	0.5740049	0.5933482	0.5899474	0.6432018	0.4708744	0.6470024	0.0303721	0.6052630	0.4047017	0.6473210	0.4793421	0.0008803	0.4114156	0.1996129	0.0006484	0.3065164	0.4662953	0.5762899	0.0000004	0.2355162	0.7143796	0.1667461	0.3822765	0.0072179	0.1718934	0.3826056	0.4169624	0.4082186	0.0633189	0.5128844	0.2220557	0.4425578	0.2756974	0.1064993	0.7266206	0.7099418	0.0013606	0.5189858	0.0071914	0.2570035	0.5993480
0.6115777	0.0001967	0.1132007	0.4161700	0.5377439	0.8234594	0.5001927	0.5556279	0.1211014	0.5535028	0.2299722	0.8057972	0.4449293	0.2107014	0.5545348	0.0034941	0.7249209	0.5632029	0.6443189	0.6470652	0.0288239	0.2994703	0.4535970	0.0005814	0.3233336	0.7231577	0.6540077	0.0055987	0.1782468	0.5096462	0.1897931	0.3803391	0.0408856	0.0911850	0.4237316	0.5462240	0.3779042	0.0543935	0.6585994	0.2763385	0.4198323	0.1102578	0.2193644	0.5512773	0.5991029	0.0145175	0.4486009	0.0016251	0.6550566	0.4136376
0.6442229	0.0004834	0.4651287	0.6529857	0.5345561	0.6637132	0.3825704	0.7248040	0.1666511	0.6972464	0.1836597	0.8007928	0.5289238	0.2877321	0.5972875	0.0104299	0.6998891	0.4954429	0.7136450	0.5345330	0.2950895	0.3524676	0.5173200	0.0808850	0.4609846	0.5260423	0.4370236	0.0001195	0.2776983	0.7289428	0.0989650	0.1894737	0.0153888	0.0129437	0.4411203	0.3014914	0.4323580	0.0106016	0.5156418	0.0958217	0.2971857	0.0735855	0.0890132	0.5849735	0.5674941	0.0147411	0.4194580	0.1015093	0.5097122	0.6183314
0.6860279	0.0123845	0.4839033	0.6297544	0.5678747	0.6821892	0.0461655	0.3282430	0.0009893	0.6970154	0.3269415	0.5788687	0.6563686	0.1858921	0.4998274	0.0124143	0.5740279	0.5973826	0.4245255	0.5359196	0.2010838	0.5079334	0.4766803	0.0726911	0.3361723	0.3818820	0.5699946	0.0004612	0.2359020	0.6999329	0.1087876	0.3186287	0.0409958	0.4819885	0.3155479	0.4298934	0.5129267	0.0098829	0.2409312	0.2271644	0.0130564	0.1015774	0.3493035	0.5946283	0.5259083	0.0003115	0.5662814	0.2623242	0.3213457	0.6112153
0.5533476	0.0184586	0.2631876	0.4260933	0.4352743	0.5786842	0.1085310	0.4203287	0.1060674	0.8572220	0.4743155	0.6125147	0.5530898	0.2109039	0.4691484	0.0067031	0.5622625	0.5491107	0.5016833	0.7136400	0.3033075	0.5612093	0.3791480	0.0431907	0.3113425	0.3133494	0.6621892	0.0001617	0.0779724	0.5294609	0.2080275	0.4125561	0.0396584	0.0879514	0.1975960	0.2170970	0.4327685	0.0356768	0.6140193	0.0425896	0.1562025	0.0301413	0.4186867	0.7050219	0.4354761	0.0008801	0.2760358	0.1882803	0.6111377	0.4940960
0.5380119	0.0000303	0.4587336	0.6355984	0.5469950	0.6325695	0.4767537	0.7071464	0.0727999	0.5935445	0.5242265	0.7175961	0.5533250	0.1989507	0.5215955	0.0140683	0.6375801	0.6642462	0.3443675	0.5683272	0.4292464	0.4843549	0.4952935	0.0439517	0.3029248	0.6300920	0.6366255	0.0121895	0.2191050	0.8084572	0.1214193	0.4598059	0.0476019	0.1543768	0.3804520	0.3305052	0.5418047	0.0177720	0.3793492	0.1048281	0.2709614	0.0744295	0.2538818	0.6101871	0.6321026	0.0004263	0.5279933	0.3052170	0.5574648	0.5462274
