YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.9935585	0.0002394	0.6322002	1.0451274	0.8137218	0.8696070	0.3812922	1.0206598	0.2439032	0.9747617	0.8531119	0.9518407	0.9115854	0.4379952	0.9283890	0.0047663	0.9811158	0.8768035	1.0249594	0.9343269	0.3226711	0.6616948	0.6358530	0.0002257	0.3459578	1.0437954	0.6727627	0.0209510	0.5899000	0.8305643	0.6425042	0.2425982	0.0386538	0.0274433	0.5661593	0.4843783	0.5905447	0.0572081	0.3204066	0.3960425	0.3938226	0.1492302	0.5606253	0.9034790	0.8974726	0.0325638	0.6834802	0.2429602	0.8097151	0.7337394
0.7513158	0.0081159	0.2347524	0.7590086	0.8620193	0.9197593	0.1163381	1.0250360	0.2378360	0.9900874	0.2824014	0.9399807	1.0364843	0.4226593	0.9104998	0.0337877	0.9270490	0.7230619	0.8455866	0.9543607	0.0757730	0.6565306	0.7706712	0.0409718	0.4690604	0.9864503	1.0080442	0.0018467	0.0990475	1.0042538	0.2297222	0.3693449	0.0370519	0.0063067	0.5439838	0.4435857	0.7083562	0.0898499	1.0241312	0.3652642	0.2770214	0.1353930	0.3820446	0.9539852	0.6728314	0.0561247	0.5783559	0.1934818	0.3928789	0.9438926
1.0785963	0.0049383	0.5372575	0.9166718	0.8398078	0.7390850	0.1307936	1.0770806	0.0000152	0.6743153	0.1967021	0.9162846	0.7337913	0.3908941	0.5226665	0.0038467	0.5057609	0.8877377	0.8207850	0.8491535	0.9298678	0.6597216	0.2681006	0.0044256	0.6891772	0.8903939	1.0113642	0.0176027	0.3027523	0.7948131	0.5804386	1.0166809	0.0805606	0.0887005	0.6045735	0.7177434	0.4125947	0.0207650	0.7616775	0.3714235	0.0554734	0.1774818	0.4454455	0.8753202	0.8139752	0.0043470	0.5854085	0.0000407	0.7975677	0.7362368
0.8944748	0.0086892	0.7488550	0.9383696	0.7326423	1.0145074	0.2315535	0.7129668	0.2044879	1.0119482	0.3335108	1.0416831	0.9204071	0.4279672	0.8413406	0.0682258	0.8635351	0.9428207	0.8909418	0.9185159	0.3543225	0.6275108	0.7512848	0.0555200	0.5272622	0.7370380	1.0256419	0.0174171	0.3340727	0.9426137	0.2598069	0.7394236	0.0367454	0.2308171	0.4481157	0.5750992	0.7460591	0.0018229	0.6297843	0.0643942	0.3864307	0.1227986	0.1758631	0.8402058	0.8243881	0.0565303	0.4333066	0.5379911	0.5307009	0.7326772
0.9727023	0.0011890	0.1698158	1.0362398	0.9973526	0.4990629	0.0442337	0.7516088	0.0756143	1.0031922	0.8785660	0.9532330	0.9025072	0.7033932	0.8828301	0.0167488	0.8639332	0.6531256	0.9405198	0.8161910	0.0008295	0.6066793	0.2624347	0.0006091	0.4264208	0.6160646	0.9687967	0.0000020	0.4486698	1.0564532	0.2479978	0.4825133	0.0307513	0.2124504	0.5730322	0.5633651	0.6473664	0.0951867	0.6318330	0.3290667	0.7291464	0.3730081	0.1076292	0.9298563	0.9912664	0.0055578	0.8216273	0.0155152	0.4595529	0.8858241
0.9488502	0.0001100	0.2224971	0.6540170	0.9603036	1.0870597	0.6663565	0.8982297	0.1949191	0.7433988	0.3457647	0.9867024	0.7361703	0.2238879	0.9350268	0.0086428	0.9821071	0.8908220	0.8789792	0.9292642	0.0385183	0.5035270	0.7093326	0.0028465	0.3592280	0.8925779	0.9407433	0.0159298	0.2429781	0.8544292	0.2687217	0.5653435	0.0865743	0.1460613	0.5866305	0.7526668	0.5715611	0.0880731	0.9757777	0.4090240	0.6835149	0.1416058	0.2596167	0.8441957	0.7763585	0.0499846	0.6476340	0.0009590	0.9327505	0.7014084
0.9762393	0.0005291	0.7440200	1.0329322	0.9636374	0.9777019	0.6363988	1.0295616	0.2216929	1.0175708	0.2893563	1.0978355	0.8350306	0.3685823	0.9478269	0.0160074	0.9767343	0.9040048	1.0390255	0.9168696	0.4478699	0.5841755	0.7811843	0.0905132	0.6771843	0.8132280	0.6337529	0.0001240	0.4281506	1.0487296	0.1824787	0.3252554	0.0352356	0.0121654	0.5900607	0.4224253	0.6433740	0.0092243	0.6193781	0.1645866	0.4767029	0.1311352	0.1369633	0.9267974	0.8319171	0.0091020	0.6550113	0.0897903	0.8428541	0.9767999
0.9487288	0.0113138	0.7531135	1.0076602	0.8487369	1.0450098	0.0699579	0.6327183	0.0007551	1.0022957	0.4572752	0.9816172	0.9842629	0.2836982	0.6857525	0.0219373	0.9789307	0.9683117	0.6246645	0.9049350	0.3007996	0.7127307	0.7333935	0.0741518	0.5205049	0.6026033	0.9205646	0.0003758	0.3531853	0.9432504	0.1908368	0.5253415	0.0310632	0.6349466	0.5385941	0.7965489	0.6839915	0.0102303	0.4123335	0.3840578	0.0327009	0.1195717	0.4735686	0.8197724	0.7816063	0.0005205	0.7430432	0.4064727	0.4351950	0.7654277
0.8723701	0.0126849	0.3379971	0.7307997	0.8138320	0.9087867	0.2043983	0.6894152	0.1437432	1.0713402	0.6346863	0.9924709	0.9199800	0.3672481	0.8321371	0.0157944	0.8566696	0.8842236	0.6800574	1.0851774	0.4214429	0.7568223	0.5595103	0.0848822	0.4504685	0.5515937	0.8812472	0.0000657	0.1230120	0.8754727	0.3300837	0.5887661	0.0500776	0.1661055	0.2929418	0.3456355	0.6449540	0.0858940	0.9176429	0.0653298	0.2955128	0.0466300	0.6789641	0.9290810	0.6519280	0.0014304	0.5182351	0.3574052	0.9849000	0.7879122
0.7958257	0.0000929	0.6675081	0.9012631	0.9965401	1.0268383	0.5324160	0.9448633	0.1001849	0.9459424	0.7009523	0.9932512	0.8550623	0.3707212	0.7693000	0.0322914	0.9689899	0.9587523	0.5412891	0.8660192	0.6489531	0.6867401	0.6954135	0.0765798	0.5252909	0.8228338	0.8998746	0.0147031	0.2871424	1.0511717	0.1786341	0.6024208	0.0567831	0.2168592	0.5214511	0.4242217	0.7264083	0.0311997	0.6070488	0.1592129	0.4464821	0.1178875	0.4486927	0.9617754	0.8109813	0.0007311	0.7194927	0.4241532	0.7617245	0.8654073
0.9610258	0.0006056	0.4876289	0.8643763	1.0666011	1.0163373	0.5393041	0.8733182	0.1788545	0.7532156	0.2230053	0.9505193	0.9813390	0.2764866	0.8638488	0.0113369	0.9363383	0.9315386	0.7502797	0.9319197	0.3306706	0.4419988	0.7269475	0.0659278	0.5792835	0.7610833	0.6368954	0.0185911	0.1998505	0.9255882	0.3877658	0.2417790	0.0805184	0.0451716	0.6672175	0.6683275	0.5036489	0.0057545	0.5423776	0.2984364	0.0070679	0.1238288	0.2713239	0.9518834	0.8857181	0.0463077	0.6863801	0.0001300	0.4885434	0.7604128
0.9608889	0.0089702	0.5077948	0.8357884	0.3712713	0.6132794	0.0911892	0.9341658	0.1960570	0.4435612	0.4560600	1.0368200	0.6124935	0.3918584	0.7798109	0.2358453	0.8296707	1.0052830	0.7966285	0.8943946	0.4203285	0.6019182	0.1586520	0.0728293	0.9686062	0.8514795	0.7798970	0.0030738	0.3701368	0.7693958	0.5400710	0.2035660	0.6753622	0.5169755	0.8484073	0.9731603	0.3747686	0.1197366	0.5204436	0.3199080	0.4434408	0.2154570	0.5806127	0.8436491	0.8263534	0.0068299	0.6284543	0.3256241	0.8627945	0.5026729
1.0775284	0.0005199	0.9105968	1.1101523	0.8646798	1.0616165	0.5097488	1.1109968	0.1532779	1.0279399	0.5106975	0.9791582	0.9963714	0.4587231	0.8175511	0.0093669	0.9454706	1.0428019	0.8019411	0.8151537	0.0012934	0.7267491	0.6819959	0.0002654	0.5335574	0.8568151	0.7679792	0.0013032	0.6397578	0.9240231	0.4407509	0.4985623	0.0371716	0.0074665	0.4705820	0.3936184	0.7274289	0.0047282	0.5472980	0.2360126	0.8409454	0.0690189	0.4074895	0.9841641	0.8074996	0.0581357	0.5797216	0.4489941	0.7226510	0.9269037
1.0624884	0.0178047	0.9187369	1.0704548	1.0499163	1.0540425	0.1498090	0.9203492	0.1982612	0.8104372	0.5589535	0.9260466	0.8619391	0.2524655	0.9948869	0.0086951	1.0583866	1.0760721	0.5697980	0.9150937	0.3565613	0.6051347	0.7909119	0.0003436	0.5011003	0.8806965	1.0882349	0.0171011	0.5990641	0.7890526	0.4939512	0.4621110	0.0452173	0.2760683	0.6008813	0.6891992	0.6272446	0.0077977	0.5410415	0.2051454	0.3107956	0.1136909	0.1562561	0.9051437	0.8287072	0.0003485	0.7205155	0.2320806	0.3045001	0.9097153
0.9551969	0.0114987	0.6111249	1.0261179	0.9758908	0.7436915	0.2327012	1.0095269	0.1830401	1.0231802	0.3622047	1.0135070	0.9665708	0.4634505	0.7965603	0.0059676	0.8694913	0.8454192	0.7649130	0.8307734	0.5968117	0.6469098	0.5550875	0.0645173	0.4571916	0.8512729	0.9647041	0.0146426	0.4650962	1.1024772	0.3547991	0.6949528	0.0190091	0.3402359	0.4959585	0.3931282	0.7538806	0.0983200	0.7726553	0.5686349	0.2134926	0.1437729	0.5558156	0.9078111	0.8973208	0.0563992	0.6629825	0.1788835	0.7897851	0.8790780
0.8821345	0.0110429	0.5168020	0.9210634	1.0235986	0.6246877	0.1847042	0.9310623	0.2174612	0.6673113	0.3480991	1.0095586	0.6927984	0.3429713	0.9216390	0.0078616	0.9012271	0.9223240	0.5028616	0.9253874	0.1462499	0.4314256	0.3087634	0.0013039	0.6127789	0.8251831	0.6739771	0.0204921	0.2274941	1.0310982	0.4152438	0.9054433	0.2003899	0.1304765	0.7503999	0.7648964	0.6514477	0.0186748	0.5054708	0.4632590	0.6996302	0.2505006	0.5762414	0.7946579	0.8184932	0.0027965	0.9209894	0.0143876	0.9454595	0.6221691
0.9938639	0.0219897	0.9113569	1.0476259	0.9753993	0.9614228	0.2538678	1.0005492	0.0530102	1.0443828	0.4278060	1.0119652	1.0094730	0.3784487	0.7194645	0.0175093	0.8033745	0.9692765	0.5678637	0.8906724	0.3560644	0.6100511	0.5559142	0.0001158	0.6686669	0.9587522	1.0190200	0.0000095	0.5152608	0.8193458	0.5407293	0.5108375	0.0441998	0.2446766	0.4150452	0.5584273	0.6216413	0.0329192	0.5565408	0.0678043	0.4104272	0.1120954	0.6402259	1.0498021	0.9822764	0.0534465	0.6418645	0.0893979	0.8807957	0.8508114
1.0719964	0.0093418	0.7081202	0.9154736	0.9873363	0.8953238	0.1135121	0.9953574	0.0003829	0.9760665	0.4631824	1.0221755	0.9213787	0.3423719	0.5285892	0.0193005	0.6246791	0.9106459	1.0816892	0.9575286	0.4678059	0.7881293	0.6720619	0.0551257	0.4141425	0.9406604	0.9980535	0.0000018	0.2835573	0.7786073	0.4419033	0.5090130	0.0296668	0.1750447	0.4355558	0.5159386	0.6763346	0.0719796	0.4837159	0.2792218	0.0027737	0.0322990	0.4789369	0.8939522	0.8484651	0.0014015	0.6557855	0.0000029	0.6303037	0.8568207
