YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.4683091	0.0184261	0.7587678	1.0132152	1.0130524	0.9577635	0.5076634	0.9973128	0.2584288	1.0597125	0.4373182	1.1449392	1.0756320	0.2704496	0.7497400	0.0079203	1.0537774	1.0272851	0.7882672	0.9303292	0.4176757	0.6953472	0.8725116	0.0723961	0.7127426	0.8899942	0.9849742	0.0185185	0.2845993	0.9337190	0.4439372	0.5812654	0.0357063	0.0281356	0.4854667	0.3481385	0.6296780	0.1016650	0.6157219	0.2179142	0.2463836	0.1326278	0.4185838	0.9810145	0.8519742	0.0501759	0.7027597	0.0671142	0.8541033	0.7355434
1.0290585	0.0095488	0.6562597	1.1255233	0.9578265	0.9722781	0.4349412	1.0100971	0.2086763	1.0307754	0.5136303	1.1250296	0.9935415	0.3369075	0.8367151	0.0349616	1.0335375	1.1208920	0.7520548	0.9398387	0.4862629	0.7184215	0.7749134	0.0906428	0.6428685	0.8480666	0.9459175	0.0347071	0.3163739	1.0481657	0.4506645	0.5711991	0.0621692	0.0280516	0.5787264	0.4826657	0.6428616	0.0724928	0.6867662	0.2224544	0.3813818	0.1183725	0.4761865	0.9259336	0.8873251	0.0458960	0.6755560	0.0904666	0.7112701	0.7928945
0.9525293	0.0169625	0.3695078	1.0332089	0.9629145	0.9818300	0.4979196	1.0001821	0.2082491	1.0246338	0.4782174	0.9712343	1.0171628	0.3906408	0.9997759	0.0267085	0.9634814	0.9940072	0.8083598	1.0186146	0.4185914	0.7288834	0.7850097	0.0690273	0.5966438	0.8220593	1.0201950	0.0319415	0.2347111	0.9480998	0.4328000	0.5907742	0.0347025	0.0567709	0.5969731	0.4300746	0.5370015	0.0664398	0.8366257	0.2139633	0.3751724	0.0750318	0.4314276	1.0607038	0.8729329	0.0508664	0.7033360	0.0741856	0.6288137	0.8631828
0.9441644	0.0219139	0.7711978	0.5749346	0.9371096	0.9777645	0.4064381	1.0384538	0.2039701	1.0338811	0.4965662	1.0027358	0.9673847	0.3317629	0.8315610	0.0163056	0.9364919	1.1143668	0.7261957	1.0254705	0.4286151	0.7230845	0.6680470	0.0762001	0.2867984	0.8049961	0.9374869	0.0049463	0.3263547	1.0630739	0.4370641	0.5193550	0.0451398	0.0324399	0.5617972	0.3849788	0.5477870	0.0782978	0.5711559	0.0896004	0.4123319	0.0955762	0.4522037	0.9446063	0.6240036	0.0352584	0.7140996	0.0783865	0.8293160	0.8693813
1.0078220	0.0136177	0.6738935	0.9087679	0.4942112	0.9701791	0.5071105	0.9877192	0.2202260	1.0265117	0.3226449	1.0446655	0.8368207	0.3541211	0.8876584	0.1253479	0.9306738	0.9990251	1.0345593	0.8948613	0.4329188	0.6905119	0.6812968	0.0748725	0.4935985	0.9266711	1.0169840	0.0267492	0.2862652	0.9806365	0.4853755	0.5527785	0.0396014	0.0746932	0.5049604	0.4072496	0.5755789	0.0546085	0.8039139	0.2373433	0.4399814	0.1223883	0.4363638	0.8805931	0.8020168	0.0338583	0.3743918	0.0582422	0.7304792	0.7552124
0.8854084	0.0249627	0.3011062	1.0770585	1.0522519	0.5019979	0.2428390	0.8844448	0.2500699	0.9457814	0.6722269	0.9841304	0.9707023	0.5683515	0.9806985	0.0133707	0.9716626	0.9315799	0.8783452	0.8001260	0.3727991	0.6294705	0.0372476	0.0723283	0.6653960	0.7621373	1.0064015	0.0286030	0.2053091	0.9780945	0.3603188	0.4994480	0.0471483	0.0481708	0.5274417	0.5444020	0.6597862	0.0908512	0.8664877	0.2426526	0.4325812	0.4118011	0.5913391	0.9555029	0.7484095	0.0607164	0.7838768	0.0856829	0.6044876	0.7747472
0.9732205	0.0065560	0.7253302	1.0337307	1.0269791	0.9785534	0.1487686	0.9905590	0.2000468	1.0148633	0.3973335	1.0101810	0.9720773	0.2940265	0.8565704	0.0232481	0.8922632	1.0227169	0.8236214	0.9336785	0.4861792	0.6595798	0.7482017	0.0715823	0.6533728	0.8023117	1.0431800	0.0175704	0.3125489	1.0631633	0.4177969	0.5221961	0.0518086	0.0384695	0.4949390	0.5072484	0.6340205	0.1092816	0.6950334	0.2054868	0.5323977	0.1064339	0.4593606	0.9536011	0.8964621	0.0333511	0.6292453	0.0613797	0.6793276	0.8119496
0.9186656	0.0191381	0.7761913	1.0642752	1.0616615	1.0748800	0.5311182	0.4739161	0.2492647	0.9590163	0.6015413	1.0854113	0.9227546	0.2596681	0.8868338	0.0247969	0.8833375	1.0331688	0.7583669	0.9024618	0.3792649	0.5673229	0.7619709	0.0578189	0.6140151	0.4342953	0.9740602	0.0217835	0.3604376	1.0647876	0.2338804	0.5327459	0.0773727	0.0510532	0.5653093	0.4720891	0.6855152	0.0653174	0.7316103	0.2236607	0.4821322	0.1097979	0.1223512	0.8625856	0.8593505	0.0131911	0.6894824	0.0820892	0.7412896	0.8027056
1.0492120	0.0263684	0.6834245	1.0822269	0.9115301	1.0052002	0.2206409	1.0483932	0.1054921	1.0665330	0.4237745	0.9907751	0.8914148	0.3172940	0.7705569	0.0096509	0.9708932	0.9198581	0.8770455	0.8666383	0.4302946	0.6286500	0.6883389	0.0758945	0.6276458	0.9070706	1.0357820	0.0129476	0.3034899	0.8794137	0.4038837	0.5295823	0.0336622	0.0538666	0.4926839	0.4271262	0.7853714	0.0708954	0.6743638	0.2443732	0.3963227	0.1066204	0.4481283	0.9173938	0.7243178	0.0424358	0.6522505	0.0779455	0.6473007	0.7961754
0.8954054	0.0146961	0.7001242	1.0694761	1.0726881	1.1358012	0.2638832	1.0024317	0.2140924	0.4781161	0.4121291	0.9369073	0.5949581	0.2466799	0.8713977	0.0171761	0.8584228	1.1465374	0.8654751	0.9541709	0.3921936	0.2047676	0.7267307	0.0566728	0.8233354	0.6722453	1.0561700	0.0185444	0.3578622	0.8285788	0.4738064	0.5659495	0.3971823	0.2470083	0.7597565	0.8393266	0.4246838	0.1158165	0.6613182	0.4270530	0.4537755	0.1112029	0.4384466	0.7949770	0.8769936	0.0567714	0.7679354	0.0673068	0.8034152	0.5716287
