YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.8578480	0.0001938	0.6017301	0.9646978	0.8490499	0.8780975	0.3809680	1.0900771	0.2255622	0.9680117	0.8867581	0.9652712	0.9049712	0.4349965	0.9113424	0.0027781	1.1046715	0.9063826	0.9833025	0.9700231	0.3168782	0.6509123	0.6023235	0.0017529	0.3490419	0.9980114	0.7303923	0.0322980	0.5593013	0.8059542	0.5724521	0.3111732	0.0399809	0.0322988	0.5611151	0.4634379	0.5794136	0.0289647	0.2568802	0.3807927	0.3938147	0.1458528	0.4871506	0.9160309	0.9048626	0.0461427	0.6314155	0.2498010	0.8347136	0.7847057
0.7278446	0.0025319	0.2204160	0.7671877	0.8572500	1.0504806	0.1102998	1.0993607	0.2100391	1.0247801	0.2689801	0.9776948	0.9690095	0.5224370	0.9009362	0.0267786	0.9050365	0.6994565	0.8155366	0.9237973	0.0555978	0.5441651	0.7365433	0.0473988	0.4556643	0.9755813	0.9528700	0.0011367	0.0771084	1.0955399	0.2618719	0.3769486	0.0322845	0.0066394	0.5548176	0.4328305	0.6728656	0.0984799	1.0067173	0.3664178	0.2059980	0.1481413	0.4130820	1.0314269	0.6085040	0.0724233	0.5022302	0.1731350	0.4093003	1.0069582
0.9796044	0.0087956	0.5156490	0.9056976	0.8775531	0.7442338	0.1230874	1.0122906	0.0016929	0.6835127	0.2181606	1.0321579	0.6634437	0.4095071	0.5596870	0.0049390	0.4846431	0.9924266	0.8360678	0.9347222	0.8475558	0.6542990	0.2170689	0.0042437	0.6761243	1.0200426	0.9865538	0.0436848	0.3093270	0.7869410	0.6281607	0.9420709	0.0851518	0.0892107	0.6166265	0.6594868	0.4897123	0.0259068	0.7951345	0.3660393	0.0676113	0.1855347	0.4890632	0.8814141	0.7184847	0.0062212	0.6559941	0.0002817	0.7396078	0.6871396
0.8473280	0.0220591	0.7773370	0.9408297	0.6608769	1.0846093	0.2986501	0.7193791	0.1741998	1.0601278	0.3785129	1.0282927	0.9892096	0.3950770	0.9549783	0.0414769	0.9180422	1.0106287	0.8120945	0.8962828	0.3617289	0.6571399	0.7116380	0.0548957	0.4869382	0.7707334	0.9970060	0.0363036	0.3260225	0.8851507	0.2641186	0.7547259	0.0736656	0.2926994	0.4285436	0.6178176	0.7803303	0.0075614	0.6791620	0.0440982	0.3950277	0.1194521	0.1987926	0.8691121	0.7982971	0.0558782	0.4965872	0.5394425	0.4933028	0.7593166
1.0107853	0.0027179	0.1790052	1.0927150	1.0213321	0.4875290	0.0535632	0.7262303	0.0774757	0.9556253	0.7847038	0.9826146	0.9733564	0.7114715	0.9152384	0.0096619	0.8358606	0.6586536	0.8947811	0.8005432	0.0019820	0.5897683	0.2732762	0.0009827	0.4100151	0.6291102	0.9777095	0.0000079	0.4657116	0.9856054	0.2962986	0.4359893	0.0268759	0.2308020	0.5530818	0.5074985	0.6644259	0.0655200	0.7191423	0.3495621	0.6660053	0.2879775	0.1380143	0.8966480	0.9100153	0.0048080	0.8674850	0.0117685	0.4838240	0.9286716
0.9886440	0.0010960	0.2194184	0.6723035	0.9562551	1.0430579	0.5805314	0.8647948	0.2573811	0.7458112	0.3538588	1.0408162	0.6944323	0.2647984	1.0055576	0.0137297	0.8919507	0.9306391	0.7092503	0.9529306	0.0406248	0.5317295	0.6361385	0.0057234	0.3162132	0.8729504	1.0515481	0.0096590	0.2531462	0.8510391	0.2900243	0.5108649	0.0971307	0.1381843	0.5767807	0.7897499	0.5193301	0.0905459	0.9312774	0.4424713	0.7157752	0.1811826	0.2540189	0.8635855	0.8293655	0.0431239	0.6844452	0.0023189	0.9197827	0.6856328
1.0126733	0.0008839	0.7487456	1.0305830	0.9558283	0.9903611	0.6326632	0.9650897	0.2051392	0.9114818	0.2867755	1.1146871	0.8098466	0.3658912	0.9154536	0.0159265	0.9251759	0.9141597	0.9970860	0.9154871	0.4738335	0.6077795	0.7667046	0.0779454	0.6289765	0.8930276	0.6476691	0.0025863	0.4570909	1.2226359	0.1769310	0.2995243	0.0367121	0.0102874	0.6062241	0.4534293	0.5633368	0.0071937	0.5944790	0.1195245	0.4414311	0.1399399	0.1299761	0.9222904	0.8743952	0.0015695	0.6772654	0.0962681	0.8213785	0.8958059
1.0373795	0.0133933	0.7228251	0.9866632	0.7056078	0.9940847	0.0763881	0.6552476	0.0008167	1.0250460	0.4768458	1.0240812	0.9717527	0.3265296	0.5732149	0.0199860	1.0035365	0.9414275	0.6261096	0.9178819	0.2716822	0.6641448	0.7540776	0.0688408	0.4606055	0.6462230	1.0723628	0.0002270	0.3862292	0.8933124	0.1939885	0.4514182	0.0632773	0.6701205	0.5374505	0.6823863	0.7102734	0.0093411	0.3935546	0.4079735	0.0323859	0.1457676	0.5368213	0.8649471	0.7609737	0.0002502	0.7633400	0.3238147	0.4403197	0.6454547
0.7788551	0.0093485	0.3780927	0.7239365	0.8187485	0.9579183	0.2472825	0.6597382	0.1094937	1.0761193	0.6924383	1.1076188	0.9875992	0.3733248	0.9412160	0.0246649	0.8310462	0.8116268	0.7401073	0.9864890	0.3921369	0.6991578	0.5028138	0.0712553	0.4779012	0.5539665	0.9407221	0.0000876	0.1511491	0.9029747	0.3171628	0.5408172	0.0484488	0.1973921	0.2829447	0.4324214	0.6930312	0.0637934	0.8936303	0.0622829	0.2825121	0.0654169	0.6877979	0.9394012	0.6686844	0.0011655	0.5187711	0.3966011	0.9821546	0.6993649
0.7639979	0.0004263	0.6572035	0.8486578	0.9249447	0.9391069	0.5667762	1.0680596	0.1042044	0.9776234	0.6805129	0.8926052	0.9306739	0.3416159	0.7130833	0.0182058	1.0196291	0.9383043	0.5671909	0.9448420	0.7499803	0.7040649	0.7369074	0.0977863	0.5831284	0.8205797	0.9236281	0.0164849	0.2690833	1.1511509	0.1801943	0.5834486	0.0585259	0.2513146	0.5725092	0.4044338	0.8251675	0.0159312	0.6482163	0.1431647	0.4883971	0.1050311	0.3838991	0.8828889	0.8267295	0.0015213	0.6772342	0.4277799	0.7091084	0.8196894
0.9822186	0.0007608	0.4974058	0.8411886	0.9556778	0.9959760	0.5816297	0.8978184	0.1901672	0.7443130	0.2043077	1.0007763	0.9773676	0.2967537	0.8332707	0.0279801	0.9850471	0.8625436	0.8203698	0.9704658	0.3151668	0.4751748	0.7069307	0.0846667	0.6523796	0.7233183	0.5579669	0.0276012	0.1352725	0.9028436	0.3694120	0.2297304	0.0599430	0.0494340	0.6744753	0.7464844	0.5458437	0.0127984	0.5658311	0.3108101	0.0099942	0.1555209	0.2472592	0.8935240	0.9765147	0.0406475	0.6941926	0.0016571	0.5255596	0.7527722
0.9262179	0.0098237	0.5643006	0.8360647	0.4193472	0.6182143	0.1016985	0.9109295	0.2013858	0.3840682	0.4263896	1.0206608	0.6401735	0.3554669	0.7674542	0.2825172	0.8044820	0.8893929	0.6569119	0.9103942	0.3841813	0.5717417	0.1923738	0.0830676	0.9463783	0.9103551	0.7637081	0.0011726	0.3377395	0.7878782	0.5732507	0.2386251	0.6743414	0.5716170	0.7735085	0.9352349	0.3377336	0.1167470	0.4910642	0.3546903	0.4767728	0.2014478	0.5672158	0.7658287	0.8610022	0.0065088	0.5319778	0.2437197	0.7935766	0.4826227
1.0565107	0.0013738	0.9323143	1.0747085	0.8814061	1.0183687	0.5481267	1.0673604	0.1631179	1.1432034	0.5125991	1.0013956	0.9627272	0.4379912	0.7911468	0.0011728	0.8752939	1.0723618	0.7723049	0.8266957	0.0062609	0.7301911	0.6820778	0.0014755	0.5228567	0.9067643	0.7793304	0.0020743	0.6749567	0.8684210	0.4378292	0.4919618	0.0287074	0.0105614	0.5180190	0.4605117	0.7288205	0.0062466	0.5804795	0.2239281	0.8286524	0.0543556	0.3749041	1.0278643	0.7593072	0.0561209	0.5947083	0.4509640	0.6980391	0.8267646
1.0022480	0.0067735	0.9158334	0.9414232	1.0725736	1.1131838	0.1714778	0.9865609	0.2418975	0.7671078	0.5757133	0.9484352	0.7888712	0.3027032	0.9063964	0.0068982	1.0013998	1.1557157	0.5858723	1.0116192	0.3884681	0.6310579	0.6455512	0.0032332	0.5342739	0.8642416	1.1397441	0.0151861	0.6076193	0.8305568	0.5467045	0.5050256	0.0579078	0.1772074	0.6730608	0.6286607	0.6503030	0.0108686	0.5529567	0.1977172	0.3045446	0.1006641	0.1334064	0.9889694	0.7885643	0.0022913	0.7101583	0.2451963	0.2976087	0.9606319
1.0129281	0.0201938	0.5234715	0.9937419	1.0442427	0.8114467	0.2601859	0.9403614	0.2005042	1.0863261	0.3156766	1.0753710	0.9659467	0.4339533	0.9057056	0.0048449	0.8316940	0.9643112	0.8584917	0.9321404	0.6101839	0.7400278	0.5240301	0.0677488	0.4814123	0.8192592	0.9886772	0.0187176	0.4126244	1.0822071	0.3759133	0.6487075	0.0328850	0.3334260	0.5727011	0.3042793	0.7705659	0.0969565	0.8022135	0.5959823	0.1997057	0.1427805	0.5670833	0.8724687	0.8673320	0.0493973	0.6296953	0.1806774	0.8147601	0.8558609
0.8643296	0.0111612	0.5337507	0.8834274	1.0856817	0.6490432	0.1780308	0.9458718	0.2186515	0.6221824	0.3724727	0.9428662	0.6172685	0.3780545	0.9182460	0.0100718	0.8563912	0.9624702	0.6033408	0.9239361	0.1946405	0.4360972	0.2964250	0.0022854	0.6172874	0.9310103	0.6104395	0.0213523	0.2077559	0.9656598	0.4753982	1.0246367	0.1907700	0.1174022	0.6994439	0.7741758	0.7257314	0.0266231	0.5102381	0.4413235	0.6693206	0.2588605	0.5608045	0.8972467	0.8183903	0.0010865	0.9568351	0.0157093	0.9719607	0.5890729
0.9959378	0.0237974	0.8200271	1.0455793	1.0098532	0.9664502	0.2478942	0.9547270	0.0402008	1.0146997	0.4969834	0.9860116	1.0030625	0.4399081	0.7140095	0.0098773	0.7809531	0.9799284	0.5829260	0.8219157	0.3653666	0.6124307	0.5933202	0.0006573	0.6394699	0.8754027	0.9217354	0.0013392	0.5216460	0.9142635	0.5798316	0.5688066	0.0671822	0.3027153	0.3515491	0.5148109	0.6299327	0.0558444	0.5924428	0.0442670	0.3936910	0.1218336	0.5887990	1.0217363	0.9151530	0.0488355	0.6553691	0.0763518	0.8628076	0.7203151
