YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.5000043	0.0125360	0.6731537	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9962251	0.8342508	0.9371966	0.4446657	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9850499	0.0183976	0.3090249	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6791697	0.2261784	0.3313901	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7318613	0.7811153
1.0000000	0.0058904	0.6700479	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9961668	0.8342506	0.9371966	0.4446364	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9854887	0.0183976	0.3082896	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6808763	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7310744	0.7811153
1.0000000	0.0117801	0.3363449	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9575244	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9998882	0.0183976	0.1986677	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.8876418	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.6223626	0.7811153
1.0000000	0.0121294	0.7805053	0.5000001	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4395080	0.9996318	0.9182160	0.2917597	0.8792179	0.0272516	0.9361258	0.9977613	0.6914703	0.9371966	0.4446631	0.6555122	0.7103410	0.0680964	0.2839226	0.8427656	0.9587284	0.0183976	0.3342385	0.9207493	0.4135696	0.5220778	0.0398315	0.0376097	0.5164666	0.4065901	0.6308234	0.0743467	0.6201412	0.0499813	0.4401399	0.1120008	0.4416456	0.9142035	0.4505440	0.0439191	0.6827945	0.0766712	0.7582836	0.7811153
1.0000000	0.0117801	0.6697836	1.0000000	0.5000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.3427234	0.9996318	0.9182163	0.2917597	0.8338671	0.0878169	0.9361258	0.9961584	0.8392084	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9855556	0.0184020	0.3081780	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6811045	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.3550042	0.0766712	0.7309781	0.7811153
1.0000000	0.0117801	0.2553664	1.0000000	1.0000000	0.5000000	0.2115446	1.0000000	0.1997586	1.0000000	0.6545605	0.9996318	0.9182163	0.5802664	0.8792179	0.0157550	0.9361258	0.8950499	0.8399145	0.8013231	0.4446609	0.6555122	0.0720475	0.0661121	0.6373674	0.8427656	0.9999998	0.0183976	0.1522089	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.9317202	0.2261784	0.4236237	0.4484556	0.6479259	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.5906028	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.2059776	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9962167	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9998763	0.0183976	0.2980200	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794171	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7316997	0.7811153
1.0000000	0.0117801	0.7404226	1.0000000	1.0000000	1.0000000	0.5128559	0.5000000	0.1997586	1.0000000	0.5412575	0.9996318	0.9182163	0.2686223	0.8792179	0.0157550	0.9361258	0.9973056	0.7870180	0.9122989	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.4610737	0.8791364	0.0183976	0.3314845	0.9279450	0.2228777	0.5219669	0.0405624	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6413245	0.2261784	0.4236237	0.1120008	0.1617978	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7489227	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.1906578	1.0000000	0.0998793	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.7762113	0.0157550	0.8945378	0.9962167	0.8342508	0.9371966	0.4690364	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9999294	0.0183976	0.2951170	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794172	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7320010	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.2416943	1.0000000	0.1997588	0.5000112	0.4399872	0.9969679	0.6135908	0.2010840	0.8792181	0.0157550	0.8687937	0.9962167	0.8342508	0.9342103	0.4446608	0.2241660	0.7103410	0.0664485	0.8661663	0.8427656	0.9996345	0.0183976	0.2995043	0.8556666	0.5335586	0.5226460	0.3592328	0.2579085	0.7582496	0.8748361	0.4110736	0.1044658	0.6794172	0.4151235	0.4236237	0.1120008	0.4337863	0.8269610	0.8248867	0.0469834	0.6827945	0.0766722	0.7317035	0.5774816
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.2199939	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9962167	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9851140	0.0183976	0.3089187	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794171	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7317469	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.4119509	1.0000000	0.1997586	1.0000000	0.4399872	0.4998172	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9962167	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9851133	0.0183976	0.3089190	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794170	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7317470	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.4591524	0.2917597	0.8792179	0.0157550	0.9361258	0.9962167	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9851140	0.0183976	0.3089187	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794171	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7317469	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.1458829	0.8792179	0.0157550	0.9361258	0.9962167	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9851140	0.0183976	0.3089187	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794171	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7317469	0.7811153
