YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.9302028	0.0000417	0.5782918	1.0000000	0.8626536	0.9304774	0.3619779	1.0000000	0.1997586	1.0000000	0.8457754	0.9804558	0.9010317	0.4400622	0.8717227	0.0121719	0.9301141	0.9044164	0.9963328	0.9679221	0.2952643	0.6388870	0.5867816	0.0000587	0.3634940	0.9264558	0.6447439	0.0183978	0.5789775	0.8741484	0.5720214	0.2499491	0.0398315	0.0163365	0.5164666	0.4168759	0.5583310	0.0442313	0.2658202	0.4343798	0.4219071	0.1255694	0.4622465	0.8822737	0.8766418	0.0439191	0.6294717	0.2348635	0.7766910	0.7272591
0.7214524	0.0122570	0.2359668	0.7048765	0.8794485	0.8581393	0.1391033	1.0000000	0.1997586	1.0000000	0.2854627	0.9358851	0.9638311	0.4489138	0.8720415	0.0245317	0.9301141	0.7768770	0.8256128	0.9159975	0.0446919	0.6388870	0.6733418	0.0298788	0.4100264	0.9062847	1.0000000	0.0000003	0.0951816	0.9967274	0.2563274	0.3943729	0.0224887	0.0106551	0.5164666	0.4119609	0.6490623	0.0743467	0.9411101	0.3514662	0.2974679	0.1450694	0.3665990	0.9320705	0.6526900	0.0439191	0.5896264	0.1950052	0.4673109	0.9230875
1.0000000	0.0061080	0.5262067	0.8625557	0.8935000	0.6992909	0.1283424	1.0000000	0.0000001	0.6552106	0.1978658	0.9993078	0.7126425	0.3708207	0.5262602	0.0063882	0.5055827	0.9496156	0.7967654	0.8612042	0.8848939	0.6838413	0.2205799	0.0060613	0.7096078	0.8581301	0.9999990	0.0183977	0.2775982	0.7971788	0.5346101	0.9825358	0.0912307	0.0788777	0.6723693	0.7316401	0.4229727	0.0130591	0.7689865	0.3318751	0.0569403	0.2211080	0.4658201	0.8352870	0.7439988	0.0068362	0.5976814	0.0000002	0.7370040	0.6962968
0.8816303	0.0118340	0.8104975	0.9130682	0.7007489	1.0000000	0.3190857	0.7337020	0.1997586	1.0000000	0.3645143	0.9997971	0.9010317	0.4260803	0.8654765	0.0344802	0.9301141	0.9982467	0.8780445	0.8908351	0.3455554	0.6388870	0.6776534	0.0661477	0.5510815	0.7735412	0.9907249	0.0183983	0.3575461	0.8463368	0.2411544	0.7147548	0.0399338	0.2556020	0.4256219	0.5775239	0.7187338	0.0038139	0.6047958	0.0560848	0.3620680	0.1120008	0.2302376	0.8822737	0.7690426	0.0439191	0.4795945	0.5281328	0.4911670	0.7272591
1.0000000	0.0000394	0.1863325	1.0000000	1.0000000	0.4641920	0.0330955	0.7356360	0.0734715	1.0000000	0.8443569	0.9997624	0.9434123	0.6695984	0.9131736	0.0157550	0.8883601	0.6512218	0.9030803	0.7807402	0.0000000	0.6388870	0.2640158	0.0037840	0.3675616	0.6344822	1.0000000	0.0000001	0.4533894	0.9523193	0.2408785	0.4405343	0.0196522	0.2031379	0.5164666	0.4168759	0.6661149	0.0743467	0.6626320	0.3305643	0.6513905	0.3591999	0.1057705	0.9215103	0.9668160	0.0003633	0.8346990	0.0172377	0.4206635	0.8328838
1.0000000	0.0001108	0.2214000	0.6563603	0.9925001	1.0000000	0.5474353	0.8400438	0.1997587	0.6926535	0.3780141	0.9990297	0.7414360	0.2429012	0.8734751	0.0030423	0.8999537	0.8732175	0.7901291	0.9555654	0.0453616	0.4712889	0.6776533	0.0011474	0.3538950	0.8904788	0.9999570	0.0183976	0.2134563	0.7939329	0.3115110	0.5405367	0.1125838	0.1362799	0.6412567	0.7956096	0.5229777	0.0838886	0.9478130	0.4144290	0.6552488	0.1120008	0.2738930	0.8425293	0.7074330	0.0448003	0.6444654	0.0000001	0.8981879	0.6551873
1.0000000	0.0000381	0.6803628	1.0000000	1.0000000	0.8735480	0.6004156	1.0000000	0.1997586	1.0000000	0.3057524	0.9808344	0.9010316	0.3558443	0.9232604	0.0157550	0.9631926	0.9072270	0.9963128	0.8789495	0.4301582	0.6388870	0.7316237	0.0661121	0.6373674	0.8151237	0.8144273	0.0000008	0.4457460	0.9969186	0.2015791	0.2717295	0.0297511	0.0163365	0.5164666	0.4816915	0.6498691	0.0046019	0.6748741	0.2130868	0.4425459	0.1403455	0.1627926	0.8822735	0.8699319	0.0003933	0.6477466	0.0930823	0.7575726	0.9208728
0.9301400	0.0068718	0.7445552	1.0000000	0.8036160	1.0000000	0.0679574	0.5831246	0.0000000	1.0000000	0.4484442	0.9996707	0.9605024	0.2745944	0.6279200	0.0238947	0.9291863	0.9983847	0.6589549	0.8819887	0.2756929	0.6920620	0.7767608	0.0661121	0.5460519	0.4929817	0.9340644	0.0000007	0.3413571	0.9968078	0.1926124	0.4933834	0.0295139	0.6249060	0.5164666	0.6685755	0.6932270	0.0054392	0.4005507	0.4082056	0.0260448	0.1120008	0.4239290	0.8822735	0.8536708	0.0004125	0.6937180	0.3248538	0.3724774	0.7272591
0.8258127	0.0119502	0.3642484	0.7781533	0.7956817	0.8949120	0.3100377	0.6120043	0.1516197	1.0000000	0.7224190	0.9997578	0.9010315	0.3626606	0.9120824	0.0261598	0.9169891	0.9566637	0.7635545	0.9309389	0.4097465	0.6388870	0.5336789	0.0662681	0.4667110	0.5238038	0.9999726	0.0000011	0.1533097	0.9473750	0.2766560	0.5563981	0.0401055	0.2112071	0.3182567	0.4140576	0.6217650	0.0743467	0.8711905	0.0619469	0.2465540	0.0522223	0.6231831	0.8822735	0.6937703	0.0003597	0.5418474	0.3147942	0.9365791	0.7272591
0.7991743	0.0000925	0.6305371	0.8663325	1.0000000	1.0000000	0.5076740	1.0000000	0.0783914	1.0000000	0.6384484	0.9998133	0.9010315	0.3379634	0.7305681	0.0174900	0.9530354	0.9061009	0.5446398	0.8955321	0.6856284	0.6388870	0.6776533	0.0661771	0.5367772	0.7764410	0.9599848	0.0183976	0.2470968	0.9890002	0.1589021	0.5582826	0.0398315	0.2243786	0.5164666	0.4243938	0.6961006	0.0262542	0.5877385	0.1424929	0.4845628	0.1120008	0.3708008	0.8822735	0.7459914	0.0003890	0.7213915	0.4385255	0.7820529	0.8194337
1.0000000	0.0000385	0.4898166	0.9657076	1.0000000	1.0000000	0.5164004	0.8220628	0.1997587	0.6753799	0.2347730	0.9990458	0.9999999	0.2390700	0.8735390	0.0161516	0.8973853	0.9906875	0.8097467	0.8922412	0.3168755	0.3761813	0.6776533	0.0662612	0.6767676	0.6929936	0.6316861	0.0183976	0.2164460	0.8331723	0.3507929	0.2409912	0.1005179	0.0794875	0.6618627	0.7511309	0.5181095	0.0113452	0.5147818	0.3146528	0.0030312	0.1120008	0.2354948	0.9059030	0.8315022	0.0449044	0.6845032	0.0000001	0.4903783	0.7362197
1.0000000	0.0117922	0.5155858	0.9238575	0.3659987	0.6464272	0.0675093	0.9756739	0.1997604	0.3801494	0.4665363	0.9941293	0.5367668	0.3261190	0.7705524	0.2128982	0.8272807	0.9922090	0.7815235	0.8748952	0.3920671	0.5719062	0.1886103	0.0672996	0.9454264	0.8600474	0.7814679	0.0000208	0.3554972	0.7576464	0.5191928	0.2262371	0.6315276	0.5392149	0.8287223	0.9291903	0.3988517	0.1404325	0.5045247	0.3583283	0.4124283	0.1867583	0.5659586	0.8218515	0.8361499	0.0044906	0.6115297	0.2932888	0.8852873	0.5058255
1.0000000	0.0000380	0.8902438	1.0000000	0.8463252	1.0000000	0.4614553	1.0000000	0.1559077	1.0000000	0.4565385	0.9997710	0.9538659	0.4103089	0.8379309	0.0068132	0.9433893	0.9990747	0.7826711	0.8955321	0.0000000	0.6820264	0.7294040	0.0000385	0.6373674	0.8868044	0.8058126	0.0000006	0.6509541	0.9631956	0.4052981	0.5271336	0.0300484	0.0163365	0.4586681	0.4168759	0.6636323	0.0051930	0.5665520	0.2323055	0.7881395	0.0750322	0.3845561	0.9278568	0.8049416	0.0439191	0.5715041	0.4161883	0.7467635	0.8901979
1.0000000	0.0117801	0.8866344	1.0000000	0.9914394	1.0000000	0.1215631	0.9352293	0.1997586	0.7929107	0.5858364	0.9355073	0.8100243	0.2624072	0.9832498	0.0159678	0.9828659	0.9988738	0.5706219	0.9661728	0.3895597	0.5711898	0.6776534	0.0001012	0.5338156	0.8484008	0.9999783	0.0183976	0.5874740	0.8573545	0.4185850	0.4488160	0.0483394	0.2432103	0.6039796	0.6013272	0.6276619	0.0091494	0.4732970	0.2050089	0.2945252	0.1120008	0.1199020	0.9186248	0.8064457	0.0007218	0.6439982	0.2214253	0.3431360	0.8772241
1.0000000	0.0117801	0.5551718	1.0000000	1.0000000	0.7515629	0.2157375	1.0000000	0.1997586	1.0000000	0.3525530	0.9997722	0.9010315	0.4713585	0.8735390	0.0025595	0.9301141	0.9034178	0.8441729	0.8556584	0.6078319	0.6388870	0.4948812	0.0661121	0.4638959	0.8584562	0.9999578	0.0183976	0.4325521	0.9689178	0.3578841	0.7095697	0.0398315	0.3634497	0.5164666	0.4168759	0.7398322	0.0743467	0.7506196	0.5164972	0.1933289	0.1893177	0.5488325	0.8990037	0.8828898	0.0439191	0.6477465	0.1794072	0.8224098	0.8176292
