YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.5001088	0.0125325	0.6731352	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9962249	0.8342508	0.9371966	0.4446656	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9850558	0.0183976	0.3090162	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6791831	0.2261784	0.3315415	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7318536	0.7811153
1.0000000	0.0058938	0.6701026	1.0000000	1.0000000	1.0000000	0.4119510	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9961676	0.8342506	0.9371966	0.4446364	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9854563	0.0183976	0.3083359	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6808140	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7311102	0.7811153
1.0000000	0.0117801	0.3363671	1.0000000	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9575392	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9998852	0.0183976	0.1987941	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.8875844	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.6224107	0.7811153
1.0000000	0.0121293	0.7803967	0.5000005	1.0000000	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.4395082	0.9996318	0.9182160	0.2917597	0.8792179	0.0272510	0.9361258	0.9977599	0.6915927	0.9371966	0.4446631	0.6555122	0.7103410	0.0680963	0.2839494	0.8427656	0.9590608	0.0183976	0.3340613	0.9207509	0.4135696	0.5220778	0.0398315	0.0376099	0.5164666	0.4065906	0.6308234	0.0743467	0.6203214	0.0499833	0.4401387	0.1120008	0.4416456	0.9142035	0.4505824	0.0439191	0.6827945	0.0766712	0.7581828	0.7811153
1.0000000	0.0117801	0.6697852	1.0000000	0.5000002	1.0000000	0.4119508	1.0000000	0.1997586	1.0000000	0.3427516	0.9996318	0.9182163	0.2917597	0.8338843	0.0878081	0.9361258	0.9961585	0.8391997	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9855527	0.0184020	0.3081819	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6811011	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.3551214	0.0766712	0.7309801	0.7811153
1.0000000	0.0117801	0.2553750	1.0000000	1.0000000	0.5000000	0.2115463	1.0000000	0.1997586	1.0000000	0.6545601	0.9996318	0.9182163	0.5802660	0.8792179	0.0157550	0.9361258	0.8950667	0.8399143	0.8013240	0.4446609	0.6555122	0.0720479	0.0661121	0.6373674	0.8427656	0.9999997	0.0183976	0.1522617	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.9317024	0.2261784	0.4236237	0.4484542	0.6479255	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.5906211	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.2060701	1.0000000	0.1997586	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.8792179	0.0157550	0.9361258	0.9962167	0.8342508	0.9371966	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9998462	0.0183976	0.2980767	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794171	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7316998	0.7811153
1.0000000	0.0117801	0.7404093	1.0000000	1.0000000	1.0000000	0.5128475	0.5000001	0.1997586	1.0000000	0.5412557	0.9996318	0.9182163	0.2686227	0.8792179	0.0157550	0.9361258	0.9973054	0.7870375	0.9123007	0.4446609	0.6555122	0.7103410	0.0661121	0.6373674	0.4610783	0.8795082	0.0183976	0.3314467	0.9279450	0.2228786	0.5219669	0.0405624	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6413509	0.2261784	0.4236237	0.1120008	0.1617993	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7489077	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.1907981	1.0000000	0.0998828	1.0000000	0.4399872	0.9996318	0.9182163	0.2917597	0.7762516	0.0157550	0.8945476	0.9962167	0.8342508	0.9371966	0.4690347	0.6555122	0.7103410	0.0661121	0.6373674	0.8427656	0.9999192	0.0183976	0.2951282	0.9279450	0.4135696	0.5220778	0.0398315	0.0481282	0.5164666	0.4290289	0.6308234	0.0743467	0.6794172	0.2261784	0.4236237	0.1120008	0.4416456	0.9142035	0.8248867	0.0439191	0.6827945	0.0766712	0.7320010	0.7811153
1.0000000	0.0117801	0.6726891	1.0000000	1.0000000	1.0000000	0.2418450	1.0000000	0.1997588	0.5000370	0.4399872	0.9969691	0.6136752	0.2011338	0.8792181	0.0157550	0.8688168	0.9962167	0.8342508	0.9342154	0.4446608	0.2242667	0.7103410	0.0664483	0.8660419	0.8427656	0.9996173	0.0183976	0.2995446	0.8556941	0.5335121	0.5226457	0.3591516	0.2577776	0.7581796	0.8748022	0.4112120	0.1044268	0.6794172	0.4150585	0.4236237	0.1120008	0.4337948	0.8269942	0.8248867	0.0469816	0.6827945	0.0766722	0.7317036	0.5776037
