YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.3554599	0.0138375	0.5826007	0.7538764	0.5908069	0.7378714	0.2965269	0.6510737	0.2496077	0.6544513	0.2974422	0.7015510	0.8518635	0.2276771	0.5305772	0.0081657	0.6737389	0.7131847	0.5737584	0.5617850	0.3393410	0.3913365	0.6290580	0.0654192	0.5064627	0.5435657	0.6684196	0.0389335	0.2088453	0.6295919	0.2904649	0.3861437	0.0161243	0.0246008	0.3658195	0.2309753	0.3972872	0.0692193	0.4109751	0.1788958	0.1756623	0.0847460	0.2105220	0.6840215	0.4538474	0.0274028	0.4927935	0.0503163	0.6244165	0.5740242
0.6600357	0.0088980	0.4816077	0.7232452	0.7006466	0.7143216	0.3051333	0.6270022	0.1399680	0.5634979	0.3124140	0.8571384	0.7282893	0.2382550	0.6371821	0.0355136	0.6852334	0.7743049	0.5050648	0.6277694	0.3966372	0.5214486	0.4532306	0.0631847	0.4219321	0.6722128	0.6606630	0.0132536	0.1963139	0.7050445	0.3280028	0.3468100	0.0526838	0.0084778	0.3637451	0.2908333	0.5042967	0.0464959	0.4625266	0.1561502	0.2306745	0.0697105	0.3022248	0.6776043	0.5805838	0.0579698	0.4732823	0.0646843	0.4074358	0.4704434
0.6128980	0.0079562	0.2600601	0.6987079	0.5185298	0.6607305	0.3458156	0.6386493	0.1598520	0.6897282	0.3311079	0.6954967	0.6539022	0.3292418	0.6622237	0.0200742	0.6449377	0.5943555	0.6186220	0.7480453	0.2126121	0.5108958	0.4482962	0.0297580	0.3996186	0.5588157	0.6687349	0.0240856	0.1672421	0.6428127	0.3143765	0.4282714	0.0372698	0.0305499	0.2929510	0.2550388	0.3749147	0.0543814	0.6270498	0.1399341	0.2409988	0.0428291	0.2861278	0.7473602	0.6255556	0.0273303	0.4902456	0.0491922	0.3865189	0.5617361
0.6478789	0.0246566	0.5451172	0.3664464	0.5630591	0.6374677	0.3245613	0.7431925	0.1556642	0.6976602	0.2659566	0.6334686	0.6487696	0.1536444	0.5653469	0.0144536	0.7089944	0.6830971	0.4841746	0.6771807	0.2297225	0.5098099	0.4660745	0.0645740	0.1499279	0.5587634	0.6577652	0.0018240	0.2376937	0.7230347	0.2905444	0.3315398	0.0498616	0.0192229	0.3508581	0.2257580	0.3701568	0.0912060	0.3045831	0.0431858	0.2955172	0.0588025	0.2952064	0.6371531	0.3625245	0.0186425	0.5561417	0.0603439	0.5543950	0.5214543
0.6944815	0.0131617	0.4455655	0.5923324	0.3188389	0.6242599	0.3022710	0.6762681	0.1597609	0.7378115	0.1591293	0.6945293	0.5668284	0.2460707	0.6593525	0.0792642	0.7403034	0.6506011	0.6524115	0.5377277	0.2853979	0.4787365	0.4013356	0.0434572	0.3226804	0.5755277	0.6576834	0.0119457	0.1922032	0.6724767	0.2642868	0.3041311	0.0270750	0.0460277	0.3804974	0.2211802	0.4710120	0.0480310	0.6142051	0.1424135	0.2399932	0.1272058	0.3083742	0.5541034	0.4359669	0.0285907	0.2819879	0.0276296	0.5375505	0.4852718
0.6471120	0.0227934	0.2226588	0.7690998	0.7389408	0.2847306	0.1717014	0.6527353	0.2192954	0.5956663	0.4256388	0.6656927	0.6788144	0.3871434	0.6334489	0.0220576	0.6359870	0.6116519	0.6250461	0.5123502	0.1907709	0.4385864	0.0221092	0.0365883	0.4175635	0.6040532	0.6231870	0.0171522	0.1105753	0.5792701	0.3073328	0.3650219	0.0343843	0.0234622	0.4110152	0.4148201	0.3821707	0.0646840	0.5378244	0.1985707	0.2545797	0.3077213	0.4138881	0.7611862	0.4578043	0.0348250	0.4537891	0.0497164	0.3906593	0.5014350
0.6733872	0.0059446	0.4588422	0.6726851	0.6653001	0.7112801	0.1156313	0.5693495	0.1232761	0.8203117	0.2564239	0.8300969	0.6287128	0.2273925	0.5662124	0.0176689	0.5413685	0.7141241	0.5326725	0.6840623	0.2414772	0.3839677	0.4315126	0.0279684	0.4423642	0.4813154	0.7717195	0.0044361	0.2139730	0.7473917	0.2992281	0.3558011	0.0227467	0.0260431	0.3144558	0.3107631	0.3932357	0.0763277	0.4842000	0.1067807	0.3925651	0.0816167	0.3623587	0.6441078	0.5843483	0.0286025	0.3527648	0.0484356	0.3929472	0.6844715
0.5587950	0.0089890	0.6483843	0.7598616	0.7119101	0.6275068	0.3309490	0.3087912	0.1661277	0.6454583	0.4084161	0.7149318	0.6145578	0.1832040	0.6659284	0.0170135	0.5069744	0.6819044	0.5346814	0.5491733	0.2617078	0.3722582	0.4878777	0.0315519	0.4157856	0.3232318	0.7196302	0.0390386	0.2088951	0.7028524	0.1586639	0.4127183	0.0443028	0.0283858	0.3916850	0.2692538	0.5800770	0.0309097	0.5319771	0.1736915	0.3020489	0.0509651	0.0659617	0.5488458	0.6144538	0.0234822	0.4666273	0.0652547	0.3621311	0.6405584
0.7761561	0.0149446	0.4396357	0.7774426	0.6552580	0.6136137	0.1460049	0.7439895	0.0886396	0.6575699	0.2513885	0.7130568	0.5777751	0.2063123	0.4572345	0.0106418	0.6121285	0.7047294	0.6255874	0.5506048	0.3239266	0.4284027	0.5738214	0.0416569	0.4782775	0.5202639	0.6910715	0.0053325	0.2162289	0.6207564	0.2097588	0.3558699	0.0245328	0.0180876	0.2716041	0.2823490	0.5143823	0.0812644	0.4430774	0.1827924	0.3253451	0.0816505	0.3111999	0.6218068	0.4843134	0.0260728	0.4466946	0.0597897	0.5063148	0.5073308
0.5394551	0.0057213	0.5206287	0.7641873	0.7139294	0.7999388	0.1690210	0.6335714	0.1188225	0.2965771	0.2367279	0.6384023	0.3847662	0.1465537	0.6666402	0.0066333	0.5965843	0.7141715	0.6431893	0.5652129	0.2330463	0.1653112	0.5372936	0.0439050	0.5381922	0.3842387	0.6951029	0.0054632	0.3236591	0.5514718	0.2927626	0.4240029	0.2861457	0.2236943	0.3960188	0.5828817	0.3033207	0.0871868	0.3845005	0.2921038	0.3430437	0.0655939	0.2871445	0.5000517	0.5911217	0.0356142	0.5306442	0.0447364	0.5732955	0.3850602
