YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.0000000	0.5764315	0.6168428	0.6177915	0.5381443	0.7436244	0.1806583	0.6193270	0.0965762	0.5641699	0.3447185	0.6278255	0.6912634	0.2383092	0.5303701	0.0180349	0.6076148	0.5923724	0.5828145	0.6165754	0.5878282	0.2897109	0.4010735	0.0248356	0.4488876	0.6952519	0.6272985	0.0081637	0.3008147	0.6193305	0.3072389	0.3977994	0.0446587	0.0557915	0.4007322	0.4155493	0.3909009	0.0743222	0.3282820	0.1540990	0.0008281	0.0735091	0.2869364	0.6267311	0.4986171	0.0235216	0.5197209	0.0664419	0.6001277	0.5252254
0.6077306	0.0000000	0.4876973	0.6761517	0.5882619	0.7416917	0.2123630	0.6471004	0.1310568	0.7376291	0.2835374	0.8853881	0.6933798	0.2188153	0.5929389	0.0153544	0.5459973	0.6042501	0.6798345	0.6304986	0.3230190	0.4275361	0.5219629	0.0536187	0.4603415	0.5437648	0.6173145	0.0166830	0.1608595	0.7550516	0.2624580	0.3484787	0.0543731	0.0514809	0.3609712	0.2729857	0.4094493	0.0844115	0.4969356	0.1477927	0.2502165	0.0587323	0.3029407	0.6038588	0.6018490	0.0489299	0.5821399	0.0608145	0.5527036	0.4442011
0.5837528	0.0165978	0.0000000	0.7227638	0.8361085	0.5471401	0.3324594	0.6310895	0.1438789	0.7276359	0.2398032	0.7098755	0.5275560	0.2978346	0.8024667	0.0163835	0.5433268	0.0696535	0.5397805	0.6095805	0.3428230	0.4356133	0.4753917	0.0524998	0.4264719	0.4640508	0.6660377	0.0074689	0.0517362	0.6368580	0.2460695	0.3109222	0.0674287	0.0359873	0.3325889	0.3451922	0.3822192	0.0501104	0.6492386	0.1424693	0.3086693	0.0970240	0.2862254	0.6238537	0.5550381	0.0324114	0.3648586	0.0381272	0.4415379	0.6075584
0.5516049	0.6068844	0.6152235	0.0000000	0.9159778	0.7713566	0.3194667	0.5974327	0.1137178	0.6501831	0.0963727	0.7514288	0.4680541	0.2433060	0.5665602	0.1438900	0.6245882	0.6992633	0.5594574	0.6451584	0.6059431	0.4408689	0.5006356	0.6992238	0.1511317	0.5044577	0.6672587	0.0103554	0.2104320	0.2209622	0.2980611	0.3746956	0.0216863	0.0530360	0.3887039	0.0077420	0.5298770	0.0395062	0.4512677	0.0377573	0.7328142	0.0789958	0.2587751	0.7322478	0.0194992	0.0341758	0.5481500	0.0435757	0.4438379	0.4496500
0.6409938	0.0053205	0.3710738	0.5583657	0.0000000	0.5928015	0.2511078	0.5525106	0.0999997	0.5507977	0.1972762	0.6744443	0.6478156	0.1911057	0.4349581	0.3415050	0.5459803	0.6981226	0.6264194	0.5259285	0.3074768	0.4954381	0.4684024	0.0730498	0.4005666	0.6821240	0.8226492	0.5791224	0.2271735	0.6711706	0.2282159	0.3921047	0.0338836	0.0341372	0.2841957	0.2308846	0.4444976	0.0205274	0.4064268	0.2007556	0.3135707	0.0606975	0.3419875	0.5591049	0.7427836	0.0440691	0.0145870	0.0571818	0.5454448	0.5719870
0.5846859	0.0032562	0.0768856	0.7527246	0.6583421	0.0000000	0.0225179	0.7103931	0.6727859	0.6386221	0.4791241	0.5109991	0.6395560	0.5780081	0.6621372	0.0064245	0.6028126	0.1453413	0.5533304	0.0220414	0.0646916	0.4410136	0.0093946	0.0566212	0.6437658	0.4733421	0.7848628	0.0208696	0.0334597	0.6618199	0.2383366	0.4018504	0.0302840	0.0202210	0.3919946	0.2896069	0.4483125	0.0562792	0.6934392	0.2082567	0.3652937	0.5709972	0.5068589	0.7646666	0.7180307	0.0959827	0.4041408	0.0424316	0.0548094	0.5881923
0.6873475	0.0250370	0.4327309	0.5756541	0.5356951	0.6177834	0.0000000	0.7397933	0.1231290	0.8090492	0.3549674	0.7065367	0.6027278	0.1484502	0.4922790	0.0390637	0.6784435	0.5678857	0.5723172	0.6855968	0.3218447	0.5861974	0.3835465	0.0265352	0.4450065	0.5169426	0.7550191	0.0190247	0.1683894	0.6860757	0.1897280	0.4177231	0.0388408	0.0227882	0.3199239	0.2961431	0.3848954	0.0461033	0.4106446	0.0999737	0.2888111	0.0969677	0.2133519	0.5454301	0.5290050	0.0205024	0.4259285	0.0850685	0.4442185	0.5142646
0.7370851	0.0154305	0.6878521	0.7654896	0.7236678	0.6744233	0.7685463	0.0000000	0.7371786	0.6266117	0.4301734	0.7899851	0.7312188	0.0060208	0.6447655	0.0061206	0.6883418	0.7318902	0.3297880	0.0242541	0.0645290	0.4707177	0.3193340	0.0360620	0.4597597	0.0714102	0.0740074	0.0104762	0.4129654	0.5615782	0.0394591	0.0005045	0.7601537	0.0331712	0.2982337	0.3646047	0.5374570	0.0497671	0.4026080	0.0875786	0.3155930	0.0926239	0.0771309	0.6409853	0.6013039	0.0395395	0.4664423	0.0562833	0.5802145	0.6607979
0.6744697	0.0108676	0.4497145	0.6845228	0.7550769	0.7236926	0.0580088	0.7121133	0.0000000	0.6167194	0.2948642	0.7221839	0.5861679	0.1681138	0.4541470	0.0049314	0.4167196	0.6239866	0.4795848	0.5600802	0.3546673	0.3930511	0.4429563	0.0590239	0.4190266	0.5712608	0.6147263	0.0225675	0.1997015	0.6003589	0.2828719	0.3580622	0.0509284	0.0548178	0.4583791	0.2482565	0.4634946	0.0494115	0.3306748	0.0990621	0.3500546	0.0628513	0.3425310	0.5703672	0.5910638	0.0316606	0.5535632	0.0682653	0.4596496	0.5013135
0.5772019	0.0100190	0.6329734	0.6673381	0.6126097	0.7657710	0.0688634	0.6313813	0.5935708	0.0000000	0.2393245	0.0660038	0.4625403	0.0006944	0.6345264	0.0189719	0.5695158	0.5418437	0.4593822	0.0214667	0.0760527	0.0066257	0.4769262	0.6643619	0.7166152	0.5412080	0.6907459	0.0312073	0.2045671	0.5733696	0.5590691	0.6358445	0.6754499	0.2843133	0.7421901	0.7948315	0.0386751	0.5716271	0.4598097	0.6159443	0.3505209	0.0787766	0.1218902	0.0374398	0.5140336	0.5467344	0.5620866	0.4198857	0.3339817	0.0343036
