YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.5649212	0.0002075	0.4068714	0.5523383	0.4846070	0.5759315	0.2579935	0.8616036	0.1160925	0.6002330	0.6352509	0.6668523	0.5360850	0.2718870	0.6481680	0.0007300	0.6965602	0.6425746	0.5444666	0.6406714	0.2083446	0.4530662	0.3967566	0.0040587	0.1714145	0.6478144	0.4309439	0.0198549	0.3759222	0.4921183	0.4093862	0.2067791	0.0114193	0.0203384	0.3728899	0.3098870	0.4089844	0.0180894	0.2071425	0.2236914	0.2328422	0.0974005	0.2722300	0.5643575	0.7241250	0.0634734	0.4780230	0.1561680	0.5811439	0.5859376
0.4874938	0.0026428	0.1674021	0.4680420	0.5958668	0.7286787	0.0638281	0.7801349	0.1464267	0.7157683	0.1714872	0.5535579	0.6171419	0.3166287	0.5932894	0.0231189	0.5594892	0.4046884	0.4768572	0.6462564	0.0224168	0.3600108	0.4923694	0.0280521	0.2828513	0.7324500	0.5840694	0.0013982	0.0420199	0.6400168	0.2124725	0.2412170	0.0342098	0.0077859	0.3644214	0.2659594	0.4814440	0.0759948	0.7563659	0.2383743	0.1794282	0.0736966	0.2459675	0.6790970	0.4037840	0.0294716	0.3557038	0.1171166	0.2394887	0.7788739
0.5955805	0.0036951	0.3519781	0.5568994	0.5760567	0.4949794	0.1183811	0.6563654	0.0011078	0.4351774	0.1360866	0.8075903	0.4304238	0.3096879	0.3541140	0.0039016	0.2946446	0.6613583	0.5886816	0.6417333	0.6036003	0.4939572	0.1211232	0.0027243	0.4675121	0.6474551	0.6586738	0.0312749	0.1945731	0.4900236	0.4849155	0.6334371	0.0649215	0.0530952	0.3508992	0.3993886	0.3389056	0.0107375	0.5824044	0.2363538	0.0509762	0.0911527	0.3640339	0.6905318	0.5096072	0.0050309	0.4297924	0.0000817	0.3919747	0.4308711
0.5524857	0.0157211	0.5705165	0.6040669	0.4151115	0.6962364	0.2221676	0.5281685	0.1243455	0.5683704	0.2960866	0.6356201	0.6613195	0.2679146	0.6670313	0.0279376	0.5591047	0.6961100	0.5775231	0.6512953	0.2153170	0.4223775	0.5219129	0.0412860	0.3505343	0.4843663	0.6719559	0.0297345	0.2098362	0.5884806	0.1629796	0.4184740	0.0759522	0.2101006	0.2711106	0.4326565	0.6257843	0.0005266	0.5227420	0.0255386	0.3728319	0.0524868	0.1075877	0.5248483	0.4931017	0.0272528	0.3560562	0.3485740	0.3417200	0.4734977
0.6021139	0.0020725	0.0730749	0.7932475	0.6781734	0.3810454	0.0189282	0.4343428	0.0538149	0.7072005	0.5483391	0.5989827	0.6637603	0.4320144	0.6298604	0.0057176	0.5911281	0.3980826	0.5292233	0.4696126	0.0008667	0.3435815	0.1727695	0.0007907	0.2403776	0.4041918	0.6751638	0.0000040	0.3060069	0.6740883	0.1910041	0.2498485	0.0127121	0.1283150	0.2868277	0.3177920	0.4669242	0.0382700	0.4533866	0.2485993	0.4686114	0.1632950	0.1012573	0.5743111	0.6493861	0.0018643	0.5953296	0.0158029	0.3005132	0.6483779
0.7137031	0.0005140	0.1565602	0.4452647	0.6358733	0.6905773	0.3680014	0.5967283	0.2053815	0.4907835	0.2628163	0.6926353	0.5309684	0.2015538	0.7996032	0.0170241	0.6383934	0.5702622	0.4137739	0.7424617	0.0384746	0.3468263	0.3735262	0.0027697	0.2097660	0.5152252	0.7710631	0.0135360	0.1285855	0.5019259	0.2266589	0.3798632	0.0543336	0.1417704	0.4194317	0.5592073	0.3460016	0.0502896	0.5744189	0.3399750	0.4186818	0.1866967	0.1769770	0.6810614	0.5317549	0.0289045	0.4677365	0.0071838	0.5642832	0.4531996
0.6095184	0.0020064	0.5395685	0.7015977	0.6980545	0.7078072	0.4075374	0.5974020	0.2035517	0.5546593	0.1962736	0.6503597	0.5128304	0.3220100	0.5317068	0.0081221	0.5576615	0.6480184	0.7179846	0.5419556	0.2985386	0.4314162	0.5769479	0.0693776	0.4803014	0.5650700	0.4271993	0.0051691	0.3708776	0.7859577	0.1612095	0.2475504	0.0162068	0.0035634	0.4346158	0.3067320	0.3943367	0.0062211	0.3743043	0.0702261	0.3105805	0.0714795	0.0951621	0.5653732	0.6236637	0.0008058	0.4100011	0.0576878	0.5176508	0.4973623
0.7238031	0.0184118	0.4005743	0.6169374	0.4381065	0.6149880	0.0328308	0.4438598	0.0014772	0.7219282	0.3526578	0.6620604	0.7107439	0.2076342	0.4235260	0.0132020	0.5522373	0.6864200	0.4789204	0.5989447	0.1723183	0.5286351	0.5365614	0.0357606	0.3337139	0.4367377	0.6927763	0.0000290	0.2713840	0.6564411	0.1565349	0.3803826	0.0415278	0.4675516	0.3338172	0.4858307	0.6017474	0.0039339	0.3617890	0.2712545	0.0395455	0.0958571	0.3179359	0.6485644	0.5252200	0.0000648	0.4438796	0.2322523	0.2880788	0.4116792
0.4702121	0.0027333	0.2775430	0.4851235	0.5349857	0.5881419	0.1711871	0.4600678	0.0641241	0.7768483	0.5158835	0.7706806	0.6373608	0.2373938	0.6480325	0.0073207	0.4898122	0.4924514	0.5437012	0.6223728	0.3069110	0.5526767	0.3633307	0.0487573	0.3556352	0.4440700	0.5471100	0.0000299	0.1016579	0.5920912	0.2046531	0.3188337	0.0267619	0.1918966	0.1266883	0.3817238	0.4489741	0.0354586	0.5247026	0.0322942	0.1780177	0.0546585	0.5146902	0.6168266	0.4991470	0.0002395	0.3324313	0.2746279	0.6478237	0.4107456
0.4999680	0.0001116	0.3798190	0.5383823	0.6334204	0.6822184	0.3996641	0.6679719	0.0551635	0.6597333	0.5154014	0.5874906	0.6561009	0.2717382	0.4418781	0.0110697	0.5587888	0.6964773	0.3263439	0.6594199	0.4567173	0.4466522	0.5076390	0.0834434	0.3855325	0.5816187	0.6278906	0.0098263	0.1727775	0.8462955	0.1552664	0.2889573	0.0256107	0.1774420	0.2944516	0.2737563	0.5568394	0.0152516	0.3542313	0.1366313	0.3443249	0.0495613	0.2641621	0.6299539	0.5006083	0.0019949	0.5258213	0.2876206	0.4609721	0.5903245
